ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.405373,,,,,,,,,,,,,,,8f1c5d71-fd3f-4acf-a30b-75d025cf1016,32,,,"[51.0, 42.5]",3869220,0,,,,,1.3280178,,Left Foot,,"[56.3, 63.9]",Ground Pass,,22.046541,,,,Marcos Llorente Moreno,6840.0,,,,,,1,From Free Kick,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,['500cd2af-f4d8-406c-9ede-08d1e80bfd42'],53,,,,,,,,,,,,,,,,,Spain,772,00:00:53.936,Pass,
,,,,,,,,,,,,,,,2.066872,,,,,,,,,,,,,,,000422d8-d7d8-4a15-80b2-deb4fd0cacb3,36,,,"[57.8, 61.1]",3869220,0,,,,,-1.9838878,,Right Foot,,"[44.3, 30.3]",Ground Pass,,33.628708,,,,Aymeric Laporte,4353.0,,,,,,1,From Free Kick,Marcos Llorente Moreno,6840.0,Right Back,3,Spain,772,"['7e7736b7-7a7c-450a-a31d-1737fce473cf', 'cc6fc2f2-5c52-4ced-a840-0573b2ddedb9']",57,,,,,,,,,,,,,,,,,Spain,772,00:00:57.169,Pass,True
,,,,,,,,,,,,,,,1.221524,,,,,,,,,,,,,,,d50b1b22-db79-4a8f-b441-57ae92ff671b,39,,,"[49.0, 24.3]",3869220,1,,,,,-1.1755996,,Left Foot,,"[56.3, 6.8]",Ground Pass,,18.96154,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,3,Spain,772,['ad172e30-6313-4270-9e68-0ee406ae3326'],1,,,,,,,,,,,,,,,,,Spain,772,00:01:01.230,Pass,
,,,,,,,,,,,,,,,1.245249,,,,,,,,,,,,,,,bd0331eb-97ee-438b-ba43-1d61a323fcd5,42,,,"[56.3, 6.8]",3869220,1,,,,,2.138901,,Left Foot,,"[50.3, 16.2]",Ground Pass,,11.151682,,,,Aymeric Laporte,4353.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,3,Spain,772,['3de06199-792b-488b-8e62-3fdd40791fb8'],3,,,,,,,,,,,,,,,,,Spain,772,00:01:03.443,Pass,
,,,,,,,,,,,,,,,1.150826,,,,,,,,,,,,,,,b6190b65-79d5-4940-afd9-8138a1e07c34,45,,,"[54.8, 21.8]",3869220,1,,,,,1.7572033,,Left Foot,,"[50.5, 44.6]",Ground Pass,,23.201939,,,,Rodrigo Hernández Cascante,6765.0,,,,,,1,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,3,Spain,772,['3f797a4a-4a31-45e7-bbe8-84e171c99baf'],7,,,,,,,,,,,,,,,,,Spain,772,00:01:07.238,Pass,
,,,,,,,,,,,,,,,1.096156,,,,,,,,,,,,,,,63745509-9c83-46ad-bab7-7cb8f129c3e5,48,,,"[50.5, 44.6]",3869220,1,,,,,1.3191063,,Left Foot,,"[55.9, 65.6]",Ground Pass,,21.683174,,,,Marcos Llorente Moreno,6840.0,,,,,,1,From Free Kick,Rodrigo Hernández Cascante,6765.0,Right Center Back,3,Spain,772,['7077a251-9d2d-42a1-a2b0-f7e47836aa20'],9,,,,,,,,,,,,,,,,,Spain,772,00:01:09.935,Pass,
,,,,,,,,,,,,,,,0.520192,,,,,,,,,,,,,,,ab54ee49-eae3-40d0-8c2d-31d98e0a12f2,51,,,"[57.4, 60.7]",3869220,1,,,,,-0.18776195,,Right Foot,,"[67.4, 58.8]",Ground Pass,,10.1789,,Incomplete,,Pablo Martín Páez Gavira,133353.0,,,,,,1,From Free Kick,Marcos Llorente Moreno,6840.0,Right Back,3,Spain,772,"['0a681ffa-2c91-4ba3-9a83-390717fdf4eb', '42245b71-e790-48d4-8de5-7e5e651d0b9b']",11,,,,,,,,,,,,,,,,,Spain,772,00:01:11.847,Pass,
,,,,,,,,,,,,,,,0.452079,,,,,,,,,,,,,,,4da66b6f-b358-40f7-8ac3-6132120389a9,57,,,"[45.4, 9.6]",3869220,1,,,,,2.3561945,,Left Foot,,"[42.6, 12.4]",Ground Pass,,3.9597979,,,,Selim Amallah,23774.0,,,,,,1,Regular Play,Noussair Mazraoui,15890.0,Left Back,4,Morocco,788,"['92d79ab7-f141-42eb-92f2-e0b33d2fa165', 'e10243c1-6202-43b5-be2f-6f2b25a9bc0c']",14,,,,,,,,,,,,,,,,,Morocco,788,00:01:14.007,Pass,True
,,,,,,,,,,,,,,,0.516264,,,,,,,,,,,,,,,78afbc49-d94b-4e85-87c8-1e3884accb45,62,,,"[44.7, 4.0]",3869220,1,,,,,1.0568767,,Right Foot,,"[48.2, 10.2]",Ground Pass,,7.119691,,,,Noussair Mazraoui,15890.0,,,,,,1,Regular Play,Selim Amallah,23774.0,Left Center Midfield,4,Morocco,788,['b7b32691-8a79-49ab-b744-5e132c736971'],16,,,,,,,,,,,,,,,,,Morocco,788,00:01:16.060,Pass,
,,,,,,,,,,,,,,,0.915403,,,,,,,,,,,,,,,d21def5c-8205-46e5-995b-da27a9df5ae3,65,,,"[51.8, 11.7]",3869220,1,,,,,1.6509165,,Right Foot,,"[50.7, 25.4]",Ground Pass,,13.74409,,,,Azzedine Ounahi,46258.0,,,,,,1,Regular Play,Noussair Mazraoui,15890.0,Left Back,4,Morocco,788,['a8c1b255-68a5-4d05-a618-fa56585526a2'],18,,,,,,,,,,,,,,,,,Morocco,788,00:01:18.344,Pass,
