50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.662888,,,,,,,,,,,b7240551-47cf-4de3-bb1a-74373566e0cf,55,,"[77.2, 54.3]",3869118,0,,,,,-2.1336074,,Right Foot,,,"[67.8, 39.4]",,Ground Pass,,17.617321,,,,,Abdou Diallo,8553.0,,,,,1,From Throw In,Nampalys Mendy,4506.0,Left Defensive Midfield,4,Senegal,787,['dd8d93b1-c250-4fdc-b500-d23a98cfb2f8'],43,,,,,,,,,,,,,,,Senegal,787,00:00:43.687,Pass,
,,,,,,,,,,,,,,,,,1.96504,,,,,,,,,,,29ecaacb-9197-4dfe-8880-826786c0ace3,58,,"[74.3, 31.7]",3869118,0,,,,,-0.91710985,,Left Foot,,,"[94.6, 5.2]",,Ground Pass,,33.381733,,,,,Ismaïla Sarr,2941.0,,,,,1,From Throw In,Abdou Diallo,8553.0,Left Center Back,4,Senegal,787,['5d0da220-1907-4fef-8586-aa38cf6de1a1'],46,,,,,,,,,,,,,,,Senegal,787,00:00:46.871,Pass,
,,,,,,,,,,,,,,,,,0.847882,,,,,,,,,,,3b81bd24-2401-423b-8a8b-43a7d19926cf,62,,"[89.5, 5.2]",3869118,0,,,,,2.6600897,,Right Foot,,,"[78.4, 11.0]",,Ground Pass,,12.523977,,,,,Nampalys Mendy,4506.0,,,,,1,From Throw In,Ismaïla Sarr,2941.0,Left Wing,4,Senegal,787,['cb5a3e59-8d55-4bd5-99cc-13244f549362'],50,,,,,,,,,,,,,,,Senegal,787,00:00:50.888,Pass,
,,,,,,,,,,,,,,,,,2.766314,,,,,,,,,,,2bc94b00-d957-4ac1-aadb-958a7f05173a,66,,"[71.9, 9.5]",3869118,0,,,,,2.6826344,,Right Foot,,,"[37.7, 26.4]",,Ground Pass,,38.14774,,,,,Abdou Diallo,8553.0,,,,,1,From Throw In,Nampalys Mendy,4506.0,Left Defensive Midfield,4,Senegal,787,"['232c797b-04f8-471b-8f47-092d0ab163c8', '25be8aae-563e-4876-b4b8-45893a24936d']",53,,,,,,,,,,,,,,,Senegal,787,00:00:53.173,Pass,True
,,,,,,,,,,,,,,,,,2.38128,,,,,,,,,,,056f1688-fb3f-4390-907d-8a53b3a97103,68,,"[37.7, 26.6]",3869118,0,,,,,1.543179,,Right Foot,,,"[38.7, 62.8]",,Ground Pass,,36.21381,,,,,Kalidou Koulibaly,5675.0,,,,,1,From Throw In,Abdou Diallo,8553.0,Left Center Back,4,Senegal,787,['1129c06a-5ba4-4df8-ab2e-647cb3e87613'],55,,,,,,,,,,,,,,,Senegal,787,00:00:55.939,Pass,
,,,,,,,,,,,,,,,,,0.779515,,,,,,,,,,,0a523fd2-fa1d-4275-ab0d-b92fa51fc244,71,,"[51.0, 66.6]",3869118,1,,,,,-0.22386248,,Right Foot,,,"[73.4, 61.5]",,Ground Pass,,22.973246,,,Incomplete,,Iliman Ndiaye,80484.0,,,,,1,From Throw In,Kalidou Koulibaly,5675.0,Right Center Back,4,Senegal,787,"['11462f8e-39ea-405f-89d3-cf40a052a861', 'a8818138-af89-48ae-b238-7b2207b37c51']",1,,,,,,,,,,,,,,,Senegal,787,00:01:01.751,Pass,
,,,,,,,,,,,,,,,,,1.03934,,,,,,,,,,,99278977-e757-4548-9211-1983c0faef29,76,,"[64.1, 10.6]",3869118,1,,,,,-0.648332,,Right Foot,,,"[74.0, 3.1]",,Ground Pass,,12.420145,,,,,Jude Bellingham,30714.0,,,,,1,Regular Play,Declan Rice,3943.0,Center Defensive Midfield,5,England,768,['80874ca0-42bc-4344-8a5d-92ed407335d8'],5,,,,,,,,,,,,,,,England,768,00:01:05.467,Pass,
,,,,,,,,,,,,,,,,,2.54755,,,,,,,,,,,75a371b9-3d68-4851-91ff-860f123b5972,81,,"[67.0, 0.1]",3869118,1,,True,,,2.3251781,,,,,"[46.7, 21.7]",,Low Pass,,29.64203,,,,,Harry Maguire,3336.0,,,,Throw-in,1,From Throw In,Luke Shaw,3382.0,Left Back,6,England,768,['fca67fe6-f90c-4de1-9e9f-da4ee8a98d9e'],17,,,,,,,,,,,,,,,England,768,00:01:17.319,Pass,
,,,,,,,,,,,,,,,,,1.713191,,,,,,,,,,,a79ba952-3cb2-42c7-b25c-35cd8183fe6d,83,,"[41.2, 20.7]",3869118,1,,,,,1.9797041,,Left Foot,,,"[32.1, 41.7]",,Ground Pass,,22.886896,,,,,John Stones,3244.0,,,,,1,From Throw In,Harry Maguire,3336.0,Left Center Back,6,England,768,['104489bc-aee6-4f97-a5be-000f8a922868'],19,,,,,,,,,,,,,,,England,768,00:01:19.972,Pass,
,,,,,,,,,,,,,,,,,1.912678,,,,,,,,,,,a031be82-0496-45b4-abe6-4b5fba869267,86,,"[27.7, 45.1]",3869118,1,,,,,-2.2050385,,Right Foot,,,"[14.9, 27.7]",,Ground Pass,,21.600925,,,,,Jordan Pickford,3468.0,,,,,1,From Throw In,John Stones,3244.0,Right Center Back,6,England,768,['796dcc28-348d-42f7-9347-883238b3df67'],23,,,,,,,,,,,,,,,England,768,00:01:23.683,Pass,
