ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.410887,,,,,,,,,,,,,768b1eee-b9db-42a6-9ec5-c2429f1b4c67,50,,,"[31.1, 37.3]",3857264,1,,,,,1.9363986,,Right Foot,,,"[26.2, 50.1]",,Ground Pass,,13.705838,,,,Cristian Gabriel Romero,20572.0,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,5,Argentina,779,['b1ab3e56-cb91-4b77-9dcb-3bb66f9a641c'],4,,,,,,,,,,,,,,,,,Argentina,779,00:01:04.897,Pass,
,,,,,,,,,,,,,,,,,,1.522697,,,,,,,,,,,,,bd455efc-fe40-4228-b44f-21e00238af48,53,,,"[27.0, 49.8]",3857264,1,,,,,-1.3431921,,Right Foot,,,"[33.3, 22.6]",,Ground Pass,,27.920065,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,5,Argentina,779,['78db551a-bfc8-4f1a-9951-e01577105e9f'],7,,,,,,,,,,,,,,,,,Argentina,779,00:01:07.907,Pass,
,,,,,,,,,,,,,,,,,,1.503054,,,,,,,,,,,,,c4d07c9e-4434-4a1c-a26b-4eeb344b579d,56,,,"[47.9, 20.7]",3857264,1,,,,,-0.5696649,,Right Foot,,,"[72.1, 5.2]",,Ground Pass,,28.738302,,,,Marcos Javier Acuña,19597.0,,,,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Left Center Back,5,Argentina,779,['1d2a37a1-537f-4ea4-a722-80703c946961'],11,,,,,,,,,,,,,,,,,Argentina,779,00:01:11.547,Pass,
,,,,,,,,,,,,,,,,,,0.867072,,,,,,,,,,,,,2fdc1ff4-f49d-4c5b-a9a3-ab58f9677908,59,,,"[76.0, 7.1]",3857264,1,,,,,0.8723155,,Right Foot,,,"[87.0, 20.2]",,Ground Pass,,17.105846,,,,Alexis Mac Allister,27886.0,,,,,,1,From Throw In,Marcos Javier Acuña,19597.0,Left Back,5,Argentina,779,['df71087d-47c1-40fc-b29e-66fef79ecb4d'],15,,,,,,,,,,,,,,,,,Argentina,779,00:01:15.499,Pass,
,,,,,,,,,,,,,,,,,,1.271825,,,,,,,,,,,,,6b0eb6ab-78a6-45d0-aa5a-2f8aa765edf3,63,,,"[87.1, 27.5]",3857264,1,,,,,1.9867414,,Right Foot,,,"[79.9, 43.8]",,Ground Pass,,17.819372,,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Throw In,Alexis Mac Allister,27886.0,Left Center Midfield,5,Argentina,779,['80a82fde-6d2a-4e12-840c-861ce74d3efe'],18,,,,,,,,,,,,,,,,,Argentina,779,00:01:18.394,Pass,
,,,,,,,,,,,,,,,,,,1.86275,,,,,,,,,,,,,75aa4016-0844-48ca-b927-eb7e29848758,66,,,"[83.7, 48.6]",3857264,1,,,,,1.1455913,,Right Foot,,,"[95.7, 75.1]",,Ground Pass,,29.090376,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Center Midfield,5,Argentina,779,['e63bf34f-524b-47c2-8a8a-f3b5052513ee'],20,,,,,,,,,,,,,,,,,Argentina,779,00:01:20.474,Pass,
,,,,,,,,,,,,,,,,,,0.879469,,,,,,,,,,,,,8cf69672-c44a-4143-9b28-37fd53680bfd,71,,,"[120.0, 80.0]",3857264,1,,,,,-1.7172805,,Left Foot,,,"[116.4, 55.6]",,High Pass,True,24.664145,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,6,Argentina,779,['3b8bbf65-d7a4-4f62-be8f-23c41ccbeb4f'],52,,,,,,,,,,,,,,,,,Argentina,779,00:01:52.532,Pass,
,,,,,,,,,,,,,,,,,,0.882837,,,,,,,,,,,,,a00ba212-3d28-439c-a9ab-15ad08fc5d50,75,,,"[107.3, 73.0]",3857264,1,,,,,-1.3601741,,Left Foot,,,"[110.4, 58.5]",,Ground Pass,,14.827677,,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,6,Argentina,779,['43593c1a-d26c-408a-8ac6-6f40ad4a48dc'],57,,,,,,,,,,,,,,,,,Argentina,779,00:01:57.368,Pass,
,,,,,,,,,,,,,,,,,,1.681951,,,,,,,,,,,,,2079c834-1d2f-49b4-bd1a-3821b3d5fa38,78,,,"[110.4, 58.5]",3857264,1,,,,,-1.3130608,,Right Foot,True,,"[116.7, 34.6]",,High Pass,,24.71639,,Unknown,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Corner,Rodrigo Javier De Paul,7797.0,Right Center Midfield,6,Argentina,779,['5f74b115-0078-4a89-9e3d-8113bd91e839'],59,,,,,,,,,,,,,,,,,Argentina,779,00:01:59.311,Pass,
,,,,,,,,,,,,,,,,,,3.220086,,,,,,,,,,,,,fb27b93d-e3a2-47b5-a324-6113e53bf24c,84,,,"[8.6, 44.4]",3857264,3,,,,,0.1882215,,Right Foot,,,"[75.8, 57.2]",,High Pass,,68.40819,,Incomplete,,Robert Lewandowski,5668.0,,,,,Free Kick,1,From Free Kick,Wojciech Szczęsny,5669.0,Goalkeeper,7,Poland,789,"['c750ab61-9f35-469e-a8b7-ccf99da2b1ba', 'd4a4e44a-b6a4-4c53-b871-e3292c76a616']",9,,,,,,,,,,,,,,,,,Poland,789,00:03:09.516,Pass,
