50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884bd1c9-e7cc-4627-b7aa-298359834a2d,1686,,,"[25.7, 1.2]",3857278,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ehsan Hajsafi,5230.0,Left Back,89,Iran,797,['5a117b10-3f2a-4ce3-93ff-8187faefe63b'],4,,,,,,,,,,,,,,,,,,Iran,797,00:48:04.429,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2efe304e-5bcd-416a-b282-df46998bc1b9,1689,,,"[42.4, 1.6]",3857278,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mehdi Taremi,5226.0,Left Midfield,89,Iran,797,"['5208972e-1d74-45ee-a979-bf172d5b92b8', 'fbb8f8b6-9215-49f3-b555-142481511d15']",5,,,,,,,,,,,,,,,,,,Iran,797,00:48:05.192,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ba1f87a-9bd5-4dd0-bc14-b6d9a05c5c2c,1692,,,"[30.4, 1.4]",3857278,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ehsan Hajsafi,5230.0,Left Back,89,Iran,797,['12583575-3548-4c3a-8c3d-91046d5674cd'],7,,,,,,,,,,,,,,,,,,Iran,797,00:48:07.191,Ball Receipt*,
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817b7b74-b107-450b-9e0f-a9e46d0294e7,1695,,,"[64.4, 2.3]",3857278,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mehdi Taremi,5226.0,Left Midfield,89,Iran,797,['621a4a9f-bfe5-44cc-a881-088c152605cd'],11,,,,,,,,,,,,,,,,,,Iran,797,00:48:11.064,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70cdda6f-a72a-4799-a734-1e052226f907,1697,,,"[77.7, 78.0]",3857278,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Sergino Dest,21881.0,Right Back,90,United States,1839,['d92e8f1c-cc72-49a3-89c3-bf9847f16ba8'],13,,,,,,,,,,,,,,,,,,United States,1839,00:48:13.883,Ball Receipt*,
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb1fa659-45d4-4654-89b1-aa38cde2fc0b,1703,,,"[109.8, 68.8]",3857278,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Timothy Weah,3377.0,Right Wing,90,United States,1839,['decffcac-84db-48f1-bac5-46eb17fc17cd'],19,,,,,,,,,,,,,,,,,,United States,1839,00:48:19.692,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7f9cd29-3c94-4313-9107-33f71e645cab,1705,,,"[70.4, 23.7]",3857278,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Ali Karimi,125818.0,Left Center Midfield,91,Iran,797,['9408edce-2cd2-426c-b1f3-ea8719725abb'],42,,,,,,,,,,,,,,,,,,Iran,797,00:48:42.778,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a409285-9aeb-43dd-8a44-aba4fa6d297a,1708,,,"[79.2, 24.1]",3857278,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Sardar Azmoun,5224.0,Center Forward,91,Iran,797,['c42a8f42-9032-4b39-a1aa-14bb98e2a34e'],43,,,,,,,,,,,,,,,,,,Iran,797,00:48:43.405,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ae719cc-609b-47f2-ba4b-54c4abc8e810,1712,,,"[36.0, 27.8]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Tim Ream,18242.0,Left Center Back,92,United States,1839,['ff26c4f5-c812-44a4-8659-910deaf0b17a'],0,,,,,,,,,,,,,,,,,,United States,1839,00:49:00.666,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c8ff4f1a-c6f2-48a2-b7b4-9f0bbc6e92ee,1714,,,"[33.8, 50.6]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Cameron Carter-Vickers,15971.0,Right Center Back,92,United States,1839,['e964da8e-2c42-44dd-84ee-fc07e17d71ca'],2,,,,,,,,,,,,,,,,,,United States,1839,00:49:02.082,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c797598-e0cd-4201-9084-ebd1625f04db,1717,,,"[42.6, 38.9]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Tyler Adams,12751.0,Center Defensive Midfield,92,United States,1839,['c8a069fe-4b8c-44f4-a5fe-cd56630346f7'],4,,,,,,,,,,,,,,,,,,United States,1839,00:49:04.088,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcc372e7-93f2-4c1a-a374-35e08249b45b,1719,,,"[45.8, 75.2]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergino Dest,21881.0,Right Back,92,United States,1839,['6b057ebb-2306-450f-92cb-f6bb1fdf34c3'],5,,,,,,,,,,,,,,,,,,United States,1839,00:49:05.860,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712b71b-e3e3-4fe5-aca4-7e2749837f49,1722,,,"[56.9, 63.7]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Tyler Adams,12751.0,Center Defensive Midfield,92,United States,1839,['610e5c33-9de1-44f6-9a9e-ccdc72969118'],10,,,,,,,,,,,,,,,,,,United States,1839,00:49:10.709,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390a7f62-7ad8-49c8-8166-b042be2835ed,1725,,,"[34.1, 67.5]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Cameron Carter-Vickers,15971.0,Right Center Back,92,United States,1839,['7f08825b-0599-4744-bb95-3ee23bb12507'],13,,,,,,,,,,,,,,,,,,United States,1839,00:49:13.209,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89d738f4-a9af-41c2-be41-4b32c867dea6,1728,,,"[40.9, 71.8]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Tyler Adams,12751.0,Center Defensive Midfield,92,United States,1839,['36a3e25c-87e7-4151-9734-2d10ba8e046b'],16,,,,,,,,,,,,,,,,,,United States,1839,00:49:16.446,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79a0aeb6-8dac-4f2d-ba31-f0698a100184,1731,,,"[18.4, 44.2]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Matthew Charles Turner,12352.0,Goalkeeper,92,United States,1839,['b1650f20-b032-42f8-9326-9f8138e263b9'],24,,,,,,,,,,,,,,,,,,United States,1839,00:49:24.736,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318048fa-7895-47c1-9254-4d9f55d8ee71,1733,,,"[31.5, 22.2]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Tim Ream,18242.0,Left Center Back,92,United States,1839,['559bcddc-2651-47a4-bcfb-71b2d50e2e49'],26,,,,,,,,,,,,,,,,,,United States,1839,00:49:26.446,Ball Receipt*,
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7328d252-0735-4123-bc07-4fa31f6c474c,1736,,,"[83.5, 9.8]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antonee Robinson,4614.0,Left Back,92,United States,1839,['d783dc94-aa63-4a95-a2d4-2b91fd9a254a'],30,,,,,,,,,,,,,,,,,,United States,1839,00:49:30.003,Ball Receipt*,
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23e249e0-33c2-468d-83d2-b2d9f57c3d6d,1741,,,"[66.8, 52.3]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ali Karimi,125818.0,Left Center Midfield,92,United States,1839,['5d3948a2-9b8a-49bb-9634-f6fc8e4a0f93'],32,,,,,,,,,,,,,,,,,,Iran,797,00:49:32.040,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36096ba1-ee35-480f-a163-0576d96fec22,1744,,,"[64.4, 19.0]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Joshua Sargent,22168.0,Center Forward,92,United States,1839,"['97aae0b8-babd-428b-a943-456876c337bd', 'aed68479-d71f-4c68-b284-99c17e6ec27e']",32,,,,,,,,,,,,,,,,,,United States,1839,00:49:32.867,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8c49c1f0-256c-4228-8a70-1c2e7a2138e5,1747,,,"[58.7, 13.4]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Christian Pulisic,8246.0,Left Wing,92,United States,1839,['d88b1072-9c50-4801-8d0d-df0017f4e43b'],34,,,,,,,,,,,,,,,,,,United States,1839,00:49:34.173,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd6ea17d-1f42-4f00-98fa-65c6cd0c4087,1750,,,"[85.6, 5.1]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antonee Robinson,4614.0,Left Back,92,United States,1839,['c81e8e19-739a-451c-a397-3e61bb99ad53'],35,,,,,,,,,,,,,,,,,,United States,1839,00:49:35.903,Ball Receipt*,
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d462924-960f-4998-aa1b-73b99a78a2ce,1758,,,"[107.2, 8.3]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antonee Robinson,4614.0,Left Back,92,United States,1839,['d1399766-5af1-4370-aaff-46a86c266785'],45,,,,,,,,,,,,,,,,,,United States,1839,00:49:45.739,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de244d34-04de-4abb-b42c-289275f69b63,1762,,,"[7.8, 57.9]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Saeid Ezatolahi Afagh,5722.0,Center Defensive Midfield,92,United States,1839,['ece1b779-459c-494d-bf49-7046a2534a39'],47,,,,,,,,,,,,,,,,,,Iran,797,00:49:47.935,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e5ad3f9d-a4df-446e-8883-b907b2c8d21f,1772,,,"[93.5, 16.6]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Christian Pulisic,8246.0,Left Wing,92,United States,1839,"['2f679b83-b6ab-44f9-b332-8d7fd2cc7356', '7f587093-5740-4e8a-a4a4-d01fea07f7b6']",55,,,,,,,,,,,,,,,,,,United States,1839,00:49:55.452,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b9b1dee-6644-4160-badc-40226811f0f6,1776,,,"[98.6, 18.1]",3857278,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yunus Dimoara Musah,38792.0,Right Center Midfield,92,United States,1839,['36f8aaf6-2179-4acc-bed2-60e590e339a2'],56,,,,,,,,,,,,,,,,,,United States,1839,00:49:56.671,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd4d8e22-6ecb-4a31-b4f6-f89d1e5ebc80,1796,,,"[82.8, 28.2]",3857278,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Joshua Sargent,22168.0,Center Forward,93,United States,1839,['83a2e5cf-2a9d-4f1b-b900-6ef16c9096d8'],19,,,,,,,,,,,,,,,,,,United States,1839,00:50:19.475,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c396d7f-7162-4226-971d-136a1d574d1f,1798,,,"[93.1, 20.9]",3857278,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Weston McKennie,8526.0,Left Center Midfield,93,United States,1839,['c9a21531-1511-4805-87a1-b32ad4276fb1'],20,,,,,,,,,,,,,,,,,,United States,1839,00:50:20.750,Ball Receipt*,
