50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.019029,,,,,,,,,,,,,,,c3fae1dd-6583-404d-9962-fb662b132c7b,56,,,"[61.4, 6.7]",3857293,0,,,,-1.1003921,,Left Foot,,,"[64.4, 0.8]",,Ground Pass,,6.618912,,,,Abdul Rahman Baba,12325.0,,,,,,,1,Regular Play,Salis Abdul Samed,31029.0,Left Defensive Midfield,3,Ghana,4885,['d790fbed-180a-46cb-8189-82d05560aff9'],38,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:38.820,Pass,
,,,,,,,,,,,,,,,,,,,1.149274,,,,,,,,,,,,,,,09046541-0097-446a-a446-fe49edcb06b9,58,,,"[64.4, 0.8]",3857293,0,,,,0.50544834,,Left Foot,,,"[74.7, 6.5]",,Ground Pass,,11.772,,,,Jordan Ayew,3450.0,,,,,,,1,Regular Play,Abdul Rahman Baba,12325.0,Left Back,3,Ghana,4885,['c099c1aa-9293-4b9b-8b6b-9e2d5b9b9a47'],39,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:39.839,Pass,
,,,,,,,,,,,,,,,,,,,1.918095,,,,,,,,,,,,,,,98485a5d-1ece-4e93-8eaf-bbe8b9333885,65,,,"[39.6, 65.5]",3857293,1,True,,,0.5055175,,Right Foot,,,"[61.1, 77.4]",,Ground Pass,,24.573563,,,,Guillermo Varela Olivera,5264.0,,,,,,Free Kick,1,From Free Kick,José María Giménez de Vargas,5259.0,Right Center Back,4,Uruguay,783,['0b942182-91a4-4e6e-94b7-9763f5cb79f3'],26,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:26.413,Pass,
,,,,,,,,,,,,,,,,,,,1.111666,,,,,,,,,,,,,,,570216a4-f49f-40cb-bf1e-ebc74bdc2e1e,67,,,"[56.0, 75.5]",3857293,1,,,,2.8104966,,Right Foot,,,"[49.6, 77.7]",,Ground Pass,,6.7675695,,,,Federico Santiago Valverde Dipetta,6773.0,,,,,,,1,From Free Kick,Guillermo Varela Olivera,5264.0,Right Back,4,Uruguay,783,['55d64cf0-caf0-4e72-a2a4-1c5d315d0bf7'],29,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:29.363,Pass,
,,,,,,,,,,,,,,,,,,,0.709234,,,,,,,,,,,,,,,ce835586-c36c-418f-86b8-cb99f9dacd3d,71,,,"[71.7, 75.7]",3857293,1,,,,0.9461609,,Left Foot,,,"[74.8, 80.0]",,Ground Pass,,5.3009434,,,,Guillermo Varela Olivera,5264.0,,,,,,,1,From Free Kick,Federico Santiago Valverde Dipetta,6773.0,Right Defensive Midfield,4,Uruguay,783,['0837c04b-f319-4177-b7e0-b7185e598310'],34,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:34.179,Pass,
,,,,,,,,,,,,,,,,,,,0.828281,,,,,,,,,,,,,,,6e1dcbb4-30f0-4984-a738-695ed45f54c7,74,,,"[74.8, 80.0]",3857293,1,,,,0.0,,Right Foot,,,"[81.9, 80.0]",,Ground Pass,,7.1,,,,Facundo Pellistri Rebollo,36288.0,,,,,,,1,From Free Kick,Guillermo Varela Olivera,5264.0,Right Back,4,Uruguay,783,['de12f9fa-0e3e-4e7f-b888-c669a11d0cd6'],35,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:35.008,Pass,
,,,,,,,,,,,,,,,,,,,0.434781,,,,,,,,,,,,,,,244bd606-715a-4695-bec1-92c5166d37bb,78,,,"[80.9, 79.3]",3857293,1,,,,-2.976444,,Left Foot,,,"[74.9, 78.3]",,Ground Pass,,6.0827627,,,,Guillermo Varela Olivera,5264.0,,,,,,,1,From Free Kick,Facundo Pellistri Rebollo,36288.0,Right Midfield,4,Uruguay,783,['d8b408e4-e6cc-4d87-b149-9f35760e22b5'],37,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:37.135,Pass,
,,,,,,,,,,,,,,,,,,,0.088431,,,,,,,,,,,,,,,4a59dbb4-d62d-4bf3-93a1-4445b711dbb5,86,,,"[44.5, 2.0]",3857293,1,,,,0.0,,Left Foot,,,"[45.3, 2.0]",,Low Pass,,0.8,,Incomplete,,Mohammed Kudus,17033.0,,,,,,,1,From Free Kick,André Ayew Pelé,3347.0,Center Attacking Midfield,4,Uruguay,783,"['25f3ceae-71e4-4d36-bb02-7ba013832bde', '283cc0ef-7396-4b64-a887-c989db87f93b']",39,,,,,,,,,,,,,,,,,,Ghana,4885,00:01:39.826,Pass,
,,,,,,,,,,,,,,,,,,,1.806667,,,,,,,,,,,,,,,ac054789-b417-440e-b651-13fe16112fcf,91,,,"[20.9, 8.6]",3857293,1,,,True,-0.6449155,,,,,"[32.2, 0.1]",,High Pass,,14.140014,,Out,,Abdul Rahman Baba,12325.0,,,,,,Recovery,1,From Free Kick,Mohamed Salisu,30519.0,Left Center Back,4,Uruguay,783,"['ba5e309a-930f-435a-904c-9e40239c9bbb', 'edbd7830-968e-49c4-ad86-20327246bed7']",44,,,,,,,,,,,,,,,,,,Ghana,4885,00:01:44.718,Pass,True
,,,,,,,,,,,,,,,,,,,1.196985,,,,,,,,,,,,,,,fee8bbc5-4e14-4acd-aaee-3028b724bbb3,93,,,"[87.4, 80.0]",3857293,1,,,,-2.8150113,,,,,"[81.2, 77.9]",,Low Pass,,6.545991,,,,Federico Santiago Valverde Dipetta,6773.0,,,,,,Throw-in,1,From Throw In,Guillermo Varela Olivera,5264.0,Right Back,5,Uruguay,783,['083bd026-013d-4892-9a88-14bc9bc82943'],52,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:52.758,Pass,
