bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.05344,,,,,,,,,,,,,62139f43-2ade-4915-bcc6-6929ffbfc98f,81,,,"[82.0, 78.6]",3857280,1,,,,-0.4444192,,Right Foot,,,,"[100.9, 69.6]",,Ground Pass,,20.933466,,,,,Rodrygo Silva de Goes,25104.0,,,,,,1,From Throw In,Antony Matheus dos Santos,25363.0,Right Wing,5,Brazil,781,['996eeb99-e4ed-4713-b909-e094256b032a'],30,,,,,,,,,,,,,,,,Brazil,781,00:01:30.810,Pass,
,,,,,,,,,,,,,,,1.052703,,,,,,,,,,,,,2929e418-4c33-44cb-894f-16a3e0164fca,84,,,"[116.3, 58.3]",3857280,1,,,,-1.9389902,0abed12e-0df0-416d-b853-d434d5df2475,Right Foot,True,True,,"[108.7, 38.6]",,Ground Pass,,21.11516,,,,,Frederico Rodrigues Santos,9904.0,True,,,,,1,From Throw In,Rodrygo Silva de Goes,25104.0,Center Attacking Midfield,5,Brazil,781,['3e56ba67-8b65-4447-ba9a-9855fa93ce06'],34,,,,,,,,,,,,,,,,Brazil,781,00:01:34.523,Pass,
,,,,,,,,,,,,,,,0.744645,,,,,,,,,,,,,4b72bd52-33ba-4c27-b7c0-d8441df5f356,93,,,"[110.9, 16.7]",3857280,1,,,,2.3266172,dc641c91-3ec9-4ad4-aedd-3846e310742b,Right Foot,,,,"[102.7, 25.4]",,Ground Pass,,11.955334,,,,,Antony Matheus dos Santos,25363.0,True,,,,,1,From Throw In,Gabriel Fernando de Jesus,3202.0,Center Forward,5,Brazil,781,['678c4d8e-6957-45af-9367-df5c07f4f4a7'],43,,,,,,,,,,,,,,,,Brazil,781,00:01:43.793,Pass,
,,,,,,,,,,,,,,,2.71332,,,,,,,,,,,,,843edfd0-e96a-4db8-93d7-4f610d77fb67,101,,,"[86.9, 25.6]",3857280,1,,,,3.0693781,,Left Foot,,,,"[63.4, 27.3]",,Ground Pass,,23.561409,,,,,Gleison Bremer Silva Nascimento,11493.0,,,,,Recovery,1,From Throw In,Alex Nicolao Telles,11183.0,Left Back,5,Brazil,781,['3bd438c8-f36f-42fd-9eb7-d1be848e6943'],48,,,,,,,,,,,,,,,,Brazil,781,00:01:48.510,Pass,
,,,,,,,,,,,,,,,1.425796,,,,,,,,,,,,,7f08eda0-054f-4729-8c24-045bc1bfd6a4,104,,,"[63.1, 27.3]",3857280,1,,,,1.6552106,,Right Foot,,,,"[62.0, 40.3]",,Ground Pass,,13.046455,,,,,Éder Gabriel Militão,13620.0,,,,,,1,From Throw In,Gleison Bremer Silva Nascimento,11493.0,Left Center Back,5,Brazil,781,['54911522-2827-4ec4-9c55-303a8931d684'],51,,,,,,,,,,,,,,,,Brazil,781,00:01:51.839,Pass,
,,,,,,,,,,,,,,,0.791277,,,,,,,,,,,,,f2f8ae94-0b40-45e9-9c19-83b311b82384,107,,,"[62.0, 40.3]",3857280,1,,,,-1.9846766,,Right Foot,,,,"[57.3, 29.6]",,Ground Pass,,11.686745,,,,,Gleison Bremer Silva Nascimento,11493.0,,,,,,1,From Throw In,Éder Gabriel Militão,13620.0,Right Center Back,5,Brazil,781,['b973489f-f100-4967-9f6c-631ea590b8d1'],56,,,,,,,,,,,,,,,,Brazil,781,00:01:56.123,Pass,
,,,,,,,,,,,,,,,1.310475,,,,,,,,,,,,,a7daba71-a14d-4915-a4be-9e74a288c979,110,,,"[57.3, 29.6]",3857280,1,,,,1.8525681,,Left Foot,,,,"[52.9, 44.8]",,Ground Pass,,15.824033,,,,,Éder Gabriel Militão,13620.0,,,,,,1,From Throw In,Gleison Bremer Silva Nascimento,11493.0,Left Center Back,5,Brazil,781,['ba0d57c0-0d36-4839-a5ca-9726f5f781c6'],57,,,,,,,,,,,,,,,,Brazil,781,00:01:57.837,Pass,
,,,,,,,,,,,,,,,1.395871,,,,,,,,,,,,,31de820a-07e3-4f82-82dd-7f32884fbf07,113,,,"[53.7, 49.1]",3857280,2,,,,0.89161456,,Right Foot,,,,"[78.0, 79.2]",,Low Pass,,38.684624,,,,,Antony Matheus dos Santos,25363.0,,,,,,1,From Throw In,Éder Gabriel Militão,13620.0,Right Center Back,5,Brazil,781,['98d5a051-7389-4d6e-9e27-3ac948538fd9'],0,,,,,,,,,,,,,,,,Brazil,781,00:02:00.490,Pass,
,,,,,,,,,,,,,,,0.143072,,,,,,,,,,,,,69705a6a-18aa-412b-9799-80da463137ec,116,,,"[78.0, 79.2]",3857280,2,,,,-0.19739556,,Left Foot,,,,"[90.5, 76.7]",,Low Pass,,12.747549,,,Incomplete,,Frederico Rodrigues Santos,9904.0,,,,,,1,From Throw In,Antony Matheus dos Santos,25363.0,Right Wing,5,Brazil,781,"['5c369246-0d17-4dee-bb39-82c0eb04ada8', '60cc560d-3cff-4362-8492-4f1509061f53']",3,,,,,,,,,,,,,,,,Brazil,781,00:02:03.743,Pass,
,,,,,,,,,,,,,,,1.857818,,,,,,,,,,,,,7616af51-1377-46c9-b0ce-a897e5ec80f2,119,,,"[98.8, 80.0]",3857280,2,,,,-2.962498,,,,,,"[87.2, 77.9]",,Low Pass,,11.788554,,,,,Daniel Alves da Silva,4324.0,,,,,Throw-in,1,From Throw In,Frederico Rodrigues Santos,9904.0,Right Defensive Midfield,6,Brazil,781,['cab444dd-9cb8-462f-b61a-f6ed47a012cb'],10,,,,,,,,,,,,,,,,Brazil,781,00:02:10.377,Pass,
,,,,,,,,,,,,,,,1.348325,,,,,,,,,,,,,d9551b9c-f21d-4c0c-970b-92d5f165bb62,121,,,"[87.2, 77.9]",3857280,2,,,,0.12970254,,Right Foot,,,,"[91.8, 78.5]",,High Pass,,4.6389656,,,,,Frederico Rodrigues Santos,9904.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,6,Brazil,781,['883d2fcf-fe8a-42e2-b8f4-560d49793fd2'],12,,,,,,,,,,,,,,,,Brazil,781,00:02:12.235,Pass,
,,,,,,,,,,,,,,,2.155413,,,,,,,,,,,,,14147583-887b-4bc5-afcb-803931003e00,127,,,"[33.0, 0.1]",3857280,2,,,,0.1458496,,,,,,"[50.7, 2.7]",,High Pass,,17.889942,,,,,Jean-Eric Maxim Choupo-Moting,3499.0,,,,,Throw-in,1,From Throw In,Nouhou Tolo,13454.0,Left Back,7,Cameroon,2722,['97123f74-4821-4980-a80f-ef28f510f8d8'],29,,,,,,,,,,,,,,,,Cameroon,2722,00:02:29.188,Pass,
,,,,,,,,,,,,,,,1.46711,,,,,,,,,,,,,b7af7a1e-43e9-4f67-8a82-6fb8b59ac422,130,,,"[49.7, 3.6]",3857280,2,,,,1.0678364,,Right Foot,,,,"[67.8, 36.5]",,High Pass,,37.550232,,,Incomplete,,Bryan Mbeumo,4935.0,,,,,,1,From Throw In,Jean-Eric Maxim Choupo-Moting,3499.0,Left Center Forward,7,Cameroon,2722,"['8e670f29-8e33-453a-947e-fdbe1f5cbc79', 'b180ec94-49ef-4f01-9804-3d719caadc0c']",31,,,,,,,,,,,,,,,,Cameroon,2722,00:02:31.428,Pass,
