50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.517715,,,,,,,,,,,,,4675ba9a-ab9a-4013-9ade-258e0c3e8e04,48,,"[53.1, 56.8]",3857286,0,,,,-2.2787983,,Right Foot,,,"[41.8, 43.6]",,Ground Pass,,17.376133,,,Boualem Khoukhi,124493.0,,,,,,1,From Free Kick,Bassam Hisham Al Rawi,124503.0,Right Center Back,5,Qatar,3566,['1fef5bdd-d832-4e49-b8f8-115b1d52aef0'],52,,,,,,,,,,,,,,,,,Qatar,3566,00:00:52.316,Pass,
,,,,,,,,,,,,,,,,1.995159,,,,,,,,,,,,,25cdb912-fbe1-46e1-9288-f69a049aa5ce,51,,"[44.6, 38.9]",3857286,0,,,,-1.3397057,,Right Foot,,,"[51.0, 11.7]",,Ground Pass,,27.942799,,,Abdelkarim Hassan Al Haj Fadlalla,124494.0,,,,,,1,From Free Kick,Boualem Khoukhi,124493.0,Center Back,5,Qatar,3566,['e5753b3f-c2f3-432e-9c99-a9ea2892c8ac'],55,,,,,,,,,,,,,,,,,Qatar,3566,00:00:55.800,Pass,
,,,,,,,,,,,,,,,,0.839652,,,,,,,,,,,,,5002b18e-8c2a-4ff2-8794-12dc2a4c2612,54,,"[61.4, 11.5]",3857286,0,,,,1.0241572,,Left Foot,,,"[74.3, 32.7]",,Ground Pass,,24.816326,,,Akram Hassan Afif,40784.0,,,,,,1,From Free Kick,Abdelkarim Hassan Al Haj Fadlalla,124494.0,Left Center Back,5,Qatar,3566,['0594dc19-5144-40c7-ae8d-19f33e92fbd9'],59,,,,,,,,,,,,,,,,,Qatar,3566,00:00:59.699,Pass,
,,,,,,,,,,,,,,,,0.581953,,,,,,,,,,,,,533a76c7-0680-42f0-8874-57248ad6737f,57,,"[74.3, 32.7]",3857286,1,,,,-0.6150896,,Right Foot,,,"[83.5, 26.2]",,Ground Pass,,11.264546,,,Abdulaziz Hatem Mohammed Abdullah,124514.0,,,,,,1,From Free Kick,Akram Hassan Afif,40784.0,Left Center Forward,5,Qatar,3566,['88a86006-535b-4089-8a26-437cc7176191'],1,,,,,,,,,,,,,,,,,Qatar,3566,00:01:01.061,Pass,
,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,ad08bf47-a2ef-4012-b6e9-c5c30dfdc74f,62,,"[84.6, 27.3]",3857286,1,,,,-2.5453935,,Left Foot,,,"[81.8, 25.4]",,Ground Pass,,3.3837848,Incomplete,,Akram Hassan Afif,40784.0,,,,,,1,From Free Kick,Abdulaziz Hatem Mohammed Abdullah,124514.0,Left Center Midfield,5,Qatar,3566,"['31502c23-6f2d-40d6-bc4d-c544d8ef6d38', '5869211b-eb24-466e-bd56-6654c7e38af7', '87b915ff-7804-4612-a8d5-973a22fe44c4', 'bf11247a-ff5b-4ed5-b336-d6144de5f52f']",2,,,,,,,,,,,,,,,,,Qatar,3566,00:01:02.531,Pass,True
,,,,,,,,,,,,,,,,1.425592,,,,,,,,,,,,,28e29684-166c-4a22-a512-8eaf5820fbfb,66,,"[33.4, 64.3]",3857286,1,,,,-1.0191413,,Right Foot,,,"[43.0, 48.7]",,Ground Pass,,18.317205,,,Enner Remberto Valencia Lastra,28559.0,,,,,Recovery,1,From Free Kick,Angelo Smit Preciado Quiñónez,37737.0,Right Back,5,Qatar,3566,['a2315384-15ad-4b5b-a926-cdcf6106deef'],3,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:03.966,Pass,
,,,,,,,,,,,,,,,,1.483416,,,,,,,,,,,,,a7678373-00b0-42f9-ad95-ef508ff458d4,69,,"[42.8, 48.7]",3857286,1,,,,1.5707964,,Right Foot,,,"[42.8, 66.0]",,Ground Pass,,17.3,Incomplete,,Gonzalo Jordy Plata Jiménez,31152.0,,,,,,1,From Free Kick,Enner Remberto Valencia Lastra,28559.0,Right Center Forward,5,Qatar,3566,"['3a81aaf1-4358-4c35-af05-471745f38348', '6e34bdf4-e023-46eb-9928-64baac544968']",5,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:05.431,Pass,
,,,,,,,,,,,,,,,,1.205008,,,,,,,,,,,,,351084ee-f695-4b35-a82e-ee0c6dd3bdfd,73,,"[70.4, 18.3]",3857286,1,,,,2.6553924,,Left Foot,,,"[44.1, 32.2]",,Ground Pass,,29.747269,,,Boualem Khoukhi,124493.0,,,,,,1,From Free Kick,Homam Alamin Ahmed,124900.0,Left Wing Back,5,Qatar,3566,['8d6c597d-5899-428c-b6ad-374980be1259'],9,,,,,,,,,,,,,,,,,Qatar,3566,00:01:09.301,Pass,
,,,,,,,,,,,,,,,,1.979216,,,,,,,,,,,,,ad93756a-a1e1-47a3-a313-e21334388cd9,76,,"[45.6, 32.0]",3857286,1,,,,-0.7785254,,Right Foot,,,"[74.9, 3.1]",,High Pass,,41.154587,,,Akram Hassan Afif,40784.0,,,,,,1,From Free Kick,Boualem Khoukhi,124493.0,Center Back,5,Qatar,3566,['4d343846-1418-45c3-bb9e-65f73a6c90dd'],13,,,,,,,,,,,,,,,,,Qatar,3566,00:01:13.986,Pass,
,,,,,,,,,,,,,,,,1.317286,,,,,,,,,,,,,b1d61345-d35e-4d0f-9b49-a6a8d865f040,83,,"[46.7, 68.6]",3857286,1,,,,-1.0168438,,Right Foot,,,"[58.7, 49.2]",,Ground Pass,,22.811401,,,Enner Remberto Valencia Lastra,28559.0,,,,,,1,Regular Play,Jhegson Sebastián Méndez Carabalí,23830.0,Right Defensive Midfield,6,Ecuador,3565,['3e7b4400-8e57-422a-98cd-454d87c7a9d3'],22,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:22.378,Pass,
