50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.892451,,,,,,,,,,,,,c8102590-4083-4558-8d57-1d175c7e1a12,57,,"[29.1, 22.9]",3857283,0,,,,1.7324928,,Right Foot,,,,"[24.5, 51.1]",,Ground Pass,,28.572714,,,,,Toby Alderweireld,20005.0,,,,,,1,From Kick Off,Axel Witsel,5642.0,Left Defensive Midfield,2,Belgium,782,['caf95c88-487f-4da2-b778-8dca6a298112'],50,,,,,,,,,,,,,,,,,,Belgium,782,00:00:50.131,Pass,
,,,,,,,,,,,,,,,,,,1.304061,,,,,,,,,,,,,cf3fb4f8-067e-4dc4-b37b-fa6a7b5b5cda,60,,"[31.7, 51.4]",3857283,0,,,,-1.579235,,Right Foot,,,,"[31.5, 27.7]",,Ground Pass,,23.700844,,,,,Jan Vertonghen,3077.0,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Belgium,782,['7be382bd-2171-4f48-b81c-0e193097e59e'],55,,,,,,,,,,,,,,,,,,Belgium,782,00:00:55.662,Pass,
,,,,,,,,,,,,,,,,,,1.357844,,,,,,,,,,,,,f16acf69-23ff-4e96-ad80-01e9a3489790,63,,"[36.8, 26.9]",3857283,0,,,,1.6031736,,Left Foot,,,,"[36.0, 51.6]",,Ground Pass,,24.712952,,,,,Toby Alderweireld,20005.0,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Belgium,782,['b23ad58a-234b-4fa3-853a-a06fb2663c06'],59,,,,,,,,,,,,,,,,,,Belgium,782,00:00:59.663,Pass,
,,,,,,,,,,,,,,,,,,0.62723,,,,,,,,,,,,,39004cdb-0b89-4789-9183-b372ee54b205,66,,"[41.9, 54.8]",3857283,1,,,,-0.72864103,,Right Foot,,,,"[51.2, 46.5]",,Ground Pass,,12.465152,,,,,Amadou Onana,48347.0,,,,,,1,From Kick Off,Toby Alderweireld,20005.0,Right Center Back,2,Belgium,782,['6c7072bf-03c6-45a2-a05d-fc4d5877dd9a'],3,,,,,,,,,,,,,,,,,,Belgium,782,00:01:03.843,Pass,
,,,,,,,,,,,,,,,,,,0.884182,,,,,,,,,,,,,209a581c-e29d-4d5b-ab5d-1fbec96e5695,70,,"[61.7, 43.2]",3857283,1,,,,-0.2551824,,Right Foot,,,,"[68.6, 41.4]",,Ground Pass,,7.1309185,,,,,Eden Hazard,3621.0,,,,,,1,From Kick Off,Amadou Onana,48347.0,Right Defensive Midfield,2,Belgium,782,"['7a7a5055-8690-4ad4-b561-c2ac911c2f07', 'd8fa2466-78b8-45b9-841b-f36f938c65fd']",6,,,,,,,,,,,,,,,,,,Belgium,782,00:01:06.070,Pass,True
,,,,,,,,,,,,,,,,,,0.976234,,,,,,,,,,,,,e47b1ff2-18a8-4f8d-81c0-aaaf13e66d3f,76,,"[69.0, 43.2]",3857283,1,True,,,1.136843,,Left Foot,,,,"[72.8, 51.4]",,Ground Pass,,9.037699,,,,,Amadou Onana,48347.0,,,,,Free Kick,1,From Free Kick,Axel Witsel,5642.0,Left Defensive Midfield,3,Belgium,782,['fc40c3ff-3c17-4643-aec4-b1375ef71216'],24,,,,,,,,,,,,,,,,,,Belgium,782,00:01:24.606,Pass,
,,,,,,,,,,,,,,,,,,1.252338,,,,,,,,,,,,,9b5620f4-51c3-4a87-b1db-01beb49512be,78,,"[72.8, 51.4]",3857283,1,,,,-2.3117135,,Right Foot,,,,"[56.7, 33.8]",,Ground Pass,,23.853092,,,,,Jan Vertonghen,3077.0,,,,,,1,From Free Kick,Amadou Onana,48347.0,Right Defensive Midfield,3,Belgium,782,['ed6a79d6-57a7-42d2-bfd0-2eaad4fe9042'],25,,,,,,,,,,,,,,,,,,Belgium,782,00:01:25.874,Pass,
,,,,,,,,,,,,,,,,,,0.937136,,,,,,,,,,,,,c5f8c29d-b1b7-42c2-84b3-ce44788335df,81,,"[57.4, 33.5]",3857283,1,,,,1.6009077,,Left Foot,,,,"[56.9, 50.1]",,Ground Pass,,16.607529,,,,,Toby Alderweireld,20005.0,,,,,,1,From Free Kick,Jan Vertonghen,3077.0,Left Center Back,3,Belgium,782,['0b1a2fd4-72f7-4c69-9db6-17394bd9ff6f'],30,,,,,,,,,,,,,,,,,,Belgium,782,00:01:30.202,Pass,
,,,,,,,,,,,,,,,,,,1.722419,,,,,,,,,,,,,b3ac7496-eb8d-4b51-b6fd-1c1fe32044bc,84,,"[63.4, 53.2]",3857283,1,,,,0.89498186,,Right Foot,,,,"[81.6, 75.9]",,Ground Pass,,29.095188,,,,,Thomas Meunier,3176.0,,,,,,1,From Free Kick,Toby Alderweireld,20005.0,Right Center Back,3,Belgium,782,['bdc78d21-1ce7-4c4c-b850-dd1d7ccd65a9'],34,,,,,,,,,,,,,,,,,,Belgium,782,00:01:34.563,Pass,
,,,,,,,,,,,,,,,,,,1.45947,,,,,,,,,,,,,25ac1b98-3f9f-4917-8f42-fcd3d1db2f85,87,,"[83.3, 76.0]",3857283,1,,,,-0.9169098,,Right Foot,,,,"[99.7, 54.6]",,High Pass,,26.961454,,,Incomplete,,Michy Batshuayi Tunga,3457.0,,,,,,1,From Free Kick,Thomas Meunier,3176.0,Right Back,3,Belgium,782,"['64217b52-8181-4cb0-9b23-40ac0b4e6769', '6c4d98ff-2310-4343-9075-a8566ad81b72']",38,,,,,,,,,,,,,,,,,,Belgium,782,00:01:38.109,Pass,
