ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[73.2, 9.0]",,,,,,,,,,,0.687593,,,,,,,,,,,,,ff418728-943e-47e5-b715-de34d7497e18,769,,,"[74.3, 8.4]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José María Giménez de Vargas,5259.0,Left Center Back,53,Uruguay,783,"['5a9ff8c6-93c1-44c7-9dd3-a92ac5fdaa1a', 'bbe5ab48-ba2d-4da1-b8b9-9d91da062fc4']",11,,,,,,,,,,,,,,,,Uruguay,783,00:22:11.573,Carry,
,,,"[59.6, 40.1]",,,,,,,,,,,3.655426,,,,,,,,,,,,,5a31f166-ce7e-4a56-aca1-475035c24d8d,772,,,"[55.0, 33.5]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diego Roberto Godín Leal,5249.0,Right Center Back,53,Uruguay,783,"['0f525edb-2abf-474f-9d36-f7f005450be1', '2a89c6bf-2a3d-4935-8615-07b01b3359eb']",13,,,,,,,,,,,,,,,,Uruguay,783,00:22:13.743,Carry,
,,,"[53.4, 43.8]",,,,,,,,,,,2.878401,,,,,,,,,,,,,c50b46e7-6154-4a53-bf44-d8fa1b065313,777,,,"[53.0, 40.7]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diego Roberto Godín Leal,5249.0,Right Center Back,53,Uruguay,783,"['9c1698a7-3f6c-4da3-b504-c0f6055985dc', 'ea9889cf-9629-4e7a-ae8c-aa9de2e18150']",20,,,,,,,,,,,,,,,,Uruguay,783,00:22:20.712,Carry,
,,,"[63.4, 10.8]",,,,,,,,,,,1.86386,,,,,,,,,,,,,126dcc80-3042-4c77-8a6c-eeed1bf6f1cd,780,,,"[55.0, 16.3]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José María Giménez de Vargas,5259.0,Left Center Back,53,Uruguay,783,"['75bb5285-83d9-43d6-ac88-3b74629e5ddc', 'cd1fd23e-3846-4ed4-b6f3-4f27c8a58e18', 'fb864247-5e3b-4b6d-b794-b348f484836d']",25,,,,,,,,,,,,,,,,Uruguay,783,00:22:25.260,Carry,True
,,,"[59.0, 21.1]",,,,,,,,,,,0.983682,,,,,,,,,,,,,6b6c1fac-49ac-47d5-a4b8-35ef35398c90,791,,,"[60.2, 20.0]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José María Giménez de Vargas,5259.0,Left Center Back,54,Uruguay,783,"['af9ecb2e-ad3e-4055-a24e-a1af23783003', 'd0c41280-22b3-4400-b125-413fa8a3f8bc']",48,,,,,,,,,,,,,,,,Uruguay,783,00:22:48.221,Carry,
,,,"[46.5, 34.3]",,,,,,,,,,,1.301678,,,,,,,,,,,,,0cb2132e-511d-42cc-b44f-4a856d17daec,794,,,"[47.8, 33.1]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Diego Roberto Godín Leal,5249.0,Right Center Back,54,Uruguay,783,"['9640d82e-3e93-45ad-9ef2-1eb2949caa99', 'e245c967-7916-4fd7-88bd-013be4a4e12a']",50,,,,,,,,,,,,,,,,Uruguay,783,00:22:50.475,Carry,
,,,"[47.6, 59.2]",,,,,,,,,,,0.671948,,,,,,,,,,,,,de4ff8fd-45e6-48ef-973d-35934354674b,797,,,"[45.8, 61.0]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Martín Cáceres Silva,5248.0,Right Back,54,Uruguay,783,"['39c0e719-c9c8-49df-a300-871ea1c7a0eb', 'ef67d5f2-985e-41d9-8fe4-94fafd8cc63d']",53,,,,,,,,,,,,,,,,Uruguay,783,00:22:53.450,Carry,
,,,"[57.1, 49.4]",,,,,,,,,,,0.040000003,,,,,,,,,,,,,bdfb0b09-3abf-4719-a955-3ea01a401684,800,,,"[57.9, 49.1]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rodrigo Bentancur Colmán,5260.0,Center Defensive Midfield,54,Uruguay,783,"['38a405f2-2ed1-4df5-ab86-44c24e772ed1', 'ba866ff5-fc48-4a5b-9ef9-1d66046cf9d0']",55,,,,,,,,,,,,,,,,Uruguay,783,00:22:55.178,Carry,
,,,"[46.5, 57.3]",,,,,,,,,,,1.278159,,,,,,,,,,,,,86b3a3e9-690e-46c7-a172-b2f340dd8b40,803,,,"[45.1, 58.2]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Martín Cáceres Silva,5248.0,Right Back,54,Uruguay,783,"['15c4d223-d177-44b1-b827-211ef1c1dc0d', '2dce5216-4599-4b13-a46c-aae3ead4592d']",56,,,,,,,,,,,,,,,,Uruguay,783,00:22:56.206,Carry,
,,,"[56.7, 21.9]",,,,,,,,,,,2.422907,,,,,,,,,,,,,702cfef4-a572-4851-9be7-d7fdf97e72d5,806,,,"[51.5, 23.1]",3857287,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José María Giménez de Vargas,5259.0,Left Center Back,54,Uruguay,783,"['87c485d6-7d17-4e06-8d90-fb834418799d', 'f11c7001-4b0a-4986-870a-7c6c09a792b2']",59,,,,,,,,,,,,,,,,Uruguay,783,00:22:59.697,Carry,
,,,"[27.8, 13.4]",,,,,,,,,,,0.43646,,,,,,,,,,,,,2086902d-74ee-487a-8e40-b5ff4db9822f,816,,,"[28.4, 11.7]",3857287,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Heung-Min Son,3083.0,Left Wing,54,Uruguay,783,"['5c31f9b4-1594-41b5-b44d-fe308923f90a', '895698e2-79d1-4387-973f-507d99e77d36', 'e3dadc9c-c512-4fda-af27-7b2c8b34f9d8']",8,,,,,,,,,,,,,,,,South Korea,791,00:23:08.332,Carry,True
,,,"[76.3, 69.7]",,,,,,,,,,,0.937714,,,,,,,,,,,,,94aac9dc-5f0e-44fa-9df0-37dfe2046c5a,820,,,"[79.8, 69.0]",3857287,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rodrigo Bentancur Colmán,5260.0,Center Defensive Midfield,54,Uruguay,783,"['3084e381-558c-460b-8314-c034ad13e3c3', '7ef17e13-6553-4e20-8b8d-0ff81ef6f18f']",9,,,,,,,,,,,,,,,,Uruguay,783,00:23:09.862,Carry,
,,,"[75.3, 62.4]",,,,,,,,,,,0.08,,,,,,,,,,,,,bb6abf15-e4a3-40b8-bef3-cdaa4842d97e,823,,,"[75.3, 63.0]",3857287,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Martín Cáceres Silva,5248.0,Right Back,54,Uruguay,783,"['014e3686-e01b-46ed-900e-b1a94d0e17e3', 'f5211031-df1a-47fb-b6f3-e6964ab68a5a']",11,,,,,,,,,,,,,,,,Uruguay,783,00:23:11.428,Carry,
,,,"[69.5, 64.2]",,,,,,,,,,,0.50871,,,,,,,,,,,,,0f89acc9-c5fc-43c1-808f-549c9e023521,826,,,"[71.6, 70.2]",3857287,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rodrigo Bentancur Colmán,5260.0,Center Defensive Midfield,54,Uruguay,783,"['f51ae3d2-7ee6-4b05-9227-d77d5e161561', 'f7664a71-4e73-41cc-8c4d-75a15db8ca3d']",12,,,,,,,,,,,,,,,,Uruguay,783,00:23:12.570,Carry,
