50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.280662,,,,,,,,,,,,6c8be06a-528c-4d6c-92db-df81588b5289,57,,,"[66.4, 67.5]",3857292,1,,,,-1.6012052,,Right Foot,,,,"[65.6, 41.2]",,Ground Pass,,26.312164,,,,Antonio Rüdiger,3167.0,,,,,,1,Regular Play,Niklas Süle,6322.0,Right Center Back,6,Germany,770,['f5c58f9c-4584-4415-8129-7e97627918c2'],40,,,,,,,,,,,,,,,,,,Germany,770,00:01:40.572,Pass,
,,,,,,,,,,,,,,,,1.3154,,,,,,,,,,,,74304f90-8195-4b6c-bf10-f39eec1bf2b1,60,,,"[69.2, 34.7]",3857292,1,,,,-0.83755964,,Right Foot,,,,"[81.0, 21.6]",,Ground Pass,,17.63094,,,,David Raum,12034.0,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Left Center Back,6,Germany,770,['abc45798-ed76-4504-8c60-fdeb3f43317a'],43,,,,,,,,,,,,,,,,,,Germany,770,00:01:43.172,Pass,
,,,,,,,,,,,,,,,,0.916401,,,,,,,,,,,,0b265303-0059-465c-86e3-587eb40f3722,63,,,"[81.5, 21.5]",3857292,1,,,,0.33379817,a62055b5-20d9-4956-ab7d-57ad2cd35bfb,Left Foot,,,,"[93.9, 25.8]",,Ground Pass,,13.124405,,,,Jamal Musiala,39565.0,True,,,,,1,Regular Play,David Raum,12034.0,Left Back,6,Germany,770,['f60e5b46-48b9-4ffc-b6f3-069155effc70'],45,,,,,,,,,,,,,,,,,,Germany,770,00:01:45.451,Pass,
,,,,,,,,,,,,,,,,2.771418,,,,,,,,,,,,dc211e74-7d9b-4184-84c8-ccfbfe086014,68,,,"[120.0, 80.0]",3857292,2,,,,-1.8850751,,Right Foot,,,,"[104.3, 31.7]",,High Pass,,50.787598,,Incomplete,True,,,,True,Outswinging,,Corner,1,From Corner,Joshua Kimmich,5579.0,Right Back,7,Germany,770,['cb87d42e-78cf-429d-b424-b635bdd5975c'],44,,,,,,,,,,,,,,,,,,Germany,770,00:02:44.077,Pass,
,,,,,,,,,,,,,,,,1.9338,,,,,,,,,,,,209526a4-dcdb-47a5-ab33-b91b2f4f4071,71,,,"[15.4, 45.5]",3857292,2,,,,0.012396059,,Right Foot,,,,"[39.6, 45.8]",,High Pass,,24.201859,,Incomplete,,Johan Alberto Venegas Ulloa,5595.0,,,,,,1,From Corner,Keysher Fuller Spence,130185.0,Right Wing Back,7,Germany,770,"['2b3303cc-c48a-4aa4-8d15-ed87548b11cb', '5ef9eabc-87a8-438a-bd27-20fbff58de06']",47,,,,,,,,,,,,,,,,,,Costa Rica,795,00:02:47.454,Pass,
,,,,,,,,,,,,,,,,1.250354,,,,,,,,,,,,ec9c85c2-de0c-4170-bd50-2cf1119e2113,77,,,"[45.1, 24.7]",3857292,2,,,,0.4514531,,Left Foot,,,,"[51.7, 27.9]",,Ground Pass,,7.3348484,,,,İlkay Gündoğan,10287.0,,,,,,1,From Corner,David Raum,12034.0,Left Back,7,Germany,770,['ce89bf57-cf29-43f7-8a60-352c748185df'],54,,,,,,,,,,,,,,,,,,Germany,770,00:02:54.889,Pass,
,,,,,,,,,,,,,,,,0.920816,,,,,,,,,,,,7023c928-81b2-431c-8db3-648238b6aba6,80,,,"[51.1, 27.5]",3857292,2,,,,0.029403288,,Right Foot,,,,"[64.7, 27.9]",,Ground Pass,,13.605881,,,,Antonio Rüdiger,3167.0,,,,,,1,From Corner,İlkay Gündoğan,10287.0,Left Defensive Midfield,7,Germany,770,['9912ee9a-698f-4a14-98b1-348fd5fcc83e'],57,,,,,,,,,,,,,,,,,,Germany,770,00:02:57.507,Pass,
,,,,,,,,,,,,,,,,0.693491,,,,,,,,,,,,f50e2e1d-6b26-44e9-b345-775b06190f30,82,,,"[63.9, 28.4]",3857292,2,,,,2.9816794,,Right Foot,,,,"[54.6, 29.9]",,Ground Pass,,9.420191,,,,İlkay Gündoğan,10287.0,,,,,,1,From Corner,Antonio Rüdiger,3167.0,Left Center Back,7,Germany,770,['779596e4-3baf-4197-9ad7-176591f3f614'],58,,,,,,,,,,,,,,,,,,Germany,770,00:02:58.428,Pass,
,,,,,,,,,,,,,,,,1.006481,,,,,,,,,,,,c1b8858f-1afc-47ed-9b06-7fe92e5433be,84,,,"[54.6, 29.9]",3857292,2,,,,1.5283976,,Left Foot,,,,"[55.3, 46.4]",,Ground Pass,,16.514841,,,,Niklas Süle,6322.0,,,,,,1,From Corner,İlkay Gündoğan,10287.0,Left Defensive Midfield,7,Germany,770,['6261879c-d710-4762-b098-47dcaa60caf2'],59,,,,,,,,,,,,,,,,,,Germany,770,00:02:59.121,Pass,
,,,,,,,,,,,,,,,,2.637731,,,,,,,,,,,,e0070cbf-c3bb-4e9d-b9ed-a1f3a4de1db0,87,,,"[63.7, 47.7]",3857292,3,,,,-0.9622742,,Right Foot,,,,"[89.2, 11.1]",,High Pass,,44.607285,,,,Jamal Musiala,39565.0,,,,,,1,From Corner,Niklas Süle,6322.0,Right Center Back,7,Germany,770,['1ac9dc56-5363-4ef8-9b3f-f55f2ce08e9b'],3,,,,,,,,,,,,,,,,,,Germany,770,00:03:03.110,Pass,
,,,,,,,,,,,,,,,,1.004143,,,,,,,,,,,,9b6ba11c-1622-4b13-8925-3bcb5f2f3b69,90,,,"[77.4, 17.9]",3857292,3,,,,2.0163736,,Right Foot,,,,"[74.2, 24.6]",,Ground Pass,,7.4249578,,,,İlkay Gündoğan,10287.0,,,,,,1,From Corner,Jamal Musiala,39565.0,Center Attacking Midfield,7,Germany,770,['252411d0-a9dd-4e40-b0f2-c39ac3f17d10'],7,,,,,,,,,,,,,,,,,,Germany,770,00:03:07.959,Pass,
,,,,,,,,,,,,,,,,0.610412,,,,,,,,,,,,4af89c8c-ffe7-4fec-8b34-29c9635247b6,93,,,"[73.6, 25.4]",3857292,3,,,,0.8721365,,Right Foot,,,,"[75.7, 27.9]",,Ground Pass,,3.2649655,,,,Jamal Musiala,39565.0,,,,,,1,From Corner,İlkay Gündoğan,10287.0,Left Defensive Midfield,7,Germany,770,['c944be27-b940-4c59-bafd-0d12f370b079'],8,,,,,,,,,,,,,,,,,,Germany,770,00:03:08.985,Pass,
,,,,,,,,,,,,,,,,1.107014,,,,,,,,,,,,ce65b1ca-e7a4-471b-8f76-e1c24d10af1f,96,,,"[74.5, 30.4]",3857292,3,,,,1.5473264,,Right Foot,,,,"[75.0, 51.7]",,Ground Pass,,21.305868,,,,Niklas Süle,6322.0,,,,,,1,From Corner,Jamal Musiala,39565.0,Center Attacking Midfield,7,Germany,770,['c2c78e9b-d8ac-48ba-b9de-d8062c988c98'],10,,,,,,,,,,,,,,,,,,Germany,770,00:03:10.773,Pass,
,,,,,,,,,,,,,,,,1.159266,,,,,,,,,,,,476a2190-515a-4a3b-9c7a-ca2aaa06d4f2,99,,,"[74.5, 53.0]",3857292,3,,,,1.1472216,,Left Foot,,,,"[82.3, 70.3]",,Ground Pass,,18.97709,,,,Joshua Kimmich,5579.0,,,,,,1,From Corner,Niklas Süle,6322.0,Right Center Back,7,Germany,770,['67b95fcd-424a-4c82-a815-9be1fcfa8d4d'],13,,,,,,,,,,,,,,,,,,Germany,770,00:03:13.033,Pass,
,,,,,,,,,,,,,,,,1.585642,,,,,,,,,,,,8d6598ed-77b3-43da-a042-2085263cd163,102,,,"[75.7, 68.7]",3857292,3,,,,-1.839846,,Left Foot,,,,"[68.2, 41.5]",,Ground Pass,,28.215067,,,,İlkay Gündoğan,10287.0,,,,,,1,From Corner,Joshua Kimmich,5579.0,Right Back,7,Germany,770,['ea430a31-05fd-4ef9-b940-00a809b5a931'],16,,,,,,,,,,,,,,,,,,Germany,770,00:03:16.901,Pass,
,,,,,,,,,,,,,,,,1.43497,,,,,,,,,,,,9c5ce4a5-1294-4413-a3a8-407be0bb35be,105,,,"[82.1, 38.1]",3857292,3,,,,-1.1976744,,Right Foot,,,,"[93.1, 10.0]",,Ground Pass,,30.176315,,,,David Raum,12034.0,,,,,,1,From Corner,İlkay Gündoğan,10287.0,Left Defensive Midfield,7,Germany,770,['c94bba9b-c9ed-4e33-8109-4f0a3cbc4687'],21,,,,,,,,,,,,,,,,,,Germany,770,00:03:21.846,Pass,
,,,,,,,,,,,,,,,,0.863541,,,,,,,,,,,,c82a7e4f-6737-463a-918e-8da5d16fcfe8,108,,,"[93.1, 10.0]",3857292,3,,,,1.1363612,,Left Foot,,,,"[98.9, 22.5]",,Ground Pass,,13.780058,,,,Jamal Musiala,39565.0,,,,,,1,From Corner,David Raum,12034.0,Left Back,7,Germany,770,['8ea0518b-865f-47f5-9f95-bece27488600'],26,,,,,,,,,,,,,,,,,,Germany,770,00:03:26.353,Pass,
,,,,,,,,,,,,,,,,0.657694,,,,,,,,,,,,15a3743a-edf4-4e12-a49e-3478bbc647bf,111,,,"[98.8, 22.6]",3857292,3,,,,1.8251644,,Right Foot,,,,"[97.5, 27.6]",,Ground Pass,,5.1662364,,Incomplete,,Leon Goretzka,6324.0,,,,,,1,From Corner,Jamal Musiala,39565.0,Center Attacking Midfield,7,Germany,770,"['3d59484c-b88c-4d0e-b178-eea8b237681c', 'f1428b32-12a2-4553-938c-ada1cda71c4b']",27,,,,,,,,,,,,,,,,,,Germany,770,00:03:27.232,Pass,
,,,,,,,,,,,,,,,,1.431758,,,,,,,,,,,,ca6d579d-811c-434f-bd5b-ef32ef64e09b,115,,,"[23.1, 47.8]",3857292,3,,,,1.2372121,,Left Foot,,,,"[30.1, 68.0]",,Ground Pass,,21.378494,,,,Joel Nathaniel Campbell Samuels,5581.0,,,,,,1,From Corner,Celso Borges Mora,5582.0,Right Defensive Midfield,7,Germany,770,['97b472e1-b710-49df-92d0-82da0fdcc2a5'],29,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:29.540,Pass,
,,,,,,,,,,,,,,,,1.077908,,,,,,,,,,,,fff07335-8604-4c9d-80a0-ff42aa4594d7,119,,,"[29.3, 67.3]",3857292,3,,,,-0.7614028,,Left Foot,,,,"[35.7, 61.2]",,Ground Pass,,8.84138,,Incomplete,,Celso Borges Mora,5582.0,,,,,,1,From Corner,Joel Nathaniel Campbell Samuels,5581.0,Right Wing,7,Germany,770,"['5a1f7a0e-b972-41c8-8869-b14bfb4da431', 'fa0340df-a739-4694-aa4e-5a8e1fa29764']",32,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:32.215,Pass,
,,,,,,,,,,,,,,,,0.751787,,,,,,,,,,,,5a1f7a0e-b972-41c8-8869-b14bfb4da431,121,,,"[84.4, 18.9]",3857292,3,,,,2.7768579,,Left Foot,,,,"[78.9, 21.0]",,Ground Pass,,5.8872743,,,,İlkay Gündoğan,10287.0,,,,,Recovery,1,From Corner,David Raum,12034.0,Left Back,7,Germany,770,"['39681b52-09aa-46d2-93ef-9f716773295e', 'fff07335-8604-4c9d-80a0-ff42aa4594d7']",33,,,,,,,,,,,,,,,,,,Germany,770,00:03:33.293,Pass,
,,,,,,,,,,,,,,,,0.892232,,,,,,,,,,,,9aed627e-a032-4900-ac49-0413965107a6,124,,,"[82.9, 16.8]",3857292,3,,,,1.0479189,,Left Foot,,,,"[91.2, 31.2]",,Low Pass,,16.62077,,Incomplete,,Thomas Müller,5562.0,,,,,,1,From Corner,İlkay Gündoğan,10287.0,Left Defensive Midfield,7,Germany,770,"['0b8b5ae4-43e1-431a-bc24-c6f09ab1c70b', '7fc3d8e3-4937-4214-8aa9-3a45c8565758']",35,,,,,,,,,,,,,,,,,,Germany,770,00:03:35.971,Pass,
