50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.961525,,,,,,,,,,,,a05a0116-42cf-4327-963c-d9f2b29a8b65,933,,"[63.1, 10.0]",3857277,21,,,,1.1754944,,Left Foot,,,,"[68.9, 23.9]",Ground Pass,,15.061541,,,,Marcelo Brozović,5469.0,,,,,,1,From Corner,Joško Gvardiol,33018.0,Left Center Back,39,Croatia,785,['2594aee3-c274-488d-810f-2c5ad0b7f7c6'],58,,,,,,,,,,,,,,,,Croatia,785,00:21:58.435,Pass,
,,,,,,,,,,,,,,,,,,0.613731,,,,,,,,,,,,a2b768fb-de90-4ad6-8960-01b441e31fb2,936,,"[68.9, 23.9]",3857277,22,,,,-1.5144045,,Right Foot,,,,"[69.6, 11.5]",Ground Pass,,12.419743,,,,Mateo Kovačić,5456.0,,,,,,1,From Corner,Marcelo Brozović,5469.0,Center Defensive Midfield,39,Croatia,785,['72d7aa8f-cd59-4ea9-aeb3-fa35c5f47ff5'],0,,,,,,,,,,,,,,,,Croatia,785,00:22:00.342,Pass,
,,,,,,,,,,,,,,,,,,1.381004,,,,,,,,,,,,68741382-aef9-4ec5-ae1f-cb167cf13d6c,939,,"[69.6, 11.5]",3857277,22,,,,1.9988552,,Right Foot,,,,"[57.6, 37.8]",Ground Pass,,28.908304,,,,Dejan Lovren,3471.0,,,,,,1,From Corner,Mateo Kovačić,5456.0,Left Center Midfield,39,Croatia,785,['c8fec294-a4e6-46dd-8b5d-588a779f14c1'],2,,,,,,,,,,,,,,,,Croatia,785,00:22:02.021,Pass,
,,,,,,,,,,,,,,,,,,1.28559,,,,,,,,,,,,4f181139-b530-4334-8056-adfaec8bcc5c,942,,"[56.9, 46.2]",3857277,22,,,,-1.5371552,,Right Foot,,,,"[57.6, 25.4]",Ground Pass,,20.811775,,,,Joško Gvardiol,33018.0,,,,,,1,From Corner,Dejan Lovren,3471.0,Right Center Back,39,Croatia,785,['b7fa559c-8ea2-41d1-a971-5daa5039d9e8'],7,,,,,,,,,,,,,,,,Croatia,785,00:22:07.679,Pass,
,,,,,,,,,,,,,,,,,,1.12342,,,,,,,,,,,,d879be56-c03a-4f4e-81be-5fd89a59a7d3,945,,"[57.6, 22.8]",3857277,22,,,,0.3479836,,Left Foot,,,,"[67.8, 26.5]",Ground Pass,,10.850346,,,,Marcelo Brozović,5469.0,,,,,,1,From Corner,Joško Gvardiol,33018.0,Left Center Back,39,Croatia,785,['76d4d496-d828-4c20-a0c9-d6d9b5a50b64'],12,,,,,,,,,,,,,,,,Croatia,785,00:22:12.272,Pass,
,,,,,,,,,,,,,,,,,,0.862155,,,,,,,,,,,,2a6d1d08-597c-47b6-b36f-72f12241be18,949,,"[67.8, 25.2]",3857277,22,,,,-2.9738295,,Right Foot,,,,"[55.4, 23.1]",Ground Pass,,12.576566,,,,Joško Gvardiol,33018.0,,,,,,1,From Corner,Marcelo Brozović,5469.0,Center Defensive Midfield,39,Croatia,785,"['7fe8ad7d-2bbb-4145-baac-701f89247644', 'dc740b2d-8df5-4d27-95bf-273eaa0c5039']",13,,,,,,,,,,,,,,,,Croatia,785,00:22:13.834,Pass,True
,,,,,,,,,,,,,,,,,,1.15818,,,,,,,,,,,,0395f9af-6a25-4c1f-8d30-4704536df15e,952,,"[55.4, 23.1]",3857277,22,,,,1.9357095,,Left Foot,,,,"[52.0, 32.0]",Ground Pass,,9.527329,,,,Dejan Lovren,3471.0,,,,,,1,From Corner,Joško Gvardiol,33018.0,Left Center Back,39,Croatia,785,['e8c63794-2e26-4523-8a7b-577d90c61db9'],16,,,,,,,,,,,,,,,,Croatia,785,00:22:16.051,Pass,
,,,,,,,,,,,,,,,,,,3.249728,,,,,,,,,,,,66582478-f98b-4aa6-93dc-b2fb3b7bbd54,955,,"[56.9, 40.8]",3857277,22,,,,0.73829925,,Right Foot,,,,"[98.0, 78.2]",High Pass,,55.569508,,,,Josip Juranović,29163.0,,,,,,1,From Corner,Dejan Lovren,3471.0,Right Center Back,39,Croatia,785,['af10c441-907b-41a9-80ee-23bad56b9fce'],18,,,,,,,,,,,,,,,,Croatia,785,00:22:18.827,Pass,
,,,,,,,,,,,,,,,,,,0.998692,,,,,,,,,,,,0820ca07-ba37-43e1-a657-2e5e819b13e0,963,,"[23.4, 1.6]",3857277,22,,,,0.47459608,,Right Foot,,,,"[34.3, 7.2]",Ground Pass,,12.254387,,,,Azzedine Ounahi,46258.0,,,,,,1,Regular Play,Sofiane Boufal,3625.0,Left Midfield,40,Morocco,788,['6b6106f0-1f0c-4897-889f-e2d68ecb5ba5'],25,,,,,,,,,,,,,,,,Morocco,788,00:22:25.945,Pass,
,,,,,,,,,,,,,,,,,,2.254505,,,,,,,,,,,,4643bdeb-7ff2-43ec-b029-a2cadb4fbab1,966,,"[31.7, 12.6]",3857277,22,,,,1.9396324,,Right Foot,,,,"[20.8, 40.8]",Ground Pass,,30.23326,,,,Nayef Aguerd,12149.0,,,,,,1,Regular Play,Azzedine Ounahi,46258.0,Right Center Midfield,40,Morocco,788,['bbdcddf3-569e-47f6-adb9-013d632085c7'],30,,,,,,,,,,,,,,,,Morocco,788,00:22:30.237,Pass,
,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,40cd10b8-c27a-4db2-9b20-98eee42828b0,969,,"[23.6, 42.3]",3857277,22,,,,1.1240183,,Left Foot,,,,"[36.2, 68.6]",Ground Pass,,29.162476,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,Regular Play,Nayef Aguerd,12149.0,Right Center Back,40,Morocco,788,['f37b1860-77d6-4358-99de-69eb57263375'],33,,,,,,,,,,,,,,,,Morocco,788,00:22:33.275,Pass,
,,,,,,,,,,,,,,,,,,0.610751,,,,,,,,,,,,2f5fe187-266d-45f8-b1cb-305e92c2901a,972,,"[43.5, 69.2]",3857277,22,,,,-0.676586,,Right Foot,,,,"[50.1, 63.9]",Ground Pass,,8.464632,,Incomplete,,Azzedine Ounahi,46258.0,,,,,,1,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,40,Morocco,788,"['7046a5ec-7add-40a1-bb7e-041cf8a032de', 'b7162143-61ea-44b9-b5b3-3bb8fc6b75f7']",36,,,,,,,,,,,,,,,,Morocco,788,00:22:36.718,Pass,
,,,,,,,,,,,,,,,,,,1.911662,,,,,,,,,,,,6ee61821-f108-4b71-8bff-346f22fbed33,976,,"[74.9, 20.5]",3857277,22,,,,1.547302,,Left Foot,,,,"[75.8, 58.8]",Ground Pass,,38.310574,,,,Nikola Vlašić,3441.0,,,,,,1,Regular Play,Ivan Perišić,5474.0,Left Wing,40,Morocco,788,['a6e24468-0420-4aac-bdfa-1b07896ab941'],38,,,,,,,,,,,,,,,,Croatia,785,00:22:38.423,Pass,
,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,50fcded6-064b-4893-b268-b2b088157f76,984,,"[40.3, 17.9]",3857277,22,,,,-0.80426383,,Right Foot,,,,"[53.3, 4.4]",Ground Pass,,18.741665,,,,Sofiane Boufal,3625.0,,,,,,1,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,40,Morocco,788,['4a1604bf-c0cd-420b-bdca-c8e736e57687'],43,,,,,,,,,,,,,,,,Morocco,788,00:22:43.967,Pass,
,,,,,,,,,,,,,,,,,,1.31177,,,,,,,,,,,,cba9c53a-1dd6-46b3-a33e-deb3cc36815f,987,,"[63.2, 1.2]",3857277,22,,,,2.3056538,,Right Foot,,,,"[51.0, 14.7]",Ground Pass,,18.195879,,,,Noussair Mazraoui,15890.0,,,,,,1,Regular Play,Sofiane Boufal,3625.0,Left Midfield,40,Morocco,788,['1f6880f5-1df2-41b4-8481-591477d79720'],49,,,,,,,,,,,,,,,,Morocco,788,00:22:49.405,Pass,
,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,6e00fe22-ab9f-4406-94cb-d07882b175a2,990,,"[51.0, 14.9]",3857277,22,,,,2.4727805,,Right Foot,,,,"[38.6, 24.7]",Ground Pass,,15.805062,,,,Romain Saïss,5219.0,,,,,,1,Regular Play,Noussair Mazraoui,15890.0,Left Back,40,Morocco,788,['7b6e800d-a922-4ddf-816a-42b7b7a43fb6'],52,,,,,,,,,,,,,,,,Morocco,788,00:22:52.231,Pass,
,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,a016c0c1-bb43-4e66-a42d-654a93961a0d,993,,"[39.2, 24.7]",3857277,22,,,,1.5885723,,Left Foot,,,,"[38.8, 47.2]",Ground Pass,,22.503555,,,,Nayef Aguerd,12149.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Left Center Back,40,Morocco,788,['d77c99b2-cf63-4d7b-b467-c9a20e37747d'],55,,,,,,,,,,,,,,,,Morocco,788,00:22:55.150,Pass,
,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,f370838a-8b67-4600-9a50-5d584cd9dfcd,996,,"[39.4, 49.3]",3857277,22,,,,0.92577314,,Left Foot,,,,"[47.3, 59.8]",Ground Pass,,13.140016,,,,Azzedine Ounahi,46258.0,,,,,,1,Regular Play,Nayef Aguerd,12149.0,Right Center Back,40,Morocco,788,['11c32d77-b4fb-4a60-922e-77c1aeb81371'],57,,,,,,,,,,,,,,,,Morocco,788,00:22:57.844,Pass,
