50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.065388,,,,,,,,,,,,,,7b3f8c2d-1dea-4e6e-8ae5-7cb10a4254c6,63,,,"[62.9, 59.8]",3857282,0,,,,,-0.124354996,,Right Foot,,,,"[66.1, 59.4]",,Low Pass,,3.224903,,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Ethan Ampadu,4934.0,Center Defensive Midfield,5,Wales,907,['9da0a088-a31a-4662-8483-48508d395b6d'],57,,,,,,,,,,,,,,,,Wales,907,00:00:57.463,Pass,
,,,,,,,,,,,,,,,,,0.951209,,,,,,,,,,,,,,b344dc94-31a3-47b9-9c84-15ceb11e7e58,65,,,"[64.7, 41.9]",3857282,0,,,,,-2.4822826,,Right Foot,,,,"[56.7, 35.7]",,Ground Pass,,10.121264,,,,,Weston McKennie,8526.0,,,,,,Recovery,1,Regular Play,Timothy Weah,3377.0,Right Wing,6,United States,1839,['b45f83d9-32a2-4b25-bb6f-50cb44baa2f2'],58,,,,,,,,,,,,,,,,United States,1839,00:00:58.222,Pass,
,,,,,,,,,,,,,,,,,1.277902,,,,,,,,,,,,,,cb00f8d2-7dc0-4f7f-849a-43057827f2fc,68,,,"[63.2, 40.4]",3857282,1,,,,,1.5518413,,Right Foot,,,,"[63.6, 61.5]",,Ground Pass,,21.10379,,,,,Sergino Dest,21881.0,,,,,,,1,Regular Play,Weston McKennie,8526.0,Right Center Midfield,6,United States,1839,['7261eb0f-99a4-4420-8ba5-4800bc8a00cf'],1,,,,,,,,,,,,,,,,United States,1839,00:01:01.302,Pass,
,,,,,,,,,,,,,,,,,0.593367,,,,,,,,,,,,,,75fabdc1-3990-4136-865c-2b29e00c98cc,71,,,"[82.6, 68.0]",3857282,1,,,,,-0.18347995,,Right Foot,,,,"[92.3, 66.2]",,Ground Pass,,9.865597,,,,,Weston McKennie,8526.0,,,,,,,1,Regular Play,Sergino Dest,21881.0,Right Back,6,United States,1839,['2506dc97-0acb-4a7c-94b0-4dbb652e7408'],5,,,,,,,,,,,,,,,,United States,1839,00:01:05.864,Pass,
,,,,,,,,,,,,,,,,,1.380582,,,,,,,,,,,,,,75a9af36-7323-4ec2-9d3c-e362f24bc6fd,75,,,"[93.1, 67.1]",3857282,1,,,,,-1.6282868,,Right Foot,,,,"[92.3, 53.2]",,Ground Pass,,13.923002,,,Incomplete,,Sergino Dest,21881.0,,,,,,,1,Regular Play,Weston McKennie,8526.0,Right Center Midfield,6,United States,1839,"['16e0fe1c-a3d1-40a7-be25-bf7e3558caf3', '93d09b57-37b7-478d-abd6-a169260b262a', 'd206143c-01a0-4fb0-bd10-595b783d058b']",6,,,,,,,,,,,,,,,,United States,1839,00:01:06.497,Pass,True
,,,,,,,,,,,,,,,,,2.000421,,,,,,,,,,,,,,f54f636a-5dee-48b6-984c-c3a8481a44f0,79,,,"[34.9, 0.1]",3857282,1,,,,,0.37978175,,,,,,"[58.7, 9.6]",,High Pass,,25.625963,,,Incomplete,,Gareth Frank Bale,6399.0,,,,,,Throw-in,1,From Throw In,Neco Williams,34794.0,Left Wing Back,7,Wales,907,"['7ce0e2f4-0058-441c-b400-48fe489f0526', '8e435b72-caca-4eb4-ab22-dec01e1e6fea']",27,,,,,,,,,,,,,,,,Wales,907,00:01:27.534,Pass,
,,,,,,,,,,,,,,,,,1.312795,,,,,,,,,,,,,,7ce0e2f4-0058-441c-b400-48fe489f0526,82,,,"[61.4, 70.5]",3857282,1,,,,True,-1.3860127,,,,,,"[63.4, 59.8]",,High Pass,,10.885311,,,,,Weston McKennie,8526.0,,,,,,Recovery,1,Regular Play,Tyler Adams,12751.0,Center Defensive Midfield,8,United States,1839,"['5833fc1f-ec06-4d5b-a944-916c1a3802b3', 'e4f3d645-8aa8-4d90-97d4-941dd222d1b8', 'f54f636a-5dee-48b6-984c-c3a8481a44f0']",29,,,,,,,,,,,,,,,,United States,1839,00:01:29.535,Pass,True
,,,,,,,,,,,,,,,,,1.691256,,,,,,,,,,,,,,1e16452a-48d1-44c9-b89e-7787b6c88bd1,84,,,"[63.4, 59.8]",3857282,1,,,,,0.9609313,,Right Foot,,,,"[74.3, 75.4]",,Low Pass,,19.030764,,,,,Timothy Weah,3377.0,,,,,,,1,Regular Play,Weston McKennie,8526.0,Right Center Midfield,8,United States,1839,['bf0a4fec-4b37-470d-893f-d808808a763f'],30,,,,,,,,,,,,,,,,United States,1839,00:01:30.848,Pass,
,,,,,,,,,,,,,,,,,1.758932,,,,,,,,,,,,,,f0c9ed05-807b-4d43-8a75-17d57ae2fc39,87,,,"[74.3, 77.2]",3857282,1,,,,,-1.6017941,,Right Foot,,,,"[73.9, 64.3]",,High Pass,,12.9062,,,,,Tyler Adams,12751.0,,,,,,,1,Regular Play,Timothy Weah,3377.0,Right Wing,8,United States,1839,['355ed3c9-31af-4e09-9db2-6a067b84f6bb'],33,,,,,,,,,,,,,,,,United States,1839,00:01:33.024,Pass,
,,,,,,,,,,,,,,,,,1.426927,,,,,,,,,,,,,,0480b27a-ff4b-4946-9bf5-9872c7280ec1,90,,,"[73.9, 64.3]",3857282,1,,,,True,-0.8544705,,,,,,"[81.3, 55.8]",,High Pass,,11.269872,,,,,Joshua Sargent,22168.0,,,,,,,1,Regular Play,Tyler Adams,12751.0,Center Defensive Midfield,8,United States,1839,"['6ca48e6e-7f4f-4ca6-8c74-6949f9c3f4e3', 'f54f2deb-9e79-4543-8a2f-e498deb25577']",34,,,,,,,,,,,,,,,,United States,1839,00:01:34.823,Pass,True
