50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.104682,,,,,,,,,,,,,5a61b75e-80a6-42ac-9ef7-b3ecf5812ca9,64,,,"[41.0, 17.6]",3857265,1,,,,,-0.8593372,,Right Foot,,"[53.5, 3.1]",Ground Pass,,19.14419,,,Héctor Alfredo Moreno Herrera,5573.0,,,,,,1,From Free Kick,Edson Omar Álvarez Velázquez,5567.0,Center Defensive Midfield,6,Mexico,794,['b1f78270-19b0-4b4b-9580-e06f250dbd3f'],45,,,,,,,,,,,,,,,,,Mexico,794,00:01:45.995,Pass,
,,,,,,,,,,,,,,,,,1.073915,,,,,,,,,,,,,ad26b16d-c78f-4663-93f3-3458cb3076d8,67,,,"[68.7, 1.9]",3857265,1,,,,,0.14767733,,Left Foot,,"[80.8, 3.7]",Ground Pass,,12.233151,,,Ernesto Alexis Vega Rojas,26301.0,,,,,,1,From Free Kick,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,6,Mexico,794,['f399fde3-053e-43fd-a8fb-5de4d0420807'],51,,,,,,,,,,,,,,,,,Mexico,794,00:01:51.657,Pass,
,,,,,,,,,,,,,,,,,0.83602,,,,,,,,,,,,,49896426-a94f-45c0-a007-73b3ff4aa533,70,,,"[76.2, 1.5]",3857265,1,,,,,-3.021484,,Right Foot,,"[64.6, 0.1]",Ground Pass,,11.684177,,,Héctor Alfredo Moreno Herrera,5573.0,,,,,,1,From Free Kick,Ernesto Alexis Vega Rojas,26301.0,Left Wing,6,Mexico,794,['57fbc934-3d04-4f2a-9ecb-ef38610bc5b0'],53,,,,,,,,,,,,,,,,,Mexico,794,00:01:53.632,Pass,
,,,,,,,,,,,,,,,,,1.720803,,,,,,,,,,,,,21944951-bb97-4f62-8137-fad9b25c60d3,73,,,"[63.0, 1.0]",3857265,1,,,,,2.8145652,,Left Foot,,"[40.3, 8.7]",Ground Pass,,23.970398,,,Edson Omar Álvarez Velázquez,5567.0,,,,,,1,From Free Kick,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,6,Mexico,794,['49984b4a-0538-4aad-a2f4-4b5a6e6bae71'],55,,,,,,,,,,,,,,,,,Mexico,794,00:01:55.612,Pass,
,,,,,,,,,,,,,,,,,1.935143,,,,,,,,,,,,,87c1f06c-6970-4350-8538-365b9fc632dd,76,,,"[37.3, 21.5]",3857265,1,,,,,1.2589464,,Right Foot,,"[47.1, 51.9]",Ground Pass,,31.940569,,,César Jasib Montes Castro,26368.0,,,,,,1,From Free Kick,Edson Omar Álvarez Velázquez,5567.0,Center Defensive Midfield,6,Mexico,794,['62d8aca9-0748-4a94-aa0f-660675787c83'],59,,,,,,,,,,,,,,,,,Mexico,794,00:01:59.916,Pass,
,,,,,,,,,,,,,,,,,3.455362,,,,,,,,,,,,,a6c48552-7cc2-4657-9913-e25a4bf707d1,79,,,"[58.0, 56.5]",3857265,2,,,,,-0.8176451,,Right Foot,,"[101.5, 10.1]",High Pass,,63.601967,,,Ernesto Alexis Vega Rojas,26301.0,,True,,,,1,From Free Kick,César Jasib Montes Castro,26368.0,Right Center Back,6,Mexico,794,['2a995b03-685e-4857-9810-2de8e6e492b4'],4,,,,,,,,,,,,,,,,,Mexico,794,00:02:04.315,Pass,
,,,,,,,,,,,,,,,,,1.765423,,,,,,,,,,,,,43eec93e-b8b2-48fe-aa84-b5aa48e87de8,84,,,"[91.9, 21.4]",3857265,2,,,,,2.1071208,,Right Foot,,"[81.2, 39.4]",Ground Pass,,20.940153,,,Héctor Miguel Herrera López,5575.0,,,,,,1,From Free Kick,Ernesto Alexis Vega Rojas,26301.0,Left Wing,6,Mexico,794,['fa941888-bc43-46f2-94d3-94e460ad4133'],13,,,,,,,,,,,,,,,,,Mexico,794,00:02:13.067,Pass,
,,,,,,,,,,,,,,,,,0.925458,,,,,,,,,,,,,1af9b0bd-a344-4c49-a6d7-31dc7cf9dba4,87,,,"[74.8, 48.7]",3857265,2,,,,,1.0212363,,Right Foot,,"[79.7, 56.7]",Ground Pass,,9.381365,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,1,From Free Kick,Héctor Miguel Herrera López,5575.0,Right Center Midfield,6,Mexico,794,['b024a8fe-b7cb-449f-a9c6-446c7fc5072e'],16,,,,,,,,,,,,,,,,,Mexico,794,00:02:16.468,Pass,
,,,,,,,,,,,,,,,,,0.973963,,,,,,,,,,,,,6cd7be65-bebd-4edf-bc6a-862da1fab65d,90,,,"[79.7, 56.7]",3857265,2,,,,,-2.925951,,Right Foot,,"[69.2, 54.4]",Ground Pass,,10.748954,,,Héctor Miguel Herrera López,5575.0,,,,,,1,From Free Kick,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,6,Mexico,794,['c2610246-e7d9-42c9-8362-5191bae915b6'],17,,,,,,,,,,,,,,,,,Mexico,794,00:02:17.473,Pass,
,,,,,,,,,,,,,,,,,2.317382,,,,,,,,,,,,,cb6e86fe-1b88-470f-851c-6c0e907bf67c,93,,,"[65.0, 58.1]",3857265,2,,,,,-1.7810422,,Right Foot,,"[56.4, 17.8]",High Pass,,41.2074,,,Héctor Alfredo Moreno Herrera,5573.0,,True,,,,1,From Free Kick,Héctor Miguel Herrera López,5575.0,Right Center Midfield,6,Mexico,794,['0d3f0d2e-5c3f-4ab7-b8ff-b94626f75dfb'],23,,,,,,,,,,,,,,,,,Mexico,794,00:02:23.074,Pass,
