50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.140992,,,,,,,,,,,141d9ea2-b211-4825-b440-12f222119837,70,,"[37.6, 0.1]",3857269,1,,,,0.7684506,,,,,"[52.6, 14.6]",,High Pass,,20.862646,,,Breel-Donald Embolo,5545.0,,,,Throw-in,1,From Throw In,Ricardo Iván Rodríguez Araya,5544.0,Left Back,6,Switzerland,773,['f004e25a-8ae0-4f5f-ae81-c3b4a34d70b1'],54,,,,,,,,,,,,,,,,,Switzerland,773,00:01:54.513,Pass,
,,,,,,,,,,,,,,,,,1.722493,,,,,,,,,,,f2830dd3-dee0-4def-85a3-0dbc8167475f,72,,"[52.6, 14.6]",3857269,1,,,,2.4249563,,Head,,,"[33.2, 31.5]",,Low Pass,,25.728777,Incomplete,,,,,,,,1,From Throw In,Breel-Donald Embolo,5545.0,Center Forward,6,Switzerland,773,['d4993f53-283d-4f4b-b95f-509405c1bfb6'],55,,,,,,,,,,,,,,,,,Switzerland,773,00:01:55.734,Pass,
,,,,,,,,,,,,,,,,,1.482341,,,,,,,,,,,469437ef-0649-4321-a7fd-ea267bc56e88,76,,"[62.6, 27.0]",3857269,2,,,True,-0.9530406,,,,,"[76.1, 8.0]",,Low Pass,,23.307724,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,Recovery,1,Regular Play,Alex Sandro Lobo Silva,6945.0,Left Back,7,Brazil,781,"['c1f6b458-4288-42ec-ad21-c79446579337', 'd00f3afd-1102-4388-ac64-3cf160763f20']",2,,,,,,,,,,,,,,,,,Brazil,781,00:02:02.434,Pass,True
,,,,,,,,,,,,,,,,,0.851359,,,,,,,,,,,40f13e75-e9fb-4113-85d6-59cfbe389b5f,83,,"[109.9, 7.3]",3857269,2,,,,1.6014885,,Left Foot,True,,"[109.2, 30.1]",,High Pass,,22.810743,,,Richarlison de Andrade,3280.0,,,,Free Kick,1,From Free Kick,Raphael Dias Belloli,10595.0,Right Wing,8,Brazil,781,['efdbc2a7-8ab9-4fd3-9b1e-a53bb39341d9'],55,,,,,,,,,,,,,,,,,Brazil,781,00:02:55.393,Pass,
,,,,,,,,,,,,,,,,,4.714718,,,,,,,,,,,4e623c59-b6bf-4fc7-8825-d04a4c94508a,85,,"[108.5, 30.8]",3857269,2,,,,1.4735432,,Head,,,"[113.3, 80.0]",,Low Pass,,49.43359,Out,,,,,True,,,1,From Free Kick,Richarlison de Andrade,3280.0,Center Forward,8,Brazil,781,,56,,,,,,,,,,,,,,,,,Brazil,781,00:02:56.284,Pass,
,,,,,,,,,,,,,,,,,1.864629,,,,,,,,,,,a7d0469c-da40-47ef-ae2a-2a0a73def308,86,,"[6.5, 0.1]",3857269,3,,,,0.4585391,,,,,"[37.9, 15.6]",,High Pass,,35.01728,Incomplete,,Nico Elvedi,8814.0,,,,Throw-in,1,From Throw In,Ricardo Iván Rodríguez Araya,5544.0,Left Back,9,Switzerland,773,"['00eef90b-dd76-46cc-85bf-20a5ad18fe40', '704de38c-5a42-49c6-821c-f837d8bcb41d']",21,,,,,,,,,,,,,,,,,Switzerland,773,00:03:21.609,Pass,
,,,,,,,,,,,,,,,,,2.817615,,,,,,,,,,,00eef90b-dd76-46cc-85bf-20a5ad18fe40,88,,"[82.2, 64.5]",3857269,3,,,,0.17799044,,Head,,,"[120.0, 71.3]",,High Pass,,38.40677,Out,,,,,,,Recovery,1,From Throw In,Éder Gabriel Militão,13620.0,Right Back,9,Switzerland,773,['a7d0469c-da40-47ef-ae2a-2a0a73def308'],23,,,,,,,,,,,,,,,,,Brazil,781,00:03:23.474,Pass,
,,,,,,,,,,,,,,,,,1.168664,,,,,,,,,,,8043690e-885e-4e3d-bcfa-ef7e303b2870,89,,"[7.0, 36.1]",3857269,3,True,,,-1.3382394,,Right Foot,,,"[8.8, 28.5]",,Ground Pass,,7.81025,,,Nico Elvedi,8814.0,,,,Goal Kick,1,From Goal Kick,Yann Sommer,5550.0,Goalkeeper,10,Switzerland,773,['50c562f0-f8ea-43a8-98c9-9ea19f4ef26b'],36,,,,,,,,,,,,,,,,,Switzerland,773,00:03:36.713,Pass,
,,,,,,,,,,,,,,,,,2.100419,,,,,,,,,,,f383cd8a-55c1-4070-82b2-515056ebb2e6,91,,"[15.6, 10.7]",3857269,3,,,,0.12153545,,Left Foot,,,"[54.9, 15.5]",,High Pass,,39.592045,Incomplete,,Breel-Donald Embolo,5545.0,,,,,1,From Goal Kick,Nico Elvedi,8814.0,Left Center Back,10,Switzerland,773,"['0401f194-7de6-437f-abcb-90f3f9298c85', 'a845197c-867f-41ea-9417-f18beac20712']",43,,,,,,,,,,,,,,,,,Switzerland,773,00:03:43.099,Pass,
,,,,,,,,,,,,,,,,,1.602469,,,,,,,,,,,a845197c-867f-41ea-9417-f18beac20712,93,,"[65.2, 64.6]",3857269,3,,,,-0.56994003,,Head,,,"[83.3, 53.0]",,High Pass,,21.49814,Incomplete,,,,,,,Recovery,1,From Goal Kick,Éder Gabriel Militão,13620.0,Right Back,10,Switzerland,773,"['71bbceb2-a057-488f-ae6d-6eca6fa94e41', 'f383cd8a-55c1-4070-82b2-515056ebb2e6']",45,,,,,,,,,,,,,,,,,Brazil,781,00:03:45.199,Pass,
,,,,,,,,,,,,,,,,,2.941454,,,,,,,,,,,71bbceb2-a057-488f-ae6d-6eca6fa94e41,94,,"[36.8, 27.1]",3857269,3,,,,1.7165445,,Left Foot,,,"[35.2, 38.0]",,High Pass,,11.016806,Incomplete,,,,,,,Recovery,1,From Goal Kick,Remo Freuler,6983.0,Right Defensive Midfield,10,Switzerland,773,"['a845197c-867f-41ea-9417-f18beac20712', 'd95bd311-21c4-452c-a61f-c412bffce138']",46,,,,,,,,,,,,,,,,,Switzerland,773,00:03:46.802,Pass,
,,,,,,,,,,,,,,,,,1.268,,,,,,,,,,,d95bd311-21c4-452c-a61f-c412bffce138,96,,"[84.9, 42.1]",3857269,3,,,True,0.80843556,,,,,"[95.5, 53.2]",,Low Pass,,15.3482895,Incomplete,,Raphael Dias Belloli,10595.0,,,,Recovery,1,From Goal Kick,Lucas Tolentino Coelho de Lima,22600.0,Left Center Midfield,10,Switzerland,773,"['6746edd7-eb93-4505-8610-46c78ca4439f', '71bbceb2-a057-488f-ae6d-6eca6fa94e41', '991de8cb-a197-4e1e-9747-f6a851afe05a', 'fd6efc18-acfa-4413-8aca-398ba5b1587d']",49,,,,,,,,,,,,,,,,,Brazil,781,00:03:49.743,Pass,True
,,,,,,,,,,,,,,,,,2.178503,,,,,,,,,,,6746edd7-eb93-4505-8610-46c78ca4439f,98,,"[24.6, 26.9]",3857269,3,,,,0.0060974853,,Right Foot,,,"[57.4, 27.1]",,High Pass,,32.80061,Incomplete,,,,,,,Recovery,1,From Goal Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Back,10,Switzerland,773,"['1e5cd3a9-7451-48a0-98ad-04c55abfde40', 'd95bd311-21c4-452c-a61f-c412bffce138']",51,,,,,,,,,,,,,,,,,Switzerland,773,00:03:51.011,Pass,
,,,,,,,,,,,,,,,,,0.667451,,,,,,,,,,,1e5cd3a9-7451-48a0-98ad-04c55abfde40,99,,"[62.7, 53.0]",3857269,3,,,,-0.6991926,,Other,,,"[67.1, 49.3]",,Low Pass,,5.748913,Unknown,,Carlos Henrique Casimiro,5539.0,,,,Recovery,1,From Goal Kick,Marcos Aoás Corrêa,4372.0,Right Center Back,10,Switzerland,773,"['6746edd7-eb93-4505-8610-46c78ca4439f', 'd76702a8-c21b-41d8-bcdc-04869bafd680']",53,,,,,,,,,,,,,,,,,Brazil,781,00:03:53.190,Pass,
,,,,,,,,,,,,,,,,,1.557073,,,,,,,,,,,c7649eea-c261-42dc-aa7e-d10eeb57b2be,103,,"[56.5, 29.5]",3857269,4,,,,1.7506498,,Left Foot,,,"[52.3, 52.6]",,Ground Pass,,23.478714,,,Manuel Obafemi Akanji,5549.0,,,,Free Kick,1,From Free Kick,Nico Elvedi,8814.0,Left Center Back,11,Switzerland,773,['e293fcae-eaef-498d-85a0-f88bc14cbf71'],9,,,,,,,,,,,,,,,,,Switzerland,773,00:04:09.854,Pass,
