50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.376551,,,,,,,,,,,,,,b5fc8424-fbc3-4e97-bd32-0befc124db2d,53,,"[12.0, 39.6]",3857268,1,,,,,-1.0235119,,Keeper Arm,,,"[23.7, 20.4]",,Ground Pass,,22.483994,,,,,Kamal Miller,23828.0,,,,,,1,From Keeper,Milan Borjan,15958.0,Goalkeeper,3,Canada,1833,['b1d5828c-5c56-4c9a-8e27-76db64855290'],1,,,,,,,,,,,,,,,,,Canada,1833,00:01:01.681,Pass,
,,,,,,,,,,,,,,,,,,1.296823,,,,,,,,,,,,,,5cd428fe-e6d3-49b7-b5a5-43b166ef5ab0,56,,"[31.1, 17.7]",3857268,1,,,,,-0.029991005,,Left Foot,,,"[71.1, 16.5]",,Low Pass,,40.017998,,,Incomplete,,David Junior Hoilett,9922.0,,,,,,1,From Keeper,Kamal Miller,23828.0,Left Center Back,3,Canada,1833,"['0104a089-ca26-443a-8a0e-e8d35e7fa2b9', '9c81dbb5-e086-4c56-8d7b-81a39478b711']",3,,,,,,,,,,,,,,,,,Canada,1833,00:01:03.778,Pass,
,,,,,,,,,,,,,,,,,,1.517681,,,,,,,,,,,,,,19c2cdcf-e90c-445d-a6d4-7c97c1f8fd0b,59,,"[63.7, 20.2]",3857268,1,,,,,-0.5725896,,Left Foot,,,"[75.8, 12.4]",,Low Pass,,14.39618,,,,,David Junior Hoilett,9922.0,,,,,Recovery,1,From Keeper,Jonathan David,23640.0,Center Forward,3,Canada,1833,['f2184552-52cc-4e0a-80ee-751115c27d05'],6,,,,,,,,,,,,,,,,,Canada,1833,00:01:06.602,Pass,
,,,,,,,,,,,,,,,,,,0.622793,,,,,,,,,,,,,,7a59d2da-4a0e-43b9-a4bf-6410c1ddfb30,62,,"[117.8, 19.0]",3857268,1,,,,,1.8221241,,Left Foot,True,,"[114.0, 33.8]",,Ground Pass,,15.280052,,,Incomplete,,Tajon Buchanan,24024.0,,,,,,1,From Keeper,David Junior Hoilett,9922.0,Left Attacking Midfield,3,Canada,1833,"['682109df-ccde-461f-89a0-9785f7bf6bbb', 'ea9919de-3d45-46f9-b863-c5cf498349b0']",13,,,,,,,,,,,,,,,,,Canada,1833,00:01:13.307,Pass,
,,,,,,,,,,,,,,,,,,0.584643,,,,,,,,,,,,,,578271ca-f1b9-440b-b543-c190e2824087,68,,"[95.8, 29.3]",3857268,1,,,,,1.2577035,,Right Foot,,,"[100.3, 43.2]",,Ground Pass,,14.6102705,,,,,Jonathan David,23640.0,,,,,,1,From Keeper,Alphonso Davies,12365.0,Left Wing Back,3,Canada,1833,['5c53e54f-5860-4115-b930-b54725bbae96'],25,,,,,,,,,,,,,,,,,Canada,1833,00:01:25.397,Pass,
,,,,,,,,,,,,,,,,,,2.02381,,,,,,,,,,,,,,18c32e98-7ee0-4b25-a7a5-857b67f75526,70,,"[99.8, 40.9]",3857268,1,,,,,1.6975639,,Right Foot,,,"[97.2, 61.3]",,Ground Pass,,20.56502,,,,,Richie Laryea,16120.0,,,,,,1,From Keeper,Jonathan David,23640.0,Center Forward,3,Canada,1833,['783d032c-5ba4-48ee-b58c-e21fde1c7808'],25,,,,,,,,,,,,,,,,,Canada,1833,00:01:25.982,Pass,
,,,,,,,,,,,,,,,,,,1.268994,,,,,,,,,,,,,,72316197-e977-4d84-9cc6-aed75f536f15,73,,"[99.2, 59.5]",3857268,1,,,,,0.4752301,,Right Foot,,,"[109.5, 64.8]",,Ground Pass,,11.58361,,,,,Alistair Johnston,44703.0,,,,,,1,From Keeper,Richie Laryea,16120.0,Right Wing Back,3,Canada,1833,['424bed0f-8584-4851-baf9-df14a8c1b8bc'],29,,,,,,,,,,,,,,,,,Canada,1833,00:01:29.615,Pass,
,,,,,,,,,,,,,,,,,,0.255049,,,,,,,,,,,,,,9a4a8563-fcfe-4315-9627-57dc59e9f426,75,,"[109.5, 63.4]",3857268,1,,,,,-1.4758446,,Right Foot,,,"[109.7, 61.3]",,Low Pass,,2.1095023,,,Incomplete,,,,,,,,,1,From Keeper,Alistair Johnston,44703.0,Right Center Back,3,Canada,1833,['ad7d90c2-028a-4188-9e82-894a224d64e8'],30,,,,,,,,,,,,,,,,,Canada,1833,00:01:30.884,Pass,
,,,,,,,,,,,,,,,,,,0.952803,,,,,,,,,,,,,,6166f71f-1835-4ed0-b5ae-274b5ab7ea2e,80,,"[108.1, 74.0]",3857268,1,,,,,3.1415927,,Right Foot,,,"[99.8, 74.0]",,Ground Pass,,8.3,,,,,Richie Laryea,16120.0,,,,,,1,From Keeper,Alistair Johnston,44703.0,Right Center Back,3,Canada,1833,"['3ac8e95c-d926-46bc-968b-8da3a551d412', 'bf19ae6b-af98-4b5e-bc58-ddf70ffeb031']",36,,,,,,,,,,,,,,,,,Canada,1833,00:01:36.329,Pass,True
,,,,,,,,,,,,,,,,,,0.506858,,,,,,,,,,,,,,604298e9-3acd-4260-813e-138f4f4b7654,83,,"[111.2, 58.2]",3857268,1,,,,,-2.011547,354f4383-0264-4670-8cdd-e3151330a7ea,Left Foot,,,"[108.7, 52.9]",,Ground Pass,,5.860034,,,,,Stephen Antunes Eustáquio,11187.0,True,,,,,1,From Keeper,Richie Laryea,16120.0,Right Wing Back,3,Canada,1833,['9564f27b-4d65-45aa-9188-19c513adeaf9'],40,,,,,,,,,,,,,,,,,Canada,1833,00:01:40.428,Pass,
