50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[1.8, 41.1]",,Set,,Shot Faced,063088ae-22bb-4d80-98ad-b4868925307a,3251,,,"[1.8, 41.1]",3857258,86,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,151,Brazil,781,['f7e2a886-69ec-4b60-945d-60e5dbbce87b'],8,,,,,,,,,,,,,,,,,Serbia,786,00:41:08.370,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[1.2, 39.9]",,Set,,Shot Faced,d6bbdf9c-dac9-411e-a28d-1fa814e4d777,3293,,,"[1.2, 39.9]",3857258,87,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,153,Brazil,781,['4a942d21-e479-4f22-82ea-223a4e344406'],50,,,,,,,,,,,,,,,,,Serbia,786,00:42:50.859,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,In Play Danger,,,Punch,15b5a437-d4dc-4976-9370-59c69ad6536d,3461,,,"[3.7, 39.5]",3857258,91,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alisson Ramsés Becker,5547.0,Goalkeeper,159,Serbia,786,['c9a0bd73-5170-4a43-bf98-951b009fb508'],5,,,,,,,,,,,,,,,,,Brazil,781,00:46:05.140,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,"[3.6, 40.2]",,Set,,Shot Faced,18d677b2-ed36-49ac-988b-e77b58323834,3654,,,"[3.6, 40.2]",3857258,97,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Alisson Ramsés Becker,5547.0,Goalkeeper,171,Serbia,786,['6cb9394a-d7a8-46a4-b6c6-2dbd7dd77409'],4,,,,,,,,,,,,,,,,,Brazil,781,00:52:04.255,Goal Keeper,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0b2cd608-ede3-436c-9c9d-fe0c678fe8d7,539,True,,,3857258,13,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Strahinja Pavlović,27719.0,Left Center Back,32,Serbia,786,,38,,,,,,,,,,,,,,,,,Serbia,786,00:13:38.187,Injury Stoppage,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,18e84d16-a4d7-427b-aad4-9a3658fefb2c,2110,,,,3857258,50,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Sergej Milinković-Savić,5589.0,Left Attacking Midfield,99,Brazil,781,,44,,,,,,,,,,,,,,,,,Serbia,786,00:05:44.291,Injury Stoppage,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,26a92d76-0165-4d8e-861d-3fa730c7a0f0,2549,,,,3857258,63,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Dušan Tadić,3831.0,Right Attacking Midfield,118,Brazil,781,,53,,,,,,,,,,,,,,,,,Serbia,786,00:18:53.048,Injury Stoppage,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0a2b6b57-14ac-417d-8af8-a2796b2b8a85,2912,,,,3857258,77,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ivan Ilić,30179.0,Right Defensive Midfield,141,Serbia,786,,48,,,,,,,,,,,,,,,,,Serbia,786,00:32:48.229,Injury Stoppage,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ee929e94-ce9d-491a-ad70-dc7c58d459b0,3614,,,,3857258,95,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dušan Vlahović,18015.0,Left Center Forward,167,Serbia,786,,33,,,,,,,,,,,,,,,,,Serbia,786,00:50:33.163,Injury Stoppage,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,04895b3c-5547-4a41-afff-08723c022dcb,3615,True,,,3857258,95,True,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alisson Ramsés Becker,5547.0,Goalkeeper,167,Serbia,786,,39,,,,,,,,,,,,,,,,,Brazil,781,00:50:39.292,Injury Stoppage,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8898e7ac-1638-4907-83fb-0f7f83e8a817,540,,,"[14.8, 33.5]",3857258,13,True,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,33,Serbia,786,,54,,,,,,,,,,,,,,,,,Serbia,786,00:13:54.747,Referee Ball-Drop,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9f909c72-2dc4-4b0d-9e57-6cba3a07b5dc,3616,,,"[112.5, 21.4]",3857258,95,True,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,168,Serbia,786,,49,,,,,,,,,,,,,,,,,Serbia,786,00:50:49.784,Referee Ball-Drop,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d4c7b182-df20-4bcd-bfc0-8385aa59dcac,3617,,,"[8.4, 58.7]",3857258,95,True,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,169,Brazil,781,,57,,,,,,,,,,,,,,,,,Brazil,781,00:50:57.214,Referee Ball-Drop,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,368a2906-5780-46d3-bdc7-3113a679486b,1896,,,,3857258,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,90,Brazil,781,['205ea7a1-2741-4552-a9fc-d0099384cebb'],3,,,,,,,,,,,,,,,,,Serbia,786,00:46:03.947,Half End,
