ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.612387,,,,,,,,,,,,,,a5f2b42f-513b-4728-ad64-20a53d75b708,46,,,"[4.3, 45.5]",3869486,1,,,,,1.4169822,,Left Foot,,,,"[8.3, 71.3]",,High Pass,,26.108236,,,Jawad El Yamiq,7459.0,,,,,,1,From Goal Kick,Yassine Bounou,6785.0,Goalkeeper,4,Morocco,788,"['34e8c371-288b-46d7-baf0-193f889e4136', 'a59e1538-7843-432d-9c32-1d24327c3e78']",23,,,,,,,,,,,,,,,,,Morocco,788,00:01:23.929,Pass,True
,,,,,,,,,,,,,,,,2.368695,,,,,,,,,,,,,,f2bc97df-00a6-446c-ae9f-a128ee050985,49,,,"[10.7, 72.4]",3869486,1,,,,,-0.3637882,,Right Foot,,,,"[54.3, 55.8]",,High Pass,,46.653187,Incomplete,,Youssef En-Nesyri,6301.0,,,,,,1,From Goal Kick,Jawad El Yamiq,7459.0,Right Center Back,4,Morocco,788,"['3dcff0d8-effc-4340-b9a0-b48359b655ff', 'd07d632a-8fd0-4b03-8c33-6411e9dffdc7']",27,,,,,,,,,,,,,,,,,Morocco,788,00:01:27.620,Pass,
,,,,,,,,,,,,,,,,2.35774,,,,,,,,,,,,,,3dcff0d8-effc-4340-b9a0-b48359b655ff,51,,,"[65.8, 24.3]",3869486,1,,,,,-0.18164884,,Head,,,,"[75.6, 22.5]",,High Pass,,9.963935,,,Otávio Edmilson da Silva Monteiro,11184.0,,,,,Interception,1,From Goal Kick,Rúben Diogo Da Silva Neves,9927.0,Center Defensive Midfield,4,Morocco,788,"['748f4035-00f6-41b6-b56c-d446bdd74f3f', 'f2bc97df-00a6-446c-ae9f-a128ee050985']",29,,,,,,,,,,,,,,,,,Portugal,780,00:01:29.989,Pass,
,,,,,,,,,,,,,,,,0.051007,,,,,,,,,,,,,,e857db7f-85ae-45e4-9539-23963b8c8ed2,53,,,"[75.6, 22.5]",3869486,1,,,,True,-0.26625204,,,,,,"[77.8, 21.9]",,Low Pass,,2.280351,Incomplete,,,,,,,,,1,From Goal Kick,Otávio Edmilson da Silva Monteiro,11184.0,Left Center Midfield,4,Morocco,788,"['059f7857-6751-4f6a-af6a-e0a884420816', '4703d787-1cae-4907-ba5d-efec5ef2f04a']",32,,,,,,,,,,,,,,,,,Portugal,780,00:01:32.387,Pass,True
,,,,,,,,,,,,,,,,0.670915,,,,,,,,,,,,,,ba25d74a-ab71-41f1-bb04-bcb65e4a4cf6,56,,,"[44.7, 60.2]",3869486,1,,,,,0.14648418,,Head,,,,"[50.8, 61.1]",,Low Pass,,6.166036,,,Hakim Ziyech,5237.0,,,,,Recovery,1,From Goal Kick,Sofyan Amrabat,5234.0,Center Defensive Midfield,4,Morocco,788,['21588138-d39a-4f19-b484-72ce761f1146'],34,,,,,,,,,,,,,,,,,Morocco,788,00:01:34.452,Pass,
,,,,,,,,,,,,,,,,2.194466,,,,,,,,,,,,,,e477277b-22a2-4d33-8489-8d96c73f9926,63,,,"[48.3, 58.2]",3869486,1,,,,,2.1156602,,Right Foot,,,,"[40.3, 71.4]",,Ground Pass,,15.435025,Incomplete,,Azzedine Ounahi,46258.0,,,,,,1,From Goal Kick,Sofyan Amrabat,5234.0,Center Defensive Midfield,4,Morocco,788,"['087f3b72-bd00-49e9-b4d1-d2b0fb6a2898', '2dd30b89-4bde-46bd-8322-fb75390c7077', '6057ccb3-e72f-4fe2-8909-75fd2f161a63']",37,,,,,,,,,,,,,,,,,Morocco,788,00:01:37.476,Pass,True
,,,,,,,,,,,,,,,,1.150628,,,,,,,,,,,,,,b287d0a8-5e61-460a-bf37-8a527c9db55f,74,,,"[85.1, 9.5]",3869486,1,,,,,0.6040784,,Right Foot,,,,"[92.2, 14.4]",,Ground Pass,,8.626702,,,Gonçalo Matias Ramos,38803.0,,,,,,1,From Goal Kick,João Félix Sequeira,12041.0,Left Wing,4,Morocco,788,"['09732f26-f6fa-4bfc-8a01-0a8513b9916d', '4b9fd994-379d-44ca-8817-6061129c0c89', 'a0baff59-4057-4853-af62-09859b5101b0']",41,,,,,,,,,,,,,,,,,Portugal,780,00:01:41.396,Pass,True
,,,,,,,,,,,,,,,,0.770714,,,,,,,,,,,,,,0d129f2f-e439-44c6-8d1f-02c2bce5f341,81,,,"[25.9, 66.5]",3869486,1,,,,,0.851093,,Right Foot,,,,"[33.0, 74.6]",,Ground Pass,,10.771258,,,Hakim Ziyech,5237.0,,,,,,1,From Goal Kick,Sofyan Amrabat,5234.0,Center Defensive Midfield,4,Morocco,788,['2afba922-232d-4d07-ad9a-686544327ffb'],44,,,,,,,,,,,,,,,,,Morocco,788,00:01:44.330,Pass,
,,,,,,,,,,,,,,,,2.544194,,,,,,,,,,,,,,b755cae6-b025-401c-92ce-0c3a62d5060e,84,,,"[33.0, 74.6]",3869486,1,,,,,-0.7213832,,Left Foot,,,,"[57.9, 52.7]",,Ground Pass,,33.16052,Incomplete,,Youssef En-Nesyri,6301.0,,,,,,1,From Goal Kick,Hakim Ziyech,5237.0,Right Midfield,4,Morocco,788,"['3703c062-713f-41f2-8d3c-fd525769830f', '6085383c-6f26-49d3-b2dd-cc937ae6fbdd']",45,,,,,,,,,,,,,,,,,Morocco,788,00:01:45.717,Pass,
,,,,,,,,,,,,,,,,1.229492,,,,,,,,,,,,,,3703c062-713f-41f2-8d3c-fd525769830f,86,,,"[62.2, 27.4]",3869486,1,,,,,0.080042526,,Right Foot,,,True,"[80.9, 28.9]",,Ground Pass,,18.760063,,,Bruno Miguel Borges Fernandes,5204.0,,,,,Recovery,1,Regular Play,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,5,Portugal,780,"['7089279b-676c-4414-a1df-c9454b03f5fd', 'b755cae6-b025-401c-92ce-0c3a62d5060e']",48,,,,,,,,,,,,,,,,,Portugal,780,00:01:48.261,Pass,
