50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,3.374268,,,,,,,,,,,,fa089d51-9906-4e90-9ed6-4a7758423659,55,,,"[11.8, 53.9]",3857259,1,,,,,-0.10398495,,Right Foot,,,,"[76.0, 47.2]",,High Pass,,64.54866,,,Jean-Eric Maxim Choupo-Moting,3499.0,,,,,,1,Regular Play,Devis Rogers Epassy Mboka,15326.0,Goalkeeper,6,Cameroon,2722,"['09b4a096-b636-4b4a-9d81-d0614ab89a55', '4eb93f8e-b5b7-4d2f-b1aa-e415fefb27ff']",55,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:55.562,Pass,True
,,,,,,,,,,,,,,,,,,,0.800322,,,,,,,,,,,,2fd7fd5d-cc74-4012-9889-0c9698e15b75,60,,,"[64.9, 42.5]",3857259,2,,,,,-1.823872,,Left Foot,,,,"[63.4, 36.7]",,Ground Pass,,5.990826,,,Pierre Kunde Malong,12623.0,,,,,,1,Regular Play,Jean-Eric Maxim Choupo-Moting,3499.0,Center Forward,6,Cameroon,2722,"['2037d636-40df-4f7a-8bfe-549fe30f5272', '6e3b3a12-b32e-4e84-b1e1-86ded81aaf3b']",1,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:01.818,Pass,True
,,,,,,,,,,,,,,,,,,,0.767417,,,,,,,,,,,,8e56eca3-70d9-43ec-88a2-3a7f5b003841,63,,,"[63.4, 36.7]",3857259,2,,,,,1.4994888,,Right Foot,,,,"[63.8, 42.3]",,Ground Pass,,5.6142673,,,André-Frank Zambo Anguissa,3141.0,,,,,,1,Regular Play,Pierre Kunde Malong,12623.0,Left Center Midfield,6,Cameroon,2722,['18521b63-add2-4687-b29e-9728a5857198'],3,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:03.125,Pass,
,,,,,,,,,,,,,,,,,,,1.131641,,,,,,,,,,,,5660c624-16c0-44de-8377-e73804b16307,72,,,"[50.1, 25.2]",3857259,2,,,,,-1.867217,,Right Foot,,,,"[43.9, 4.9]",,Ground Pass,,21.225693,,,Filip Kostić,5591.0,,,,,,1,Regular Play,Saša Lukić,6687.0,Left Defensive Midfield,6,Cameroon,2722,"['021d1283-dfb2-4c9a-907e-8a3530c44844', 'c4246a4d-302a-4c6f-a201-b69dbfc8bd02']",7,,,,,,,,,,,,,,,,,,Serbia,786,00:02:07.497,Pass,True
,,,,,,,,,,,,,,,,,,,1.976403,,,,,,,,,,,,c5a1ad12-2cc6-47bb-bdf0-78ffaad769e5,76,,,"[79.2, 80.0]",3857259,2,,,,,-2.928224,,,,,,"[55.2, 74.8]",,Low Pass,,24.556873,,,Martin Hongla Yma II,30016.0,,,,,Throw-in,1,From Throw In,André-Frank Zambo Anguissa,3141.0,Right Center Midfield,7,Cameroon,2722,['1bad2538-36ab-4f38-9ee0-fdcaf0f1211e'],15,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:15.754,Pass,
,,,,,,,,,,,,,,,,,,,1.980813,,,,,,,,,,,,89864ee2-db90-4c63-b31f-d0bbb78f1691,79,,,"[53.5, 68.2]",3857259,2,,,,,-2.026412,,Right Foot,,,,"[38.8, 38.2]",,Ground Pass,,33.407932,,,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,,,,,,1,From Throw In,Martin Hongla Yma II,30016.0,Center Defensive Midfield,7,Cameroon,2722,['924b69ac-32d7-492b-9490-00eaff9f769e'],20,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:20.134,Pass,
,,,,,,,,,,,,,,,,,,,1.098938,,,,,,,,,,,,e65e3712-f7b5-4593-817d-e57279f9c34b,82,,,"[42.0, 32.3]",3857259,2,,,,,-1.2853934,,Right Foot,,,,"[46.9, 15.6]",,Ground Pass,,17.404022,,,Nouhou Tolo,13454.0,,,,,,1,From Throw In,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,Left Center Back,7,Cameroon,2722,['9639b277-0e63-436f-a29a-77e54dae34e1'],23,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:23.449,Pass,
,,,,,,,,,,,,,,,,,,,5.63322,,,,,,,,,,,,f7a2f7cf-8c4b-4d0e-abfd-dc38e7b558d7,85,,,"[47.5, 11.9]",3857259,2,,,,,-0.13863973,,Left Foot,,,,"[99.1, 4.7]",,Ground Pass,,52.099903,Incomplete,,Karl Brillant Toko Ekambi,3551.0,,,,,,1,From Throw In,Nouhou Tolo,13454.0,Left Back,7,Cameroon,2722,"['60fe99ae-dc98-437c-8968-e7b8d7060a97', '8ec3e310-9590-4124-8fd7-1513626221f2']",25,,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:25.447,Pass,
,,,,,,,,,,,,,,,,,,,1.528325,,,,,,,,,,,,8ec3e310-9590-4124-8fd7-1513626221f2,87,,,"[21.0, 75.4]",3857259,2,,,,,-2.1073368,,Left Foot,,,,"[9.7, 56.4]",,Ground Pass,,22.106335,,,Vanja Milinković Savić,20600.0,,,,,Recovery,1,From Throw In,Nikola Milenković,5603.0,Right Center Back,7,Cameroon,2722,"['a2717742-f203-4880-b35f-b37dfd8fa1ad', 'f7a2f7cf-8c4b-4d0e-abfd-dc38e7b558d7']",31,,,,,,,,,,,,,,,,,,Serbia,786,00:02:31.080,Pass,
,,,,,,,,,,,,,,,,,,,6.072189,,,,,,,,,,,,7486b745-eb59-4dc2-9f03-d41bb740396c,90,,,"[9.5, 55.8]",3857259,2,,,,,-0.066745624,,Right Foot,,,,"[84.3, 50.8]",,High Pass,,74.96693,Incomplete,,Aleksandar Mitrović,4269.0,,,,,,1,From Throw In,Vanja Milinković Savić,20600.0,Goalkeeper,7,Cameroon,2722,"['5558f8d0-8759-4403-8542-d12124cbb846', 'ac955e65-1ed4-45b2-9c2a-2df0111f2351']",32,,,,,,,,,,,,,,,,,,Serbia,786,00:02:32.648,Pass,
