50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.28168,,,,,,,,,,,,,35a510d7-3d71-469f-9312-1943a2bea670,68,,,"[56.5, 2.9]",3857301,1,,,,2.7744188,,Left Foot,,"[40.9, 8.9]",,Ground Pass,,16.714066,,,,Abdou Diallo,8553.0,,,,,,,1,Regular Play,Ismail Jakobs,32915.0,Left Back,4,Senegal,787,"['5228cacb-46fb-4e66-b68d-b2defb9c24f6', 'c320a605-d620-4979-9aae-af1603074238']",11,,,,,,,,,,,,,,,,,,Senegal,787,00:01:11.004,Pass,True
,,,,,,,,,,,,,,,,,,2.189072,,,,,,,,,,,,,bee9d46c-8b23-4846-a18b-4d070518c4a2,71,,,"[39.2, 10.4]",3857301,1,,,,1.5603255,,Left Foot,,"[39.4, 29.5]",,Ground Pass,,19.101048,,,,Kalidou Koulibaly,5675.0,,,,,,,1,Regular Play,Abdou Diallo,8553.0,Left Center Back,4,Senegal,787,['a703d01e-b92c-4ae6-af67-61e7f71bcba7'],13,,,,,,,,,,,,,,,,,,Senegal,787,00:01:13.427,Pass,
,,,,,,,,,,,,,,,,,,1.663904,,,,,,,,,,,,,01e2c8e4-a77f-4e0f-8aa2-353b5413ab28,74,,,"[38.6, 43.1]",3857301,1,,,,1.1858929,,Right Foot,,"[49.7, 70.5]",,Ground Pass,,29.562984,,,,Youssouf Sabaly,3404.0,,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Right Center Back,4,Senegal,787,['cb84bd04-b45f-4dba-a121-68ad7a7455bc'],16,,,,,,,,,,,,,,,,,,Senegal,787,00:01:16.458,Pass,
,,,,,,,,,,,,,,,,,,1.218704,,,,,,,,,,,,,06974126-91d7-4dc5-a07d-3cbf1790ec33,77,,,"[56.5, 71.6]",3857301,1,,,,0.112851806,,Right Foot,,"[86.5, 75.0]",,Ground Pass,,30.192053,,,Incomplete,Ismaïla Sarr,2941.0,,,,,,,1,Regular Play,Youssouf Sabaly,3404.0,Right Back,4,Senegal,787,"['cccdf7d9-a8fc-4cbf-a5bd-0ab468d590ac', 'de6aa706-1af9-42ca-9d09-4662ae319a09']",19,,,,,,,,,,,,,,,,,,Senegal,787,00:01:19.449,Pass,
,,,,,,,,,,,,,,,,,,2.449131,,,,,,,,,,,,,7e12f5e8-d6a9-432c-9395-0a89af1f345e,80,,,"[82.2, 80.0]",3857301,1,,,,-2.8627605,,,,"[57.4, 72.9]",,Low Pass,,25.796318,,,,Kalidou Koulibaly,5675.0,,,,,,Throw-in,1,From Throw In,Youssouf Sabaly,3404.0,Right Back,5,Senegal,787,['19681639-dcd3-4bba-84d0-8cec8f308049'],27,,,,,,,,,,,,,,,,,,Senegal,787,00:01:27.456,Pass,
,,,,,,,,,,,,,,,,,,1.912223,,,,,,,,,,,,,46eabb5b-1f9d-4f76-9fb1-dfb31b6f3618,83,,,"[57.0, 66.2]",3857301,1,,,,-1.6005173,,Right Foot,,"[55.9, 29.2]",,Ground Pass,,37.016346,,,,Abdou Diallo,8553.0,,,,,,,1,From Throw In,Kalidou Koulibaly,5675.0,Right Center Back,5,Senegal,787,['8666dfdc-d9d3-456b-bc77-2b00c076a2a3'],31,,,,,,,,,,,,,,,,,,Senegal,787,00:01:31.092,Pass,
,,,,,,,,,,,,,,,,,,1.356527,,,,,,,,,,,,,d7e2f02c-71b6-47c0-ae01-bad804b96fe5,86,,,"[63.2, 20.5]",3857301,1,,,,-1.3045443,,Right Foot,,"[67.7, 4.0]",,Ground Pass,,17.10263,,,,Ismail Jakobs,32915.0,,,,,,,1,From Throw In,Abdou Diallo,8553.0,Left Center Back,5,Senegal,787,['99ba2a7c-7cad-494c-bedc-0ba2a4932045'],35,,,,,,,,,,,,,,,,,,Senegal,787,00:01:35.311,Pass,
,,,,,,,,,,,,,,,,,,1.66045,,,,,,,,,,,,,9551ab09-ae85-4981-8c9d-2945e20ba732,89,,,"[67.0, 4.0]",3857301,1,,,,2.429235,,Left Foot,,"[51.6, 17.3]",,Ground Pass,,20.348219,,,,Abdou Diallo,8553.0,,,,,,,1,From Throw In,Ismail Jakobs,32915.0,Left Back,5,Senegal,787,['45eca55c-9e3f-4f91-97c7-f5a9cd7a853a'],37,,,,,,,,,,,,,,,,,,Senegal,787,00:01:37.885,Pass,
,,,,,,,,,,,,,,,,,,1.848254,,,,,,,,,,,,,eff5933f-27cc-4466-a73e-327cc701e839,92,,,"[52.3, 20.3]",3857301,1,,,,1.8307365,,Left Foot,,"[44.8, 48.5]",,Ground Pass,,29.180302,,,,Kalidou Koulibaly,5675.0,,,,,,,1,From Throw In,Abdou Diallo,8553.0,Left Center Back,5,Senegal,787,['1f9412b5-694e-4c04-b1bd-0acec2e9badd'],40,,,,,,,,,,,,,,,,,,Senegal,787,00:01:40.424,Pass,
,,,,,,,,,,,,,,,,,,1.935419,,,,,,,,,,,,,4935738d-53e2-4f85-a0bf-5cb0ea131731,95,,,"[45.0, 52.8]",3857301,1,,,,1.0252922,,Right Foot,,"[55.5, 70.1]",,Ground Pass,,20.237095,,,,Nampalys Mendy,4506.0,,,,,,,1,From Throw In,Kalidou Koulibaly,5675.0,Right Center Back,5,Senegal,787,['175de8ab-a565-4939-a8b7-4e428f1d13d9'],43,,,,,,,,,,,,,,,,,,Senegal,787,00:01:43.400,Pass,
,,,,,,,,,,,,,,,,,,0.960634,,,,,,,,,,,,,df56de07-e393-409b-92dd-c86912b107c4,98,,,"[69.6, 74.2]",3857301,1,,,,0.084901795,,Right Foot,,"[79.0, 75.0]",,Ground Pass,,9.433981,,,,Youssouf Sabaly,3404.0,,,,,,,1,From Throw In,Nampalys Mendy,4506.0,Right Defensive Midfield,5,Senegal,787,['2d1fd2d4-9a9e-487b-8b5a-7304ba9eb551'],47,,,,,,,,,,,,,,,,,,Senegal,787,00:01:47.594,Pass,
,,,,,,,,,,,,,,,,,,1.499432,,,,,,,,,,,,,e6eb50c8-7805-4dc9-8c51-ab24d52143b8,101,,,"[77.9, 73.5]",3857301,1,,,,-2.630736,,Right Foot,,"[53.1, 59.6]",,Ground Pass,,28.429737,,,,Kalidou Koulibaly,5675.0,,,,,,,1,From Throw In,Youssouf Sabaly,3404.0,Right Back,5,Senegal,787,['4bdcb6c9-29c5-42af-9f3c-1f9868115a9c'],50,,,,,,,,,,,,,,,,,,Senegal,787,00:01:50.150,Pass,
,,,,,,,,,,,,,,,,,,1.685379,,,,,,,,,,,,,270d95da-eb66-42bd-a2b6-e032b7c833a4,104,,,"[54.2, 51.9]",3857301,1,,,,-1.5060406,,Right Foot,,"[56.1, 22.6]",,Ground Pass,,29.36154,,,,Abdou Diallo,8553.0,,,,,,,1,From Throw In,Kalidou Koulibaly,5675.0,Right Center Back,5,Senegal,787,['16ec52e0-4ff2-4315-ae8d-b5b62bd1f656'],52,,,,,,,,,,,,,,,,,,Senegal,787,00:01:52.964,Pass,
,,,,,,,,,,,,,,,,,,4.369599,,,,,,,,,,,,,fd89a9fa-1a3f-4780-b975-290534e00697,107,,,"[63.2, 15.8]",3857301,1,,,,1.0132412,,Left Foot,,"[100.8, 76.1]",,High Pass,,71.062294,,,,Youssouf Sabaly,3404.0,,,True,,,,1,From Throw In,Abdou Diallo,8553.0,Left Center Back,5,Senegal,787,['bd73ec92-4b3d-4ede-9fc0-90cd353fa033'],56,,,,,,,,,,,,,,,,,,Senegal,787,00:01:56.629,Pass,
,,,,,,,,,,,,,,,,,,2.520835,,,,,,,,,,,,,956e9726-6cb3-4a7d-8072-09102157f371,109,,,"[101.4, 76.1]",3857301,2,,,,-0.4419119,,Head,,"[120.0, 67.3]",,High Pass,,20.576685,,,Out,Ismaïla Sarr,2941.0,,,,,,,1,From Throw In,Youssouf Sabaly,3404.0,Right Back,5,Senegal,787,['b5a8b0d7-af87-49c2-9532-153d29002bcd'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:02:00.999,Pass,
