50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.503757,,,,,,,,,,,,d121c82a-24cc-45c4-9a4e-031fa2b867e3,737,,,"[27.7, 37.9]",3869219,18,,,,,1.2429001,,Right Foot,,,,"[39.3, 72.0]",,Ground Pass,,36.019024,,,,Josip Juranović,29163.0,,,,,,1,From Free Kick,Marcelo Brozović,5469.0,Center Defensive Midfield,27,Croatia,785,['64eb3785-9324-43ef-a1a4-662382c50749'],35,,,,,,,,,,,,,,,,,Croatia,785,00:18:35.190,Pass,
,,,,,,,,,,,,,,,,0.987536,,,,,,,,,,,,c5df97c1-f5ff-47ae-9868-6a832ae0c994,740,,,"[44.1, 72.4]",3869219,18,,,,,-1.6352232,,Right Foot,,,,"[43.5, 63.1]",,Ground Pass,,9.319335,,,,Luka Modrić,5463.0,,,,,,1,From Free Kick,Josip Juranović,29163.0,Right Back,27,Croatia,785,['9c38ae68-c141-4fd3-ad79-24bf530856bd'],38,,,,,,,,,,,,,,,,,Croatia,785,00:18:38.672,Pass,
,,,,,,,,,,,,,,,,1.226869,,,,,,,,,,,,958dbe6b-67d0-4dd0-8afa-c4db11ef68d1,743,,,"[43.8, 68.5]",3869219,18,,,,,-1.456864,,Right Foot,,,,"[46.1, 48.4]",,Ground Pass,,20.231165,,,,Marcelo Brozović,5469.0,,,,,,1,From Free Kick,Luka Modrić,5463.0,Right Center Midfield,27,Croatia,785,['eaa1c874-1310-4a80-8e56-c7ad8edaf5c7'],42,,,,,,,,,,,,,,,,,Croatia,785,00:18:42.846,Pass,
,,,,,,,,,,,,,,,,1.766104,,,,,,,,,,,,a4d3f732-526e-4115-ad70-c03e62fbf38b,746,,,"[45.4, 41.7]",3869219,18,,,,,-1.7291807,,Right Foot,,,,"[43.1, 27.3]",,Ground Pass,,14.582523,,,,Joško Gvardiol,33018.0,,,,,,1,From Free Kick,Marcelo Brozović,5469.0,Center Defensive Midfield,27,Croatia,785,['354a8e5d-3c9a-4652-a931-8eb053d01ecc'],45,,,,,,,,,,,,,,,,,Croatia,785,00:18:45.647,Pass,
,,,,,,,,,,,,,,,,1.175614,,,,,,,,,,,,3d33e09f-e2a8-43ad-8287-872bbcfb3204,749,,,"[45.4, 23.5]",3869219,18,,,,,-1.2298174,,Right Foot,,,,"[52.0, 4.9]",,Ground Pass,,19.736261,,,,Borna Barišić,11127.0,,,,,,1,From Free Kick,Joško Gvardiol,33018.0,Left Center Back,27,Croatia,785,['b95852ce-6576-4dec-bdb0-e74b21c082f8'],48,,,,,,,,,,,,,,,,,Croatia,785,00:18:48.430,Pass,
,,,,,,,,,,,,,,,,1.294675,,,,,,,,,,,,0e90b8ae-0de9-4cc1-8f52-de886d0d9f69,752,,,"[52.0, 4.9]",3869219,18,,,,,2.008211,,Left Foot,,,,"[45.5, 18.8]",,Ground Pass,,15.344706,,,,Joško Gvardiol,33018.0,,,,,,1,From Free Kick,Borna Barišić,11127.0,Left Back,27,Croatia,785,['d43dd6bd-6858-48a1-97f1-bd4c115904c9'],51,,,,,,,,,,,,,,,,,Croatia,785,00:18:51.422,Pass,
,,,,,,,,,,,,,,,,1.145279,,,,,,,,,,,,cf086748-05d8-410b-be24-c7cd8e7ae68f,755,,,"[60.5, 21.8]",3869219,18,,,,,-1.7176602,,Right Foot,,,,"[58.0, 4.9]",,Ground Pass,,17.08391,,,,Borna Barišić,11127.0,,,,,,1,From Free Kick,Joško Gvardiol,33018.0,Left Center Back,27,Croatia,785,['f1321321-a4bf-4264-90cd-c58488d2c557'],58,,,,,,,,,,,,,,,,,Croatia,785,00:18:58.219,Pass,
,,,,,,,,,,,,,,,,0.043336,,,,,,,,,,,,d8064820-ecb4-4839-a9e1-acc22d999e1f,758,,,"[57.5, 3.8]",3869219,19,,,,,0.38050637,,Left Foot,,,,"[59.0, 4.4]",,Low Pass,,1.6155494,,Incomplete,,,,,,,,,1,From Free Kick,Borna Barišić,11127.0,Left Back,27,Croatia,785,['a79b1f5b-ceab-49e7-bb0d-9e1e0adbef7a'],0,,,,,,,,,,,,,,,,,Croatia,785,00:19:00.349,Pass,
,,,,,,,,,,,,,,,,1.17901,,,,,,,,,,,,95ab30e0-4c85-4216-a5ef-1dffe5749316,763,,,"[20.1, 67.1]",3869219,19,,,,,-2.145101,,Right Foot,,,,"[8.0, 48.4]",,Ground Pass,,22.273302,,,,Shūichi Gonda,25719.0,,,,,,1,Regular Play,Takehiro Tomiyasu,23730.0,Right Center Back,28,Japan,778,"['2e0fabc5-028a-4f88-9f25-86281f0512ac', '5aa5ef06-c38b-4215-9390-0f4cd756dcc4']",4,,,,,,,,,,,,,,,,,Japan,778,00:19:04.977,Pass,True
,,,,,,,,,,,,,,,,1.359176,,,,,,,,,,,,aa664c68-4a66-416f-8eef-9aa686fa0033,767,,,"[6.4, 51.8]",3869219,19,,,,,1.6030432,,Right Foot,,,,"[5.7, 73.5]",,Ground Pass,,21.711287,,,,Takehiro Tomiyasu,23730.0,,,,,,1,Regular Play,Shūichi Gonda,25719.0,Goalkeeper,28,Japan,778,"['2b70d483-5fb8-4e5f-9bdc-87d333a1463e', '7209a4f2-8b66-40cf-9d5f-597657b866b9']",7,,,,,,,,,,,,,,,,,Japan,778,00:19:07.362,Pass,True
