ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.961629,,,,,,,,,,,,,efe148d4-9386-4fa2-8ad3-895e9d80e91a,2164,,,"[46.1, 43.1]",3869151,45,,,,,1.94513,,Right Foot,,,"[42.8, 51.5]",,Ground Pass,9.024965,,,,Rodrigo Javier De Paul,7797.0,,,,,,2,From Kick Off,Enzo Fernandez,38718.0,Left Defensive Midfield,71,Argentina,779,['7ffc89a8-1756-4f6a-8786-849a17db3627'],2,,,,,,,,,,,,,,,,,Argentina,779,00:00:02.357,Pass,
,,,,,,,,,,,,,,,1.659554,,,,,,,,,,,,,362970ae-ce32-4141-9d96-d3cb80e1ae00,2166,,,"[42.8, 51.5]",3869151,45,,,,,-2.173884,,Right Foot,,,"[28.2, 30.3]",,Ground Pass,25.741018,,,,Nicolás Hernán Otamendi,3090.0,,,,,,2,From Kick Off,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,71,Argentina,779,['a91e46b8-cfcf-4ca6-8a8c-76e0994678b7'],3,,,,,,,,,,,,,,,,,Argentina,779,00:00:03.319,Pass,
,,,,,,,,,,,,,,,1.216655,,,,,,,,,,,,,bcd14be5-639f-4a9d-8ae1-b53954f97550,2169,,,"[26.3, 29.2]",3869151,45,,,,,1.6007019,,Left Foot,,,"[25.6, 52.6]",,Ground Pass,23.410467,,,,Cristian Gabriel Romero,20572.0,,,,,,2,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,71,Argentina,779,['9bb9fa20-11fd-466a-9e83-ac7ffabb0202'],6,,,,,,,,,,,,,,,,,Argentina,779,00:00:06.013,Pass,
,,,,,,,,,,,,,,,0.962332,,,,,,,,,,,,,04d0c385-0331-4032-bffa-b2fdcc13e02c,2172,,,"[25.6, 52.8]",3869151,45,,,,,0.28190455,,Right Foot,,,"[43.9, 58.1]",,Low Pass,19.052034,,,,Rodrigo Javier De Paul,7797.0,,,,,,2,From Kick Off,Cristian Gabriel Romero,20572.0,Right Center Back,71,Argentina,779,['9eab2345-62ca-45f8-86cf-9ea1b08a56a1'],8,,,,,,,,,,,,,,,,,Argentina,779,00:00:08.241,Pass,
,,,,,,,,,,,,,,,1.513405,,,,,,,,,,,,,73597c04-af54-400a-a9be-2eeff775b488,2175,,,"[43.6, 59.9]",3869151,45,,,,,2.283331,,Right Foot,,,"[30.9, 74.6]",,Low Pass,19.426271,,,,Nahuel Molina Lucero,29201.0,,,,,,2,From Kick Off,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,71,Argentina,779,['c5178824-8440-4092-b4b2-211ed6494676'],10,,,,,,,,,,,,,,,,,Argentina,779,00:00:10.072,Pass,
,,,,,,,,,,,,,,,0.826752,,,,,,,,,,,,,80005ea0-5fa0-436e-8716-285d29568863,2178,,,"[31.8, 73.7]",3869151,45,,,,,-2.158799,,Right Foot,,,"[22.6, 59.9]",,Ground Pass,16.585535,,,,Cristian Gabriel Romero,20572.0,,,,,,2,From Kick Off,Nahuel Molina Lucero,29201.0,Right Back,71,Argentina,779,['1dbe4c3d-50a9-40b6-a313-80b90a734310'],12,,,,,,,,,,,,,,,,,Argentina,779,00:00:12.891,Pass,
,,,,,,,,,,,,,,,1.773981,,,,,,,,,,,,,850de884-2079-421a-8fce-848868efb628,2181,,,"[22.6, 58.8]",3869151,45,,,,,-2.2209308,,Right Foot,,,"[8.0, 39.6]",,Ground Pass,24.120531,,,,Damián Emiliano Martínez,6909.0,,,,,,2,From Kick Off,Cristian Gabriel Romero,20572.0,Right Center Back,71,Argentina,779,['a05f9b1a-b435-4d9e-8341-006c57eeca2f'],14,,,,,,,,,,,,,,,,,Argentina,779,00:00:14.788,Pass,
,,,,,,,,,,,,,,,1.451882,,,,,,,,,,,,,72597252-aa7a-4ff6-be23-8e77426232eb,2185,,,"[7.8, 38.3]",3869151,45,,,,,-1.5253731,,Left Foot,,,"[8.6, 20.7]",,Ground Pass,17.618172,,,,Nicolás Hernán Otamendi,3090.0,,,,,,2,From Kick Off,Damián Emiliano Martínez,6909.0,Goalkeeper,71,Argentina,779,"['429db95d-0d35-4f2b-ac3a-dbdc0fd0533d', 'e69fed7c-fe84-4106-aa2d-6fbb1b2ab8e0']",17,,,,,,,,,,,,,,,,,Argentina,779,00:00:17.644,Pass,True
,,,,,,,,,,,,,,,1.697916,,,,,,,,,,,,,c6e6dd14-2b22-4e99-861b-c8584e96a839,2188,,,"[8.4, 21.2]",3869151,45,,,,,-1.2490457,,Right Foot,,,"[14.1, 4.1]",,Low Pass,18.024982,,,,Marcos Javier Acuña,19597.0,,,,,,2,From Kick Off,Nicolás Hernán Otamendi,3090.0,Left Center Back,71,Argentina,779,['2fc37e4a-b3bc-433d-9630-186a3eeca5a4'],19,,,,,,,,,,,,,,,,,Argentina,779,00:00:19.135,Pass,
,,,,,,,,,,,,,,,0.127257,,,,,,,,,,,,,6fab9c5a-2566-4bf2-86ae-a0beb31346d3,2192,,,"[11.7, 7.5]",3869151,45,,,,,1.4382448,,Left Foot,,,"[11.9, 9.0]",,Low Pass,1.5132746,,Incomplete,,Nicolás Hernán Otamendi,3090.0,,,,,,2,From Kick Off,Marcos Javier Acuña,19597.0,Left Back,71,Argentina,779,"['21d5f514-862d-4f42-8d44-925cad3ea415', '2216d4ee-38ef-4396-a999-7a2246988b37', '800889e8-45e6-4882-8b4f-b3af5d783fe0']",22,,,,,,,,,,,,,,,,,Argentina,779,00:00:22.012,Pass,True
