bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,822c1dd4-f1e7-4c1e-8797-52a3ab8f1d7f,316,,,"[1.8, 59.4]",3857256,9,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Right Center Back,22,Switzerland,773,['895a5e92-03a1-495a-830f-f6e8c5ec9568'],7,,,,,,,,,,,,,,,,,,,Switzerland,773,00:09:07.702,Ball Recovery,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,39fc6716-1e5c-4798-9945-a8acaf967522,339,,,"[46.7, 23.7]",3857256,9,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergej Milinković-Savić,5589.0,Left Defensive Midfield,24,Serbia,786,,42,,,,,,,,,,,,,,,,,,,Serbia,786,00:09:42.907,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,74c96478-0484-4b21-8e2b-876ae948211a,359,,,"[114.7, 34.8]",3857256,10,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dušan Vlahović,18015.0,Right Center Forward,24,Serbia,786,,7,,,,,,,,,,,,,,,,,,,Serbia,786,00:10:07.169,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0ff4e813-1dd2-4437-b2ab-69b7f99266ff,397,,,"[36.6, 71.9]",3857256,10,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrija Živković,6318.0,Right Wing Back,32,Serbia,786,['52f43cc9-bfbc-4859-817b-e65fe62b4a5d'],55,,,,,,,,,,,,,,,,,,,Serbia,786,00:10:55.793,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,002fa902-deed-4790-9ab3-675806c3d409,408,,,"[69.5, 2.6]",3857256,11,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Filip Kostić,5591.0,Left Wing Back,32,Serbia,786,,7,,,,,,,,,,,,,,,,,,,Serbia,786,00:11:07.306,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a0a15b21-3b1a-4f10-b46b-0fdca53e13b5,521,,,"[41.4, 32.6]",3857256,14,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aleksandar Mitrović,4269.0,Left Center Forward,37,Serbia,786,,17,,,,,,,,,,,,,,,,,,,Serbia,786,00:14:17.433,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6cd732ac-11b4-4a18-bc6d-7cb6741d32db,549,,,"[67.5, 25.3]",3857256,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergej Milinković-Savić,5589.0,Left Defensive Midfield,39,Serbia,786,['676618dd-2f0f-4ef0-a12b-16e6323e7d9b'],5,,,,,,,,,,,,,,,,,,,Serbia,786,00:16:05.065,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6e3c3614-e8b9-4628-8ce4-90dd5ab2c83d,565,,,"[93.4, 52.0]",3857256,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Andrija Živković,6318.0,Right Wing Back,40,Serbia,786,['0d7a5fe0-c07d-465a-9059-7ba864a0def3'],50,,,,,,,,,,,,,,,,,,,Serbia,786,00:16:50.393,Ball Recovery,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d67d79a0-7c89-4c99-94a3-3e3c42d2755c,595,,,"[87.2, 13.9]",3857256,17,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Strahinja Pavlović,27719.0,Left Center Back,40,Serbia,786,,19,,,,,,,,,,,,,,,,,,,Serbia,786,00:17:19.956,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,32fb29a0-ad50-4b63-adcf-5702a8f023e1,603,,,"[24.7, 47.5]",3857256,17,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,41,Switzerland,773,,26,,,,,,,,,,,,,,,,,,,Switzerland,773,00:17:26.895,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,751bc262-f711-4a40-8095-eba556baac1a,615,,,"[18.4, 50.4]",3857256,17,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Saša Lukić,6687.0,Right Defensive Midfield,42,Serbia,786,,37,,,,,,,,,,,,,,,,,,,Serbia,786,00:17:37.385,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4112fd08-e209-40e7-8cb0-48560ea5c985,633,,,"[44.6, 21.1]",3857256,18,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Milos Veljkovic,6321.0,Center Back,42,Serbia,786,['6bb77074-78eb-4db0-98ee-d1dbad0d4bdd'],8,,,,,,,,,,,,,,,,,,,Serbia,786,00:18:08.463,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9569f6bf-ebbe-4f80-a66d-b1e11948bd37,658,,,"[27.9, 75.6]",3857256,18,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Remo Freuler,6983.0,Right Defensive Midfield,43,Switzerland,773,['b2566585-4d6d-4aac-a8a5-83e9d534b78c'],36,,,,,,,,,,,,,,,,,,,Switzerland,773,00:18:36.894,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,68d0e607-a046-469c-9740-2cdfb3c3527e,678,,,"[107.0, 37.7]",3857256,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Djibril Sow,16026.0,Center Attacking Midfield,44,Switzerland,773,,9,,,,,,,,,,,,,,,,,,,Switzerland,773,00:19:09.205,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,21a11440-eb3e-41ea-9e02-3f8ae53d7f0b,786,,,"[9.3, 54.6]",3857256,22,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,61,Serbia,786,['a2255633-2c14-4db5-bdac-f31ad3ec4d32'],49,,,,,,,,,,,,,,,,,,,Serbia,786,00:22:49.948,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d692b371-d0be-421e-a143-45696f6d4750,877,,,"[105.3, 5.3]",3857256,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Strahinja Pavlović,27719.0,Left Center Back,64,Serbia,786,['33dc95ef-c63e-4182-8261-46924fe169d3'],53,,,,,,,,,,,,,,,,,,,Serbia,786,00:24:53.073,Ball Recovery,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2cae40b7-44aa-486e-8f6b-3313ab5b858e,884,,,"[23.3, 58.0]",3857256,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Granit Xhaka,3500.0,Left Defensive Midfield,65,Switzerland,773,['45fd4350-4fb7-431d-8f94-a0abea9aefcd'],59,,,,,,,,,,,,,,,,,,,Switzerland,773,00:24:59.243,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b7e339a-bc91-4e82-b61f-df0af74907e6,938,,,"[12.5, 23.9]",3857256,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vanja Milinković Savić,20600.0,Goalkeeper,70,Serbia,786,['96f996ab-353f-4836-9b98-7141add269ae'],18,,,,,,,,,,,,,,,,,,,Serbia,786,00:27:18.323,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,89b23fde-c2cf-4a93-b2e7-a75176d9edbb,1004,,,"[43.9, 36.5]",3857256,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Xherdan Shaqiri,3533.0,Right Wing,71,Serbia,786,['0dcb3c22-a29d-4991-854f-fd0195387543'],45,,,,,,,,,,,,,,,,,,,Switzerland,773,00:28:45.004,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2c0ddd99-0360-4424-a66d-54ad6fae6090,1011,,,"[71.1, 21.1]",3857256,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Filip Kostić,5591.0,Left Wing Back,71,Serbia,786,['72533a0d-a47f-4186-88ae-f89a1c29c16b'],49,,,,,,,,,,,,,,,,,,,Serbia,786,00:28:49.031,Ball Recovery,
,,True,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9a7c3afa-fc7b-4f8c-a394-020f5e7be2e5,1083,,,"[10.3, 19.3]",3857256,31,,True,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Strahinja Pavlović,27719.0,Left Center Back,75,Switzerland,773,,26,,,,,,,,,,,,,,,,,,,Serbia,786,00:31:26.705,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,33d6d3f1-3668-42fe-9879-305df56ef6a3,1135,,,"[63.3, 48.6]",3857256,33,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Saša Lukić,6687.0,Right Defensive Midfield,79,Serbia,786,,19,,,,,,,,,,,,,,,,,,,Serbia,786,00:33:19.642,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dd326e44-b174-4cf2-8d12-2eb783cb2507,1167,,,"[80.8, 20.3]",3857256,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Dušan Tadić,3831.0,Center Attacking Midfield,82,Serbia,786,['a61d62dd-6842-4af3-b7eb-279c54d64793'],23,,,,,,,,,,,,,,,,,,,Serbia,786,00:34:23.012,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e2e9cffb-71f5-42e8-9947-64134403ec17,1174,,,"[105.9, 32.6]",3857256,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Dušan Vlahović,18015.0,Right Center Forward,82,Serbia,786,,28,,,,,,,,,,,,,,,,,,,Serbia,786,00:34:28.030,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7eec3962-2016-40ee-8f25-b06160062a63,1246,,,"[100.1, 50.0]",3857256,37,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ruben Vargas,30401.0,Left Wing,87,Switzerland,773,,26,,,,,,,,,,,,,,,,,,,Switzerland,773,00:37:26.360,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f24933f8-c15c-4616-9119-8b51080765ff,1372,,,"[57.2, 50.2]",3857256,42,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Fabian Lukas Schär,5537.0,Right Center Back,95,Switzerland,773,['c0fbcb66-3f4c-419b-962c-0269e1896f2a'],3,,,,,,,,,,,,,,,,,,,Switzerland,773,00:42:03.996,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4e6142ce-a6c7-497a-91ec-15e99aff15fa,1386,,,"[43.4, 48.6]",3857256,42,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dušan Vlahović,18015.0,Right Center Forward,96,Serbia,786,['33152739-a1e5-4ff7-b1cf-611f2b5fd7a1'],26,,,,,,,,,,,,,,,,,,,Serbia,786,00:42:26.543,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,716ead41-0522-4ac4-be98-319ff43068aa,1398,,,"[41.3, 27.1]",3857256,42,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Left Center Back,97,Switzerland,773,['5be80867-9f01-4b19-bcf4-2c5d267774ce'],41,,,,,,,,,,,,,,,,,,,Switzerland,773,00:42:41.981,Ball Recovery,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3a90f277-bb42-473a-bf21-69d500ecc0b5,1414,,,"[11.1, 50.2]",3857256,43,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Sergej Milinković-Savić,5589.0,Left Defensive Midfield,98,Serbia,786,,4,,,,,,,,,,,,,,,,,,,Serbia,786,00:43:04.483,Ball Recovery,
