ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[78.0, 28.9]",,,,,,,,,,1.575484,,,,,,,,,,,ba058555-ae9b-4ddd-9964-625cc9c83d48,1406,,"[76.6, 25.6]",3869254,38,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Center Defensive Midfield,66,Switzerland,773,"['42a01c99-65f1-4e1f-a396-dc09918eac5b', '4ac63bf2-9aed-4428-b851-26dd1ae88d2b', '907ac9ff-0760-4841-b794-55ac4864445a']",55,,,,,,,,,,,,,,,,,,Switzerland,773,00:38:55.496,Carry,True
,,,"[24.6, 54.2]",,,,,,,,,,1.707726,,,,,,,,,,,5dd4af95-15d6-43d2-be04-f71fd4f57b65,1414,,"[24.8, 54.2]",3869254,39,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,William Silva de Carvalho,5214.0,Center Defensive Midfield,67,Portugal,780,"['8804cd89-4545-4e91-b82d-1642c80f9921', 'ef3e6ff7-d91d-4acf-ac4f-cbbef04ef3f6']",36,,,,,,,,,,,,,,,,,,Portugal,780,00:39:36.184,Carry,
,,,"[34.1, 73.4]",,,,,,,,,,1.913476,,,,,,,,,,,22362866-2c61-423d-9cef-2c9c29cb75ab,1417,,"[29.9, 72.6]",3869254,39,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,67,Portugal,780,"['14935bc9-7441-450b-93f9-14400e085443', '545d35fa-c495-4a2e-a1cb-a8cf2d872b57']",40,,,,,,,,,,,,,,,,,,Portugal,780,00:39:40.076,Carry,
,,,"[91.4, 71.5]",,,,,,,,,,0.201556,,,,,,,,,,,401ab594-b6d1-476c-ab83-88eb0461c56c,1424,,"[91.0, 71.2]",3869254,39,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Center Midfield,68,Portugal,780,"['d55446ba-0d48-48fd-b330-d86b9bec77df', 'fab38208-b72f-4cb4-a2b9-4ac7a260cde1']",52,,,,,,,,,,,,,,,,,,Portugal,780,00:39:52.291,Carry,
,,,"[86.8, 75.3]",,,,,,,,,,2.427888,,,,,,,,,,,0c108a0f-3e38-4ba2-8f8c-4fc8d1b0c10b,1427,,"[91.4, 77.5]",3869254,39,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Diogo Dalot Teixeira,16028.0,Right Back,68,Portugal,780,"['76ec5a03-a66b-4e3f-8ab0-59b8a80ad2e5', 'ca07fc82-14ed-4a21-869b-63ba1f86fc5b']",53,,,,,,,,,,,,,,,,,,Portugal,780,00:39:53.379,Carry,
,,,"[47.6, 69.3]",,,,,,,,,,4.336412,,,,,,,,,,,fe776b67-5d0a-4e60-a334-c5b1215762c9,1430,,"[54.5, 69.9]",3869254,39,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,68,Portugal,780,"['88d87cf6-c3a0-4699-82d1-dd0680dca0d1', 'b95ac65a-b044-4bd5-9ea9-7396e3fde101']",57,,,,,,,,,,,,,,,,,,Portugal,780,00:39:57.614,Carry,
,,,"[82.9, 18.4]",,,,,,,,,,2.346179,,,,,,,,,,,cd100dfd-2bbb-40b4-91f1-59ca9ad23f79,1440,,"[74.7, 21.5]",3869254,40,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Xherdan Shaqiri,3533.0,Left Center Forward,70,Switzerland,773,"['3dca48e4-bee6-4e3a-86bd-adf6c6665529', 'c74ab3bf-4dad-4645-be64-38ff876e0d34', 'd940ad75-e5ed-4551-8a16-919b5e78baa4']",20,,,,,,,,,,,,,,,,,,Switzerland,773,00:40:20.931,Carry,True
,,,"[33.4, 59.8]",,,,,,,,,,2.509015,,,,,,,,,,,befe2467-023f-4abd-a241-63198a1d77f3,1444,,"[37.2, 61.7]",3869254,40,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Bruno Miguel Borges Fernandes,5204.0,Right Wing,70,Switzerland,773,"['70157836-5a1b-4049-8d84-23280e4bf858', '9fe07b1f-9546-4a6d-8b1e-e706c2977391']",23,,,,,,,,,,,,,,,,,,Portugal,780,00:40:23.277,Carry,
,,,"[59.9, 1.8]",,,,,,,,,,1.039863,,,,,,,,,,,53c8f848-4e99-4e3b-a230-39eaa002b5b7,1448,,"[63.4, 5.1]",3869254,40,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,70,Switzerland,773,"['6b4fc4d8-eda8-4eeb-89de-87dbcebe3d8c', '8ee1e5fb-f58d-49c5-8911-a32f9a1ec603', '97dfd3b2-7c59-4ed0-9e08-721b2b201b08']",27,,,,,,,,,,,,,,,,,,Switzerland,773,00:40:27.852,Carry,True
,,,"[21.5, 22.1]",,,,,,,,,,1.373052,,,,,,,,,,,30eb5602-3f08-494f-a189-4d428f6d87d8,1452,,"[22.6, 25.6]",3869254,40,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yann Sommer,5550.0,Goalkeeper,70,Switzerland,773,"['1fdf6e5b-7010-42fd-8c0a-a462a25d79a8', '3202f951-841c-4649-8517-b01faac82cff', 'c4cd5831-8c1f-4ecc-80a0-04bd1fffbb36']",32,,,,,,,,,,,,,,,,,,Switzerland,773,00:40:32.603,Carry,True
