50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.887408,,,,,,,,,,,,2fe7f3d4-d3f6-43c7-8278-286a025e123f,44,,,"[63.7, 13.7]",3857299,1,,,,-1.0915858,,Left Foot,,,,"[69.0, 3.5]",,Ground Pass,,11.4947815,,,Gideon Mensah,23615.0,,,,,,1,From Free Kick,Mohamed Salisu,30519.0,Left Center Back,5,Ghana,4885,['031dac22-8f5a-4335-844d-c2e24375aa12'],24,,,,,,,,,,,,,,,,,Ghana,4885,00:01:24.857,Pass,
,,,,,,,,,,,,,,,,,,0.844114,,,,,,,,,,,,24373eab-bff3-4516-89c9-31c51a7b64fe,47,,,"[62.7, 5.1]",3857299,1,,,,1.7808851,,Right Foot,,,,"[59.8, 18.7]",,Ground Pass,,13.905754,,,Salis Abdul Samed,31029.0,,,,,,1,From Free Kick,Gideon Mensah,23615.0,Left Back,5,Ghana,4885,['406e5ef8-3d31-4fef-b192-360e56503b9f'],27,,,,,,,,,,,,,,,,,Ghana,4885,00:01:27.140,Pass,
,,,,,,,,,,,,,,,,,,2.852371,,,,,,,,,,,,d4cf1aee-bc9a-4636-baf9-fe839468434a,50,,,"[61.2, 18.3]",3857299,1,,,,0.124740794,,Right Foot,,,,"[93.1, 22.3]",,Ground Pass,,32.149807,Incomplete,,André Ayew Pelé,3347.0,,,,,,1,From Free Kick,Salis Abdul Samed,31029.0,Left Defensive Midfield,5,Ghana,4885,"['37f75934-48eb-46dc-ad0d-5dcc39ac96fe', '4274fcd3-476f-4fb2-85cb-81f09645fc6b']",28,,,,,,,,,,,,,,,,,Ghana,4885,00:01:28.681,Pass,
,,,,,,,,,,,,,,,,,,2.37401,,,,,,,,,,,,4274fcd3-476f-4fb2-85cb-81f09645fc6b,52,,,"[27.0, 57.8]",3857299,1,,,,-2.5685291,,Left Foot,,,,"[3.6, 42.7]",,Ground Pass,,27.849058,,,Seung-Gyu Kim,37641.0,,,,,Recovery,1,Regular Play,Min Jae Kim,43565.0,Right Center Back,6,South Korea,791,"['17e11313-0305-4239-9168-aceba234eebc', 'd4cf1aee-bc9a-4636-baf9-fe839468434a']",31,,,,,,,,,,,,,,,,,South Korea,791,00:01:31.534,Pass,
,,,,,,,,,,,,,,,,,,1.423128,,,,,,,,,,,,3a0ec74d-1be8-44ac-8e2e-86edb42edfc3,56,,,"[3.4, 39.1]",3857299,1,,,,-1.2277724,,Right Foot,,,,"[10.9, 18.1]",,Ground Pass,,22.299103,,,Young-Gwon Kim,5604.0,,,,,,1,Regular Play,Seung-Gyu Kim,37641.0,Goalkeeper,6,South Korea,791,"['60045be2-7a25-4c12-90d7-5796530cff3a', 'a406a1ff-1a77-47c0-8aea-64d923a030e9']",35,,,,,,,,,,,,,,,,,South Korea,791,00:01:35.962,Pass,True
,,,,,,,,,,,,,,,,,,2.17649,,,,,,,,,,,,a332a238-b524-4e74-a0e9-37bfa9f1a63e,59,,,"[15.8, 15.9]",3857299,1,,,,0.5624979,,Left Foot,,,,"[57.2, 42.0]",,High Pass,,48.940475,Incomplete,,,,,,,,,1,Regular Play,Young-Gwon Kim,5604.0,Left Center Back,6,South Korea,791,['60b347b8-af20-4204-98ed-041b83263420'],39,,,,,,,,,,,,,,,,,South Korea,791,00:01:39.559,Pass,
,,,,,,,,,,,,,,,,,,2.808104,,,,,,,,,,,,60b347b8-af20-4204-98ed-041b83263420,60,,,"[62.9, 38.1]",3857299,1,,,,1.3994172,,Head,,,,"[69.2, 74.5]",,High Pass,,36.94117,Incomplete,,,,,,,,Recovery,1,Regular Play,Mohamed Salisu,30519.0,Left Center Back,6,South Korea,791,"['01ef5143-a252-4094-80b6-6eab4f3ae79e', 'a332a238-b524-4e74-a0e9-37bfa9f1a63e']",41,,,,,,,,,,,,,,,,,Ghana,4885,00:01:41.735,Pass,
,,,,,,,,,,,,,,,,,,5.614485,,,,,,,,,,,,0d9cfc0d-67ff-460e-a98c-ac431ce42b6d,63,,,"[65.0, 2.5]",3857299,1,,,,0.26717827,,Left Foot,,,,"[119.8, 17.5]",,Ground Pass,,56.81584,Out,,Heung-Min Son,3083.0,,,,,,1,Regular Play,Jin-Su Kim,40538.0,Left Back,6,South Korea,791,['59c56d29-235d-4219-8fca-de47c57dc457'],46,,,,,,,,,,,,,,,,,South Korea,791,00:01:46.552,Pass,
,,,,,,,,,,,,,,,,,,1.597019,,,,,,,,,,,,f1255e8a-1397-4f6a-acaf-abbb1d38a5fb,65,,,"[7.0, 44.1]",3857299,2,,,,1.1230927,,Left Foot,,,,"[15.5, 61.8]",,Ground Pass,,19.635172,,,Daniel Amartey,3709.0,,,,,Goal Kick,1,From Goal Kick,Lawrence Ati-Zigi,8108.0,Goalkeeper,7,Ghana,4885,['44b9a7f4-a1a6-4703-b649-08a45b5c561c'],4,,,,,,,,,,,,,,,,,Ghana,4885,00:02:04.427,Pass,
,,,,,,,,,,,,,,,,,,1.133675,,,,,,,,,,,,8897d766-6d2c-46f2-91f8-dadbb5007a0a,68,,,"[32.3, 72.0]",3857299,2,,,,-2.2924511,,Right Foot,,,,"[21.3, 59.5]",,Ground Pass,,16.650826,,,Salis Abdul Samed,31029.0,,,,,,1,From Goal Kick,Daniel Amartey,3709.0,Right Center Back,7,Ghana,4885,['116cb0b0-9eba-492b-8198-a207695c14ea'],9,,,,,,,,,,,,,,,,,Ghana,4885,00:02:09.628,Pass,
