50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.995959,,,,,,,,,,,,,a5639a89-9e13-4bc7-8cd4-b35eb9e96c61,69,,,"[88.0, 52.6]",3857288,0,,,,-0.8117709,,Right Foot,,,,"[108.3, 31.2]",High Pass,,29.49661,Incomplete,,Ali Abdi,30681.0,,,,,,1,Regular Play,Mohamed Dräger,9236.0,Right Wing Back,3,Tunisia,777,"['658b2d83-f7be-4490-993f-33b92e940ed0', '861eaa53-dcad-4516-9e97-cecb959a4a4a']",46,,,,,,,,,,,,,,,,Tunisia,777,00:00:46.568,Pass,
,,,,,,,,,,,,,,,,,0.932923,,,,,,,,,,,,,27708f05-d1c8-41aa-a890-5fd2d5bbc638,78,,,"[63.4, 46.6]",3857288,0,,,,2.4468544,,Left Foot,,,,"[55.0, 53.6]",Ground Pass,,10.93435,,,Dylan Daniel Mahmoud Bronn,5655.0,,,,,,1,Regular Play,Yassine Meriah,5651.0,Center Back,3,Tunisia,777,['a7222952-2c96-46b0-a47a-07c0f3964f57'],56,,,,,,,,,,,,,,,,Tunisia,777,00:00:56.518,Pass,
,,,,,,,,,,,,,,,,,1.245355,,,,,,,,,,,,,751aaa58-a4d2-4167-b545-08fb05b9f2a7,81,,,"[50.9, 58.8]",3857288,1,,,,-2.0499067,,Right Foot,,,,"[46.9, 51.1]",Ground Pass,,8.676981,,,Yassine Meriah,5651.0,,,,,,1,Regular Play,Dylan Daniel Mahmoud Bronn,5655.0,Right Center Back,3,Tunisia,777,['870c48da-cd73-413f-94f7-b26f83bf7bf2'],0,,,,,,,,,,,,,,,,Tunisia,777,00:01:00.605,Pass,
,,,,,,,,,,,,,,,,,1.476597,,,,,,,,,,,,,ffb10947-70e4-40a0-870a-3963f82daf07,84,,,"[46.9, 51.1]",3857288,1,,,,-1.5152978,,Right Foot,,,,"[48.4, 24.1]",Ground Pass,,27.041636,,,Montassar Omar Talbi,32450.0,,,,,,1,Regular Play,Yassine Meriah,5651.0,Center Back,3,Tunisia,777,['b74b0dfb-ea5d-4383-8e33-70704d5609b3'],2,,,,,,,,,,,,,,,,Tunisia,777,00:01:02.889,Pass,
,,,,,,,,,,,,,,,,,1.482862,,,,,,,,,,,,,584868f0-72d4-4b61-954e-86b89175e6b4,87,,,"[48.4, 22.8]",3857288,1,,,,1.7120711,,Left Foot,,,,"[45.2, 45.3]",Ground Pass,,22.726416,,,Yassine Meriah,5651.0,,,,,,1,Regular Play,Montassar Omar Talbi,32450.0,Left Center Back,3,Tunisia,777,['f3abe298-e11d-4a6d-b4f4-9318241c8d80'],6,,,,,,,,,,,,,,,,Tunisia,777,00:01:06.025,Pass,
,,,,,,,,,,,,,,,,,2.872876,,,,,,,,,,,,,5b7d7127-db5f-473b-9a2b-b28d919b0042,90,,,"[54.6, 42.9]",3857288,1,,,,-0.93302035,,Right Foot,,,,"[85.8, 0.8]",High Pass,,52.40086,Out,,Ali Abdi,30681.0,,True,,,,1,Regular Play,Yassine Meriah,5651.0,Center Back,3,Tunisia,777,['c80e33e7-0009-4ff0-ad9c-1bdb3bddf24b'],12,,,,,,,,,,,,,,,,Tunisia,777,00:01:12.390,Pass,
,,,,,,,,,,,,,,,,,2.086351,,,,,,,,,,,,,a5629e44-c889-45ae-9d1c-9b0c22352c15,92,,,"[38.6, 80.0]",3857288,1,,,,-0.23271874,,,,,,"[69.4, 72.7]",High Pass,,31.653278,,,Mitchell Thomas Duke,33492.0,,,,,Throw-in,1,From Throw In,Fran Karačić,28370.0,Right Back,4,Australia,792,['c7017193-2411-47e8-9047-0b436812fe17'],32,,,,,,,,,,,,,,,,Australia,792,00:01:32.033,Pass,
,,,,,,,,,,,,,,,,,1.176749,,,,,,,,,,,,,92b439cb-12a6-4b80-8073-fd92319f3e8a,94,,,"[69.2, 71.8]",3857288,1,,,True,-0.6478114,,,,,,"[76.6, 66.2]",High Pass,,9.2800865,Incomplete,,,,,,,,,1,From Throw In,Mitchell Thomas Duke,33492.0,Right Center Forward,4,Australia,792,"['6d4eaea8-f62c-4c1f-8efb-2fea4de01d60', 'b9296150-c448-4767-9ef7-6544e0622634']",34,,,,,,,,,,,,,,,,Australia,792,00:01:34.119,Pass,True
,,,,,,,,,,,,,,,,,2.754122,,,,,,,,,,,,,b9296150-c448-4767-9ef7-6544e0622634,96,,,"[43.5, 13.9]",3857288,1,,,,-0.017339302,,Head,,,,"[60.8, 13.6]",High Pass,,17.3026,,,Aïssa Bilal Laïdouni,44955.0,,,,,Recovery,1,Regular Play,Yassine Meriah,5651.0,Center Back,5,Tunisia,777,"['92b439cb-12a6-4b80-8073-fd92319f3e8a', 'f6f1cc9c-8995-4fe9-9cbd-7b98e8155532']",35,,,,,,,,,,,,,,,,Tunisia,777,00:01:35.296,Pass,
,,,,,,,,,,,,,,,,,1.13907,,,,,,,,,,,,,5c6ac939-1a10-4d3d-8c07-dd1259bb10b1,99,,,"[60.8, 13.6]",3857288,1,,,True,0.07433089,,,,,,"[70.2, 14.3]",High Pass,,9.426028,,,Issam Jebali,16352.0,,,,,,1,Regular Play,Aïssa Bilal Laïdouni,44955.0,Left Defensive Midfield,5,Tunisia,777,"['2b5d0c23-589f-48a7-b82c-1597eb28273c', '9886bc31-8dae-4bb5-8356-276f32d55f47']",38,,,,,,,,,,,,,,,,Tunisia,777,00:01:38.050,Pass,True
