50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.924193,,,,,,,,,,,,,,,6efec9b3-bf70-4b0a-9b5e-9353135dda3b,61,,,"[24.3, 7.7]",3857297,0,,,,,0.17262362,,Left Foot,,,,"[43.8, 11.1]",,Low Pass,,19.794191,,,,Salem Mohammed Al Dawsari,5187.0,,,,,,1,From Throw In,Ali Albulayhi,5715.0,Left Center Back,4,Saudi Arabia,799,['c978a64c-7187-4e9e-a92e-85882714162a'],57,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:57.474,Pass,
,,,,,,,,,,,,,,,,,,1.349363,,,,,,,,,,,,,,,7b41b133-d45d-4825-95f7-667fcd4f6f5f,64,,,"[43.4, 11.0]",3857297,0,,,,,2.280199,,Right Foot,,,,"[34.3, 21.6]",,Low Pass,,13.970325,,,,Abdulelah Saad Hameed Al-Malki,56755.0,,,,,,1,From Throw In,Salem Mohammed Al Dawsari,5187.0,Left Wing,4,Saudi Arabia,799,"['55fbbde3-9d40-4937-bc50-ced780f22226', 'd5b807b8-ddd4-4ddc-a8a5-a4ab2337ced4']",58,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:00:58.399,Pass,True
,,,,,,,,,,,,,,,,,,0.822357,,,,,,,,,,,,,,,58675636-a6c2-401e-8027-4e1469c1e8a7,68,,,"[32.2, 22.1]",3857297,1,,,,,0.5093011,,Right Foot,,,,"[39.9, 26.4]",,Ground Pass,,8.819297,,,,Salem Mohammed Al Dawsari,5187.0,,,,,,1,From Throw In,Abdulelah Saad Hameed Al-Malki,56755.0,Left Defensive Midfield,4,Saudi Arabia,799,['77af47b5-3085-4ec3-97fe-a3800847c15c'],0,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:01:00.615,Pass,
,,,,,,,,,,,,,,,,,,1.856337,,,,,,,,,,,,,,,35bb2524-7819-450c-9a6b-f954c259c8f3,74,,,"[45.8, 23.5]",3857297,1,,True,,,-1.9215243,,Right Foot,,,,"[42.8, 15.3]",,Ground Pass,,8.731552,,,,Ali Albulayhi,5715.0,,,,,Free Kick,1,From Free Kick,Abdulelah Saad Hameed Al-Malki,56755.0,Left Defensive Midfield,5,Saudi Arabia,799,['4eddea52-9496-4a81-aad6-52bd11419a10'],20,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:01:20.601,Pass,
,,,,,,,,,,,,,,,,,,0.848245,,,,,,,,,,,,,,,9eaf135e-3154-4c13-8375-fc79efb8b5eb,77,,,"[56.6, 11.9]",3857297,1,,,,,-0.18713365,,Left Foot,,,,"[73.5, 8.7]",,Ground Pass,,17.20029,,,,Salem Mohammed Al Dawsari,5187.0,,,,,,1,From Free Kick,Ali Albulayhi,5715.0,Left Center Back,5,Saudi Arabia,799,"['2d324e23-cf55-445a-b11f-5144f7d75bb6', '879f0840-9656-4200-883a-4d48531703b1']",28,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:01:28.297,Pass,True
,,,,,,,,,,,,,,,,,,0.774969,,,,,,,,,,,,,,,3301c05b-b4ab-4eae-9b26-96c4005d9db2,79,,,"[73.5, 8.7]",3857297,1,,,,,-1.3765553,,Right Foot,,,,"[74.7, 2.6]",,Ground Pass,,6.2169123,,,,Mohammed Al Burayk,5191.0,,,,,,1,From Free Kick,Salem Mohammed Al Dawsari,5187.0,Left Wing,5,Saudi Arabia,799,['0b3b61ee-f612-46fb-8b38-ccf4bd7da189'],29,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:01:29.145,Pass,
,,,,,,,,,,,,,,,,,,2.115397,,,,,,,,,,,,,,,f4e60bf2-a7a0-4b81-90c7-fb27a2edf311,83,,,"[81.2, 1.6]",3857297,1,,,,,0.947334,,Left Foot,,,,"[98.1, 25.1]",,Ground Pass,,28.945812,,,,Sami Khalil Al Naji,51632.0,,,,,,1,From Free Kick,Mohammed Al Burayk,5191.0,Left Back,5,Saudi Arabia,799,"['18f1ad18-6820-410a-a78b-2ae45a0591f4', '7e9b43c9-1c04-4cd6-ab1a-87c9ed9a7663']",30,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:01:30.740,Pass,True
,,,,,,,,,,,,,,,,,,1.483081,,,,,,,,,,,,,,,70d7812b-dca9-4945-875c-4638d4838b3c,87,,,"[19.2, 50.4]",3857297,1,,,,,-2.5339847,,Right Foot,,,,"[4.1, 39.9]",,Ground Pass,,18.391846,,,,Wojciech Szczęsny,5669.0,,,,,Recovery,1,Regular Play,Krystian Bielik,11737.0,Right Defensive Midfield,6,Poland,789,['7fdd54b5-f36f-48cc-a7f6-b2d950c44f7c'],34,,,,,,,,,,,,,,,,,Poland,789,00:01:34.569,Pass,
,,,,,,,,,,,,,,,,,,1.882996,,,,,,,,,,,,,,,304b638f-2870-45ec-a034-de928fe728bd,91,,,"[8.0, 41.1]",3857297,1,,,,,1.1991453,,Right Foot,,,,"[17.9, 66.5]",,Ground Pass,,27.261145,,,,Matty Cash,4734.0,,,,,,1,Regular Play,Wojciech Szczęsny,5669.0,Goalkeeper,6,Poland,789,"['12ee5101-0892-4242-913a-fa6142c716f5', 'da081979-f7f8-48d6-85f6-426ce7a34425']",37,,,,,,,,,,,,,,,,,Poland,789,00:01:37.442,Pass,True
,,,,,,,,,,,,,,,,,,2.550635,,,,,,,,,,,,,,,c91f9a6b-1ce5-49a7-a2c7-ccf0a2759bb1,95,,,"[23.3, 73.6]",3857297,1,,,,,-0.37017083,,Right Foot,,,,"[63.5, 58.0]",,High Pass,,43.12076,,,,Robert Lewandowski,5668.0,,,,,,1,Regular Play,Matty Cash,4734.0,Right Back,6,Poland,789,"['9e5dfb4c-2c55-4a26-9a4a-abfed75b60dd', 'eaa6b611-4046-4752-8b75-d8000a790960']",41,,,,,,,,,,,,,,,,,Poland,789,00:01:41.428,Pass,True
