bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.123672,,,,,,,,,,847f1a5d-31f5-4b77-9808-9d49c16c27e1,52,,,"[94.3, 4.2]",3869684,1,,,,2.3698924,,Head,,,"[90.6, 7.8]",,Low Pass,,5.162364,,,,Andrej Kramarić,5460.0,,,,,,1,From Throw In,Mislav Oršić,16527.0,Left Wing,4,Croatia,785,['9eb651ac-079e-40a1-a7d2-e4dc9324a1db'],17,,,,,,,,,,,,,,,,,Croatia,785,00:01:17.678,Pass,
,,,,,,,,,,,,,,,,,0.75104,,,,,,,,,,f3c1d1c7-84da-48d5-b6a1-1f8e94de1e64,56,,,"[91.8, 5.4]",3869684,1,,,,-1.2341216,,Right Foot,,,"[93.2, 1.4]",,Ground Pass,,4.237924,,,,Mislav Oršić,16527.0,,,,,,1,From Throw In,Andrej Kramarić,5460.0,Center Attacking Midfield,4,Croatia,785,"['7f06cf45-b407-4948-a940-a69a11f26215', 'e407e3ed-e1ce-4b19-8d66-22f8a704df6e']",20,,,,,,,,,,,,,,,,,Croatia,785,00:01:20.076,Pass,True
,,,,,,,,,,,,,,,,,1.124972,,,,,,,,,,0882c2bb-a9db-40cc-934e-2d3a3fae75c0,59,,,"[93.2, 1.4]",3869684,1,,,,3.0750246,,Right Foot,,,"[75.2, 2.6]",,Ground Pass,,18.039955,,,,Ivan Perišić,5474.0,,,,,,1,From Throw In,Mislav Oršić,16527.0,Left Wing,4,Croatia,785,['1b340449-bf89-4136-821d-c664e0653f35'],20,,,,,,,,,,,,,,,,,Croatia,785,00:01:20.948,Pass,
,,,,,,,,,,,,,,,,,1.126272,,,,,,,,,,244acab5-0b46-49b4-b717-0de5605d372b,62,,,"[75.2, 2.6]",3869684,1,,,,2.3561945,,Right Foot,,,"[69.3, 8.5]",,Ground Pass,,8.34386,,,,Mateo Kovačić,5456.0,,,,,,1,From Throw In,Ivan Perišić,5474.0,Left Back,4,Croatia,785,['8df6540d-e4d8-4aa4-bf19-0a7c8c22794e'],22,,,,,,,,,,,,,,,,,Croatia,785,00:01:22.987,Pass,
,,,,,,,,,,,,,,,,,1.45839,,,,,,,,,,1eec1127-3ab1-4461-be85-2ce3428fe997,65,,,"[68.7, 14.1]",3869684,1,,,,1.8431365,,Right Foot,,,"[62.5, 36.3]",,Ground Pass,,23.049513,,,,Luka Modrić,5463.0,,,,,,1,From Throw In,Mateo Kovačić,5456.0,Left Defensive Midfield,4,Croatia,785,['0bbf99ec-356f-4099-814e-a3bd6e516022'],25,,,,,,,,,,,,,,,,,Croatia,785,00:01:25.427,Pass,
,,,,,,,,,,,,,,,,,1.12844,,,,,,,,,,a64ed943-df90-4db2-9f26-4837288cdfb8,69,,,"[62.3, 37.4]",3869684,1,,,,2.1453993,,Right Foot,,,"[53.3, 51.3]",,Ground Pass,,16.559288,,,,Josip Šutalo,37148.0,,,,,,1,From Throw In,Luka Modrić,5463.0,Right Defensive Midfield,4,Croatia,785,['954bb930-e085-43bb-b922-77f8a1e7365f'],33,,,,,,,,,,,,,,,,,Croatia,785,00:01:33.383,Pass,
,,,,,,,,,,,,,,,,,1.08974,,,,,,,,,,c6af4403-2998-4671-b687-73a4a9dc6974,72,,,"[53.5, 52.3]",3869684,1,,,,-0.041992106,,Right Foot,,,"[77.3, 51.3]",,Ground Pass,,23.821,,,,Lovro Majer,28914.0,,,,,,1,From Throw In,Josip Šutalo,37148.0,Right Center Back,4,Croatia,785,['6100103f-dd43-4a66-91f9-99c9553b2f19'],35,,,,,,,,,,,,,,,,,Croatia,785,00:01:35.279,Pass,
,,,,,,,,,,,,,,,,,1.806828,,,,,,,,,,451c87ae-81d5-4594-a307-ce59e3ec286f,77,,,"[64.5, 70.7]",3869684,1,,,,-2.9747896,,Left Foot,,,"[44.9, 67.4]",,Ground Pass,,19.875864,,,,Josip Šutalo,37148.0,,,,,,1,From Throw In,Lovro Majer,28914.0,Right Wing,4,Croatia,785,"['73bc65ea-23fe-4b60-8804-cad6bd17d6b2', '8b7ddaef-9f36-4302-86dc-e3f291a6ab09']",39,,,,,,,,,,,,,,,,,Croatia,785,00:01:39.072,Pass,True
,,,,,,,,,,,,,,,,,1.403297,,,,,,,,,,eb5001e7-2715-4cd0-9ad0-1c62840ce877,79,,,"[45.4, 67.7]",3869684,1,,,,-1.142222,,Right Foot,,,"[56.0, 44.5]",,Ground Pass,,25.506863,,,,Mateo Kovačić,5456.0,,,,,,1,From Throw In,Josip Šutalo,37148.0,Right Center Back,4,Croatia,785,['a2094dbf-cd94-438b-ae8c-5bc9d7942d66'],40,,,,,,,,,,,,,,,,,Croatia,785,00:01:40.879,Pass,
,,,,,,,,,,,,,,,,,1.124754,,,,,,,,,,3ffcaf2d-c14e-4fd6-b2a0-8083622a4718,82,,,"[52.3, 41.8]",3869684,1,,,,-1.775613,,Right Foot,,,"[48.0, 21.1]",,Ground Pass,,21.141901,,,,Joško Gvardiol,33018.0,,,,,,1,From Throw In,Mateo Kovačić,5456.0,Left Defensive Midfield,4,Croatia,785,['630b293a-2de4-4aa0-b5b2-2ada1331f9cb'],43,,,,,,,,,,,,,,,,,Croatia,785,00:01:43.154,Pass,
