50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[54.8, 25.9]",,,,,,,,,,,,,2.042014,,,,,,,,,,,3fa58568-9012-4927-a017-f69a9daae18f,2646,,,"[57.2, 20.7]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,110,France,771,"['0fd1520e-24d9-4015-917c-8fe369888a38', '556b0197-1059-44d8-a5da-dbb0bd6ab2aa', 'ae919cb4-3829-4763-991e-889079071567', 'f5223fb4-a9c6-4bca-afda-e5f4b086fe58']",17,,,,,,,,,,,,,,,,,,France,771,00:18:17.592,Carry,True
,,,,,,"[50.7, 50.7]",,,,,,,,,,,,,1.85439,,,,,,,,,,,5a1efd04-3f24-4296-ac34-21e3b184e122,2649,,,"[49.7, 44.6]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,110,France,771,"['8497accb-255f-4251-8f1f-4d840e75ec18', 'a8fd6dc5-c91e-4667-9bd0-9ed7fac0a5a7']",20,,,,,,,,,,,,,,,,,,France,771,00:18:20.644,Carry,
,,,,,,"[69.2, 70.9]",,,,,,,,,,,,,1.879098,,,,,,,,,,,233ec718-af02-4cf8-b206-a48c22736331,2652,,,"[67.9, 74.4]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Ousmane Dembélé,5477.0,Right Wing,110,France,771,"['40950d01-e76c-42d8-b719-02a574883119', 'd339d584-898f-4b57-accd-9420f407c393', 'fc39a60c-b18d-4625-8092-1406fb7a6aec']",24,,,,,,,,,,,,,,,,,,France,771,00:18:24.119,Carry,True
,,,,,,"[47.5, 15.3]",,,,,,,,,,,,,0.473053,,,,,,,,,,,dece5809-2048-49d6-8766-540e30d54b2a,2657,,,"[46.4, 12.6]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joakim Mæhle,16554.0,Left Wing Back,111,Denmark,776,"['05856b3e-3cc6-4193-bfc2-1c9801dce341', 'feada655-d853-4bec-a3e5-c79a3d9a8356']",27,,,,,,,,,,,,,,,,,,Denmark,776,00:18:27.327,Carry,
,,,,,,"[42.0, 16.3]",,,,,,,,,,,,,0.079999,,,,,,,,,,,534dab95-3df8-4b56-9e6a-470d3f4b72ee,2661,,,"[40.5, 17.7]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,111,Denmark,776,"['2657bb16-abd4-41c5-b3ac-283e77f00948', '82dce3c4-b97c-4214-932d-70b1740d45b0', 'c293203d-6b36-43fe-b07b-fd3385dd4991']",28,,,,,,,,,,,,,,,,,,Denmark,776,00:18:28.245,Carry,True
,,,,,,"[50.5, 4.2]",,,,,,,,,,,,,0.971026,,,,,,,,,,,cf19498e-a8b6-4655-bd8a-f361c473a32e,2664,,,"[50.7, 4.2]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mikkel Damsgaard,24443.0,Left Wing,111,Denmark,776,"['dd1c8447-1df2-4873-90ba-1ab7d8eacddf', 'e6353e44-f3d4-4f14-9c2e-d1d2f19ef5d2']",29,,,,,,,,,,,,,,,,,,Denmark,776,00:18:29.289,Carry,
,,,,,,"[52.0, 9.6]",,,,,,,,,,,,,3.184065,,,,,,,,,,,62f1e6c0-8297-4f88-8b9d-a10be7801f28,2670,,,"[49.5, 4.0]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,112,Denmark,776,"['6604e3e3-f7f7-4f6d-ba07-672d68da8acc', '72115c50-4a2f-4e69-96b8-e929489d227a']",39,,,,,,,,,,,,,,,,,,Denmark,776,00:18:39.555,Carry,
,,,,,,"[86.2, 76.8]",,,,,,,,,,,,,4.352195,,,,,,,,,,,ea0ce549-4c7d-4c95-bb2b-5b45784eb961,2673,,,"[83.2, 68.3]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Rasmus Nissen Kristensen,16190.0,Right Wing Back,112,Denmark,776,"['1d5dedbb-45fa-47da-b3f1-073ab7290208', 'a2dc7320-c266-4fc3-8acf-1ecf356fd0df', 'ce996dec-bf2d-4d59-a0c2-b7799e1ebb06']",45,,,,,,,,,,,,,,,,,,Denmark,776,00:18:45.451,Carry,True
,,,,,,"[93.6, 68.1]",,,,,,,,,,,,,0.12,,,,,,,,,,,63ddf41b-5ec2-4774-86bd-e029385f1731,2680,,,"[93.2, 68.5]",3857266,63,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jesper Lindstrøm,27569.0,Right Wing,113,Denmark,776,"['67a9873b-c20a-433c-bf02-d6bae7c379f6', '6c28e730-c9de-4663-901d-107410e24381', '80022f99-7e77-45d0-aa63-eb3d34a79b83']",56,,,,,,,,,,,,,,,,,,Denmark,776,00:18:56.420,Carry,True
,,,,,,"[61.5, 14.5]",,,,,,,,,,,,,0.019405,,,,,,,,,,,c5a3ecd4-ecac-4173-b4fb-bba709108a9f,2688,,,"[60.5, 14.5]",3857266,64,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,114,France,771,"['a8cc7eb7-20b1-4150-9e4a-3b239cc3e716', 'b0a12cd5-87d9-40c8-a51b-18608242ae52']",18,,,,,,,,,,,,,,,,,,France,771,00:19:18.682,Carry,
,,,,,,"[87.4, 26.3]",,,,,,,,,,,,,0.159999,,,,,,,,,,,c698044e-29c4-491d-a707-cc1ba123e257,2692,,,"[87.2, 25.7]",3857266,64,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Marcus Thuram,2972.0,Center Forward,114,France,771,"['0ff9cc7f-0c54-47d6-ac90-83c436f828ef', '2c266491-da29-47f7-9be7-6cf135cc2d25', 'a82f2f3b-b338-43c3-a116-90391971038b']",21,,,,,,,,,,,,,,,,,,France,771,00:19:21.769,Carry,True
,,,,,,"[23.1, 39.7]",,,,,,,,,,,,,1.133485,,,,,,,,,,,1d4e7683-2729-4949-95a1-4e16b3e3c230,2695,,,"[25.0, 47.4]",3857266,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Victor Nelsson,17043.0,Left Center Back,115,Denmark,776,"['6161fc43-835f-481f-b9a7-b95d62c67a8c', 'd985a415-8c43-4f69-b00c-3ee604bffc87']",23,,,,,,,,,,,,,,,,,,Denmark,776,00:19:23.942,Carry,
,,,,,,"[30.0, 26.6]",,,,,,,,,,,,,0.532795,,,,,,,,,,,36ed8ba7-1b3b-402e-b4d7-2f9f34da03c1,2698,,,"[30.0, 26.6]",3857266,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joakim Mæhle,16554.0,Left Wing Back,115,Denmark,776,"['5f837e8c-82ff-4dc4-b423-94987ee97509', '758bfb87-d1d4-49b2-893e-4add98dc0ecf']",26,,,,,,,,,,,,,,,,,,Denmark,776,00:19:26.685,Carry,
,,,,,,"[29.2, 35.1]",,,,,,,,,,,,,1.159139,,,,,,,,,,,805a557f-70fa-4530-9d70-c3f24975c44b,2701,,,"[29.2, 34.7]",3857266,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,115,Denmark,776,"['bae4f3cb-3545-49f9-9a44-5089882a8145', 'e26c0f8b-f6c8-4c93-ae73-a941310e12f8']",28,,,,,,,,,,,,,,,,,,Denmark,776,00:19:28.032,Carry,
,,,,,,"[31.2, 43.1]",,,,,,,,,,,,,2.323646,,,,,,,,,,,19a892d2-7571-4d54-9853-8899aae5575a,2704,,,"[27.9, 43.3]",3857266,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andreas Christensen,3959.0,Center Back,115,Denmark,776,"['22bd8f3c-3283-4841-851b-13db157b586a', 'b447d106-5381-44ab-a8e3-49d5a496ee85']",30,,,,,,,,,,,,,,,,,,Denmark,776,00:19:30.142,Carry,
,,,,,,"[49.2, 47.2]",,,,,,,,,,,,,0.763748,,,,,,,,,,,d45719cd-1822-4d45-89ef-423540e15a6c,2707,,,"[47.5, 47.0]",3857266,64,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Christian Dannemann Eriksen,3043.0,Left Defensive Midfield,115,Denmark,776,"['b6e06cda-c10d-47c6-9f06-20ff6ab2568c', 'd8295564-80e5-40c0-bc20-ea44f3680fb8']",33,,,,,,,,,,,,,,,,,,Denmark,776,00:19:33.765,Carry,
