ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.024421,,,,,,,,,,,,,,1f18ad32-d221-48d0-8854-86657a95abc5,66,,"[61.9, 2.4]",3857267,1,,,,,3.0334024,,Left Foot,,,"[35.2, 5.3]",Ground Pass,,26.857029,,,,Abdou Diallo,8553.0,,,,,Free Kick,1,From Free Kick,Ismail Jakobs,32915.0,Left Back,4,Senegal,787,['3d8a8940-3f65-4e97-9267-48115a9d9cdb'],3,,,,,,,,,,,,,,,,,Senegal,787,00:01:03.402,Pass,
,,,,,,,,,,,,,,,,,1.957036,,,,,,,,,,,,,,ead74420-568e-40a7-97d3-7ca20378b8e1,69,,"[33.3, 7.2]",3857267,1,,,,,1.5865679,,Left Foot,,,"[32.8, 38.9]",Ground Pass,,31.703943,,,,Kalidou Koulibaly,5675.0,,,,,,1,From Free Kick,Abdou Diallo,8553.0,Left Center Back,4,Senegal,787,['07ea2b45-fc6b-4e7e-97ee-1d98ef76c5da'],7,,,,,,,,,,,,,,,,,Senegal,787,00:01:07.142,Pass,
,,,,,,,,,,,,,,,,,1.61717,,,,,,,,,,,,,,a30f9317-9d59-498f-a73b-4236f59de3e9,72,,"[33.3, 45.7]",3857267,1,,,,,1.0211083,,Right Foot,,,"[50.7, 74.1]",Ground Pass,,33.306458,,,,Youssouf Sabaly,3404.0,,,,,,1,From Free Kick,Kalidou Koulibaly,5675.0,Right Center Back,4,Senegal,787,['a43f98b7-2b59-4e0c-be52-f600654c63e1'],10,,,,,,,,,,,,,,,,,Senegal,787,00:01:10.321,Pass,
,,,,,,,,,,,,,,,,,1.932435,,,,,,,,,,,,,,d7b6240d-e523-426a-ae79-d5d369c5b2a1,75,,"[50.4, 71.7]",3857267,1,,,,,-2.4335907,,Right Foot,,,"[37.2, 60.4]",Ground Pass,,17.376133,,,,Kalidou Koulibaly,5675.0,,,,,,1,From Free Kick,Youssouf Sabaly,3404.0,Right Back,4,Senegal,787,['e0f952e8-e12d-41b1-a6fd-216cc89dcee2'],12,,,,,,,,,,,,,,,,,Senegal,787,00:01:12.160,Pass,
,,,,,,,,,,,,,,,,,0.936526,,,,,,,,,,,,,,9563fe5b-ab9a-46e4-b8a6-7ccea81b4643,78,,"[44.0, 60.2]",3857267,1,,,,,0.18088055,,Right Foot,,,"[69.7, 64.9]",Ground Pass,,26.126232,,,,Iliman Ndiaye,80484.0,,,,,,1,From Free Kick,Kalidou Koulibaly,5675.0,Right Center Back,4,Senegal,787,['abd339b2-3118-4dd3-964a-d9d75d71f748'],17,,,,,,,,,,,,,,,,,Senegal,787,00:01:17.001,Pass,
,,,,,,,,,,,,,,,,,1.635154,,,,,,,,,,,,,,9707cdd9-4e74-46f9-ad48-1a88c0c5b424,81,,"[70.0, 63.9]",3857267,1,,,,,-2.1523612,,Right Foot,,,"[62.9, 53.1]",Low Pass,,12.924783,,,,Pathé Ismaël Ciss,31751.0,,,,,,1,From Free Kick,Iliman Ndiaye,80484.0,Right Wing,4,Senegal,787,['02bb1ac0-c4e3-4fd7-a557-73518f52f6cf'],18,,,,,,,,,,,,,,,,,Senegal,787,00:01:18.181,Pass,
,,,,,,,,,,,,,,,,,1.672099,,,,,,,,,,,,,,a3d348ea-37f6-4f6c-8ec9-54aa9011dc55,89,,"[77.1, 45.2]",3857267,1,,,,,-0.99055153,,Right Foot,,,"[96.7, 15.3]",High Pass,,35.751503,,,,Enner Remberto Valencia Lastra,28559.0,,,,,,1,Regular Play,Carlos Armando Gruezo Arboleda,12583.0,Center Defensive Midfield,5,Ecuador,3565,['135542ea-5646-400e-af35-7fa6d89fe9f7'],23,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:23.617,Pass,
,,,,,,,,,,,,,,,,,0.348924,,,,,,,,,,,,,,5db0355d-46aa-48e9-9e48-cc23945fdf20,92,,"[104.6, 4.4]",3857267,1,,,,,1.423718,,Right Foot,,,"[105.4, 9.8]",Ground Pass,,5.4589376,,Incomplete,,Pervis Josué Estupiñán Tenorio,24085.0,,,,,,1,Regular Play,Enner Remberto Valencia Lastra,28559.0,Left Wing,5,Ecuador,3565,"['1b725a12-84b9-4fb8-a727-398b0b68921d', '8af1cef1-2d0e-4003-9089-68e5dec385c7']",29,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:29.167,Pass,
,,,,,,,,,,,,,,,,,2.731753,,,,,,,,,,,,,,ddc2474b-18f0-404c-9e45-ff1c322392fd,95,,"[103.8, 0.1]",3857267,1,,,,,2.8421078,,,,,"[75.3, 8.9]",Low Pass,,29.827671,,,,Piero Martín Hincapié Reyna,38004.0,,,,,Throw-in,1,From Throw In,Pervis Josué Estupiñán Tenorio,24085.0,Left Back,6,Ecuador,3565,['01d5c886-12e8-49c4-8b63-3091dc9f90d6'],44,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:44.924,Pass,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,a4c60d83-51ea-42a7-b036-4533a2bb47e1,98,,"[75.3, 12.4]",3857267,1,,,,,2.418783,,Left Foot,,,"[55.8, 29.6]",Ground Pass,,26.00173,,,,Felix Eduardo Torres Caicedo,30111.0,,,,,,1,From Throw In,Piero Martín Hincapié Reyna,38004.0,Left Center Back,6,Ecuador,3565,['7c5c63ad-07f3-41d2-b6e3-f90685413570'],48,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:48.223,Pass,
