50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,True,,,,,,,0.0,,,,,,,,,,,,,,56b72118-e80b-4a85-a215-3b7ab0c2baa4,2630,,,"[56.8, 3.9]",3869552,68,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Yahia Attiyat allah,31295.0,Left Back,110,France,771,"['3e513f17-ec80-495f-9743-ca063e992409', '5ee29458-119d-4730-b4a8-b0edfc05ec07']",59,,,,,,,,,,,,,,,,,,Morocco,788,00:23:59.594,Dribbled Past,
,,,,,,,,,,,True,,,,,,,0.0,,,,,,,,,,,,,,ea82ed8d-f8ab-48b6-9659-87eaaced74a0,2809,,,"[67.0, 64.5]",3869552,73,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,119,France,771,"['0ec83684-a60f-4356-82bb-3d47d82d1300', '66ef6088-b65a-44a8-8aaa-746f43263f28', 'eae0ad85-afbd-4a3d-91aa-5ce879b12e7e']",22,,,,,,,,,,,,,,,,,,Morocco,788,00:28:22.488,Dribbled Past,
,,,,,,,,,,,True,,,,,,,0.0,,,,,,,,,,,,,,67e1d13b-372b-45c8-a2dc-aa071d361034,2885,,,"[13.7, 47.9]",3869552,75,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Raphaël Varane,5485.0,Right Center Back,123,Morocco,788,"['9faf95aa-a83b-442d-aa4f-ab737c9a63ff', 'a524815b-d2b6-473c-be22-5528a51a46f7']",3,,,,,,,,,,,,,,,,,,France,771,00:30:03.935,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a0927782-15a8-4f12-917f-3a0941b6cbf5,3024,,,"[27.0, 46.6]",3869552,78,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Achraf Hakimi Mouh,5245.0,Right Back,126,France,771,"['9c4d40fb-9d34-4d26-8862-4a8e2750992c', 'b8757190-4d0d-4c29-ab9c-e7cb0b2f72b9']",40,,,,,,,,,,,,,,,,,,Morocco,788,00:33:40.852,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2bd8bda7-578e-4800-9732-55736118f124,3035,,,"[17.0, 52.6]",3869552,78,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Sofyan Amrabat,5234.0,Right Defensive Midfield,126,France,771,"['0bb4dd43-0518-46f1-8b47-b21fd0bb6f8b', 'cdae9e02-24c2-4aff-a1ba-59253fa8a314', 'ea86808e-0da1-440f-9f7e-cb47eb85182a']",46,,,,,,,,,,,,,,,,,,Morocco,788,00:33:46.487,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f209715f-c74d-4cde-ae3a-9f63086d388e,3368,,,"[39.4, 65.6]",3869552,90,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Randal Kolo Muani,22097.0,Right Wing,144,Morocco,788,"['9f63c6c5-f396-4d0a-b0e1-7a92256b9a3b', 'a7978ea1-9b73-436c-a3cf-0037b37d71b2']",58,,,,,,,,,,,,,,,,,,France,771,00:45:58.678,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b9ed02a9-798a-48df-83a8-cdd19a8ea755,3400,,,"[45.2, 57.3]",3869552,91,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Sofyan Amrabat,5234.0,Right Defensive Midfield,145,France,771,"['134394a7-e6db-4700-9306-f8b17478936c', '92990f51-573f-4112-9015-7ba614a4dd8c']",34,,,,,,,,,,,,,,,,,,Morocco,788,00:46:34.391,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a7bff657-bc38-4ef3-8d15-9c0904dc5f51,3482,,,"[6.0, 63.3]",3869552,93,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Jules Koundé,4445.0,Right Back,147,Morocco,788,"['053da0ea-99ff-4294-9c20-c9f26a29b394', 'd6b79bd5-34e3-4cb6-9b8e-88f56ba17396']",30,,,,,,,,,,,,,,,,,,France,771,00:48:30.211,Dribbled Past,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,63a77ce7-5914-401e-b287-09f6ea4436ff,611,,,"[42.2, 15.5]",3869552,13,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Youssouf Fofana,11990.0,Left Defensive Midfield,19,Morocco,788,['48f35982-e32e-4e7f-87a0-0f1445fe06bd'],54,,,,,,,,,,,,,,,,,,France,771,00:13:54.563,Foul Committed,
,,,,,,,,,,,,,,,,,,0.0,,,True,,,,,,,,,,,fe86c5db-71cf-435b-a426-40488678bdcd,848,,,"[95.0, 52.5]",3869552,19,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Kylian Mbappé Lottin,3009.0,Left Wing,27,France,771,['52ade11d-195f-44af-a025-97a2a8a96d0a'],48,,,,,,,,,,,,,,,,,,France,771,00:19:48.731,Foul Committed,
