ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.855326,,,,,,,,,,,,,,,,72be0418-f142-44a9-85db-80ac510f16e7,4303,,"[87.4, 12.8]",3857291,95,,,,,1.8572674,,Left Foot,,,,"[83.6, 25.7]",,Ground Pass,13.448049,,,,Jorge Resurrección Merodio,5199.0,,,,,,2,Regular Play,Daniel Olmo Carvajal,16532.0,Left Wing,140,Spain,772,['cbf98eb1-6028-4e03-997b-dcaf45d74936'],6,,,,,,,,,,,,,,,,Spain,772,00:50:06.484,Pass,
,,,,,,,,,,,,,,,,,0.663031,,,,,,,,,,,,,,,,407faef8-ea00-42cc-8142-9e9675ce2955,4306,,"[83.6, 25.7]",3857291,95,,,,,1.2163471,,Right Foot,,,,"[88.3, 38.4]",,Ground Pass,13.541787,,,,Pablo Martín Páez Gavira,133353.0,,,,,,2,Regular Play,Jorge Resurrección Merodio,5199.0,Center Defensive Midfield,140,Spain,772,['7d2263a8-1a88-4322-ac88-65966a5e5fc0'],8,,,,,,,,,,,,,,,,Spain,772,00:50:08.353,Pass,
,,,,,,,,,,,,,,,,,0.715994,,,,,,,,,,,,,,,,41ca1038-149d-4b63-8e07-1581be712574,4309,,"[103.6, 34.7]",3857291,95,,,,,1.710898,d552f2f3-b14f-462f-895a-fb7f7c8474cd,Left Foot,,,,"[102.5, 42.5]",,Ground Pass,7.877182,,,,Carlos Soler Barragán,6583.0,True,,,,,2,Regular Play,Pablo Martín Páez Gavira,133353.0,Right Center Midfield,140,Spain,772,['09a54fea-6aa6-4998-937e-8291d063aeb5'],13,,,,,,,,,,,,,,,,Spain,772,00:50:13.356,Pass,
,,,,,,,,,,,,,,,,,5.291943,,,,,,,,,,,,,,,,f79aaadf-b79a-429e-ad26-40cf62bb0914,4313,,"[7.0, 36.1]",3857291,95,,,,,-0.47050074,,Right Foot,,,,"[76.8, 0.6]",,High Pass,78.30894,,Out,,,,,,,,Goal Kick,2,From Goal Kick,Keylor Navas Gamboa,5597.0,Goalkeeper,141,Costa Rica,795,,42,,,,,,,,,,,,,,,,Costa Rica,795,00:50:42.013,Pass,
,,,,,,,,,,,,,,,,,1.44146,,,,,,,,,,,,,,,,8ef747e4-8fa0-406b-818c-7dcfffc69c50,4314,,"[37.0, 80.0]",3857291,95,,,,,-2.173354,,,,,,"[26.2, 64.3]",,Low Pass,19.055971,,,,Rodrigo Hernández Cascante,6765.0,,,,,Throw-in,2,From Throw In,César Azpilicueta Tanco,3957.0,Right Back,142,Spain,772,['3e3d4816-dd5d-4080-a529-02fbc26466cc'],53,,,,,,,,,,,,,,,,Spain,772,00:50:53.357,Pass,
,,,,,,,,,,,,,,,,,1.249759,,,,,,,,,,,,,,,,c4b21bcf-1355-4425-b538-ba750735ecc4,4317,,"[28.9, 60.0]",3857291,95,,,,,-1.1322094,,Right Foot,,,,"[43.3, 29.3]",,Ground Pass,33.90944,,,,Carlos Soler Barragán,6583.0,,,,,,2,From Throw In,Rodrigo Hernández Cascante,6765.0,Right Center Back,142,Spain,772,['06925058-9830-4bc7-8957-ae2f0b72432d'],56,,,,,,,,,,,,,,,,Spain,772,00:50:56.577,Pass,
,,,,,,,,,,,,,,,,,0.878661,,,,,,,,,,,,,,,,d0854fdd-9e1d-46fd-b06e-19212c38b67f,4320,,"[43.3, 29.3]",3857291,95,,,,,-0.465718,,Right Foot,,,,"[62.6, 19.6]",,Ground Pass,21.600464,,,,Daniel Olmo Carvajal,16532.0,,,,,,2,From Throw In,Carlos Soler Barragán,6583.0,Left Center Midfield,142,Spain,772,['20bbacf6-0d35-4558-a00d-e7d66817b17b'],59,,,,,,,,,,,,,,,,Spain,772,00:50:59.565,Pass,
,,,,,,,,,,,,,,,,,1.648621,,,,,,,,,,,,,,,,0620190d-ea30-4a7d-9878-d28ab92eb88b,4323,,"[63.5, 16.9]",3857291,96,,,,,-0.39934245,,Right Foot,,,,"[85.3, 7.7]",,Ground Pass,23.661783,,,,Alejandro Balde Martínez,39161.0,,,,,,2,From Throw In,Daniel Olmo Carvajal,16532.0,Left Wing,142,Spain,772,['a72f33e2-b12a-414e-a5fc-17856eb967fe'],1,,,,,,,,,,,,,,,,Spain,772,00:51:01.348,Pass,
,,,,,,,,,,,,,,,,,3.215996,,,,,,,,,,,,,,,,e170f8af-380d-4140-8757-fccff77aca6d,4332,,"[88.3, 0.1]",3857291,97,,,,,2.5715523,,,,,,"[57.1, 20.1]",,Low Pass,37.05995,,,,Alejandro Balde Martínez,39161.0,,,,,Throw-in,2,From Throw In,Carlos Soler Barragán,6583.0,Left Center Midfield,144,Spain,772,['7f32df5a-b998-4479-8990-9d276d6b3e85'],37,,,,,,,,,,,,,,,,Spain,772,00:52:37.722,Pass,
,,,,,,,,,,,,,,,,,0.895828,,,,,,,,,,,,,,,,0fa9a409-ab9a-4196-97d4-c63aa1b3b096,4335,,"[53.9, 20.3]",3857291,97,,,,,1.9492238,,Left Foot,,,,"[50.6, 28.6]",,Ground Pass,8.931965,,,,Rodrigo Hernández Cascante,6765.0,,,,,,2,From Throw In,Alejandro Balde Martínez,39161.0,Left Back,144,Spain,772,['8ed67081-1c0b-4ebf-9a52-dd506542ef70'],42,,,,,,,,,,,,,,,,Spain,772,00:52:42.061,Pass,
