50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.891738,,,,,,,,,,,,,7f6263b0-386d-4ba9-8797-1bb472daaff4,50,,,"[41.1, 71.5]",3869519,0,,,,,0.16045828,,Right Foot,,,,"[58.4, 74.3]",,Ground Pass,,17.525126,,,Incomplete,,Josip Juranović,29163.0,,,,,,1,From Kick Off,Dejan Lovren,3471.0,Right Center Back,2,Croatia,785,"['70134044-250b-41a2-b23c-60c926f02f7b', 'babe9351-96ea-45cc-aac2-19d45d394112']",57,,,,,,,,,,,,,,,,,Croatia,785,00:00:57.044,Pass,
,,,,,,,,,,,,,,,,,0.794445,,,,,,,,,,,,,43618602-a56f-4a5a-9284-67ab70163c82,54,,,"[68.7, 2.5]",3869519,0,,,,,1.7748142,,Left Foot,,,,"[67.5, 8.3]",,Ground Pass,,5.9228373,,,,,Enzo Fernandez,38718.0,,,,,,1,Regular Play,Alexis Mac Allister,27886.0,Left Midfield,3,Argentina,779,['9d479aab-2851-4740-a7a7-adb524e49b10'],59,,,,,,,,,,,,,,,,,Argentina,779,00:00:59.249,Pass,
,,,,,,,,,,,,,,,,,1.918715,,,,,,,,,,,,,04561ef5-5f6d-429c-aa7d-293a2d1244d4,60,,,"[52.9, 0.1]",3869519,1,,True,,,2.8733623,,,,,,"[35.8, 4.8]",,Low Pass,,17.734148,,,,,Nicolás Hernán Otamendi,3090.0,,,,,Throw-in,1,From Throw In,Nicolás Alejandro Tagliafico,5507.0,Left Back,4,Argentina,779,['113e6252-2a4b-4441-ba10-869f192a2560'],10,,,,,,,,,,,,,,,,,Argentina,779,00:01:10.684,Pass,
,,,,,,,,,,,,,,,,,1.79881,,,,,,,,,,,,,4e0184e2-a9c0-450e-846d-18637c541169,62,,,"[34.5, 6.7]",3869519,1,,,,,1.5707964,,Right Foot,,,,"[34.5, 26.8]",,Ground Pass,,20.1,,,,,Cristian Gabriel Romero,20572.0,,,,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Left Center Back,4,Argentina,779,['d1250a45-ce72-40a5-83da-b8061e342aa4'],13,,,,,,,,,,,,,,,,,Argentina,779,00:01:13.683,Pass,
,,,,,,,,,,,,,,,,,0.848131,,,,,,,,,,,,,ddc72e3b-80da-4749-8835-644eb84dcdde,65,,,"[46.2, 50.9]",3869519,1,,,,,0.7234087,,Right Foot,,,,"[53.9, 57.7]",,Ground Pass,,10.272779,,,,,Rodrigo Javier De Paul,7797.0,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,4,Argentina,779,['ae55ed6e-3d95-4c03-8dd4-58de2881a552'],19,,,,,,,,,,,,,,,,,Argentina,779,00:01:19.702,Pass,
,,,,,,,,,,,,,,,,,0.984662,,,,,,,,,,,,,1ea334e0-230c-4df8-bebf-000e3ab40b73,69,,,"[50.2, 57.0]",3869519,1,,,,,-2.8706458,,Right Foot,,,,"[39.4, 54.0]",,Ground Pass,,11.208925,,,,,Cristian Gabriel Romero,20572.0,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Midfield,4,Argentina,779,"['1cb006b8-0203-4c17-b1c6-6767018a17a2', 'e7ee1a4d-f82c-4dc4-9b13-2c28943b4a15']",21,,,,,,,,,,,,,,,,,Argentina,779,00:01:21.532,Pass,True
,,,,,,,,,,,,,,,,,1.608623,,,,,,,,,,,,,57849128-4762-4d63-add8-1af3662bb117,71,,,"[39.4, 53.3]",3869519,1,,,,,-1.7401001,,Right Foot,,,,"[35.4, 29.9]",,Ground Pass,,23.739418,,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,4,Argentina,779,['4dc4f704-066f-4353-b3fe-8cfa10b88c5c'],22,,,,,,,,,,,,,,,,,Argentina,779,00:01:22.516,Pass,
,,,,,,,,,,,,,,,,,1.353491,,,,,,,,,,,,,b4317e35-ef12-4ef5-979c-3c5941b0c9ab,74,,,"[48.3, 20.8]",3869519,1,,,,,-1.5899023,,Right Foot,,,,"[48.0, 5.1]",,Ground Pass,,15.702866,,,,,Nicolás Alejandro Tagliafico,5507.0,,,,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Left Center Back,4,Argentina,779,['400f6fde-89f7-4943-8618-189d43261660'],28,,,,,,,,,,,,,,,,,Argentina,779,00:01:28.302,Pass,
,,,,,,,,,,,,,,,,,1.237331,,,,,,,,,,,,,ed834a13-e026-4b5e-b518-d054f1f2b284,77,,,"[48.0, 5.8]",3869519,1,,,,,2.6316206,,Left Foot,,,,"[36.2, 12.4]",,Ground Pass,,13.520355,,,,,Nicolás Hernán Otamendi,3090.0,,,,,,1,From Throw In,Nicolás Alejandro Tagliafico,5507.0,Left Back,4,Argentina,779,['3649976a-acf4-4836-893b-60c4bf66c603'],31,,,,,,,,,,,,,,,,,Argentina,779,00:01:31.480,Pass,
,,,,,,,,,,,,,,,,,1.459082,,,,,,,,,,,,,2794ec26-02e6-4627-9641-bd54d85742e7,81,,,"[35.8, 10.1]",3869519,1,,,,,2.453393,,Left Foot,,,,"[11.6, 30.0]",,Low Pass,,31.331295,,,,,Damián Emiliano Martínez,6909.0,,,,,,1,From Throw In,Nicolás Hernán Otamendi,3090.0,Left Center Back,4,Argentina,779,"['99d182e8-06e9-43c8-8a7d-e66be44fc53b', 'bc22158b-02f5-488d-84f5-d2511331402e']",33,,,,,,,,,,,,,,,,,Argentina,779,00:01:33.458,Pass,True
