bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.781908,,,,,,,,,,,,,,0c7b2f16-a370-4030-b6a2-5a6dead9e88e,49,,,"[13.4, 52.3]",3857270,0,,,,,-0.11584973,,Left Foot,,,,"[64.1, 46.4]",,High Pass,51.04214,,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,,1,From Free Kick,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,4,Portugal,780,"['023618d5-71d1-4417-925a-c587581e2556', 'a50b3d37-179a-472f-aa2d-a470cd947c62']",53,,,,,,,,,,,,,,,,,,Portugal,780,00:00:53.984,Pass,
,,,,,,,,,,,,,,,,1.338433,,,,,,,,,,,,,,a50b3d37-179a-472f-aa2d-a470cd947c62,51,,,"[56.0, 33.7]",3857270,0,,,,,-0.27389163,,Head,,,,"[77.0, 27.8]",,High Pass,21.81307,,Incomplete,,,,,,,,,Recovery,1,From Free Kick,Diego Roberto Godín Leal,5249.0,Center Back,4,Portugal,780,"['0c7b2f16-a370-4030-b6a2-5a6dead9e88e', '8299b31a-88c6-4a3a-b230-c86cbbd25522']",56,,,,,,,,,,,,,,,,,,Uruguay,783,00:00:56.766,Pass,
,,,,,,,,,,,,,,,,1.792974,,,,,,,,,,,,,,8299b31a-88c6-4a3a-b230-c86cbbd25522,52,,,"[43.1, 52.3]",3857270,0,,,,,-1.2627436,,Head,,,,"[46.6, 41.3]",,High Pass,11.543396,,,,William Silva de Carvalho,5214.0,,,,,,Recovery,1,From Free Kick,Bruno Miguel Borges Fernandes,5204.0,Center Attacking Midfield,4,Portugal,780,"['036c3d93-72f1-45ab-b863-c0a1128f6fce', 'a50b3d37-179a-472f-aa2d-a470cd947c62']",58,,,,,,,,,,,,,,,,,,Portugal,780,00:00:58.104,Pass,
,,,,,,,,,,,,,,,,1.289779,,,,,,,,,,,,,,efc07f4c-c70f-49a3-8187-9d08a26c445e,54,,,"[46.6, 41.3]",3857270,0,,,,,0.51185584,,Left Foot,,,,"[64.4, 51.3]",,Low Pass,20.41666,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,,1,From Free Kick,William Silva de Carvalho,5214.0,Left Center Midfield,4,Portugal,780,['38474496-7508-40e5-ab90-de8344d18e6f'],59,,,,,,,,,,,,,,,,,,Portugal,780,00:00:59.897,Pass,
,,,,,,,,,,,,,,,,0.060981,,,,,,,,,,,,,,60c1bbaa-951b-4149-948c-1c3ee768ce86,58,,,"[65.0, 47.7]",3857270,1,,,,,-1.8033533,,Right Foot,,,,"[64.1, 43.9]",,Ground Pass,3.905125,,Incomplete,,,,,,,,,,1,From Free Kick,Cristiano Ronaldo dos Santos Aveiro,5207.0,Right Center Forward,4,Portugal,780,['dd8db28d-b796-4c59-bd7d-616ce33b14f5'],2,,,,,,,,,,,,,,,,,,Portugal,780,00:01:02.725,Pass,
,,,,,,,,,,,,,,,,1.696708,,,,,,,,,,,,,,1772e4ae-e4b2-4d76-964d-6b1cb0b5a15e,60,,,"[24.2, 43.8]",3857270,1,,,,,3.018367,,Right Foot,,,,"[2.4, 46.5]",,Ground Pass,21.966566,,,,Sergio Rochet Álvarez,36710.0,,,,,,Recovery,1,From Free Kick,Diego Roberto Godín Leal,5249.0,Center Back,4,Portugal,780,['e8a80398-103d-494d-8341-fbb7c380fa4a'],6,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:06.494,Pass,
,,,,,,,,,,,,,,,,4.398178,,,,,,,,,,,,,,05f44ae8-b8a5-44f7-8ef5-9e01322f6518,62,,,"[2.4, 46.5]",3857270,1,,,,,0.73266536,,Right Foot,,,,"[39.3, 79.7]",,High Pass,49.637184,,Out,,,,,,,,,,1,From Free Kick,Sergio Rochet Álvarez,36710.0,Goalkeeper,4,Portugal,780,,8,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:08.191,Pass,
,,,,,,,,,,,,,,,,0.997222,,,,,,,,,,,,,,5d7a1da2-2dbd-4f4c-b4ab-a0a0a740cba2,63,,,"[82.2, 0.1]",3857270,1,,,,,2.6494975,,,,,,"[72.5, 5.3]",,Low Pass,11.005907,,,,William Silva de Carvalho,5214.0,,,,,,Throw-in,1,From Throw In,Nuno Mendes,41092.0,Left Back,5,Portugal,780,['4fc5f072-c1b1-43ff-bc44-2ab4eb81a22e'],31,,,,,,,,,,,,,,,,,,Portugal,780,00:01:31.692,Pass,
,,,,,,,,,,,,,,,,1.752832,,,,,,,,,,,,,,2d9a9a92-915f-4fa3-86d5-194becdf4e89,66,,,"[69.4, 5.8]",3857270,1,,,,,2.181756,,Right Foot,,,,"[49.3, 34.5]",,Ground Pass,35.03855,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Throw In,William Silva de Carvalho,5214.0,Left Center Midfield,5,Portugal,780,['b4a90d9f-5782-4b12-8938-30ea427dd831'],34,,,,,,,,,,,,,,,,,,Portugal,780,00:01:34.496,Pass,
,,,,,,,,,,,,,,,,1.112096,,,,,,,,,,,,,,7a2424ed-84d7-4ad3-863e-ba06e8a1491b,69,,,"[52.6, 43.8]",3857270,1,,,,,1.2836552,,Right Foot,,,,"[57.0, 58.7]",,Ground Pass,15.536087,,,,João Pedro Cavaco Cancelo,7005.0,,,,,,,1,From Throw In,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,5,Portugal,780,['1bce7187-00ba-47fe-976f-ea5cadb7403e'],38,,,,,,,,,,,,,,,,,,Portugal,780,00:01:38.230,Pass,
,,,,,,,,,,,,,,,,0.863316,,,,,,,,,,,,,,f8ab5b3e-68ce-47cd-87c5-e3f291c9fcab,72,,,"[57.0, 57.7]",3857270,1,,,,,-2.922162,,Right Foot,,,,"[43.1, 54.6]",,Ground Pass,14.241488,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,,1,From Throw In,João Pedro Cavaco Cancelo,7005.0,Right Back,5,Portugal,780,['29a499a8-07d3-4491-abe9-86600b8213f9'],39,,,,,,,,,,,,,,,,,,Portugal,780,00:01:39.935,Pass,
,,,,,,,,,,,,,,,,0.735975,,,,,,,,,,,,,,8571409c-9f86-48f7-bf08-0c2017ac6753,75,,,"[30.1, 52.2]",3857270,1,,,,,-0.48833394,,Right Foot,,,,"[36.5, 48.8]",,Ground Pass,7.2470684,,,,Rúben Diogo Da Silva Neves,9927.0,,,,,,,1,From Throw In,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,5,Portugal,780,['d8922f38-e6bf-4213-b6a6-474f2f373b1a'],45,,,,,,,,,,,,,,,,,,Portugal,780,00:01:45.071,Pass,
,,,,,,,,,,,,,,,,1.682291,,,,,,,,,,,,,,e2bf1d6a-c515-4e0d-8ed0-e082f2710e54,78,,,"[33.5, 45.9]",3857270,1,,,,,-2.101012,,Right Foot,,,,"[23.3, 28.5]",,Ground Pass,20.169283,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,,1,From Throw In,Rúben Diogo Da Silva Neves,9927.0,Center Defensive Midfield,5,Portugal,780,['be4f32bd-0145-4cf5-b32d-7b03ea528db8'],46,,,,,,,,,,,,,,,,,,Portugal,780,00:01:46.740,Pass,
,,,,,,,,,,,,,,,,1.106286,,,,,,,,,,,,,,a286a9da-955b-40d4-bf8f-20181eaaf495,81,,,"[23.3, 28.5]",3857270,1,,,,,1.849096,,Right Foot,,,,"[19.9, 40.4]",,Ground Pass,12.376186,,,,Rúben Diogo Da Silva Neves,9927.0,,,,,,,1,From Throw In,Rúben Santos Gato Alves Dias,5206.0,Left Center Back,5,Portugal,780,['442108c8-52c0-4b83-b925-916672c08cfa'],51,,,,,,,,,,,,,,,,,,Portugal,780,00:01:51.054,Pass,
,,,,,,,,,,,,,,,,1.720662,,,,,,,,,,,,,,6df1a1c7-a62e-4ab8-b12a-37e1867db3c2,84,,,"[19.9, 40.4]",3857270,1,,,,,0.9696106,,Right Foot,,,,"[43.7, 75.1]",,Ground Pass,42.077667,,,,João Pedro Cavaco Cancelo,7005.0,,,,,,,1,From Throw In,Rúben Diogo Da Silva Neves,9927.0,Center Defensive Midfield,5,Portugal,780,['c6ef0d40-b09c-4f8b-a417-708f4ff789b2'],53,,,,,,,,,,,,,,,,,,Portugal,780,00:01:53.510,Pass,
,,,,,,,,,,,,,,,,1.754752,,,,,,,,,,,,,,05bf5304-aee3-49c9-bfb2-1a15bf42ae63,91,,,"[82.7, 5.0]",3857270,1,,,,,2.0481417,,Right Foot,,,,"[79.7, 10.8]",,Ground Pass,6.529931,,,,Mathías Olivera Miramontes,7104.0,,,,,,Recovery,1,Regular Play,Darwin Gabriel Núñez Ribeiro,32478.0,Right Center Forward,6,Uruguay,783,"['6869c5a4-4b1d-4b35-bee8-faed43da346e', 'd512df19-f2de-46af-81c8-8acfc5338bf5']",57,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:57.551,Pass,True
