50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.903073,,,,,,,,,,,,,d380ee3f-85e1-48a2-9ca7-a967bcdc9d5e,51,,,"[70.3, 27.3]",3869253,0,,,,0.44344833,,Right Foot,,,"[78.3, 31.1]",,Ground Pass,,8.856636,,Pass Offside,,Gue-Sung Cho,40542.0,,,,,,1,From Kick Off,Heung-Min Son,3083.0,Left Center Forward,2,South Korea,791,['64fee977-ad93-47ed-bc32-3f5f14788f37'],38,,,,,,,,,,,,,,,,,South Korea,791,00:00:38.298,Pass,
,,,,,,,,,,,,,,,,,,1.621266,,,,,,,,,,,,,04961a4c-cd3d-45c4-8cea-a5f089b9039c,53,,,"[38.7, 54.0]",3869253,0,True,,,-2.2597208,,Right Foot,,,"[30.3, 43.8]",,Ground Pass,,13.21363,,,,Thiago Emiliano da Silva,3295.0,,,,,Free Kick,1,From Free Kick,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Brazil,781,['6226dc17-76d3-426d-9b36-2f097eb0a310'],53,,,,,,,,,,,,,,,,,Brazil,781,00:00:53.981,Pass,
,,,,,,,,,,,,,,,,,,1.117746,,,,,,,,,,,,,5c6643b2-fbe5-4bea-9a49-162870b1569f,55,,,"[26.4, 38.3]",3869253,0,True,,,-1.1216404,,Right Foot,,,"[33.1, 24.4]",,Ground Pass,,15.43049,,,,Danilo Luiz da Silva,3063.0,,,,,,1,From Free Kick,Thiago Emiliano da Silva,3295.0,Left Center Back,3,Brazil,781,['ff553a8e-0312-40f0-b457-53ca62bd3939'],55,,,,,,,,,,,,,,,,,Brazil,781,00:00:55.789,Pass,
,,,,,,,,,,,,,,,,,,1.006384,,,,,,,,,,,,,733f5fe7-bb71-4b30-83e0-4fcb12a98a6d,57,,,"[33.0, 23.6]",3869253,0,,,,2.3644588,,Left Foot,,,"[26.9, 29.6]",,Ground Pass,,8.556284,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Free Kick,Danilo Luiz da Silva,3063.0,Left Back,3,Brazil,781,['9412e4b1-574a-435b-b9e0-84b49ded50e0'],58,,,,,,,,,,,,,,,,,Brazil,781,00:00:58.657,Pass,
,,,,,,,,,,,,,,,,,,1.113877,,,,,,,,,,,,,455f4b17-4ec3-4a81-a2c9-13d045b9e8f2,60,,,"[33.0, 33.3]",3869253,1,,,,1.4523064,,Right Foot,,,"[34.5, 45.9]",,Ground Pass,,12.6889715,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Free Kick,Thiago Emiliano da Silva,3295.0,Left Center Back,3,Brazil,781,['535c19a7-eba8-4eb4-82ce-6b266764cd75'],3,,,,,,,,,,,,,,,,,Brazil,781,00:01:03.042,Pass,
,,,,,,,,,,,,,,,,,,1.618926,,,,,,,,,,,,,377fbc9b-96e1-46be-89ab-d22727a12ddc,62,,,"[34.5, 45.9]",3869253,1,,,,-1.577939,,Right Foot,,,"[34.4, 31.9]",,Ground Pass,,14.000357,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Free Kick,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Brazil,781,['501aba85-71f2-4d37-a42d-94d2c93504d8'],4,,,,,,,,,,,,,,,,,Brazil,781,00:01:04.156,Pass,
,,,,,,,,,,,,,,,,,,1.438705,,,,,,,,,,,,,388f03ad-0910-459b-82aa-c48aea227d6a,65,,,"[39.2, 26.4]",3869253,1,,,,-0.9254445,,Right Foot,,,"[58.7, 0.5]",,Ground Pass,,32.420055,,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,1,From Free Kick,Thiago Emiliano da Silva,3295.0,Left Center Back,3,Brazil,781,['69d05918-a18b-47ca-9b2f-5c2022a0fd5d'],7,,,,,,,,,,,,,,,,,Brazil,781,00:01:07.872,Pass,
,,,,,,,,,,,,,,,,,,0.438358,,,,,,,,,,,,,0b15a7e2-f7f7-44bd-9495-f8d7972a91e9,68,,,"[58.7, 0.5]",3869253,1,,,,0.20749623,,Right Foot,,,"[64.4, 1.7]",,Ground Pass,,5.8249464,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Free Kick,Vinícius José Paixão de Oliveira Júnior,18395.0,Left Wing,3,Brazil,781,"['5d89d69a-0a22-4239-86aa-1be085f471b6', '83ce08b7-840c-4266-92aa-f707aebb37a1']",9,,,,,,,,,,,,,,,,,Brazil,781,00:01:09.471,Pass,
,,,,,,,,,,,,,,,,,,1.272019,,,,,,,,,,,,,e8b07406-85cf-44e5-b814-1f4b65877d77,73,,,"[48.7, 9.1]",3869253,1,,,,2.895014,,Right Foot,,,"[34.0, 12.8]",,Ground Pass,,15.158496,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Free Kick,Danilo Luiz da Silva,3063.0,Left Back,3,Brazil,781,['eaa911c3-9175-4875-9e76-f9ea0fbefdc3'],12,,,,,,,,,,,,,,,,,Brazil,781,00:01:12.196,Pass,
,,,,,,,,,,,,,,,,,,2.930233,,,,,,,,,,,,,91961e4e-915f-4652-845f-97823c72897f,76,,,"[40.8, 17.1]",3869253,1,,,,-0.31751072,,Right Foot,,,"[90.4, 0.8]",,High Pass,,52.209675,,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,1,From Free Kick,Thiago Emiliano da Silva,3295.0,Left Center Back,3,Brazil,781,['b437394f-7c2f-4140-84b5-22e04ec5462c'],15,,,,,,,,,,,,,,,,,Brazil,781,00:01:15.715,Pass,
