ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.359565,,,,,,,,,,,,,,,,516ab152-e00e-43d4-8b46-4ac23a454cf1,46,,"[66.9, 21.4]",3857271,0,,,,-1.0188261,,Right Foot,,,,"[77.8, 3.7]",,Ground Pass,,20.787016,,,Luke Shaw,3382.0,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['06248da5-903e-4020-a957-704eb825ee7c'],47,,,,,,,,,,,,,,,,,,,England,768,00:00:47.285,Pass,
,,,,,,,,,,,,,,,,0.884368,,,,,,,,,,,,,,,,29328bef-8e25-411d-ba59-951ddf22c14e,50,,"[75.3, 3.2]",3857271,0,,,,3.1028523,,Left Foot,,,,"[62.4, 3.7]",,Ground Pass,,12.909686,,,Mason Mount,7843.0,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,3,England,768,"['34922335-6516-4a26-adbd-dac3efbaae04', '4d91cb84-5de4-4030-b9c6-640fa32848b0']",49,,,,,,,,,,,,,,,,,,,England,768,00:00:49.266,Pass,True
,,,,,,,,,,,,,,,,1.742978,,,,,,,,,,,,,,,,f4db9c23-dcd4-48e0-8559-34a69c957d6f,53,,"[62.4, 3.7]",3857271,0,,,,1.8323138,,Right Foot,,,,"[53.3, 37.7]",,Ground Pass,,35.19673,,,John Stones,3244.0,,,,,,1,Regular Play,Mason Mount,7843.0,Center Attacking Midfield,3,England,768,['38df8c24-fc34-4c97-a784-93c2c6b88d9a'],51,,,,,,,,,,,,,,,,,,,England,768,00:00:51.418,Pass,
,,,,,,,,,,,,,,,,1.625021,,,,,,,,,,,,,,,,088b48ba-1d89-4d09-90b4-512b877bc12b,56,,"[68.5, 51.3]",3857271,0,,,,1.0209432,,Right Foot,,,,"[81.8, 73.0]",,Ground Pass,,25.451523,,,Kieran Trippier,3308.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['8e24e6e2-550c-4dae-a8dd-3d408d97ef41'],56,,,,,,,,,,,,,,,,,,,England,768,00:00:56.582,Pass,
,,,,,,,,,,,,,,,,1.401817,,,,,,,,,,,,,,,,fe86e5f6-2171-4b1a-9133-7dc865dae477,65,,"[76.6, 73.5]",3857271,1,,,,-2.6468196,,Left Foot,,,,"[55.1, 61.9]",,Ground Pass,,24.429695,,,John Stones,3244.0,,,,,,1,Regular Play,Jude Bellingham,30714.0,Right Defensive Midfield,3,England,768,"['482c8222-57bd-4190-b286-5d3cfc18c508', '6c3706f4-5b86-430d-9154-25333513255f']",0,,,,,,,,,,,,,,,,,,,England,768,00:01:00.861,Pass,True
,,,,,,,,,,,,,,,,1.783354,,,,,,,,,,,,,,,,8e98a399-7b2e-4dd4-ab9a-17268cd435ee,68,,"[55.8, 59.9]",3857271,1,,,,-1.6243848,,Right Foot,,,,"[54.4, 33.8]",,Ground Pass,,26.137522,,,Harry Maguire,3336.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['f392ff30-cbcb-4248-b919-625ba2748398'],3,,,,,,,,,,,,,,,,,,,England,768,00:01:03.224,Pass,
,,,,,,,,,,,,,,,,1.967591,,,,,,,,,,,,,,,,3d8e7a14-33a3-4dae-aa41-29c8d2235482,71,,"[73.9, 26.6]",3857271,1,,,,-1.1413234,,Right Foot,,,,"[84.8, 2.8]",,Ground Pass,,26.17728,,,Luke Shaw,3382.0,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['c4dc66cb-2deb-49e8-ade5-19dcf8b164ad'],9,,,,,,,,,,,,,,,,,,,England,768,00:01:09.370,Pass,
,,,,,,,,,,,,,,,,1.284203,,,,,,,,,,,,,,,,e89c0178-f24d-4037-9474-b216df57a077,74,,"[80.7, 4.4]",3857271,1,,,,2.145101,,Left Foot,,,,"[74.1, 14.6]",,Ground Pass,,12.149074,,,Declan Rice,3943.0,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,3,England,768,['f8eb1505-5185-40ea-9d4d-cf0f0df8afb4'],13,,,,,,,,,,,,,,,,,,,England,768,00:01:13.447,Pass,
,,,,,,,,,,,,,,,,1.603681,,,,,,,,,,,,,,,,18093b81-4cc6-427d-ab1d-d69bc04dcf49,77,,"[72.3, 12.5]",3857271,1,,,,1.8025558,,Right Foot,,,,"[66.4, 37.5]",,Ground Pass,,25.686768,,,John Stones,3244.0,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,3,England,768,['d26e969f-39ee-4432-9df4-5a4101a8c052'],15,,,,,,,,,,,,,,,,,,,England,768,00:01:15.813,Pass,
,,,,,,,,,,,,,,,,1.042417,,,,,,,,,,,,,,,,59816041-2c52-4e71-90de-bf190b9106ab,80,,"[64.4, 38.8]",3857271,1,,,,-0.75092906,,Right Foot,,,,"[71.9, 31.8]",,Ground Pass,,10.259142,,,Declan Rice,3943.0,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['ed94d5e1-55ac-4a73-b496-9832a0f7a21e'],20,,,,,,,,,,,,,,,,,,,England,768,00:01:20.315,Pass,
