50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[87.9, 27.9]",,,,,,,,,,,,0.666957,,,,,,,,,,,,,,,2e0202d8-aa4d-4fb4-8b57-2e43363d3026,4636,,,"[87.9, 27.9]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Alexis Mac Allister,27886.0,Left Center Midfield,220,Argentina,779,"['482e7625-e5ec-477a-b687-1612001d4786', '52c52bc6-67f4-42b0-8aed-82221e3abbf9']",20,,,,,,,,,,,,,,,,,,Argentina,779,00:14:20.694,Carry,
,,,,,,"[80.5, 23.1]",,,,,,,,,,,,0.99976,,,,,,,,,,,,,,,241d1c49-e619-492a-ae88-cee76027cec1,4639,,,"[77.4, 24.3]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Nicolás Hernán Otamendi,3090.0,Left Center Back,220,Argentina,779,"['04f66236-6a70-4913-83f0-27e6a7dc7773', '7ae36f67-4dfb-46ac-b9c7-178c563f8c2e']",22,,,,,,,,,,,,,,,,,,Argentina,779,00:14:22.485,Carry,
,,,,,,"[77.5, 34.3]",,,,,,,,,,,,0.492395,,,,,,,,,,,,,,,16932be3-049d-464a-acaa-96e521d8081f,4642,,,"[77.5, 34.3]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,220,Argentina,779,"['50d8872d-21a9-405d-94ec-a743dbf9e386', 'a3cf26e2-66c5-410c-99ae-79bd2bcbf1a2']",24,,,,,,,,,,,,,,,,,,Argentina,779,00:14:24.203,Carry,
,,,,,,"[86.7, 36.3]",,,,,,,,,,,,0.416932,,,,,,,,,,,,,,,809ef7a6-f1c6-47ff-bd1c-ab3942b9db23,4645,,,"[86.7, 36.3]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Enzo Fernandez,38718.0,Right Center Midfield,220,Argentina,779,"['35fd6a66-0f67-444f-8049-3e714560f703', '42e80354-5702-4cfb-9825-5bb6b226ebd3']",25,,,,,,,,,,,,,,,,,,Argentina,779,00:14:25.682,Carry,
,,,,,,"[96.6, 41.6]",,,,,,,,,,,,1.142238,,,,,,,,,,,,,,,3c5d2d4f-a4e4-4b0d-84da-88b965accc90,4648,,,"[93.5, 45.9]",3869321,119,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,220,Argentina,779,"['4cc32e01-3e1b-4998-b4db-77aecb425b76', '70a28000-795f-45f6-a72d-d44a0e209242', '9f67b10a-9a99-435d-ae91-cbd3009d3376']",26,,,,,,,,,,,,,,,,,,Argentina,779,00:14:26.686,Carry,True
,,,,,,"[106.1, 70.0]",,,,,,,,,,,,2.14783,,,,,,,,,,,,,,,199bddde-d782-4d02-9933-f78b2669179e,4657,,,"[106.1, 70.0]",3869321,120,,,,,,,,,,,,,,,,,,,,,,,,,4,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,222,Argentina,779,"['294f8d32-b62f-4757-b865-37c236894951', '5d2badbc-8975-4134-9018-38757d8df13a']",4,,,,,,,,,,,,,,,,,,Argentina,779,00:15:04.540,Carry,
,,,,,,"[97.2, 49.3]",,,,,,,,,,,,0.959354,,,,,,,,,,,,,,,3f14ee9f-feba-4b9c-93cd-f3e51883a82b,4660,,,"[94.2, 48.7]",3869321,120,,,,,,,,,,,,,,,,,,,,,,,,,4,From Corner,Enzo Fernandez,38718.0,Right Center Midfield,222,Argentina,779,"['411bfc7d-c827-49f4-bab0-669073097d5b', 'fa2801d2-ea18-4d4a-aea3-ea76ba10153f']",8,,,,,,,,,,,,,,,,,,Argentina,779,00:15:08.085,Carry,
,,,,,,"[78.7, 49.1]",,,,,,,,,,,,0.229572,,,,,,,,,,,,,,,c8edce32-73e5-4bab-a679-638ba7d895db,4670,,,"[79.1, 49.5]",3869321,120,,,,,,,,,,,,,,,,,,,,,,,,,4,From Goal Kick,Luuk de Jong,20033.0,Left Center Forward,223,Netherlands,941,"['2ceecf54-765d-47ea-87ec-6b1fcdf9d959', '49d32d4e-261d-44d7-bb78-6b5c6c979d1f', '61268e1f-9373-420e-92fb-8ede197777a6']",54,,,,,,,,,,,,,,,,,,Netherlands,941,00:15:54.657,Carry,True
,,,,,,"[15.4, 38.0]",,,,,,,,,,,,0.792475,,,,,,,,,,,,,,,7f77461b-7ed8-43b6-9137-87b9d41685e0,4675,,,"[8.9, 32.9]",3869321,120,,,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,Damián Emiliano Martínez,6909.0,Goalkeeper,224,Argentina,779,"['9790725d-db58-4032-911f-b31878845b22', 'd1356b27-d1e8-4d34-b715-77fa138dbff1']",59,,,,,,,,,,,,,,,,,,Argentina,779,00:15:59.032,Carry,
,,,,,,"[21.4, 47.7]",,,,,,,,,,,,1.114999,,,,,,,,,,,,,,,8a9a6aee-54e4-4b34-9dd7-b00e97c262d8,4678,,,"[19.8, 44.6]",3869321,121,,,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,Germán Alejandro Pezzella,7161.0,Right Center Back,224,Argentina,779,"['74f24bd6-d83f-40e9-8177-235d236fd3d7', 'e4e3b24c-9cea-42ab-a4d6-fa111d2d61f4']",0,,,,,,,,,,,,,,,,,,Argentina,779,00:16:00.571,Carry,
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,27cb82bc-e976-4658-b2fa-0bda3652e21d,11,,,"[41.7, 3.3]",3869321,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Marcos Javier Acuña,19597.0,Left Wing Back,2,Netherlands,941,['169091e9-0fc9-47da-b535-74262f26abb0'],6,,,,,,,,,,,,,,,,,,Argentina,779,00:00:06.629,Duel,True
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,2f8077c3-ae84-4f78-b617-c24dea6a0517,306,,,"[51.5, 26.1]",3869321,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Cody Mathès Gakpo,20750.0,Center Attacking Midfield,12,Argentina,779,['72809ed2-95a8-427a-96dc-3feec7ed77dd'],28,,,,,,,,,,,,,,,,,,Netherlands,941,00:06:28.839,Duel,True
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,e25600ac-0838-49ee-b4db-48cb8c74d6a6,308,,,"[26.6, 19.1]",3869321,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nathan Aké,3306.0,Left Center Back,12,Argentina,779,['71aa1f78-e7c6-4d74-aeeb-8d5dc44de68f'],33,,,,,,,,,,,,,,,,,,Netherlands,941,00:06:33.597,Duel,True
,,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,,,4e0b23be-ba26-433d-9b81-755456ba636b,401,,,"[3.1, 9.8]",3869321,8,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lisandro Martínez,27768.0,Left Center Back,13,Netherlands,941,['42c47b8e-c1cc-4b6e-95e2-34a8a503ccf2'],15,,,,,,,,,,,,,,,,,,Argentina,779,00:08:15.508,Duel,True
