50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.026898,,,,,,,,,,,af26f6b6-a6fc-41ec-9628-52cbada2269c,47,,,"[59.6, 20.1]",3857294,0,,,,0.004347799,,Head,,,,"[82.6, 20.2]",,High Pass,,23.000217,,,,,Davy Klaassen,4318.0,,,,,Recovery,1,Regular Play,Virgil van Dijk,3669.0,Center Back,4,Netherlands,941,"['1f7c885c-b790-4617-ac8f-1dcd0232a608', 'aaca88eb-b6c6-4cf8-9302-3749f93b60dd']",55,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:55.156,Pass,
,,,,,,,,,,,,,,,,0.866523,,,,,,,,,,,5030ef01-a6fd-4c46-aea3-e26ae2fe8600,49,,,"[81.8, 20.2]",3857294,0,,,,-0.061776962,,Head,,,,"[91.5, 19.6]",,High Pass,,9.718539,,,,,Cody Mathès Gakpo,20750.0,,,,,,1,Regular Play,Davy Klaassen,4318.0,Center Attacking Midfield,4,Netherlands,941,['c696896f-97d2-4b72-a5c7-556592298300'],57,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:57.243,Pass,
,,,,,,,,,,,,,,,,0.700411,,,,,,,,,,,b9562fae-3e7b-49f9-94d8-99fb92547d28,52,,,"[91.5, 19.6]",3857294,0,,,,-3.0750246,,Other,,,,"[88.5, 19.4]",,Low Pass,,3.0066593,,,,,Davy Klaassen,4318.0,,,,,,1,Regular Play,Cody Mathès Gakpo,20750.0,Right Center Forward,4,Netherlands,941,['ab6ba5ec-9da7-4eb8-ad9c-ff0d6a56d173'],58,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:58.145,Pass,
,,,,,,,,,,,,,,,,1.104623,,,,,,,,,,,24ee851e-2d08-4626-b48f-dccbdd7030e9,55,,,"[88.5, 19.4]",3857294,0,,,,-1.1869787,,Right Foot,,,,"[92.7, 9.0]",,Ground Pass,,11.21606,,,,,Daley Blind,3311.0,,,,,,1,Regular Play,Davy Klaassen,4318.0,Center Attacking Midfield,4,Netherlands,941,['2b5dc09e-a9c1-4a91-a66c-7cf910716509'],58,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:58.885,Pass,
,,,,,,,,,,,,,,,,0.854228,,,,,,,,,,,5b1528dd-7ab2-4991-a332-694def5b0f57,58,,,"[92.9, 5.5]",3857294,1,,,,1.9539729,,Right Foot,,,,"[87.7, 18.4]",,Ground Pass,,13.90863,,,,,Cody Mathès Gakpo,20750.0,,,,,,1,Regular Play,Daley Blind,3311.0,Left Wing Back,4,Netherlands,941,['9ecfb709-e59d-44c6-a5d1-06ef93ec6a74'],1,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:01.230,Pass,
,,,,,,,,,,,,,,,,0.839379,,,,,,,,,,,8f647bed-045d-4c55-bf07-435f152de636,61,,,"[87.7, 18.4]",3857294,1,,,,-1.8692952,,Right Foot,,,,"[85.7, 11.9]",,Ground Pass,,6.8007355,,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Cody Mathès Gakpo,20750.0,Right Center Forward,4,Netherlands,941,['ad48bffd-0753-462b-ac7a-4c6aec9107c2'],2,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:02.124,Pass,
,,,,,,,,,,,,,,,,1.41095,,,,,,,,,,,75a63415-8831-44a3-b8d1-0fbe3feb8f43,64,,,"[85.4, 8.6]",3857294,1,,,,-3.1116614,,Right Foot,,,,"[68.7, 8.1]",,Ground Pass,,16.707483,,,,,Nathan Aké,3306.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Left Defensive Midfield,4,Netherlands,941,['dc0398a3-4653-475d-9f17-59658edb0ea4'],4,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:04.351,Pass,
,,,,,,,,,,,,,,,,0.782861,,,,,,,,,,,2be77d31-9f56-4664-9456-3ed0346fd6a3,67,,,"[69.7, 10.5]",3857294,1,,,,1.1260144,,Left Foot,,,,"[74.8, 21.2]",,Ground Pass,,11.85327,,,,,Marten de Roon,6994.0,,,,,,1,Regular Play,Nathan Aké,3306.0,Left Center Back,4,Netherlands,941,['d2ee07a5-19bc-4d62-9a7e-8d4a948b29fb'],6,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:06.955,Pass,
,,,,,,,,,,,,,,,,1.249125,,,,,,,,,,,062975e0-e8c9-4e80-93e3-63a6ccf072cb,70,,,"[74.8, 21.2]",3857294,1,,,,-2.5410516,,Right Foot,,,,"[67.5, 16.2]",,Ground Pass,,8.848164,,,,,Nathan Aké,3306.0,,,,,,1,Regular Play,Marten de Roon,6994.0,Right Defensive Midfield,4,Netherlands,941,['0236b9fd-0181-4ea9-b056-b063ad80e626'],7,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:07.886,Pass,
,,,,,,,,,,,,,,,,0.796436,,,,,,,,,,,62e6e2ab-21cb-4974-b22a-a2e8d8ae81f7,73,,,"[68.2, 16.2]",3857294,1,,,,-0.5585993,,Left Foot,,,,"[74.6, 12.2]",,Ground Pass,,7.547185,,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Nathan Aké,3306.0,Left Center Back,4,Netherlands,941,['8d1a4987-f619-4fd8-a691-dc71bbb705b0'],9,,,,,,,,,,,,,,,,,,Netherlands,941,00:01:09.194,Pass,
