50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.374,,,,,,,,,,,b8d5c642-f9b6-4cd5-96d7-fd1c01ed1d54,49,,"[45.8, 44.9]",3857275,1,,,,,0.80304337,,Right Foot,,,,"[62.5, 62.2]",,Ground Pass,,24.045374,,,,Wajdi Kechrida,105944.0,,,,,,,1,Regular Play,Yassine Meriah,5651.0,Right Center Back,5,Tunisia,777,['af539eb2-220a-45d8-b4d2-64126c43b123'],9,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:09.270,Pass,
,,,,,,,,,,,,,,,,,1.395971,,,,,,,,,,,30ab0364-800f-4682-a3d0-ab3c058cd6cf,52,,"[59.2, 62.4]",3857275,1,,,,,-2.8323936,,Right Foot,,,,"[44.8, 57.8]",,Ground Pass,,15.116878,,,,Yassine Meriah,5651.0,,,,,,,1,Regular Play,Wajdi Kechrida,105944.0,Right Wing Back,5,Tunisia,777,['0869157e-2dc0-4bfc-b6b4-2fea910b0ac7'],11,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:11.876,Pass,
,,,,,,,,,,,,,,,,,1.339682,,,,,,,,,,,34ee6543-3e39-421e-8c20-b7b615005ee6,55,,"[52.8, 61.2]",3857275,1,,,,,0.4823774,,Right Foot,,,,"[80.3, 75.6]",,Ground Pass,,31.042068,,,,Wajdi Kechrida,105944.0,,,,,,,1,Regular Play,Yassine Meriah,5651.0,Right Center Back,5,Tunisia,777,['af581184-4c75-440b-8cc3-a5d02f4ff415'],16,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:16.315,Pass,
,,,,,,,,,,,,,,,,,0.123154,,,,,,,,,,,a54928e1-474e-4906-a99e-8a9311214dc1,58,,"[80.3, 75.6]",3857275,1,,,,,-0.7853982,,Right Foot,,,,"[83.7, 72.2]",,Ground Pass,,4.8083262,,Incomplete,,Anis Ben Slimane,35592.0,,,,,,,1,Regular Play,Wajdi Kechrida,105944.0,Right Wing Back,5,Tunisia,777,"['1a7ea415-b6ac-413d-aa9b-6d514aa79600', '28b40f37-5965-48c0-8b3d-9568b1530ab6']",17,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:17.705,Pass,
,,,,,,,,,,,,,,,,,2.261819,,,,,,,,,,,6c169491-0eeb-4a43-94b4-d2f67481b9b6,61,,"[71.7, 80.0]",3857275,1,,True,,,-2.859924,,,,,,"[48.2, 73.2]",,Low Pass,,24.464056,,,,Yassine Meriah,5651.0,,,,,,Throw-in,1,From Throw In,Wajdi Kechrida,105944.0,Right Wing Back,6,Tunisia,777,['322a646a-a8da-4207-b476-6de6c6c8d725'],33,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:33.336,Pass,
,,,,,,,,,,,,,,,,,2.774715,,,,,,,,,,,6691a71b-5e5b-4d13-bdb4-17f7b35f2364,63,,"[46.8, 71.6]",3857275,1,,,,,-2.632778,,Left Foot,,,,"[12.2, 52.3]",,Ground Pass,,39.61881,,,,Aymen Dahmen,105943.0,,,,,,,1,From Throw In,Yassine Meriah,5651.0,Right Center Back,6,Tunisia,777,['eb44e17f-97e5-49bf-9690-1e0382f1ec2b'],37,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:37.833,Pass,
,,,,,,,,,,,,,,,,,1.619949,,,,,,,,,,,c7b2b25a-18a4-4df3-b686-3a4cb253e980,66,,"[14.4, 34.1]",3857275,1,,,,,-0.7517974,,Right Foot,,,,"[26.7, 22.6]",,Ground Pass,,16.838646,,,,Montassar Omar Talbi,32450.0,,,,,,,1,From Throw In,Aymen Dahmen,105943.0,Goalkeeper,6,Tunisia,777,['858163e4-61a7-4720-9c20-f752d968d02d'],43,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:43.619,Pass,
,,,,,,,,,,,,,,,,,1.385486,,,,,,,,,,,2622f8d7-a813-4855-911c-616169b55f06,69,,"[27.1, 22.6]",3857275,1,,,,,1.3487145,,Right Foot,,,,"[28.5, 28.8]",,Ground Pass,,6.3560996,,,,Nader Ghandri,25582.0,,,,,,,1,From Throw In,Montassar Omar Talbi,32450.0,Left Center Back,6,Tunisia,777,['bf81d50a-41bf-4a97-a3b7-7b26ac584ccf'],48,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:48.438,Pass,
,,,,,,,,,,,,,,,,,3.413289,,,,,,,,,,,22f3f610-d15c-4231-b470-ce2c06a87a2f,72,,"[31.7, 35.5]",3857275,1,,,,,0.20580705,,Right Foot,,,,"[109.3, 51.7]",,High Pass,,79.27295,,Incomplete,,,,,,,,,,1,From Throw In,Nader Ghandri,25582.0,Center Back,6,Tunisia,777,['cf9bac87-4adf-4b71-8530-04c4981b0a7d'],51,,,,,,,,,,,,,,,,,,Tunisia,777,00:01:51.504,Pass,
,,,,,,,,,,,,,,,,,1.549327,,,,,,,,,,,a64af77d-443f-402d-a932-195f9c645060,75,,"[8.8, 35.4]",3857275,1,,,,,0.97695947,,Keeper Arm,,,,"[22.1, 55.1]",,Ground Pass,,23.769308,,,,Raphaël Varane,5485.0,,,,,,,1,Regular Play,Steve Mandanda,3543.0,Goalkeeper,7,France,771,['cefc6f6b-e508-46e4-a4de-c0f443dda15d'],59,,,,,,,,,,,,,,,,,,France,771,00:01:59.961,Pass,
