50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.819765,,,,,,,,,,,,,,e47a4d3b-191d-49d9-9444-78b6ce8ba71d,983,,,"[115.8, 74.3]",3857300,32,,,,,-1.8609605,,Right Foot,True,,,"[105.2, 38.8]",,High Pass,37.04875,,,Salem Mohammed Al Dawsari,5187.0,,,,,,1,From Throw In,Saud Abdullah Abdul Hamid,51710.0,Right Back,47,Saudi Arabia,799,"['479b51b6-fdc1-4fdc-adb5-2c7a9fd3bb27', '79a67b87-62f6-4514-b3a2-ae901d2de5c0']",2,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:32:02.273,Pass,True
,,,,,,,,,,,,,,,,,,1.925514,,,,,,,,,,,,,,ebd1d32e-cee1-4688-8d4c-ead0d6dcfb37,985,,,"[105.2, 38.8]",3857300,32,,,,,-2.3013046,,Head,,,,"[92.3, 24.4]",,Low Pass,19.333132,,,Yasir Gharsan Al Shahrani,5183.0,,,,,,1,From Throw In,Salem Mohammed Al Dawsari,5187.0,Left Midfield,47,Saudi Arabia,799,['9ed2282a-2833-4f0e-bc89-3f477a29d23a'],4,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:32:04.172,Pass,
,,,,,,,,,,,,,,,,,,1.444136,,,,,,,,,,,,,,457bd785-7873-473e-b7fa-bf0901bd42cf,988,,,"[92.8, 24.4]",3857300,32,,,,,0.94357485,,Left Foot,,,,"[106.5, 43.3]",,High Pass,23.343094,Incomplete,,Firas Tariq Nasser Al Albirakan,51099.0,,,,,,1,From Throw In,Yasir Gharsan Al Shahrani,5183.0,Left Back,47,Saudi Arabia,799,"['8abe7507-6215-41ca-8093-c62d8ce50a7b', '9bf471bb-c4ec-493d-9c9c-4c73c9ed5e8d']",7,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:32:07.763,Pass,
,,,,,,,,,,,,,,,,,,0.7062,,,,,,,,,,,,,,b62ef3dc-bbab-4f13-9d72-bd97a4327330,994,,,"[28.2, 52.8]",3857300,32,,,,,1.4570043,,Right Foot,,,,"[28.6, 56.3]",,Low Pass,3.522783,,,Ángel Fabián Di María Hernández,2995.0,,,,,Recovery,1,Regular Play,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,48,Argentina,779,"['125cabfc-0edd-4dfe-babe-3a3306d6a7cf', '21062c47-e680-498e-b3a2-ded50d167c31']",12,,,,,,,,,,,,,,,,,Argentina,779,00:32:12.181,Pass,True
,,,,,,,,,,,,,,,,,,0.867366,,,,,,,,,,,,,,01e26d6b-180b-421b-b06c-7ce09c13550d,997,,,"[28.6, 56.3]",3857300,32,,,,,3.0738997,,Left Foot,,,,"[22.7, 56.7]",,Ground Pass,5.9135437,,,Nahuel Molina Lucero,29201.0,,,,,,1,Regular Play,Ángel Fabián Di María Hernández,2995.0,Right Midfield,48,Argentina,779,['3cdefb96-380e-4cb8-afa4-82d5604513f0'],13,,,,,,,,,,,,,,,,,Argentina,779,00:32:13.769,Pass,
,,,,,,,,,,,,,,,,,,1.429161,,,,,,,,,,,,,,40c21601-b39b-466e-bd4d-4c465f89bd25,1000,,,"[22.7, 56.7]",3857300,32,,,,,0.6540827,,Right Foot,,,,"[37.7, 68.2]",,Ground Pass,18.901058,Incomplete,,Rodrigo Javier De Paul,7797.0,,,,,,1,Regular Play,Nahuel Molina Lucero,29201.0,Right Back,48,Argentina,779,"['0ecc6963-5c67-4aec-a89f-4845b1fc151c', '833cfaa7-de2e-4fc3-988c-426e3a93aca8']",14,,,,,,,,,,,,,,,,,Argentina,779,00:32:14.701,Pass,
,,,,,,,,,,,,,,,,,,0.94104,,,,,,,,,,,,,,b4a897d0-066b-4746-9059-317e7586444f,1003,,,"[26.7, 80.0]",3857300,32,,,,,-1.3112959,,,,,,"[29.7, 68.7]",,Low Pass,11.69145,,,Rodrigo Javier De Paul,7797.0,,,,,Throw-in,1,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,49,Argentina,779,['405b89fb-c70d-4eeb-ad79-71d6a02d814d'],33,,,,,,,,,,,,,,,,,Argentina,779,00:32:33.170,Pass,
,,,,,,,,,,,,,,,,,,1.088717,,,,,,,,,,,,,,54034829-3216-4bcb-be87-28c9afe31b7e,1005,,,"[29.7, 68.7]",3857300,32,,,,,2.5796711,,Right Foot,,,,"[21.6, 73.8]",,Low Pass,9.571834,,,Nahuel Molina Lucero,29201.0,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,49,Argentina,779,['6ff4f82b-5fc8-4d65-83c2-dd9ee0ce7c96'],34,,,,,,,,,,,,,,,,,Argentina,779,00:32:34.111,Pass,
,,,,,,,,,,,,,,,,,,1.722914,,,,,,,,,,,,,,c1c4200b-0175-437e-8395-6fd75cd72a5b,1007,,,"[21.6, 73.8]",3857300,32,,,,,-0.09295171,,Right Foot,,,,"[45.2, 71.6]",,High Pass,23.70232,Incomplete,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,49,Argentina,779,"['2e46aeec-cb22-49ec-80f1-7c6cd68600fa', 'dc14aeb5-ebb8-4591-b166-28abca41dd2a']",35,,,,,,,,,,,,,,,,,Argentina,779,00:32:35.200,Pass,
,,,,,,,,,,,,,,,,,,1.064629,,,,,,,,,,,,,,dc14aeb5-ebb8-4591-b166-28abca41dd2a,1009,,,"[74.9, 8.5]",3857300,32,,,,,0.7728465,,Right Foot,,,,"[87.0, 20.3]",,Low Pass,16.901184,Incomplete,,Salman Mohammed Al Faraj,5178.0,,,,,Recovery,1,From Throw In,Yasir Gharsan Al Shahrani,5183.0,Left Back,49,Argentina,779,"['c1c4200b-0175-437e-8395-6fd75cd72a5b', 'cec0227d-7cbb-4a2c-a57c-fa55c7d12fec', 'd8173063-34b4-4b0e-a68a-cc7de8f77a50']",36,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:32:36.923,Pass,
