ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,3.137728,,,,,,,,,,,,,a195bcff-8f6e-490b-a56a-9a1e7dae9bd1,50,,"[70.6, 4.6]",3869152,2,,,,,0.050272074,,Right Foot,,,"[102.4, 6.2]",,Ground Pass,,31.840225,,,,,Adrien Rabiot,3026.0,,,,,,1,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,6,France,771,['ae8480c0-f297-4789-8276-c0d6e198492c'],21,,,,,,,,,,,,,,,,France,771,00:02:21.727,Pass,
,,,,,,,,,,,,,,0.272679,,,,,,,,,,,,,11bd945e-4649-4a18-b483-2654e10ae1b7,53,,"[111.6, 3.4]",3869152,2,,,,,1.4141945,,Left Foot,,,"[112.2, 7.2]",,Ground Pass,,3.847077,,,Incomplete,,,,,,,,,1,From Throw In,Adrien Rabiot,3026.0,Left Defensive Midfield,6,France,771,['d33d763c-4ffb-44f2-a096-a7f69ac44144'],25,,,,,,,,,,,,,,,,France,771,00:02:25.903,Pass,
,,,,,,,,,,,,,,0.989426,,,,,,,,,,,,,eeb9447f-df6e-422e-b796-0da400fb3c43,58,,"[90.1, 17.8]",3869152,2,,,,,2.6458275,,Left Foot,,,"[80.3, 23.1]",,Ground Pass,,11.141364,,,,,Aurélien Djani Tchouaméni,10481.0,,,,,,1,From Throw In,Theo Bernard François Hernández,6704.0,Left Back,6,France,771,['ccc4acf2-d2f6-4def-a7e6-707a512d7572'],30,,,,,,,,,,,,,,,,France,771,00:02:30.692,Pass,
,,,,,,,,,,,,,,1.559987,,,,,,,,,,,,,193f8c0c-29da-4b0c-b9dd-be57413beb71,61,,"[80.3, 24.0]",3869152,2,,,,,1.5552535,,Right Foot,,,"[80.6, 43.3]",,Ground Pass,,19.302332,,,,,Jules Koundé,4445.0,,,,,,1,From Throw In,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,6,France,771,['be6edbc6-10cb-4b76-be61-f4d053235fc0'],32,,,,,,,,,,,,,,,,France,771,00:02:32.913,Pass,
,,,,,,,,,,,,,,1.533152,,,,,,,,,,,,,b62c5dd9-6b21-469b-84f1-b6439965784b,71,,"[82.6, 40.3]",3869152,2,,,,,1.3051424,,Right Foot,,,"[90.3, 68.6]",,Ground Pass,,29.328825,,,,,Ousmane Dembélé,5477.0,,,,,,1,From Throw In,Jules Koundé,4445.0,Right Back,6,France,771,['ee01b420-4aed-4015-9c58-863ad8024434'],38,,,,,,,,,,,,,,,,France,771,00:02:38.663,Pass,
,,,,,,,,,,,,,,0.332268,,,,,,,,,,,,,0b9e7e0a-2ba2-4d54-bf24-ab6cac7c9e68,74,,"[90.8, 69.9]",3869152,2,,,,,-0.4392622,,Right Foot,,,"[99.1, 66.0]",,Low Pass,,9.170606,,,Incomplete,,,,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Right Wing,6,France,771,['480a75a8-ebab-4e56-a271-41ae3a41a803'],42,,,,,,,,,,,,,,,,France,771,00:02:42.661,Pass,
,,,,,,,,,,,,,,1.635715,,,,,,,,,,,,,2ef82187-dec2-4313-b016-7738811328c1,76,,"[120.0, 80.0]",3869152,3,,,,,-1.7123433,31fad68d-426e-4288-89c0-71ba4c143506,Left Foot,,,"[114.3, 40.0]",,High Pass,True,40.404083,,,,,Raphaël Varane,5485.0,True,True,Inswinging,,Corner,1,From Corner,Antoine Griezmann,5487.0,Center Attacking Midfield,7,France,771,['72034dda-a02f-4cbe-8115-5e414b09c21a'],10,,,,,,,,,,,,,,,,France,771,00:03:10.836,Pass,
,,,,,,,,,,,,,,5.099098,,,,,,,,,,,,,5b9e8b72-a318-4445-ab7a-79b81b309462,81,,"[7.0, 44.1]",3869152,3,,,,,-0.44649136,,Right Foot,,,"[98.7, 0.2]",,High Pass,,101.66661,,,Out,,,,,True,,,Goal Kick,1,From Goal Kick,Wojciech Szczęsny,5669.0,Goalkeeper,8,Poland,789,,41,,,,,,,,,,,,,,,,Poland,789,00:03:41.031,Pass,
,,,,,,,,,,,,,,2.11346,,,,,,,,,,,,,d99e3b7a-9f6e-4dfb-8a6e-a65128fa1e93,82,,"[31.0, 80.0]",3869152,3,,,,,-0.41987994,,,,,"[64.6, 65.0]",,High Pass,,36.796196,,,,,Olivier Giroud,3604.0,,,,,Throw-in,1,From Throw In,Jules Koundé,4445.0,Right Back,9,France,771,['27a528ab-efbd-4b75-8892-4a1b384a3f47'],57,,,,,,,,,,,,,,,,France,771,00:03:57.323,Pass,
,,,,,,,,,,,,,,0.642327,,,,,,,,,,,,,7aaeacd0-fe92-462f-841b-66cf1f524a78,86,,"[67.1, 64.3]",3869152,3,,,,,-2.5715523,,Left Foot,,,"[59.3, 59.3]",,Ground Pass,,9.264988,,,,,Antoine Griezmann,5487.0,,,,,,1,From Throw In,Olivier Giroud,3604.0,Center Forward,9,France,771,['09d3dd3c-64cf-47a5-8eb0-326e4f26ac44'],59,,,,,,,,,,,,,,,,France,771,00:03:59.569,Pass,
