50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[93.6, 16.0]",,,,,,,,,,,3.003537,,,,,,,,,,,,,,2efb1b70-dcee-4cca-9c47-d2e2257d57c6,2060,,,"[88.8, 4.5]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Hirving Rodrigo Lozano Bahena,5571.0,Left Wing,139,Mexico,794,"['9da3bb09-a63f-48f4-ac23-af9c8239d4bc', 'c4129c7c-24e9-4352-a17f-ed0f5ecf7297']",10,,,,,,,,,,,,,,,,,,Mexico,794,00:19:10.183,Carry,
,,,,"[34.6, 62.8]",,,,,,,,,,,0.466584,,,,,,,,,,,,,,5903f009-55dd-4f28-86a6-3064f025fdea,2067,,,"[33.9, 65.5]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Abdulrahman Al-Obood,51705.0,Right Wing,139,Mexico,794,"['006a600d-7ef4-4c6c-9f3c-f1ca1bedaa9f', '018ca185-3b53-4800-944a-8adcdb43c2fc', 'f8981fba-f5b5-4655-ac0c-53cab8b1971d']",15,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:19:15.033,Carry,True
,,,,"[74.5, 14.1]",,,,,,,,,,,1.793414,,,,,,,,,,,,,,2017323a-22b9-4625-92c1-03a95963bd10,2072,,,"[74.9, 14.5]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Orbelín Pineda Alvarado,26280.0,Center Attacking Midfield,139,Mexico,794,"['967b9514-6684-44a8-822b-3ea43171a570', 'f39c5952-d69f-40e5-88ae-f67cbb039452']",17,,,,,,,,,,,,,,,,,,Mexico,794,00:19:17.884,Carry,
,,,,"[68.1, 2.8]",,,,,,,,,,,0.753851,,,,,,,,,,,,,,5f2c0f53-c357-4839-b32d-03371394d1f7,2075,,,"[67.1, 2.2]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Héctor Alfredo Moreno Herrera,5573.0,Left Center Back,139,Mexico,794,"['4fffa4bf-f87f-428d-916b-46f9dba8ceb1', 'd9648197-cf2e-4cd4-958b-12570f726fab']",20,,,,,,,,,,,,,,,,,,Mexico,794,00:19:20.763,Carry,
,,,,"[82.2, 2.4]",,,,,,,,,,,0.036329,,,,,,,,,,,,,,fa6b459a-1d38-42c4-9f87-82a38818e4f9,2078,,,"[82.2, 2.4]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jesús Daniel Gallardo Vasconcelos,5576.0,Left Back,139,Mexico,794,"['0e0dc71b-2b15-4895-b1fe-3a691bc068ff', '724430ad-0461-415c-b010-b5f8e136487d']",22,,,,,,,,,,,,,,,,,,Mexico,794,00:19:22.147,Carry,
,,,,"[32.0, 71.3]",,,,,,,,,,,0.994639,,,,,,,,,,,,,,edd0a07d-fe44-4576-a46e-f237ab704e67,2081,,,"[33.7, 68.7]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Abdulelah Al Amri,51094.0,Right Center Back,139,Mexico,794,"['2103181a-4aab-4e2f-9f2d-e4f7b845dce2', '812c6d9a-43a7-48c3-9152-df5c469b8691', '95b29d1a-ea8b-4bd7-9117-1962e324c002']",23,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:19:23.237,Carry,True
,,,,"[45.2, 76.6]",,,,,,,,,,,1.234318,,,,,,,,,,,,,,d84c2099-e287-43d4-a722-18957fec2a0f,2086,,,"[45.6, 76.9]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Abdulrahman Al-Obood,51705.0,Right Wing,139,Mexico,794,"['21066ce4-3bc4-430a-8813-d1aebfc6770b', '969421bf-8ab9-48f5-87cb-7e079e64fa2e', '9e3a5c3c-7e00-41ea-931a-245f19f82edd']",25,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:19:25.191,Carry,True
,,,,"[116.4, 20.9]",,,,,,,,,,,2.884102,,,,,,,,,,,,,,dbd95904-90ec-4952-9958-210851d86fe1,2091,,,"[108.7, 15.9]",3857260,64,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Henry Josué Martín Mex,26400.0,Center Forward,140,Mexico,794,"['561d18a4-6be9-4e6f-b752-6bed2d2e3f0e', '93a5da7f-8b20-4c38-ba5a-ef3ae52fbf8c', 'dc029068-24f0-459b-8753-2487df42d523']",34,,,,,,,,,,,,,,,,,,Mexico,794,00:19:34.163,Carry,True
,,,,"[43.1, 27.9]",,,,,,,,,,,0.778441,,,,,,,,,,,,,,bcb37c97-e16d-4f02-ac59-a3185f1d34e3,2101,,,"[46.1, 26.7]",3857260,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Mohammed Kanoo,5713.0,Left Defensive Midfield,141,Saudi Arabia,799,"['56cf06cd-5ea5-4f7e-855a-37597d75e850', 'b35a6763-441e-4a9c-9fa3-12494d88a6d5']",36,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:20:36.505,Carry,
,,,,"[12.8, 43.3]",,,,,,,,,,,1.229967,,,,,,,,,,,,,,85ac4efc-59e3-4756-a994-d60ccf6bfa10,2104,,,"[12.8, 40.9]",3857260,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Mohammed Khalil Al Owais,5714.0,Goalkeeper,141,Saudi Arabia,799,"['332cc09e-aae1-4672-be04-3d2beb28aaa9', 'e0e9e767-5f8a-47eb-95c1-7c9b09b2ed51']",39,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:20:39.676,Carry,
,,,,"[45.7, 79.3]",,,,,,,,,,,4.751193,,,,,,,,,,,,,,a2d17d12-ed92-4f10-98b9-eb2c33369d20,2109,,,"[46.4, 67.7]",3857260,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Riyadh Sharahili,51470.0,Right Defensive Midfield,141,Saudi Arabia,799,"['5fed976b-a859-4978-9bb7-1c204986eda0', '7f189177-3fc6-4347-ab8b-67fb74869bed', 'a2648be7-f5fc-40ca-8b63-8a412a669914']",44,,,,,,,,,,,,,,,,,,Saudi Arabia,799,00:20:44.495,Carry,True
,,,,"[61.7, 5.0]",,,,,,,,,,,1.423521,,,,,,,,,,,,,,7d8089f4-24c4-4dc9-87e4-6160215fa38d,2116,,,"[58.1, 9.6]",3857260,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Luis Gerardo Chávez Magallón,28825.0,Left Defensive Midfield,142,Mexico,794,"['4366d693-0f3e-4121-bb6b-b5ea6165643f', '8b604335-ac91-4559-9bcb-e5ef4c4d45cd', 'be7c175c-7902-44ad-b69b-eaf6b1c42031']",52,,,,,,,,,,,,,,,,,,Mexico,794,00:20:52.032,Carry,True
,,,,"[75.8, 1.7]",,,,,,,,,,,2.751222,,,,,,,,,,,,,,650ce483-c79b-4c00-a62f-8fdf2dbd65eb,2119,,,"[75.8, 1.7]",3857260,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Orbelín Pineda Alvarado,26280.0,Center Attacking Midfield,142,Mexico,794,"['09328ddd-8319-4bac-9e30-8abe941521f3', 'a8ef994d-835c-4164-8062-01c2a5e7e62f']",54,,,,,,,,,,,,,,,,,,Mexico,794,00:20:54.292,Carry,
,,,,"[97.5, 31.3]",,,,,,,,,,,3.921493,,,,,,,,,,,,,,e1d36aa9-feb9-4b6b-8687-a41a586958c1,2122,,,"[76.2, 8.8]",3857260,65,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Hirving Rodrigo Lozano Bahena,5571.0,Left Wing,142,Mexico,794,"['6bb511cf-367f-48d0-8d1f-8b149f1db735', 'fd78f8b8-675f-48f0-a056-358a9ccbf256', 'ff9c11e8-a0b0-470c-a775-28d5332a0ac8']",57,,,,,,,,,,,,,,,,,,Mexico,794,00:20:57.564,Carry,True
