50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.163426,,,,,,,,,,,,64a58b6d-4936-4474-beac-da4d1908cce2,2183,,,"[57.4, 21.6]",3857281,49,,,,-2.7472427,,Right Foot,,,,"[41.3, 14.9]",,Ground Pass,,17.438463,,,,,Joško Gvardiol,33018.0,,,,,,2,Regular Play,Marcelo Brozović,5469.0,Center Defensive Midfield,97,Croatia,785,"['4128ff63-c44b-47c1-ae0c-b34a918e7a6a', 'cba05577-155d-4ac9-b5c5-0f8ffeeb114a']",48,,,,,,,,,,,,,,,,,Croatia,785,00:04:48.732,Pass,True
,,,,,,,,,,,,,,,,,0.401359,,,,,,,,,,,,114d7001-f8c0-4662-8ea5-b8cc490999e1,2187,,,"[43.9, 3.1]",3857281,49,,,,0.2965458,,Left Foot,,,,"[51.1, 5.3]",,Low Pass,,7.528612,,,Incomplete,,Mateo Kovačić,5456.0,,,,,,2,Regular Play,Joško Gvardiol,33018.0,Left Center Back,97,Croatia,785,"['07c19d97-4033-457c-ace0-ebea4e59b7a8', '80614dd4-f5bf-4d24-8acd-83013e92958a']",55,,,,,,,,,,,,,,,,,Croatia,785,00:04:55.014,Pass,
,,,,,,,,,,,,,,,,,1.085584,,,,,,,,,,,,5185805f-325a-4457-a9ec-9707d382947c,2190,,,"[50.8, 0.1]",3857281,50,,,,2.735704,,,,,,"[38.7, 5.3]",,Low Pass,,13.170042,,,,,Joško Gvardiol,33018.0,,,,,Throw-in,2,From Throw In,Borna Sosa,12625.0,Left Back,98,Croatia,785,['2da3bf0f-13cf-44a8-bb14-88010a7f0de5'],2,,,,,,,,,,,,,,,,,Croatia,785,00:05:02.010,Pass,
,,,,,,,,,,,,,,,,,2.826631,,,,,,,,,,,,d2bd2731-4c7a-4ea9-a08c-d7b48be9cafc,2193,,,"[38.7, 5.3]",3857281,50,,,,0.34896445,,Left Foot,,,,"[80.2, 20.4]",,High Pass,,44.161747,,,Incomplete,,Marko Livaja,22041.0,,,,,,2,From Throw In,Joško Gvardiol,33018.0,Left Center Back,98,Croatia,785,"['35fed57a-1b1f-4c6d-bfc0-db6e6134cba0', '45e1b409-7f21-44bc-9083-6be73d62f56e']",3,,,,,,,,,,,,,,,,,Croatia,785,00:05:03.960,Pass,
,,,,,,,,,,,,,,,,,2.005907,,,,,,,,,,,,45e1b409-7f21-44bc-9083-6be73d62f56e,2195,,,"[39.9, 59.7]",3857281,50,,,,-0.119644396,,Head,,,,"[58.2, 57.5]",,High Pass,,18.431767,,,Incomplete,,Jonathan Osorio,12770.0,,,,,Recovery,2,From Throw In,Steven de Sousa Vitoria,11846.0,Center Back,98,Croatia,785,"['27f5fa74-b6d6-4b3c-9071-90be206280f3', 'd2bd2731-4c7a-4ea9-a08c-d7b48be9cafc', 'dd87a1de-ec4e-48aa-8c02-aec6dea3ab05']",6,,,,,,,,,,,,,,,,,Canada,1833,00:05:06.786,Pass,
,,,,,,,,,,,,,,,,,1.037824,,,,,,,,,,,,dd87a1de-ec4e-48aa-8c02-aec6dea3ab05,2197,,,"[61.9, 22.6]",3857281,50,,,,0.36314702,,Head,,,,"[76.9, 28.3]",,Low Pass,,16.046495,,,,,Marko Livaja,22041.0,,,,,Recovery,2,From Throw In,Marcelo Brozović,5469.0,Center Defensive Midfield,98,Croatia,785,"['45e1b409-7f21-44bc-9083-6be73d62f56e', 'f861bb1d-3d73-44ed-ac76-9277a9e316bb']",8,,,,,,,,,,,,,,,,,Croatia,785,00:05:08.792,Pass,
,,,,,,,,,,,,,,,,,0.66576,,,,,,,,,,,,1ee8eae0-8baa-4a41-b5ce-bbbc6bb7e387,2199,,,"[76.9, 28.3]",3857281,50,,,,-2.1232152,,Right Foot,,,,"[72.4, 21.0]",,Low Pass,,8.575546,,,Incomplete,,Mateo Kovačić,5456.0,,,,,,2,From Throw In,Marko Livaja,22041.0,Center Forward,98,Croatia,785,"['626a8500-07bb-4298-9dcf-c51d43b6854e', '9e7212a5-4dd0-4e57-a1c0-2d86023c140e']",9,,,,,,,,,,,,,,,,,Croatia,785,00:05:09.830,Pass,
,,,,,,,,,,,,,,,,,0.752268,,,,,,,,,,,,a440415c-927b-4469-8a6a-5a6bd0b49d4f,2203,,,"[43.6, 59.9]",3857281,50,,,,1.3315648,,Right Foot,,,,"[45.6, 68.1]",,Ground Pass,,8.440379,,,,,Tajon Buchanan,24024.0,,,,,,2,Regular Play,Atiba Hutchinson,31684.0,Center Defensive Midfield,99,Canada,1833,['c16b4661-6742-4e07-ad11-d56a559f7ec9'],11,,,,,,,,,,,,,,,,,Canada,1833,00:05:11.748,Pass,
,,,,,,,,,,,,,,,,,2.400249,,,,,,,,,,,,ee9dad56-700b-476a-9dd5-cfb1597950dc,2205,,,"[45.6, 68.1]",3857281,50,,,,-0.5686961,,Right Foot,,,,"[68.6, 53.4]",,Ground Pass,,27.296337,,,,,Alphonso Davies,12365.0,,,,,,2,Regular Play,Tajon Buchanan,24024.0,Right Wing Back,99,Canada,1833,['f284af2b-7b6e-457a-8d74-ae5b2ff6860a'],12,,,,,,,,,,,,,,,,,Canada,1833,00:05:12.500,Pass,
,,,,,,,,,,,,,,,,,0.316302,,,,,,,,,,,,9d69e937-1027-47c9-9c31-e343cfcaea1c,2215,,,"[22.1, 23.7]",3857281,50,,,,-0.91580147,,Left Foot,,,,"[27.4, 16.8]",,Ground Pass,,8.700575,,,,,Borna Sosa,12625.0,,,,,Recovery,2,Regular Play,Dejan Lovren,3471.0,Right Center Back,100,Croatia,785,['3da1adfd-0c34-45d9-a726-a69b3c0cad8e'],21,,,,,,,,,,,,,,,,,Croatia,785,00:05:21.324,Pass,
