50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.686866,,,,,,,,,,,,d502732f-829a-4cbf-ba3b-38f005f7f987,83,,,"[2.4, 28.9]",3857295,2,,,,,-0.31019992,,Right Foot,,,,"[38.9, 17.2]",,High Pass,,38.32936,,Incomplete,,,,,,,,,1,From Free Kick,Keylor Navas Gamboa,5597.0,Goalkeeper,7,Costa Rica,795,['6c87c0aa-50af-4ba5-9faf-fdc817322f80'],14,,,,,,,,,,,,,,,,Costa Rica,795,00:02:14.084,Pass,
,,,,,,,,,,,,,,,,,,1.066768,,,,,,,,,,,,6c87c0aa-50af-4ba5-9faf-fdc817322f80,84,,,"[81.2, 62.9]",3857295,2,,,,,-0.29018208,,Head,,,,"[95.6, 58.6]",,High Pass,,15.028307,,,,Ayase Ueda,38285.0,,,,,Recovery,1,Regular Play,Wataru Endo,23721.0,Right Defensive Midfield,8,Japan,778,"['d502732f-829a-4cbf-ba3b-38f005f7f987', 'e6978bef-871e-4e3a-83b9-65ce3e9470e2']",16,,,,,,,,,,,,,,,,Japan,778,00:02:16.771,Pass,
,,,,,,,,,,,,,,,,,,0.927265,,,,,,,,,,,,dae50abb-9b92-49e7-9cb4-422ac7e8814e,86,,,"[95.6, 58.6]",3857295,2,,,,,-2.6882539,c29f9cfc-dd0b-45e4-b9d8-fba7eac56d14,Right Foot,,,,"[91.7, 56.7]",,Low Pass,,4.3382025,,,,Ritsu Doan,8361.0,True,,,,,1,Regular Play,Ayase Ueda,38285.0,Right Center Forward,8,Japan,778,['13319a30-fddf-44ff-aa5b-cf3b7e79c4ba'],17,,,,,,,,,,,,,,,,Japan,778,00:02:17.838,Pass,
,,,,,,,,,,,,,,,,,,2.058468,,,,,,,,,,,,3fb4ad9b-e2ea-4b7a-95b7-d06082d82083,90,,,"[7.0, 44.1]",3857295,2,,,,,-1.4601392,,Right Foot,,,,"[9.3, 23.4]",,Ground Pass,,20.827385,,,,Francisco Javier Calvo Quesada,5600.0,,,,,Goal Kick,1,From Goal Kick,Keylor Navas Gamboa,5597.0,Goalkeeper,9,Costa Rica,795,['3017b945-94da-41c7-a4d9-f54b9822d969'],30,,,,,,,,,,,,,,,,Costa Rica,795,00:02:30.959,Pass,
,,,,,,,,,,,,,,,,,,1.402156,,,,,,,,,,,,0ad87132-70bc-4eb2-a0ef-9427381e0a3f,93,,,"[9.3, 23.4]",3857295,2,,,,,-0.8847266,,Right Foot,,,,"[22.4, 7.4]",,Ground Pass,,20.678734,,,,Bryan Oviedo,5836.0,,,,,,1,From Goal Kick,Francisco Javier Calvo Quesada,5600.0,Left Center Back,9,Costa Rica,795,['67a2d9d1-50df-4c7a-a486-57b216eb06d5'],34,,,,,,,,,,,,,,,,Costa Rica,795,00:02:34.272,Pass,
,,,,,,,,,,,,,,,,,,2.197318,,,,,,,,,,,,0c5060b1-7aea-489b-98bc-5ca8db491eee,95,,,"[22.2, 7.4]",3857295,2,,,,,2.219331,,Left Foot,,,,"[15.0, 16.9]",,Ground Pass,,11.920151,,,,Francisco Javier Calvo Quesada,5600.0,,,,,,1,From Goal Kick,Bryan Oviedo,5836.0,Left Wing Back,9,Costa Rica,795,['5eebd8ce-e6f1-4a70-aa59-227ae6d77b79'],35,,,,,,,,,,,,,,,,Costa Rica,795,00:02:35.674,Pass,
,,,,,,,,,,,,,,,,,,1.416257,,,,,,,,,,,,773edbf4-5130-4287-84ee-75a7a41d890e,98,,,"[15.0, 16.9]",3857295,2,,,,,2.0885782,,Left Foot,,,,"[6.0, 32.7]",,Ground Pass,,18.18351,,,,Keylor Navas Gamboa,5597.0,,,,,,1,From Goal Kick,Francisco Javier Calvo Quesada,5600.0,Left Center Back,9,Costa Rica,795,['4fc0d8a3-2245-4e6d-9af7-1711175a50db'],38,,,,,,,,,,,,,,,,Costa Rica,795,00:02:38.599,Pass,
,,,,,,,,,,,,,,,,,,2.002739,,,,,,,,,,,,48f22ce3-e2c4-4140-a2c3-cf063e2e14d7,101,,,"[14.4, 43.7]",3857295,2,,,,,-1.3264624,,Right Foot,,,,"[23.5, 7.2]",,Ground Pass,,37.617283,,,,Francisco Javier Calvo Quesada,5600.0,,,,,,1,From Goal Kick,Keylor Navas Gamboa,5597.0,Goalkeeper,9,Costa Rica,795,['4a495cc8-16e9-417b-b901-486280b18e4c'],47,,,,,,,,,,,,,,,,Costa Rica,795,00:02:47.456,Pass,
,,,,,,,,,,,,,,,,,,3.015994,,,,,,,,,,,,27055d95-6f35-460b-8586-a6dc3b82c88b,104,,,"[31.6, 3.9]",3857295,2,,,,,0.30667633,,Left Foot,,,,"[91.6, 22.9]",,High Pass,,62.936478,,Incomplete,,Anthony Daniel Contreras Enríquez,132296.0,,,,,,1,From Goal Kick,Francisco Javier Calvo Quesada,5600.0,Left Center Back,9,Costa Rica,795,"['430fa207-78e4-48d4-9544-c93a3b1f63ec', '9488acc5-3d4b-4a7c-bb83-a222b646be38']",51,,,,,,,,,,,,,,,,Costa Rica,795,00:02:51.612,Pass,
,,,,,,,,,,,,,,,,,,1.684632,,,,,,,,,,,,9488acc5-3d4b-4a7c-bb83-a222b646be38,106,,,"[28.5, 57.2]",3857295,2,,,,,-0.029117981,,Head,,,,"[38.8, 56.9]",,High Pass,,10.304368,,Unknown,,Hidemasa Morita,37221.0,,,,,Recovery,1,From Goal Kick,Ko Itakura,29595.0,Right Center Back,9,Costa Rica,795,"['27055d95-6f35-460b-8586-a6dc3b82c88b', 'c35abe80-405c-403e-a698-7553c3a7537e']",54,,,,,,,,,,,,,,,,Japan,778,00:02:54.628,Pass,
