ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.054635,,,,,,,,,,,,,7dbdcec3-4a5e-4b06-8ec8-b82f9feb67d5,50,,,"[106.8, 5.2]",3857285,0,,,,1.6614562,1f579270-496e-40d5-954d-b9f6c575daf5,Left Foot,,,,"[105.0, 25.0]",,Ground Pass,,19.881649,,,Boulaye Dia,20611.0,True,,,,,1,Regular Play,Ismaïla Sarr,2941.0,Left Wing,3,Senegal,787,['5b9d3f1a-10ee-40c3-9c96-83b99c97bdae'],43,,,,,,,,,,,,,,,,,Senegal,787,00:00:43.570,Pass,
,,,,,,,,,,,,,,,,1.303925,,,,,,,,,,,,,0ef57e5f-dbb3-4b50-8803-29d5f9b87526,56,,,"[120.0, 0.1]",3857285,1,,,,1.7202419,,Right Foot,,,,"[114.7, 35.3]",,High Pass,True,35.59677,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Idrissa Gana Gueye,3436.0,Center Attacking Midfield,4,Senegal,787,['86765ce8-39e9-443f-8864-1355eac8b2c6'],33,,,,,,,,,,,,,,,,,Senegal,787,00:01:33.467,Pass,
,,,,,,,,,,,,,,,,1.448846,,,,,,,,,,,,,37082fa7-c1e4-4017-a111-c8b441d24161,62,,,"[88.1, 60.6]",3857285,1,,,,1.2432877,,Right Foot,,,,"[93.4, 76.2]",,Ground Pass,,16.47574,,,Ismaïla Sarr,2941.0,,,,,,1,From Corner,Youssouf Sabaly,3404.0,Right Back,4,Senegal,787,['c5d61830-ccb5-4d4f-8bb2-372dcfb76cf0'],40,,,,,,,,,,,,,,,,,Senegal,787,00:01:40.720,Pass,
,,,,,,,,,,,,,,,,2.098435,,,,,,,,,,,,,717a8104-aa85-45ae-abaa-8121be628876,65,,,"[90.7, 65.2]",3857285,1,,,,-3.0746536,,Right Foot,,,,"[72.8, 64.0]",,Ground Pass,,17.940178,,,Nampalys Mendy,4506.0,,,,,,1,From Corner,Ismaïla Sarr,2941.0,Left Wing,4,Senegal,787,['7154302b-5121-493d-92f2-9df2f9e30523'],44,,,,,,,,,,,,,,,,,Senegal,787,00:01:44.391,Pass,
,,,,,,,,,,,,,,,,3.206874,,,,,,,,,,,,,118f8e1d-7410-4465-9bde-c619554fd427,68,,,"[74.1, 63.2]",3857285,1,,,,-1.5284325,,Right Foot,,,,"[76.3, 11.3]",,High Pass,,51.946606,,,Krépin Diatta,20758.0,,True,,,,1,From Corner,Nampalys Mendy,4506.0,Left Defensive Midfield,4,Senegal,787,['c733cac6-86a8-4b26-8fd3-cdf5ad7f2793'],47,,,,,,,,,,,,,,,,,Senegal,787,00:01:47.337,Pass,
,,,,,,,,,,,,,,,,1.205274,,,,,,,,,,,,,05e51cdf-15cd-4120-8706-e496d18d69f6,71,,,"[95.4, 11.9]",3857285,1,,,,-0.8562471,,Right Foot,,,,"[102.6, 3.6]",,Ground Pass,,10.9877205,,,Idrissa Gana Gueye,3436.0,,,,,,1,From Corner,Krépin Diatta,20758.0,Right Wing,4,Senegal,787,['4b8a5470-d62e-43cf-a8d1-9f6c9c1c94db'],53,,,,,,,,,,,,,,,,,Senegal,787,00:01:53.791,Pass,
,,,,,,,,,,,,,,,,1.708691,,,,,,,,,,,,,b30a69ae-833e-40a0-b38b-19faa1eca947,74,,,"[97.2, 3.9]",3857285,1,,,,2.6645231,,Right Foot,,,,"[67.6, 19.2]",,Ground Pass,,33.320415,,,Abdou Diallo,8553.0,,,,,,1,From Corner,Idrissa Gana Gueye,3436.0,Center Attacking Midfield,4,Senegal,787,['f93e07c5-cde8-4fef-a6d1-365d786f6f68'],56,,,,,,,,,,,,,,,,,Senegal,787,00:01:56.517,Pass,
,,,,,,,,,,,,,,,,1.745602,,,,,,,,,,,,,5c942f00-5ecf-4eba-87a0-4af3062fdc44,77,,,"[71.1, 19.7]",3857285,2,,,,-0.6471112,,Left Foot,,,,"[93.2, 3.0]",,Ground Pass,,27.70018,,,Krépin Diatta,20758.0,,,,,,1,From Corner,Abdou Diallo,8553.0,Left Back,4,Senegal,787,['288a5418-e4d4-40fc-88ca-515dc983e48c'],0,,,,,,,,,,,,,,,,,Senegal,787,00:02:00.076,Pass,
,,,,,,,,,,,,,,,,1.476848,,,,,,,,,,,,,5c7f13a1-8a4b-43f7-bbe5-9cb959f89dc2,84,,,"[106.4, 18.3]",3857285,2,,,,-2.2213395,,Right Foot,,,,"[97.8, 7.0]",,Ground Pass,,14.200352,,,Nampalys Mendy,4506.0,,,,,Recovery,1,From Corner,Krépin Diatta,20758.0,Right Wing,4,Senegal,787,"['488e61b7-5f55-4cf9-96ac-61e60899d6c5', '818f9741-99ee-4c06-a36d-20bce6ae9cc3', 'c4c8c206-1511-4fa7-9dff-8f55a5624f68']",8,,,,,,,,,,,,,,,,,Senegal,787,00:02:08.794,Pass,True
,,,,,,,,,,,,,,,,2.538542,,,,,,,,,,,,,232c0fcf-4150-4d6a-a161-e242264c2628,87,,,"[97.8, 7.0]",3857285,2,,,,0.8288491,,Right Foot,,,,"[117.6, 28.6]",,High Pass,,29.301878,Incomplete,,,,,,,,,1,From Corner,Nampalys Mendy,4506.0,Left Defensive Midfield,4,Senegal,787,['3ce1607c-2329-40c8-a35c-b0bd255ae58d'],11,,,,,,,,,,,,,,,,,Senegal,787,00:02:11.986,Pass,
,,,,,,,,,,,,,,,,2.387976,,,,,,,,,,,,,b43a9956-9721-4846-87a9-b46aa89e1e61,89,,,"[3.8, 47.0]",3857285,2,True,,,-0.71754134,,Keeper Arm,,,,"[25.8, 27.8]",,Ground Pass,,29.2,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Andries Noppert,8326.0,Goalkeeper,5,Netherlands,941,['bd45ccff-8b93-4f51-a926-963528caaaa2'],16,,,,,,,,,,,,,,,,,Netherlands,941,00:02:16.015,Pass,
,,,,,,,,,,,,,,,,1.229974,,,,,,,,,,,,,0876b7e4-24a2-40f5-84ac-3fc34bb08793,91,,,"[48.4, 44.8]",3857285,2,,,,1.677532,,Right Foot,,,,"[46.3, 64.4]",,Ground Pass,,19.71218,,,Matthijs de Ligt,8069.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Left Defensive Midfield,5,Netherlands,941,['0c85b04d-1466-45f2-bbf0-8a4f0853dad4'],24,,,,,,,,,,,,,,,,,Netherlands,941,00:02:24.758,Pass,
,,,,,,,,,,,,,,,,1.064942,,,,,,,,,,,,,bd8616c1-6f15-4db7-8e2f-0b9f8d7af654,94,,,"[46.0, 69.2]",3857285,2,,,,0.5860609,,Right Foot,,,,"[57.9, 77.1]",,Ground Pass,,14.283557,,,Denzel Dumfries,8125.0,,,,,,1,Regular Play,Matthijs de Ligt,8069.0,Right Center Back,5,Netherlands,941,['6a496bff-7b83-4093-afa0-6faba52de8ff'],26,,,,,,,,,,,,,,,,,Netherlands,941,00:02:26.927,Pass,
,,,,,,,,,,,,,,,,1.536281,,,,,,,,,,,,,2b5b32ec-8f7d-417e-b420-85057a61a27f,97,,,"[57.6, 77.1]",3857285,2,,,,-3.0062745,,Right Foot,,,,"[36.3, 74.2]",,Ground Pass,,21.496511,,,Matthijs de Ligt,8069.0,,,,,,1,Regular Play,Denzel Dumfries,8125.0,Right Wing Back,5,Netherlands,941,['9dd18c14-76be-4234-bbf5-cb73a33915ad'],30,,,,,,,,,,,,,,,,,Netherlands,941,00:02:30.660,Pass,
,,,,,,,,,,,,,,,,2.704232,,,,,,,,,,,,,bcfdaa7e-2613-4b71-ba3f-1df27146015f,100,,,"[31.6, 73.5]",3857285,2,,,,-2.3449082,,Right Foot,,,,"[9.7, 51.1]",,Ground Pass,,31.326826,,,Andries Noppert,8326.0,,,,,,1,Regular Play,Matthijs de Ligt,8069.0,Right Center Back,5,Netherlands,941,['78deb09b-2b71-44af-a0d2-430622352973'],33,,,,,,,,,,,,,,,,,Netherlands,941,00:02:33.269,Pass,
,,,,,,,,,,,,,,,,0.897866,,,,,,,,,,,,,7f26c920-b89b-4dea-8b0f-4fd835c9e1e6,103,,,"[10.9, 48.4]",3857285,2,,,,0.6061353,,Left Foot,,,,"[19.7, 54.5]",,Ground Pass,,10.707474,,,Virgil van Dijk,3669.0,,,,,,1,Regular Play,Andries Noppert,8326.0,Goalkeeper,5,Netherlands,941,['c3f85b4c-6c30-4d37-85cc-df4f07da593c'],39,,,,,,,,,,,,,,,,,Netherlands,941,00:02:39.162,Pass,
,,,,,,,,,,,,,,,,1.053395,,,,,,,,,,,,,052d8cc0-e77a-4d04-bfc1-9a183f872db8,106,,,"[22.4, 58.6]",3857285,2,,,,0.055498507,,Right Foot,,,,"[35.0, 59.3]",,Ground Pass,,12.61943,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Virgil van Dijk,3669.0,Center Back,5,Netherlands,941,['e85e75c5-2d5b-4dd3-8429-6b11e4f36b9d'],42,,,,,,,,,,,,,,,,,Netherlands,941,00:02:42.231,Pass,
,,,,,,,,,,,,,,,,0.888449,,,,,,,,,,,,,ce11c00b-228c-434a-a60d-9c1d3f4bb4d1,110,,,"[33.0, 60.6]",3857285,2,,,,3.1333961,,Right Foot,,,,"[20.8, 60.7]",,Ground Pass,,12.20041,,,Virgil van Dijk,3669.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Left Defensive Midfield,5,Netherlands,941,"['5f4111ff-313d-4f25-8b6b-ea0e0ff8c720', '90b3dd7f-3392-47de-8fb2-163280ab641b']",44,,,,,,,,,,,,,,,,,Netherlands,941,00:02:44.979,Pass,True
,,,,,,,,,,,,,,,,1.899238,,,,,,,,,,,,,a77138ff-4b00-49be-b60d-753ea7efad93,113,,,"[16.6, 59.0]",3857285,2,,,,-1.9665871,,Left Foot,,,,"[7.7, 37.7]",,Ground Pass,,23.084627,,,Andries Noppert,8326.0,,,,,,1,Regular Play,Virgil van Dijk,3669.0,Center Back,5,Netherlands,941,['0322ee1b-0ddd-4d37-9ea6-e3bad344d69c'],46,,,,,,,,,,,,,,,,,Netherlands,941,00:02:46.675,Pass,
