50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,"[77.8, 71.6]",,,,,,,,,,,,0.652682,,,,,,,,,,,,29589e10-3986-4634-a689-9130aab9eb3b,787,,"[77.8, 71.6]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Remo Freuler,6983.0,Right Defensive Midfield,33,Switzerland,773,"['1cbdb4ac-ca6d-424f-a1dc-7274475dcfb3', '2ba6a57a-df02-458a-b589-1c7072bd55f8']",51,,,,,,,,,,,,,,,,,Switzerland,773,00:17:51.304,Carry,
,,,"[73.5, 47.0]",,,,,,,,,,,,1.775448,,,,,,,,,,,,88752e27-5557-496e-be7a-0604b6b0245f,790,,"[74.5, 48.7]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,33,Switzerland,773,"['84295110-4047-4edd-9989-1b1ab3342b63', '9c402065-d417-4f74-864a-50aff1eeebd0']",53,,,,,,,,,,,,,,,,,Switzerland,773,00:17:53.331,Carry,
,,,"[109.5, 11.2]",,,,,,,,,,,,2.002761,,,,,,,,,,,,a9168272-7bc0-41e9-ba8f-d944bfcfe8ee,793,,"[100.6, 11.6]",3857290,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,33,Switzerland,773,"['39ab45d0-16fd-4490-a4d9-42e9f9ad7cfe', 'f7a4cc71-659e-476b-94bb-ee665bb84cf2']",57,,,,,,,,,,,,,,,,,Switzerland,773,00:17:57.541,Carry,
,,,"[118.7, 19.5]",,,,,,,,,,,,2.3725,,,,,,,,,,,,52a78481-731d-4e0f-a7fb-ac9e3d270ee6,796,,"[113.0, 27.0]",3857290,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ruben Vargas,30401.0,Left Wing,33,Switzerland,773,"['59ea42e9-bab8-4bcd-8729-288af17c1a8e', 'af7662a9-7f71-429b-a2b2-6460a4565742']",0,,,,,,,,,,,,,,,,,Switzerland,773,00:18:00.399,Carry,
,,,"[110.5, 4.7]",,,,,,,,,,,,1.161125,,,,,,,,,,,,a324871f-bac7-4843-9cad-59e11c50b30d,799,,"[110.5, 4.7]",3857290,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,33,Switzerland,773,"['69cb88ca-0827-4917-b56f-5563a5e1b214', 'dfbaac0b-bc98-42eb-a9ba-a7e13261745d']",3,,,,,,,,,,,,,,,,,Switzerland,773,00:18:03.885,Carry,
,,,"[91.0, 29.5]",,,,,,,,,,,,0.98962903,,,,,,,,,,,,d4095c18-f1fb-4bcc-bf0e-65f44be83178,805,,"[91.0, 29.5]",3857290,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,33,Switzerland,773,"['6efc70f2-abf3-463a-b71f-6bd5717eabcf', 'cc0f5bff-2d8c-4852-baf4-5b0ea1694760']",8,,,,,,,,,,,,,,,,,Switzerland,773,00:18:08.602,Carry,
,,,"[8.9, 24.0]",,,,,,,,,,,,1.794191,,,,,,,,,,,,d4380158-93fd-4f0a-a518-3f145b5189f4,810,,"[8.9, 24.0]",3857290,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,Left Center Back,34,Cameroon,2722,"['1cbac1bb-e4c0-4c1c-a6da-c5e0ff4fbdfa', '9a9426bc-075f-4248-afdf-a33385841d61']",35,,,,,,,,,,,,,,,,,Cameroon,2722,00:18:35.619,Carry,
,,,"[19.1, 38.1]",,,,,,,,,,,,12.943642,,,,,,,,,,,,e7eaf7b7-0d41-4dbd-89e6-d30da799a2fd,813,,"[3.7, 42.5]",3857290,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,André Onana,8064.0,Goalkeeper,34,Cameroon,2722,"['3bec9224-4ad9-49ae-a380-e56c58836865', 'eae29191-4f1b-480f-a02f-ba312f715a87']",38,,,,,,,,,,,,,,,,,Cameroon,2722,00:18:38.701,Carry,
,,,"[35.8, 76.4]",,,,,,,,,,,,0.352981,,,,,,,,,,,,7b4f4308-9947-41f9-9c26-a5d847d8b641,819,,"[35.4, 71.2]",3857290,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Samuel Yves Oum Gwet,8591.0,Center Defensive Midfield,34,Cameroon,2722,"['8953b1bd-a380-4952-8ece-60e2536c68f7', '8c8eacfd-bad8-41d2-a8ba-aab4fdbced91', '9799a65d-86e6-449c-bc1c-600e5f71dfe2']",55,,,,,,,,,,,,,,,,,Cameroon,2722,00:18:55.740,Carry,True
,,,"[48.7, 78.1]",,,,,,,,,,,,0.070456,,,,,,,,,,,,6017fcb6-bb53-4ed3-a468-3147cce718d4,824,,"[48.7, 78.1]",3857290,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Ngoran Suiru Fai Collins,16346.0,Right Back,34,Cameroon,2722,"['a3cf56dc-3a09-469f-b565-aee957bbd2eb', 'ad881d4d-e560-4027-b07e-f7115f0baa90', 'd15220c6-03f5-4ae9-89b7-5f84a1b18110']",57,,,,,,,,,,,,,,,,,Cameroon,2722,00:18:57.150,Carry,True
