50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.433284,,,,,,,,,,,62d1976f-b078-4a43-9af3-272dcc20e26c,71,,,"[9.5, 3.6]",3857273,1,,,,,-0.09347678,,Left Foot,,,,"[25.5, 2.1]",,Ground Pass,,16.070158,,,,,Neco Williams,34794.0,,,,,,1,Regular Play,Ben Davies,3086.0,Left Center Back,5,Wales,907,['432a816e-5272-4fd0-9742-51cad88bb6b2'],17,,,,,,,,,,,,,,,,,,Wales,907,00:01:17.515,Pass,
,,,,,,,,,,,,,,,,,,,0.841658,,,,,,,,,,,efa1c648-54fd-49c6-8b20-fe1f340c7727,75,,,"[25.1, 2.3]",3857273,1,,,,,1.5837826,,Right Foot,,,,"[24.9, 17.7]",,Ground Pass,,15.4012985,,,,,Ethan Ampadu,4934.0,,,,,,1,Regular Play,Neco Williams,34794.0,Left Wing Back,5,Wales,907,"['4c3ef6f9-2267-48ec-916f-a4982be0f2b8', 'b5666604-0394-45af-aef3-40ef5447b21a']",19,,,,,,,,,,,,,,,,,,Wales,907,00:01:19.814,Pass,True
,,,,,,,,,,,,,,,,,,,2.037726,,,,,,,,,,,183d2b5e-be22-4fca-a57e-233bcc4904d4,79,,,"[26.8, 17.0]",3857273,1,,,,,0.2965458,,Left Foot,,,,"[52.0, 24.7]",,High Pass,,26.350142,,,,,Kieffer Roberto Francisco Moore,3853.0,,,,,,1,Regular Play,Ethan Ampadu,4934.0,Center Defensive Midfield,5,Wales,907,['bcbd9d61-6223-47c2-9fac-f7080940bac2'],20,,,,,,,,,,,,,,,,,,Wales,907,00:01:20.838,Pass,
,,,,,,,,,,,,,,,,,,,0.770192,,,,,,,,,,,1946084f-aa43-40e5-a83a-874f74267936,81,,,"[53.5, 24.7]",3857273,1,,,,,-0.8591558,,Head,,,,"[62.9, 13.8]",,High Pass,,14.393401,,,Incomplete,,Harry Wilson,9540.0,,,,,,1,Regular Play,Kieffer Roberto Francisco Moore,3853.0,Left Center Forward,5,Wales,907,"['656d202e-4270-4bd7-91ef-0713f4386954', 'f6cf048b-9a51-451a-98e6-e23395e2692b']",22,,,,,,,,,,,,,,,,,,Wales,907,00:01:22.876,Pass,
,,,,,,,,,,,,,,,,,,,2.027215,,,,,,,,,,,f6cf048b-9a51-451a-98e6-e23395e2692b,83,,,"[57.2, 66.3]",3857273,1,,,,,1.2166382,,Head,,,,"[61.6, 78.2]",,High Pass,,12.687395,,,,,Ahmad Nourollahi,124167.0,,,,,Recovery,1,Regular Play,Seyed Majid Hosseini,5228.0,Right Center Back,6,Iran,797,"['1946084f-aa43-40e5-a83a-874f74267936', 'a77b9a10-003c-48e6-83b9-92651deab831']",23,,,,,,,,,,,,,,,,,,Iran,797,00:01:23.646,Pass,
,,,,,,,,,,,,,,,,,,,2.280898,,,,,,,,,,,e35243dd-f510-4849-8d8f-9f3a2e51c7b0,86,,,"[61.6, 78.2]",3857273,1,,,,,0.016302904,,Right Foot,,,,"[80.0, 78.5]",,High Pass,,18.402445,,,,,Ramin Rezaeian,5235.0,,,,,,1,Regular Play,Ahmad Nourollahi,124167.0,Left Defensive Midfield,6,Iran,797,['c6460e8b-9f92-4687-9de0-41f2a1e1c1fb'],25,,,,,,,,,,,,,,,,,,Iran,797,00:01:25.953,Pass,
,,,,,,,,,,,,,,,,,,,4.294292,,,,,,,,,,,487b91a2-9b16-4c6a-81ba-625c944f5c84,89,,,"[83.7, 78.5]",3857273,1,,,,,-1.0340009,,Right Foot,,,,"[120.0, 17.5]",,High Pass,,70.983734,,,Out,,,,,True,,,,1,Regular Play,Ramin Rezaeian,5235.0,Right Back,6,Iran,797,,29,,,,,,,,,,,,,,,,,,Iran,797,00:01:29.412,Pass,
,,,,,,,,,,,,,,,,,,,1.757533,,,,,,,,,,,4fb136da-0b1f-41d4-bd75-d22aba3fcfdf,90,,,"[6.0, 36.0]",3857273,1,,,,,-1.3370532,,Right Foot,,,,"[12.5, 8.7]",,Ground Pass,,28.063143,,,,,Ben Davies,3086.0,,,,,Goal Kick,1,From Goal Kick,Wayne Hennessey,3488.0,Goalkeeper,7,Wales,907,['f304f3e2-36cf-4bb8-a4ff-4cce221030ab'],46,,,,,,,,,,,,,,,,,,Wales,907,00:01:46.529,Pass,
,,,,,,,,,,,,,,,,,,,2.871721,,,,,,,,,,,6c090577-3f26-454e-b33a-e47eed04ec02,93,,,"[18.5, 9.1]",3857273,1,,,,,0.38050637,,Left Foot,,,,"[71.5, 30.3]",,High Pass,,57.08275,,,,,Kieffer Roberto Francisco Moore,3853.0,,,,,,1,From Goal Kick,Ben Davies,3086.0,Left Center Back,7,Wales,907,['6970646b-1f49-4571-915a-fcfb73f3ab5b'],50,,,,,,,,,,,,,,,,,,Wales,907,00:01:50.294,Pass,
,,,,,,,,,,,,,,,,,,,1.914389,,,,,,,,,,,4a848828-730f-4eae-9eae-1952aaff5c70,96,,,"[71.5, 30.3]",3857273,1,,,,True,-0.9108232,,,,,,"[91.6, 4.4]",,High Pass,,32.784447,,,,,Harry Wilson,9540.0,,,,,,1,From Goal Kick,Kieffer Roberto Francisco Moore,3853.0,Left Center Forward,7,Wales,907,"['5611bbe9-a9ed-43dd-8931-973fcecb33f2', '84d6d697-7a33-4c29-9b62-40c827db0216']",53,,,,,,,,,,,,,,,,,,Wales,907,00:01:53.166,Pass,True
,,,,,,,,,,,,,,,,,,,1.16557,,,,,,,,,,,5620b047-53e9-42d7-bc02-e73bc03baee2,99,,,"[104.7, 3.8]",3857273,1,,,,,2.3693516,eb0430d9-f698-4125-a89a-f42feee2b55e,Left Foot,,,,"[97.0, 11.3]",,Ground Pass,,10.748954,,,,,Neco Williams,34794.0,True,,,,,1,From Goal Kick,Harry Wilson,9540.0,Left Center Midfield,7,Wales,907,['bea7f821-7874-4862-8118-4501eccf64f5'],59,,,,,,,,,,,,,,,,,,Wales,907,00:01:59.260,Pass,
,,,,,,,,,,,,,,,,,,,5.321857,,,,,,,,,,,c0978592-a31a-48f4-9003-f4068815e0d6,105,,,"[7.0, 44.1]",3857273,2,,,,,-0.5717129,,Right Foot,,,,"[74.3, 0.8]",,High Pass,,80.02612,,,Out,,,,,True,,,Goal Kick,1,From Goal Kick,Seyed Hossein Hosseini,125823.0,Goalkeeper,8,Iran,797,,34,,,,,,,,,,,,,,,,,,Iran,797,00:02:34.931,Pass,
,,,,,,,,,,,,,,,,,,,2.691774,,,,,,,,,,,e0b5151b-b64d-4603-a804-6d329c855d72,106,,,"[55.2, 80.0]",3857273,2,,True,,,-0.07996847,,,,,,"[112.6, 75.4]",,High Pass,,57.584026,,,Incomplete,,Kieffer Roberto Francisco Moore,3853.0,,,,,Throw-in,1,From Throw In,Connor Roberts,4774.0,Right Wing Back,9,Wales,907,"['1018659f-7276-46ab-a99e-b38f28353a65', 'a41f4386-196e-4086-93f2-91f88868d691']",51,,,,,,,,,,,,,,,,,,Wales,907,00:02:51.408,Pass,
,,,,,,,,,,,,,,,,,,,3.479589,,,,,,,,,,,089fcaf3-0bb6-46f8-92c2-a78fa39697a4,113,,,"[7.0, 36.1]",3857273,3,,True,,,-0.37351537,,Right Foot,,,,"[71.3, 10.9]",,High Pass,,69.06178,,,,,Sardar Azmoun,5224.0,,,,,Goal Kick,1,From Goal Kick,Seyed Hossein Hosseini,125823.0,Goalkeeper,11,Iran,797,['3341cd26-cb96-40ba-8a11-e944f2e46953'],29,,,,,,,,,,,,,,,,,,Iran,797,00:03:29.748,Pass,
