50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[94.3, 74.9]",,,,,,,,,,,,,1.141779,,,,,,,,,,,,,75e660bc-f9b3-4e9d-b0c2-0ae305a6cb5e,229,,"[92.6, 75.2]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Thomas Meunier,3176.0,Right Back,11,Belgium,782,"['1aaa02b5-e20a-408d-a876-d658825a3d99', '6c7e6a01-6fd7-4276-9ce5-1f102128c2a9']",23,,,,,,,,,,,,,,,,,Belgium,782,00:04:23.672,Carry,
,,,,,"[18.4, 32.3]",,,,,,,,,,,,,0.876485,,,,,,,,,,,,,362bc601-a067-4e05-8d0b-772cd4f03971,233,,"[18.2, 29.5]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marcelo Brozović,5469.0,Center Defensive Midfield,12,Croatia,785,"['9ea6bd55-d804-42f5-9dce-40fc30f4d3f6', 'b443f4f1-372c-4858-9330-f2c5e0565533']",26,,,,,,,,,,,,,,,,,Croatia,785,00:04:26.665,Carry,
,,,,,"[13.8, 36.9]",,,,,,,,,,,,,0.563464,,,,,,,,,,,,,d7b1ca57-59af-4060-b62a-295e41f413bf,238,,"[13.8, 36.9]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dejan Lovren,3471.0,Right Center Back,12,Croatia,785,"['89913c8a-0040-4429-84d7-2c870dca4e2f', '9d033a29-79ee-43f4-8649-f3324d4bdf73']",29,,,,,,,,,,,,,,,,,Croatia,785,00:04:29.310,Carry,
,,,,,"[33.1, 59.2]",,,,,,,,,,,,,2.755321,,,,,,,,,,,,,bafbaa8e-217b-4f97-92ef-8bc1335e471a,243,,"[27.6, 56.0]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Toby Alderweireld,20005.0,Right Center Back,13,Belgium,782,"['74ec5881-5215-437c-8787-9a53ee5e8195', '7ca07a65-2716-48ff-b5b2-783dab5898bd']",38,,,,,,,,,,,,,,,,,Belgium,782,00:04:38.200,Carry,
,,,,,"[35.6, 34.0]",,,,,,,,,,,,,1.624349,,,,,,,,,,,,,02cb5a1b-c0f6-4318-a924-4322a77aba3a,246,,"[35.6, 34.0]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Center Back,13,Belgium,782,"['2eaba39e-759e-40b4-bdef-624aa7fe9d12', 'dec55bb5-5da6-45d5-8e2a-98960b06562a']",42,,,,,,,,,,,,,,,,,Belgium,782,00:04:42.869,Carry,
,,,,,"[36.1, 27.5]",,,,,,,,,,,,,0.887063,,,,,,,,,,,,,98aeacf3-c575-4a98-b7e4-4719fa707515,249,,"[39.3, 24.3]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Timothy Castagne,6989.0,Left Back,13,Belgium,782,"['74be8dc7-fc46-43b0-a50e-f4f3cc7a7bed', 'ada08414-81cf-4353-bbd6-4c209969c2c9']",45,,,,,,,,,,,,,,,,,Belgium,782,00:04:45.874,Carry,
,,,,,"[35.6, 54.3]",,,,,,,,,,,,,1.208476,,,,,,,,,,,,,e0112a15-63df-4671-973f-ce50c8cbc328,252,,"[33.9, 54.6]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Toby Alderweireld,20005.0,Right Center Back,13,Belgium,782,"['52f10fd6-2c22-46e1-b46b-aa70d01ea935', 'a5be6592-bcf7-4c4f-957d-e933ec75e55f']",48,,,,,,,,,,,,,,,,,Belgium,782,00:04:48.552,Carry,
,,,,,"[41.3, 58.6]",,,,,,,,,,,,,0.871948,,,,,,,,,,,,,100dc7fa-16f6-441e-ba04-c7ec67de63b4,255,,"[42.2, 60.9]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leander Dendoncker,6331.0,Right Defensive Midfield,13,Belgium,782,"['04f162d7-e23a-45c8-89ea-3e0b4f1b2475', '5eaba170-e9d2-4751-9437-b9ad047a00c5', 'c92f388b-8b17-4928-a265-4af32c0fcf88']",50,,,,,,,,,,,,,,,,,Belgium,782,00:04:50.905,Carry,True
,,,,,"[35.9, 32.8]",,,,,,,,,,,,,0.872004,,,,,,,,,,,,,29a1287f-e479-4030-ad25-8159dc41d9bf,259,,"[35.9, 32.8]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jan Vertonghen,3077.0,Left Center Back,13,Belgium,782,"['705f4f2d-270b-407d-b6b2-32ce35c5981b', '817ee0f6-ffa2-4d34-8e82-33386cd7af10']",53,,,,,,,,,,,,,,,,,Belgium,782,00:04:53.160,Carry,
,,,,,"[45.9, 21.1]",,,,,,,,,,,,,2.762959,,,,,,,,,,,,,e291d0a7-f556-46f2-8786-1ca449533085,262,,"[40.2, 18.3]",3857296,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Timothy Castagne,6989.0,Left Back,13,Belgium,782,"['33a56839-b447-4661-b0d0-3395acc1f07b', '71b85206-ef2d-4eae-9b5c-3308deeca8fc']",55,,,,,,,,,,,,,,,,,Belgium,782,00:04:55.418,Carry,
,,,,,"[56.7, 49.2]",,,,,,,,,,,,,3.235885,,,,,,,,,,,,,3a99da48-092d-4577-a42b-71b005f78c28,265,,"[43.3, 56.0]",3857296,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Toby Alderweireld,20005.0,Right Center Back,13,Belgium,782,"['450cf36e-df89-49c2-a3c8-87d5408471a5', 'f0a7a41d-8c36-4083-881c-8ce511315345']",0,,,,,,,,,,,,,,,,,Belgium,782,00:05:00.449,Carry,
,,,,,"[88.5, 3.1]",,,,,,,,,,,,,1.927284,,,,,,,,,,,,,194ffafc-cd67-4631-a906-b9bf0683af9c,268,,"[84.8, 4.6]",3857296,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yannick Ferreira Carrasco,5633.0,Left Wing,13,Belgium,782,"['47f4fe53-2698-4b96-ad28-004e4ff4a1c6', 'b516495f-095e-4843-9881-d317f5a96e02']",6,,,,,,,,,,,,,,,,,Belgium,782,00:05:06.466,Carry,
