50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.302128,,,,,,,,,,,,,,00511f0f-0933-4277-b746-6b6eb574aac2,30,,,"[26.3, 53.6]",3869420,0,,,,,0.95449936,,Right Foot,,,,"[34.8, 65.6]",,Ground Pass,,14.705441,,,,,Éder Gabriel Militão,13620.0,,,,,,1,From Throw In,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Brazil,781,['b9ba6596-5bfe-4c26-af8f-7f3a3ca92f02'],23,,,,,,,,,,,,,,,,,,Brazil,781,00:00:23.247,Pass,
,,,,,,,,,,,,,,,,,,,1.375327,,,,,,,,,,,,,,44e93837-b626-438a-9877-8b57c1b238a0,33,,,"[37.7, 67.8]",3869420,0,,,,,-1.8747972,,Right Foot,,,,"[34.5, 57.6]",,Ground Pass,,10.690183,,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Throw In,Éder Gabriel Militão,13620.0,Right Back,3,Brazil,781,['7e93cd3b-462e-46aa-bc7d-cde75d852bc5'],26,,,,,,,,,,,,,,,,,,Brazil,781,00:00:26.663,Pass,
,,,,,,,,,,,,,,,,,,,1.073005,,,,,,,,,,,,,,7b6e9c2c-923f-47ab-bca3-6c88c7822ab4,36,,,"[38.4, 56.4]",3869420,0,,,,,-1.2326984,,Right Foot,,,,"[46.1, 34.5]",,Ground Pass,,23.21422,,,,,Danilo Luiz da Silva,3063.0,,,,,,1,From Throw In,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Brazil,781,['708f8068-08a5-4328-b62c-7616f5c0f9ad'],29,,,,,,,,,,,,,,,,,,Brazil,781,00:00:29.360,Pass,
,,,,,,,,,,,,,,,,,,,0.594713,,,,,,,,,,,,,,83ea3084-3b10-45ba-9e73-6241b89caba9,39,,,"[50.7, 31.6]",3869420,0,,,,,-0.48447794,,Right Foot,,,,"[58.3, 27.6]",,Ground Pass,,8.588365,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Danilo Luiz da Silva,3063.0,Left Back,3,Brazil,781,['74f87716-3387-4e11-b67d-8c6cd633d67b'],32,,,,,,,,,,,,,,,,,,Brazil,781,00:00:32.468,Pass,
,,,,,,,,,,,,,,,,,,,0.725594,,,,,,,,,,,,,,ac830197-40af-47f0-9204-dd395c2373d9,41,,,"[58.3, 27.6]",3869420,0,,,,,3.0791738,,Right Foot,,,,"[51.9, 28.0]",,Ground Pass,,6.412488,,,,,Danilo Luiz da Silva,3063.0,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Center Attacking Midfield,3,Brazil,781,['44910fee-84b6-4379-8639-db47f1a88f69'],33,,,,,,,,,,,,,,,,,,Brazil,781,00:00:33.062,Pass,
,,,,,,,,,,,,,,,,,,,0.880229,,,,,,,,,,,,,,0edc550f-9199-4fce-83c7-cf5a87a76227,44,,,"[51.8, 25.9]",3869420,0,,,,,-2.8746176,,Right Foot,,,,"[40.1, 22.7]",,Ground Pass,,12.129716,,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Throw In,Danilo Luiz da Silva,3063.0,Left Back,3,Brazil,781,['b51b8a8e-2a38-4312-a7bb-d4f55a21b88d'],35,,,,,,,,,,,,,,,,,,Brazil,781,00:00:35.171,Pass,
,,,,,,,,,,,,,,,,,,,1.540555,,,,,,,,,,,,,,8a1abd70-53d2-4f28-adaf-4a401624af7c,47,,,"[39.3, 23.2]",3869420,0,,,,,1.586299,,Right Foot,,,,"[38.9, 49.0]",,Ground Pass,,25.8031,,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Throw In,Thiago Emiliano da Silva,3295.0,Left Center Back,3,Brazil,781,['00d2292e-adb9-43ae-a2c5-187b5a828f57'],37,,,,,,,,,,,,,,,,,,Brazil,781,00:00:37.592,Pass,
,,,,,,,,,,,,,,,,,,,1.085035,,,,,,,,,,,,,,861b0401-8d21-49b2-bdfa-b500582d19b7,50,,,"[44.6, 47.8]",3869420,0,,,,,-1.3274411,,Right Foot,,,,"[48.2, 33.3]",,Ground Pass,,14.940214,,,,,Danilo Luiz da Silva,3063.0,,,,,,1,From Throw In,Marcos Aoás Corrêa,4372.0,Right Center Back,3,Brazil,781,['668a866f-3b50-437e-a8d3-30815e6035f1'],42,,,,,,,,,,,,,,,,,,Brazil,781,00:00:42.682,Pass,
,,,,,,,,,,,,,,,,,,,1.694026,,,,,,,,,,,,,,31cc71b9-6fd0-4bc1-9fb4-c33cb80ef10f,53,,,"[46.6, 33.3]",3869420,0,,,,,1.6520776,,Right Foot,,,,"[43.7, 68.9]",,Ground Pass,,35.717922,,,,,Éder Gabriel Militão,13620.0,,,,,,1,From Throw In,Danilo Luiz da Silva,3063.0,Left Back,3,Brazil,781,['98c877ae-8426-4248-b606-f607dbe92dd3'],44,,,,,,,,,,,,,,,,,,Brazil,781,00:00:44.596,Pass,
,,,,,,,,,,,,,,,,,,,1.060204,,,,,,,,,,,,,,8749065a-2dac-4455-ad8a-f20d1771fa6a,56,,,"[43.7, 68.9]",3869420,0,,,,,0.36717382,,Right Foot,,,,"[65.8, 77.4]",,Ground Pass,,23.67826,,,,,Raphael Dias Belloli,10595.0,,,,,,1,From Throw In,Éder Gabriel Militão,13620.0,Right Back,3,Brazil,781,['4cc4a86f-9c35-43ff-af42-1a591fb10c18'],47,,,,,,,,,,,,,,,,,,Brazil,781,00:00:47.476,Pass,
