50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.511547,,,,,,,,,,,,,98aea619-cd0d-45d6-88c8-a27901a59c1a,69,,"[64.3, 11.0]",3857289,1,,,,,2.6140323,,Left Foot,,,,"[40.1, 25.1]",,Ground Pass,28.008034,,,,Nicolás Hernán Otamendi,3090.0,,,,,1,From Free Kick,Marcos Javier Acuña,19597.0,Left Back,5,Argentina,779,"['909b4c9b-8422-490e-9f1e-0284acac5f67', '93ca35f6-7948-4cfe-af52-fbcfb0e716f5']",37,,,,,,,,,,,,,,,,Argentina,779,00:01:37.186,Pass,True
,,,,,,,,,,,,,,,,,1.941795,,,,,,,,,,,,,2e9c69c7-f9a4-42b1-8a32-bdf0fa89b263,72,,"[38.8, 30.3]",3857289,1,,,,,1.3840446,,Right Foot,,,,"[45.3, 64.7]",,Ground Pass,35.008713,,,,Gonzalo Ariel Montiel,28263.0,,,,,1,From Free Kick,Nicolás Hernán Otamendi,3090.0,Right Center Back,5,Argentina,779,['ecddce8d-35f7-426b-a46b-0a66a38dc8c7'],39,,,,,,,,,,,,,,,,Argentina,779,00:01:39.986,Pass,
,,,,,,,,,,,,,,,,,0.984605,,,,,,,,,,,,,c0c7e877-027e-41d1-ab9e-e2b5b9b90272,75,,"[71.3, 65.5]",3857289,1,,,,,1.8215055,,Left Foot,,,,"[69.2, 73.7]",,Ground Pass,8.464632,,,,Ángel Fabián Di María Hernández,2995.0,,,,,1,From Free Kick,Gonzalo Ariel Montiel,28263.0,Right Back,5,Argentina,779,['8c28083f-d530-43db-9d3c-60f5dd053c16'],45,,,,,,,,,,,,,,,,Argentina,779,00:01:45.542,Pass,
,,,,,,,,,,,,,,,,,1.111783,,,,,,,,,,,,,0b3d1865-8c45-4832-92b9-8a4fcbe70a5c,79,,"[67.5, 73.9]",3857289,1,,,,,-2.0235748,,Left Foot,,,,"[56.7, 51.7]",,Ground Pass,24.687649,,,,Guido Rodríguez,26404.0,,,,,1,From Free Kick,Ángel Fabián Di María Hernández,2995.0,Right Midfield,5,Argentina,779,['e4a89f3e-1b7d-43bd-b8b9-d57cc24a6b14'],47,,,,,,,,,,,,,,,,Argentina,779,00:01:47.658,Pass,
,,,,,,,,,,,,,,,,,0.990316,,,,,,,,,,,,,39714d47-a2da-4905-aafb-d661543ea799,82,,"[56.7, 51.7]",3857289,1,,,,,0.20668322,,Left Foot,,,,"[62.9, 53.0]",,Ground Pass,6.3348246,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,1,From Free Kick,Guido Rodríguez,26404.0,Left Defensive Midfield,5,Argentina,779,['6b6b06ee-7be4-42f1-a4f4-b00e99c2bbba'],48,,,,,,,,,,,,,,,,Argentina,779,00:01:48.810,Pass,
,,,,,,,,,,,,,,,,,0.954354,,,,,,,,,,,,,efe9256c-78b0-41df-9240-f9e3a877059b,91,,"[65.9, 36.0]",3857289,1,,,,,-0.93624353,,Left Foot,,,,"[76.5, 21.6]",,Ground Pass,17.880716,,,,Alexis Mac Allister,27886.0,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,5,Argentina,779,"['245b12ea-85f1-464e-9455-2d3e6e7b7e79', '25bbc1aa-249f-45a7-934e-0e96816e6d34', 'bab21794-cadf-4ccf-b5ee-1784b6c70d34']",52,,,,,,,,,,,,,,,,Argentina,779,00:01:52.506,Pass,True
,,,,,,,,,,,,,,,,,1.626636,,,,,,,,,,,,,53937a3c-05a2-4d58-8858-6d08b02eb76c,94,,"[80.8, 19.7]",3857289,1,,,,,-0.6860698,,Right Foot,,,,"[96.8, 6.6]",,Ground Pass,20.678734,,,,Marcos Javier Acuña,19597.0,,,,,1,From Free Kick,Alexis Mac Allister,27886.0,Left Midfield,5,Argentina,779,['8f984e90-17ac-4fc7-86d7-57002ec3a4ee'],54,,,,,,,,,,,,,,,,Argentina,779,00:01:54.570,Pass,
,,,,,,,,,,,,,,,,,1.949864,,,,,,,,,,,,,80f06db1-6945-45dd-9ff9-38f1a6df9d47,97,,"[99.8, 6.1]",3857289,1,,,,,1.31801,,Left Foot,True,,,"[109.9, 45.2]",,High Pass,40.38341,,Incomplete,,,,,,,,1,From Free Kick,Marcos Javier Acuña,19597.0,Left Back,5,Argentina,779,['38c6fc73-df85-4980-bedf-1648509cf652'],57,,,,,,,,,,,,,,,,Argentina,779,00:01:57.144,Pass,
,,,,,,,,,,,,,,,,,1.597527,,,,,,,,,,,,,2e742361-e06d-4b49-95c8-060bddb4029d,99,,"[93.0, 60.1]",3857289,2,,,,,0.6803016,,Right Foot,,,,"[106.1, 70.7]",,Ground Pass,16.85141,,,,Ángel Fabián Di María Hernández,2995.0,,,,Recovery,1,From Free Kick,Gonzalo Ariel Montiel,28263.0,Right Back,5,Argentina,779,['48065d53-7726-4a45-ab65-c13a592a9e5d'],1,,,,,,,,,,,,,,,,Argentina,779,00:02:01.167,Pass,
,,,,,,,,,,,,,,,,,0.742443,,,,,,,,,,,,,3ab58f2c-92c1-4d77-8cdc-35794aec93f1,105,,"[105.3, 62.5]",3857289,2,,,,,-2.3036115,,Left Foot,,,,"[99.0, 55.5]",,Ground Pass,9.417537,,,,Rodrigo Javier De Paul,7797.0,,,,,1,From Free Kick,Ángel Fabián Di María Hernández,2995.0,Right Midfield,5,Argentina,779,['61e6510f-5275-4daf-b0f6-0a0f073ac09c'],7,,,,,,,,,,,,,,,,Argentina,779,00:02:07.467,Pass,
,,,,,,,,,,,,,,,,,0.16048,,,,,,,,,,,,,eda42578-0380-44e9-aa0f-604ad8e61a2f,108,,"[112.0, 68.8]",3857289,2,,,,,-1.4920124,,Right Foot,,,,"[112.3, 65.0]",,Low Pass,3.8118236,,Incomplete,,,,,,,,1,From Free Kick,Rodrigo Javier De Paul,7797.0,Right Defensive Midfield,5,Argentina,779,['6587b160-0482-440f-bb5c-e4c03a7e33ab'],11,,,,,,,,,,,,,,,,Argentina,779,00:02:11.821,Pass,
