50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.888167,,,,,,,,,,,,28e48067-04fd-4735-bec6-70209848b3b3,39,,,"[54.6, 0.1]",3857261,1,,,,,0.081365034,,,,"[77.9, 2.0]",,High Pass,,23.37734,,,Incomplete,,Kieffer Roberto Francisco Moore,3853.0,,,,,,Throw-in,1,From Throw In,Ben Davies,3086.0,Left Back,6,Wales,907,"['39b26bd5-e3db-4cdb-a69f-8ef4aa37d4d5', 'eb45dc45-09e6-471b-b249-2f24efb0d37b']",3,,,,,,,,,,,,,,,,,,Wales,907,00:01:03.483,Pass,
,,,,,,,,,,,,,,,,,1.891598,,,,,,,,,,,,39b26bd5-e3db-4cdb-a69f-8ef4aa37d4d5,42,,,"[42.2, 78.1]",3857261,1,,,,True,-1.274518,,,,"[45.1, 68.6]",,High Pass,,9.932774,,,,,Jordan Brian Henderson,3532.0,,,,,,Recovery,1,Regular Play,John Stones,3244.0,Right Center Back,7,England,768,"['28e48067-04fd-4735-bec6-70209848b3b3', 'b406d9cb-5d0d-4b3c-b234-e55b8b240f89', 'dbdf9540-1e5a-41e2-854f-33e596228286']",5,,,,,,,,,,,,,,,,,,England,768,00:01:05.372,Pass,True
,,,,,,,,,,,,,,,,,1.363134,,,,,,,,,,,,ba25abe8-23be-4174-a6cf-81ee4b532174,45,,,"[45.1, 68.6]",3857261,1,,,,True,-0.33109608,,,,"[48.3, 67.5]",,High Pass,,3.3837848,,,,,Jude Bellingham,30714.0,,,,,,,1,Regular Play,Jordan Brian Henderson,3532.0,Right Center Midfield,7,England,768,"['79c141da-d6b9-4b43-b470-b7452efdcaa4', 'cbc9ad24-2cce-48bc-a196-e464ac26a44f']",7,,,,,,,,,,,,,,,,,,England,768,00:01:07.303,Pass,True
,,,,,,,,,,,,,,,,,0.496211,,,,,,,,,,,,1f575e93-7153-40e6-bd0d-e39284532850,49,,,"[47.6, 67.8]",3857261,1,,,,,0.7727406,,Right Foot,,"[51.6, 71.7]",,Low Pass,,5.5865912,,,,,Philip Foden,4354.0,,,,,,,1,Regular Play,Jude Bellingham,30714.0,Left Center Midfield,7,England,768,"['51abba94-63a1-4c94-9a8b-e3cfd180648b', '8345ef22-df68-4a6e-93b1-1db814b60589']",8,,,,,,,,,,,,,,,,,,England,768,00:01:08.671,Pass,True
,,,,,,,,,,,,,,,,,0.696019,,,,,,,,,,,,d0b26999-d294-4212-b1b3-ef88780302e4,52,,,"[51.6, 71.7]",3857261,1,,,,,-1.9189197,,Left Foot,,"[47.1, 59.3]",,Low Pass,,13.191285,,,Incomplete,,,,,,,,,,1,Regular Play,Philip Foden,4354.0,Right Wing,7,England,768,['bb98cb51-6711-4076-8f4b-97708b807d12'],9,,,,,,,,,,,,,,,,,,England,768,00:01:09.207,Pass,
,,,,,,,,,,,,,,,,,4.718164,,,,,,,,,,,,c64d5455-5735-4374-b483-41ccaa5239f8,55,,,"[65.3, 21.5]",3857261,1,,,,,2.3561945,,Right Foot,,"[30.9, 55.9]",,Low Pass,,48.648945,,,,,Chris Mepham,4767.0,,,,,,,1,Regular Play,Ethan Ampadu,4934.0,Left Defensive Midfield,8,Wales,907,['27759c64-0b72-411e-88f0-63840630afa2'],11,,,,,,,,,,,,,,,,,,Wales,907,00:01:11.200,Pass,
,,,,,,,,,,,,,,,,,2.015698,,,,,,,,,,,,d6f6895a-b591-440d-9c18-c2658cb35459,58,,,"[28.3, 69.7]",3857261,1,,,,,-2.2794225,,Right Foot,,"[10.3, 48.7]",,Ground Pass,,27.658634,,,,,Danny Ward,9914.0,,,,,,,1,Regular Play,Chris Mepham,4767.0,Right Center Back,8,Wales,907,['37fbdcea-2e98-4e07-af6c-922c373470da'],18,,,,,,,,,,,,,,,,,,Wales,907,00:01:18.457,Pass,
,,,,,,,,,,,,,,,,,3.088047,,,,,,,,,,,,8e36d284-2b2a-474b-8ec4-f9ec44a344b7,62,,,"[11.0, 46.3]",3857261,1,,,,,-0.98063505,,Right Foot,,"[39.6, 3.6]",,High Pass,,51.393093,,,,,Ben Davies,3086.0,,,True,,,,1,Regular Play,Danny Ward,9914.0,Goalkeeper,8,Wales,907,"['58de3f8d-1679-4910-aebe-986b6cf27d29', 'f8ee99a2-45d5-43f0-aebc-b898df517883']",22,,,,,,,,,,,,,,,,,,Wales,907,00:01:22.011,Pass,True
,,,,,,,,,,,,,,,,,1.870275,,,,,,,,,,,,46b7371e-1344-4318-bd93-abd592ecfebf,65,,,"[39.8, 4.0]",3857261,1,,,,,0.4011493,,Left Foot,,"[72.1, 17.7]",,High Pass,,35.085323,,,Incomplete,,Kieffer Roberto Francisco Moore,3853.0,,,,,,,1,Regular Play,Ben Davies,3086.0,Left Back,8,Wales,907,"['6bd945e1-5fe8-473b-bb41-aac4ea571e48', 'b1ed4b35-fbfd-4a90-a739-fb5bce1ed6f0']",25,,,,,,,,,,,,,,,,,,Wales,907,00:01:25.139,Pass,
,,,,,,,,,,,,,,,,,1.705501,,,,,,,,,,,,46616426-3860-4c16-a654-75ee18675db2,71,,,"[50.7, 74.5]",3857261,1,,,,,3.0172377,,Right Foot,,"[34.7, 76.5]",,Ground Pass,,16.124516,,,,,Kyle Walker,3205.0,,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,9,England,768,"['4f07183b-edb4-4ae0-9e3b-d81549ecf53c', '9d1a73a3-3731-418f-b9cd-942b15c6be31']",31,,,,,,,,,,,,,,,,,,England,768,00:01:31.999,Pass,True
