50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.099806,,,,,,,,,,,,,8f7b251f-eb42-48d9-813f-76220fbf9c9f,69,,,"[65.9, 3.1]",3939975,1,,,,1.9890207,,Left Foot,,,"[65.1, 4.9]",,Ground Pass,1.9697715,,Incomplete,,,,,,,,,1,From Throw In,Matías David Espinoza Acosta,46677.0,Left Back,7,Colombia,769,['c68b85b3-c865-4e8e-b862-051da4e205cf'],33,,,,,,,,,,,,,,,,,Paraguay,3567,00:01:33.724,Pass,
,,,,,,,,,,,,,,,,0.360864,,,,,,,,,,,,,64752d72-a60b-4a6e-a80a-a6ab9cdaba78,74,,,"[80.3, 66.3]",3939975,1,,,,-1.8925469,,Right Foot,,,"[77.3, 57.3]",,Ground Pass,9.486833,,Incomplete,,,,,,,,,1,From Throw In,Rafael Santos Borré Amaury,28266.0,Right Center Forward,7,Colombia,769,['afab6d6e-da7f-4288-bf5e-11cefe6ccd08'],37,,,,,,,,,,,,,,,,,Colombia,769,00:01:37.551,Pass,
,,,,,,,,,,,,,,,,1.352704,,,,,,,,,,,,,f2f90de8-bc1a-4fe4-b0fd-39f25226ce50,76,,,"[34.3, 17.7]",3939975,1,,,,2.5015044,,Right Foot,,,"[24.9, 24.7]",,Ground Pass,11.720068,,,,Fabián Cornelio Balbuena González,10290.0,,,,,Recovery,1,Regular Play,Omar Federico Alderete Fernández,29009.0,Left Center Back,8,Paraguay,3567,['3faee222-61ab-49f3-9b89-43ae82e45005'],39,,,,,,,,,,,,,,,,,Paraguay,3567,00:01:39.080,Pass,
,,,,,,,,,,,,,,,,0.961873,,,,,,,,,,,,,e154079b-019e-4c6c-8f7f-4eb5d976a33a,79,,,"[24.9, 24.7]",3939975,1,,,,-1.9495422,,Left Foot,,,"[21.0, 14.9]",,Ground Pass,10.547511,,,,Matías David Espinoza Acosta,46677.0,,,,,,1,Regular Play,Fabián Cornelio Balbuena González,10290.0,Right Center Back,8,Paraguay,3567,['89935bcc-a95f-430c-b172-45ba15c137dd'],40,,,,,,,,,,,,,,,,,Paraguay,3567,00:01:40.473,Pass,
,,,,,,,,,,,,,,,,2.982902,,,,,,,,,,,,,50b17e46-204e-4d65-bc6d-adf07347b1e4,83,,,"[21.1, 9.9]",3939975,1,,,,-0.035044078,,Left Foot,,,"[81.0, 7.8]",,High Pass,59.936802,,Incomplete,,,,,,,,,1,Regular Play,Matías David Espinoza Acosta,46677.0,Left Back,8,Paraguay,3567,['4cd7ea28-020d-4400-b30a-832ec6375c21'],43,,,,,,,,,,,,,,,,,Paraguay,3567,00:01:43.084,Pass,
,,,,,,,,,,,,,,,,1.317312,,,,,,,,,,,,,4cd7ea28-020d-4400-b30a-832ec6375c21,84,,,"[39.1, 72.3]",3939975,1,,,,-0.1798535,,Head,,,"[52.3, 69.9]",,Low Pass,13.416408,,Incomplete,,,,,,,,Recovery,1,Regular Play,Davinson Sánchez Mina,3494.0,Right Center Back,8,Paraguay,3567,"['50b17e46-204e-4d65-bc6d-adf07347b1e4', '8bf815a3-1f79-4ba3-bd0e-bad78d61835f']",46,,,,,,,,,,,,,,,,,Colombia,769,00:01:46.067,Pass,
,,,,,,,,,,,,,,,,0.905027,,,,,,,,,,,,,5153a665-b473-4eff-8aac-c74d2106b4fc,90,,,"[28.5, 63.9]",3939975,1,,,,-1.4616429,,Right Foot,,,"[29.3, 56.6]",,Low Pass,7.3437047,,,,Jefferson Andrés Lerma Solís,5678.0,,,,,Recovery,1,Regular Play,Davinson Sánchez Mina,3494.0,Right Center Back,9,Colombia,769,['22561214-fedf-485e-b373-7bfda4dd012f'],51,,,,,,,,,,,,,,,,,Colombia,769,00:01:51.714,Pass,
,,,,,,,,,,,,,,,,0.985964,,,,,,,,,,,,,797d26a6-4079-42f4-8629-4d4b14a6bd84,93,,,"[26.8, 55.8]",3939975,1,,,,-2.3690143,,Right Foot,,,"[18.9, 48.1]",,Ground Pass,11.031773,,,,Jhon Janer Lucumí Bonilla,18855.0,,,,,,1,Regular Play,Jefferson Andrés Lerma Solís,5678.0,Center Defensive Midfield,9,Colombia,769,['b135e1d0-f742-4e8c-b351-fa3be941dd05'],53,,,,,,,,,,,,,,,,,Colombia,769,00:01:53.266,Pass,
,,,,,,,,,,,,,,,,1.017005,,,,,,,,,,,,,824d57ff-5656-4ad9-86a9-191b4b93e14a,96,,,"[18.2, 48.3]",3939975,1,,,,-0.4690384,,Left Foot,,,"[33.0, 40.8]",,Ground Pass,16.591866,,,,Jhon Adolfo Arias Andrade,27277.0,,,,,,1,Regular Play,Jhon Janer Lucumí Bonilla,18855.0,Left Center Back,9,Colombia,769,['c3e579ad-7b7c-4d31-a005-37853b968173'],54,,,,,,,,,,,,,,,,,Colombia,769,00:01:54.369,Pass,
,,,,,,,,,,,,,,,,1.496875,,,,,,,,,,,,,78479ea8-4c8a-4509-bc80-55906ac053be,100,,,"[33.2, 35.2]",3939975,1,,,,-2.6331034,,Right Foot,,,"[21.0, 28.4]",,Ground Pass,13.967104,,,,Johan Andrés Mojica Palacio,5691.0,,,,,,1,Regular Play,Jhon Adolfo Arias Andrade,27277.0,Left Center Midfield,9,Colombia,769,"['68b8ad89-3ae4-4ee4-8305-3aeb7a693e8d', '9bf0a30a-9e70-4187-9f3b-a07618ee3002']",56,,,,,,,,,,,,,,,,,Colombia,769,00:01:56.116,Pass,True
