50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,5.910711,,,,,,,,,,,,,,a0dfdbc3-864e-495b-a7bb-6cf7ca5c9750,40,,,"[12.8, 29.5]",3939980,0,,,,,-0.38121864,,Right Foot,,,"[85.4, 0.4]",High Pass,,78.2149,Out,,,,,,,,,1,Regular Play,Jahmali Waite,226523.0,Goalkeeper,4,Jamaica,2305,,55,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:55.751,Pass,
,,,,,,,,,,,,,,,,,,,0.70176,,,,,,,,,,,,,,dd2a2231-6515-4f2e-8399-477575c90700,41,,,"[39.1, 80.0]",3939980,1,,,,,-0.97998476,,,,,"[44.6, 71.8]",Low Pass,,9.873702,,,John Yeboah Zamora,21131.0,,,,,Throw-in,1,From Throw In,Angelo Smit Preciado Quiñónez,37737.0,Right Back,5,Ecuador,3565,['23c1209a-5575-40b4-990f-71530a1db449'],14,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:14.219,Pass,
,,,,,,,,,,,,,,,,,,,0.9756,,,,,,,,,,,,,,8df36e20-1314-47c4-aa3b-6bc7a11a9b22,43,,,"[44.6, 71.8]",3939980,1,,,,,1.8568478,,Left Foot,,,"[42.6, 78.6]",Ground Pass,,7.088018,,,Angelo Smit Preciado Quiñónez,37737.0,,,,,,1,From Throw In,John Yeboah Zamora,21131.0,Right Wing,5,Ecuador,3565,['95c3a8a3-d7e6-4bea-b296-4c165993a4f6'],14,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:14.921,Pass,
,,,,,,,,,,,,,,,,,,,0.596001,,,,,,,,,,,,,,7df85aed-80f6-41db-9df9-15c4ed55dff8,46,,,"[42.6, 78.6]",3939980,1,,,,,-1.1733782,,Right Foot,,,"[46.0, 70.5]",Ground Pass,,8.784646,,,John Yeboah Zamora,21131.0,,,,,,1,From Throw In,Angelo Smit Preciado Quiñónez,37737.0,Right Back,5,Ecuador,3565,['86743626-027b-409c-81a4-bec767a083bf'],16,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:16.269,Pass,
,,,,,,,,,,,,,,,,,,,0.644492,,,,,,,,,,,,,,f750d257-6b50-4ab5-998a-29d6240a751f,49,,,"[46.2, 70.4]",3939980,1,,,,,0.90642536,,Left Foot,,,"[52.7, 78.7]",Ground Pass,,10.542295,Incomplete,,Ray Kendry Páez Andrade,384888.0,,,,,,1,From Throw In,John Yeboah Zamora,21131.0,Right Wing,5,Ecuador,3565,"['b0373647-49f1-4976-8d4a-0b10dc512a9f', 'e810005d-06be-466a-8e80-73430a11fedd']",17,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:17.078,Pass,
,,,,,,,,,,,,,,,,,,,1.890933,,,,,,,,,,,,,,b7f73947-e5e6-4e0d-b647-9d37fb7719f0,59,,,"[89.6, 3.7]",3939980,1,,,,,-0.15697129,,Right Foot,,,"[103.5, 1.5]",Ground Pass,,14.073024,,,Michail Antonio,3349.0,,,,,,1,From Throw In,Kasey Palmer,3317.0,Left Defensive Midfield,5,Ecuador,3565,"['35b79559-e3bf-4526-a1af-c0fe16aa4e84', '899cc54f-76f8-45d1-ba8c-58a4cd8fb30d']",22,,,,,,,,,,,,,,,,,Jamaica,2305,00:01:22.185,Pass,True
,,,,,,,,,,,,,,,,,,,1.445814,,,,,,,,,,,,,,3c58d8e6-dc2b-497a-a3db-a92357c2c60b,64,,,"[16.3, 75.6]",3939980,1,,,,,-0.64136434,,Right Foot,,,"[53.8, 47.6]",Low Pass,,46.800106,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Felix Eduardo Torres Caicedo,30111.0,Right Center Back,6,Ecuador,3565,['7a2d8b6d-b055-4743-a654-e78486ad8105'],50,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:50.421,Pass,
,,,,,,,,,,,,,,,,,,,2.185676,,,,,,,,,,,,,,7a2d8b6d-b055-4743-a654-e78486ad8105,65,,,"[66.3, 32.5]",3939980,1,,,,,-0.22712342,,Right Foot,,,"[88.8, 27.3]",Ground Pass,,23.093073,Incomplete,,,,,,,,Recovery,1,From Free Kick,Damion Lowe,49120.0,Right Defensive Midfield,6,Ecuador,3565,"['3c58d8e6-dc2b-497a-a3db-a92357c2c60b', '3c6d107d-f70b-4e93-a14a-a2cb1b8e0ea3']",51,,,,,,,,,,,,,,,,,Jamaica,2305,00:01:51.867,Pass,
,,,,,,,,,,,,,,,,,,,3.17672,,,,,,,,,,,,,,3c6d107d-f70b-4e93-a14a-a2cb1b8e0ea3,66,,,"[31.3, 52.8]",3939980,1,,,,,0.37211666,,Left Foot,,,"[74.6, 69.7]",High Pass,,46.48118,,,John Yeboah Zamora,21131.0,,,,,Recovery,1,From Free Kick,Willian Joel Pacho Tenorio,41593.0,Left Center Back,6,Ecuador,3565,"['2fb120a8-69de-4d30-92dd-d6cea63684fd', '7a2d8b6d-b055-4743-a654-e78486ad8105']",54,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:54.053,Pass,
,,,,,,,,,,,,,,,,,,,0.960351,,,,,,,,,,,,,,1d896c0c-7869-4789-857b-162895fd7633,77,,,"[58.4, 73.7]",3939980,2,,,,,-2.9945142,,Left Foot,,,"[53.0, 72.9]",Ground Pass,,5.4589376,,,Alan Steven Franco Palma,37945.0,,,,,,1,From Free Kick,Ray Kendry Páez Andrade,384888.0,Center Attacking Midfield,6,Ecuador,3565,['c000de57-2509-4e39-bbfe-d85a2088a34d'],1,,,,,,,,,,,,,,,,,Ecuador,3565,00:02:01.107,Pass,
