50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.132825,,,,,,,,,,,,,,9d7cbe4f-4885-4143-aceb-ac8f39a87b95,145,,,"[44.8, 15.6]",3939984,3,,,,,1.0129164,,Left Foot,,,"[52.6, 28.1]",,Ground Pass,,14.733974,,,,Álvaro José Zamora Mata,184468.0,,,,,,1,Regular Play,Brandon Aguilera Zamora,108340.0,Left Defensive Midfield,9,Costa Rica,795,['5bdb3441-1ce4-49ad-8df4-5f930586cfde'],4,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:04.752,Pass,
,,,,,,,,,,,,,,,,1.168085,,,,,,,,,,,,,,c7569ee8-02eb-4d85-ac44-71d318b5860b,148,,,"[52.8, 28.1]",3939984,3,,,,,-0.89114743,,Right Foot,,,"[60.8, 18.2]",,Ground Pass,,12.728315,,,,Warren Steven Madrigal Molina,154895.0,,,,,,1,Regular Play,Álvaro José Zamora Mata,184468.0,Right Attacking Midfield,9,Costa Rica,795,['b08835f4-e925-45c9-887e-6085fc1bc498'],6,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:06.568,Pass,
,,,,,,,,,,,,,,,,0.883475,,,,,,,,,,,,,,5f0f789a-c15f-413e-ac14-d7a1e45f18a0,151,,,"[60.8, 18.2]",3939984,3,,,,,3.119374,,Right Foot,,,"[51.8, 18.4]",,Ground Pass,,9.002222,,,,Brandon Aguilera Zamora,108340.0,,,,,,1,Regular Play,Warren Steven Madrigal Molina,154895.0,Left Attacking Midfield,9,Costa Rica,795,['4c8cbcb3-8adb-4808-b291-86ada1ce9de2'],8,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:08.161,Pass,
,,,,,,,,,,,,,,,,1.263471,,,,,,,,,,,,,,0274f543-2361-4f6d-9619-882fcf56b22b,154,,,"[53.8, 20.0]",3939984,3,,,,,1.8901829,,Left Foot,,,"[49.6, 32.7]",,Ground Pass,,13.3764715,,,,Orlando Moisés Galo Calderón,132516.0,,,,,,1,Regular Play,Brandon Aguilera Zamora,108340.0,Left Defensive Midfield,9,Costa Rica,795,['840e131d-22c9-41b5-8f69-5933cfd574b9'],10,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:10.032,Pass,
,,,,,,,,,,,,,,,,1.503555,,,,,,,,,,,,,,6538b6a1-c37f-4ae7-b751-f71170a14702,156,,,"[49.6, 32.7]",3939984,3,,,,,-2.416524,,Right Foot,,,"[33.8, 18.7]",,Ground Pass,,21.110188,,,,Francisco Javier Calvo Quesada,5600.0,,,,,,1,Regular Play,Orlando Moisés Galo Calderón,132516.0,Right Defensive Midfield,9,Costa Rica,795,['c28ddf3d-8603-4713-9bc6-f6d43654a5ff'],11,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:11.295,Pass,
,,,,,,,,,,,,,,,,1.495846,,,,,,,,,,,,,,bb06eeca-441b-468a-87e5-16bd39730efb,159,,,"[33.8, 18.7]",3939984,3,,,,,-1.0181397,,Left Foot,,,"[44.1, 2.0]",,Ground Pass,,19.620907,,,,Warren Steven Madrigal Molina,154895.0,,,,,,1,Regular Play,Francisco Javier Calvo Quesada,5600.0,Left Center Back,9,Costa Rica,795,['3fb44ab2-d2a2-436e-bed4-e615ed84523e'],13,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:13.403,Pass,
,,,,,,,,,,,,,,,,0.982356,,,,,,,,,,,,,,961d482d-0a13-42aa-9887-3be5494be1e3,163,,,"[57.1, 1.4]",3939984,3,,,,,0.0,,Right Foot,,,"[67.2, 1.4]",,Ground Pass,,10.1,,,,Ariel Lassiter,19101.0,,,,,,1,Regular Play,Warren Steven Madrigal Molina,154895.0,Left Attacking Midfield,9,Costa Rica,795,['ddca345f-f06a-4eab-9d85-a030e84dee2c'],17,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:17.296,Pass,
,,,,,,,,,,,,,,,,4.747103,,,,,,,,,,,,,,8793ef99-372a-4c07-8497-63d3068d2ed9,171,,,"[47.6, 8.4]",3939984,3,,,,,0.9430886,,Left Foot,,,"[95.2, 74.0]",,High Pass,,81.05011,,,,Haxzel Quirós Cruz,132510.0,,True,,,,1,Regular Play,Brandon Aguilera Zamora,108340.0,Left Defensive Midfield,9,Costa Rica,795,['b15be5c3-84de-4dbb-aa42-81da740e679c'],21,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:21.651,Pass,
,,,,,,,,,,,,,,,,0.808055,,,,,,,,,,,,,,2a1ac075-d613-470f-9fc9-eadbeaff6a99,174,,,"[96.8, 75.9]",3939984,3,,,,,-1.5567127,,Right Foot,,,"[97.0, 61.7]",,Ground Pass,,14.201408,,,,Álvaro José Zamora Mata,184468.0,,,,,,1,Regular Play,Haxzel Quirós Cruz,132510.0,Right Wing Back,9,Costa Rica,795,['bbbd21f4-2e24-408f-bfca-ac847c0d7d0a'],28,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:28.445,Pass,
,,,,,,,,,,,,,,,,1.199231,,,,,,,,,,,,,,bee487e6-596d-45b2-b46c-78c6353e9146,178,,,"[91.9, 76.4]",3939984,3,,,,,-0.37765333,,Right Foot,,,"[104.0, 71.6]",,High Pass,,13.017296,,Incomplete,,,,,,,,,1,Regular Play,Álvaro José Zamora Mata,184468.0,Right Attacking Midfield,9,Costa Rica,795,"['80a9abce-6fe8-427e-94c6-6987ddd1aecb', 'fc0b35f5-ad6a-4da2-966d-6ce6255140d0']",31,,,,,,,,,,,,,,,,,,Costa Rica,795,00:03:31.917,Pass,True
