50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.479545,,,,,,,,,,,,,13e5d65c-4f68-466b-9cac-225101755739,48,,,"[18.2, 26.2]",3939972,0,,,,2.2955403,,Left Foot,,,,"[6.6, 39.3]",,Ground Pass,,17.497715,,,,Alexander Domínguez Carabalí,32677.0,,,,,1,Regular Play,Willian Joel Pacho Tenorio,41593.0,Left Center Back,4,Ecuador,3565,['eb30c506-121f-47af-a46a-31945b20e970'],49,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:49.915,Pass,
,,,,,,,,,,,,,,,,,2.987587,,,,,,,,,,,,,887b4fe1-ec14-4426-af5e-70a119387384,51,,,"[7.7, 38.3]",3939972,0,,,,-0.4992172,,Right Foot,,,,"[61.8, 8.8]",,High Pass,,61.62029,,Incomplete,,,,,,,,1,Regular Play,Alexander Domínguez Carabalí,32677.0,Goalkeeper,4,Ecuador,3565,"['0566d714-51dc-483e-93ad-a1e59800312b', '587c69cf-d35c-4374-a3c2-2794aec72241']",51,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:51.394,Pass,True
,,,,,,,,,,,,,,,,,1.983451,,,,,,,,,,,,,0566d714-51dc-483e-93ad-a1e59800312b,52,,,"[58.3, 71.3]",3939972,0,,,,-0.5752509,,Head,,,,"[80.2, 57.1]",,High Pass,,26.100767,,Incomplete,,,,,,,Recovery,1,Regular Play,Alexander David González Sibulo,24168.0,Right Back,4,Ecuador,3565,"['887b4fe1-ec14-4426-af5e-70a119387384', 'efe73113-90a7-4994-b308-74917ed9f433']",54,,,,,,,,,,,,,,,,,Venezuela,3563,00:00:54.382,Pass,
,,,,,,,,,,,,,,,,,1.712187,,,,,,,,,,,,,74a0224c-6108-44b8-96b6-ded1ffde9625,58,,,"[44.6, 22.1]",3939972,0,,,,-2.0344439,,Right Foot,,,,"[39.3, 11.5]",,Ground Pass,,11.85116,,,,Piero Martín Hincapié Reyna,38004.0,,,,,1,Regular Play,Moisés Isaac Caicedo Corozo,37726.0,Right Defensive Midfield,4,Ecuador,3565,"['540dece8-3ff9-494f-9e06-ba5b3ad9b7c8', '6a6cf908-7413-4e83-8f5e-6221d00514b9', '7235f3eb-373f-41cd-90c1-f94d49f917a6']",58,,,,,,,,,,,,,,,,,Ecuador,3565,00:00:58.911,Pass,True
,,,,,,,,,,,,,,,,,1.02765,,,,,,,,,,,,,50e5b749-75fe-499c-84e0-4bcb6d58bd27,61,,,"[38.9, 8.0]",3939972,1,,,,2.7082388,,Left Foot,,,,"[25.5, 14.2]",,Ground Pass,,14.764823,,,,Willian Joel Pacho Tenorio,41593.0,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Back,4,Ecuador,3565,['b96728a7-316b-4e68-b936-9df2a791b91a'],2,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:02.499,Pass,
,,,,,,,,,,,,,,,,,2.524243,,,,,,,,,,,,,5788f9db-764c-4fc7-b800-9b6d9b887964,64,,,"[25.5, 14.2]",3939972,1,,,,0.97929025,,Left Foot,,,,"[56.4, 60.2]",,High Pass,,55.41489,,,,Angelo Smit Preciado Quiñónez,37737.0,,True,,,1,Regular Play,Willian Joel Pacho Tenorio,41593.0,Left Center Back,4,Ecuador,3565,['c69f6010-32a5-4ef0-8c3b-733fb7a76085'],4,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:04.480,Pass,
,,,,,,,,,,,,,,,,,2.464575,,,,,,,,,,,,,5f9808f8-82cc-4e3e-be7f-347aa5d7303d,66,,,"[56.4, 60.2]",3939972,1,,,,0.25580856,,Head,,,,"[82.4, 67.0]",,Low Pass,,26.874523,,,,John Yeboah Zamora,21131.0,,,,,1,Regular Play,Angelo Smit Preciado Quiñónez,37737.0,Right Back,4,Ecuador,3565,['15496eff-3016-4291-80cd-dd9a19468c47'],7,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:07.005,Pass,
,,,,,,,,,,,,,,,,,1.297483,,,,,,,,,,,,,f11e026c-3d93-4d61-a4a6-2094cc54ae97,69,,,"[92.7, 75.2]",3939972,1,,,,-1.4327903,,Right Foot,,,,"[95.2, 57.2]",,Ground Pass,,18.172781,,,,Angelo Smit Preciado Quiñónez,37737.0,,,,,1,Regular Play,John Yeboah Zamora,21131.0,Right Wing,4,Ecuador,3565,['90d26cf5-3c75-4099-af56-815d0de2fb30'],10,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:10.994,Pass,
,,,,,,,,,,,,,,,,,1.922735,,,,,,,,,,,,,eeecc90d-1940-40cb-89b2-b7713e03d0b8,84,,,"[79.6, 55.8]",3939972,1,,,,1.0400988,,Right Foot,,,,"[92.1, 77.1]",,Ground Pass,,24.696964,,,,John Yeboah Zamora,21131.0,,,,,1,Regular Play,Alan Steven Franco Palma,37945.0,Left Defensive Midfield,4,Ecuador,3565,['a32c5f8c-16b9-4878-bc9e-58519adabbd7'],18,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:18.034,Pass,
,,,,,,,,,,,,,,,,,0.909381,,,,,,,,,,,,,02b69043-cfb9-4f85-9c11-889a093067ff,87,,,"[92.1, 77.1]",3939972,1,,,,-2.819842,,Left Foot,,,,"[80.7, 73.3]",,Ground Pass,,12.016655,,,,Alan Steven Franco Palma,37945.0,,,,,1,Regular Play,John Yeboah Zamora,21131.0,Right Wing,4,Ecuador,3565,['665575d8-51fa-4ce8-917f-9205227f5194'],22,,,,,,,,,,,,,,,,,Ecuador,3565,00:01:22.853,Pass,
