50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.216447,,,,,,,,,,,,,11a7cac7-93f3-46aa-830a-a9453203b462,1724,,,"[72.7, 20.0]",3939992,52,,,,,-1.1536268,,Right Foot,,,,"[80.5, 2.4]",,Ground Pass,,19.250975,,,,Ángel Rodrigo Romero Villamayor,30795.0,,,,,2,From Throw In,Hernesto Ezequiel Caballero Benítez,47186.0,Center Defensive Midfield,90,Paraguay,3567,['a8c9284c-8999-42e8-aa40-582f3feae9e6'],22,,,,,,,,,,,,,,,,Paraguay,3567,00:07:22.634,Pass,
,,,,,,,,,,,,,,,,,1.236475,,,,,,,,,,,,,e63c3fab-0541-4e22-8c21-de33235afe26,1727,,,"[82.6, 2.0]",3939992,52,,,,,0.8685394,,Right Foot,,,,"[92.5, 13.7]",,Ground Pass,,15.3264475,,,,Ramón Sosa Acosta,87603.0,,,,,2,From Throw In,Ángel Rodrigo Romero Villamayor,30795.0,Right Wing,90,Paraguay,3567,['dfb51657-e4e2-4b23-ac38-653db3152f92'],24,,,,,,,,,,,,,,,,Paraguay,3567,00:07:24.990,Pass,
,,,,,,,,,,,,,,,,,0.468822,,,,,,,,,,,,,e2d5302c-59a9-47a3-bbec-eceeb7f34c7d,1729,,,"[92.5, 13.7]",3939992,52,,,,,-1.5120405,,Left Foot,,,,"[93.0, 5.2]",,Ground Pass,,8.514693,,,,Ángel Rodrigo Romero Villamayor,30795.0,,,,,2,From Throw In,Ramón Sosa Acosta,87603.0,Left Wing,90,Paraguay,3567,['e77d69ec-77b4-4f03-b152-e6d6634ad332'],26,,,,,,,,,,,,,,,,Paraguay,3567,00:07:26.226,Pass,
,,,,,,,,,,,,,,,,,3.303228,,,,,,,,,,,,,97c852e5-4d5f-493e-83d2-33a3fe6dd2f3,1732,,,"[94.2, 1.7]",3939992,52,,,,,-0.015623729,,Right Foot,,,,"[119.8, 1.3]",,Ground Pass,,25.603125,,Out,,Néstor Rafael Giménez Florentín,195989.0,,,,,2,From Throw In,Ángel Rodrigo Romero Villamayor,30795.0,Right Wing,90,Paraguay,3567,['720098a6-bb02-4bda-944b-92c0eab6196b'],28,,,,,,,,,,,,,,,,Paraguay,3567,00:07:28.462,Pass,
,,,,,,,,,,,,,,,,,0.977731,,,,,,,,,,,,,3a13aa65-f09c-417f-8d1d-a113b88a6e74,1735,,,"[7.0, 44.4]",3939992,53,,,,,-1.5707964,,Right Foot,,,,"[7.0, 37.5]",,Ground Pass,,6.9,,,,Juan Pablo Vargas Campos,27163.0,,,,Goal Kick,2,From Goal Kick,Patrick Gilmar Sequeira Mejías,97291.0,Goalkeeper,91,Costa Rica,795,['b588dd6d-f4cf-49ef-8631-d5a43dd2d9de'],6,,,,,,,,,,,,,,,,Costa Rica,795,00:08:06.780,Pass,
,,,,,,,,,,,,,,,,,4.842384,,,,,,,,,,,,,d4b736dd-26de-45e1-857a-ab993e9d85ca,1738,,,"[8.6, 34.7]",3939992,53,,,,,-0.008196537,,Left Foot,,,,"[81.8, 34.1]",,High Pass,,73.20246,,Pass Offside,,Warren Steven Madrigal Molina,154895.0,,,,,2,From Goal Kick,Juan Pablo Vargas Campos,27163.0,Center Back,91,Costa Rica,795,['ae886d36-bc42-49b2-93d9-a338b6a08634'],9,,,,,,,,,,,,,,,,Costa Rica,795,00:08:09.240,Pass,
,,,,,,,,,,,,,,,,,1.888019,,,,,,,,,,,,,95d09538-2b6c-439d-b743-751b510d8dbe,1740,,,"[37.7, 38.0]",3939992,53,,True,,,-1.4610351,,Right Foot,,,,"[40.4, 13.5]",,Ground Pass,,24.648327,,,,Néstor Rafael Giménez Florentín,195989.0,,,,Free Kick,2,From Free Kick,Rodrigo Mario Morínigo Acosta,62016.0,Goalkeeper,92,Paraguay,3567,['889a3d6f-dacd-4894-99a5-a3a5d9bc9966'],19,,,,,,,,,,,,,,,,Paraguay,3567,00:08:19.472,Pass,
,,,,,,,,,,,,,,,,,1.539808,,,,,,,,,,,,,4ff4ce9b-1383-479e-b739-6b33780202b8,1742,,,"[40.4, 13.5]",3939992,53,,,,,-0.13800602,,Right Foot,,,,"[69.2, 9.5]",,Ground Pass,,29.07645,,,,Ramón Sosa Acosta,87603.0,,,,,2,From Free Kick,Néstor Rafael Giménez Florentín,195989.0,Left Back,92,Paraguay,3567,['04436a8c-b275-498d-af5a-137183dffb7f'],21,,,,,,,,,,,,,,,,Paraguay,3567,00:08:21.478,Pass,
,,,,,,,,,,,,,,,,,1.65687,,,,,,,,,,,,,e4a76cc2-ae39-4654-9b00-0b73dac61262,1746,,,"[68.6, 9.5]",3939992,53,,,,,-0.9038881,,Right Foot,,,,"[76.0, 0.1]",,Ground Pass,,11.963277,,Out,,Julio César Enciso Espínola,47112.0,,,,,2,From Free Kick,Ramón Sosa Acosta,87603.0,Left Wing,92,Paraguay,3567,"['3a33ac48-65d3-4fec-9d56-e461565d29ef', '5a7c4763-a5d5-478b-88ad-48d6afeb7dc8']",25,,,,,,,,,,,,,,,,Paraguay,3567,00:08:25.326,Pass,True
,,,,,,,,,,,,,,,,,2.053225,,,,,,,,,,,,,276f15a1-e429-46d0-8cc3-edbb89b5d8ec,1748,,,"[43.3, 80.0]",3939992,53,,,,,-0.47559243,,,,,,"[66.6, 68.0]",,High Pass,,26.208586,,,,Joel Nathaniel Campbell Samuels,5581.0,,,,Throw-in,2,From Throw In,Jeyland Yahir Mitchell Baltodano,143385.0,Right Center Back,93,Costa Rica,795,['c834c4a8-cfd9-4426-a61d-ea23a3f89433'],42,,,,,,,,,,,,,,,,Costa Rica,795,00:08:42.494,Pass,
,,,,,,,,,,,,,,,,,1.182326,,,,,,,,,,,,,c7f00fb2-0fc9-4ecd-8600-182c4ffbe514,1751,,,"[63.9, 75.9]",3939992,53,,,,,-3.0671039,,Left Foot,,,,"[50.5, 74.9]",,Ground Pass,,13.437262,,,,Jefferson Brenes Rojas,130193.0,,,,,2,From Throw In,Joel Nathaniel Campbell Samuels,5581.0,Center Forward,93,Costa Rica,795,['fe085e4c-84c0-4714-b9b7-5becc138b61b'],46,,,,,,,,,,,,,,,,Costa Rica,795,00:08:46.448,Pass,
,,,,,,,,,,,,,,,,,0.720143,,,,,,,,,,,,,e57aa7bb-3bf0-466e-87cd-8bc8fd82ac9c,1754,,,"[50.5, 74.9]",3939992,53,,,,,0.0,,Right Foot,,,,"[57.4, 74.9]",,Ground Pass,,6.9,,,,Joel Nathaniel Campbell Samuels,5581.0,,,,,2,From Throw In,Jefferson Brenes Rojas,130193.0,Left Defensive Midfield,93,Costa Rica,795,['230a03a5-989a-48fd-a6b4-88c6e0667d59'],47,,,,,,,,,,,,,,,,Costa Rica,795,00:08:47.684,Pass,
,,,,,,,,,,,,,,,,,1.178201,,,,,,,,,,,,,508d46ca-9537-4a4a-a271-1cdd09a7a966,1756,,,"[57.4, 74.9]",3939992,53,,,,,2.9380996,,Left Foot,,,,"[38.5, 78.8]",,High Pass,,19.298187,,,,Jeyland Yahir Mitchell Baltodano,143385.0,,,,,2,From Throw In,Joel Nathaniel Campbell Samuels,5581.0,Center Forward,93,Costa Rica,795,['1df147b9-cbdf-49eb-ac3e-ff2d765741de'],48,,,,,,,,,,,,,,,,Costa Rica,795,00:08:48.404,Pass,
,,,,,,,,,,,,,,,,,2.826155,,,,,,,,,,,,,428ffc7f-4bca-4daf-8bc1-08c86a2e8bab,1759,,,"[38.1, 78.8]",3939992,53,,,,,-1.9290842,,Right Foot,,,,"[21.1, 33.4]",,Ground Pass,,48.478447,,,,Francisco Javier Calvo Quesada,5600.0,,True,,,2,From Throw In,Jeyland Yahir Mitchell Baltodano,143385.0,Right Center Back,93,Costa Rica,795,['54278344-bc83-4eed-aa7b-5c355c9de00c'],50,,,,,,,,,,,,,,,,Costa Rica,795,00:08:50.732,Pass,
,,,,,,,,,,,,,,,,,1.026046,,,,,,,,,,,,,1a81d5dc-8472-463a-97bf-3e048103e3a3,1762,,,"[21.1, 32.0]",3939992,53,,,,,0.012345051,,Left Foot,,,,"[45.4, 32.3]",,Ground Pass,,24.301851,,,,Joel Nathaniel Campbell Samuels,5581.0,,,,,2,From Throw In,Francisco Javier Calvo Quesada,5600.0,Left Center Back,93,Costa Rica,795,['190647e4-7caa-4a35-9f55-c60e11c81293'],55,,,,,,,,,,,,,,,,Costa Rica,795,00:08:55.198,Pass,
,,,,,,,,,,,,,,,,,1.701491,,,,,,,,,,,,,c149cb41-f4fd-4532-8045-d8a38908432a,1765,,,"[44.7, 23.1]",3939992,53,,,,,-2.092728,,Right Foot,,,,"[33.6, 3.8]",,Ground Pass,,22.26432,,,,Joseph Martín Mora Cortéz,13367.0,,,,,2,From Throw In,Joel Nathaniel Campbell Samuels,5581.0,Center Forward,93,Costa Rica,795,['0471c897-b469-4a07-b304-aef37a23d95d'],57,,,,,,,,,,,,,,,,Costa Rica,795,00:08:57.270,Pass,
,,,,,,,,,,,,,,,,,1.727116,,,,,,,,,,,,,6a940153-49d1-4966-9078-18a0ccc08052,1768,,,"[35.8, 2.8]",3939992,54,,,,,0.25198993,,Left Foot,,,,"[62.6, 9.7]",,High Pass,,27.673994,,,,Josimar Alcócer,132257.0,,,,,2,From Throw In,Joseph Martín Mora Cortéz,13367.0,Left Wing Back,93,Costa Rica,795,['3d8ba1b4-1a80-4058-b240-9ae869aab41b'],0,,,,,,,,,,,,,,,,Costa Rica,795,00:09:00.120,Pass,
,,,,,,,,,,,,,,,,,1.340059,,,,,,,,,,,,,4f05d3fa-7432-4699-a928-830fc62a42bb,1776,,,"[53.5, 75.5]",3939992,54,,,,,-2.577509,,Right Foot,,,,"[33.9, 63.1]",,Ground Pass,,23.193102,,,,Omar Federico Alderete Fernández,29009.0,,,,,2,Regular Play,Víctor Gustavo Velázquez Ramos,28943.0,Right Back,94,Paraguay,3567,['37fc05eb-4361-48ad-bada-fe6fd1dfcacd'],4,,,,,,,,,,,,,,,,Paraguay,3567,00:09:04.854,Pass,
