50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.20078,,,,,,,,,,,,,a86bffce-9c21-42de-89a3-86843b16b242,52,,,"[21.8, 18.5]",3939983,0,,,,,-0.051237166,,Right Foot,,,,"[37.4, 17.7]",Ground Pass,,15.6205,,,João Victor Gomes da Silva,48720.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,4,Brazil,781,['0583376e-bc69-4d66-b02b-24c15f4442a4'],45,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:45.188,Pass,
,,,,,,,,,,,,,,,,,,,,2.121445,,,,,,,,,,,,,02d948ce-3653-467c-ab96-aaf636396b24,56,,,"[34.4, 18.1]",3939983,0,,,,,2.3179154,,Right Foot,,,,"[11.8, 42.5]",Ground Pass,,33.25838,,,Éder Gabriel Militão,13620.0,,,,,,1,Regular Play,João Victor Gomes da Silva,48720.0,Left Defensive Midfield,4,Brazil,781,"['0d25a16b-8299-4490-835c-b9a08ce42610', '4f32eb9f-d9ac-4d4a-8b35-f168d82a0984']",46,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:46.899,Pass,True
,,,,,,,,,,,,,,,,,,,,1.917575,,,,,,,,,,,,,e277c77e-9071-4ba7-bb6c-0c1251b5e864,59,,,"[11.8, 42.5]",3939983,0,,,,,-1.4429828,,Right Foot,,,,"[15.0, 17.6]",Ground Pass,,25.10478,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Éder Gabriel Militão,13620.0,Right Center Back,4,Brazil,781,['59c74af9-715d-49f0-91cd-78b543bdecc6'],50,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:50.080,Pass,
,,,,,,,,,,,,,,,,,,,,1.37393,,,,,,,,,,,,,293a028b-adfe-4e1c-9bf9-f2c07be90eab,62,,,"[21.6, 20.1]",3939983,0,,,,,1.8545904,,Right Foot,,,,"[15.3, 41.7]",Ground Pass,,22.5,,,Éder Gabriel Militão,13620.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,4,Brazil,781,['e0a4f187-467d-4b4c-8f8c-095a0dcb621f'],57,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:57.258,Pass,
,,,,,,,,,,,,,,,,,,,,1.090476,,,,,,,,,,,,,d19b0710-2f16-444d-9c41-d51d5475e9b9,65,,,"[15.3, 41.9]",3939983,0,,,,,1.6385934,,Right Foot,,,,"[14.2, 58.1]",Ground Pass,,16.237303,,,Danilo Luiz da Silva,3063.0,,,,,,1,Regular Play,Éder Gabriel Militão,13620.0,Right Center Back,4,Brazil,781,['a95b8646-7b6d-4546-8871-a6c3e31466e9'],59,,,,,,,,,,,,,,,,,,,,Brazil,781,00:00:59.594,Pass,
,,,,,,,,,,,,,,,,,,,,1.560096,,,,,,,,,,,,,22933335-a855-4626-b9a8-bdfa868c17bd,68,,,"[14.2, 58.1]",3939983,1,,,,,-2.043009,,Right Foot,,,,"[4.7, 39.5]",Ground Pass,,20.885641,,,Alisson Ramsés Becker,5547.0,,,,,,1,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,4,Brazil,781,['3830fb4c-f4a8-4af0-a74e-9e0952abbf9a'],1,,,,,,,,,,,,,,,,,,,,Brazil,781,00:01:01.720,Pass,
,,,,,,,,,,,,,,,,,,,,1.221728,,,,,,,,,,,,,ac19a39a-3fff-484e-8b19-64f5a3642570,72,,,"[4.1, 36.3]",3939983,1,,,,,-1.0213385,,Right Foot,,,,"[15.0, 18.5]",Ground Pass,,20.87223,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Alisson Ramsés Becker,5547.0,Goalkeeper,4,Brazil,781,"['206d4600-6a90-4972-abd9-39eda2dcd338', 'efcf68d9-666a-411b-82a3-f28f12ab17aa']",4,,,,,,,,,,,,,,,,,,,,Brazil,781,00:01:04.248,Pass,True
,,,,,,,,,,,,,,,,,,,,0.966115,,,,,,,,,,,,,b2123668-0812-4a75-862d-3f51d5a4e274,75,,,"[20.8, 17.7]",3939983,1,,,,,-0.7732037,,Right Foot,,,,"[37.4, 1.5]",Ground Pass,,23.194826,,,Wendell Nascimento Borges,8212.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Left Center Back,4,Brazil,781,['b35b2f90-a8ac-44e8-acb8-c0f933beb3d0'],7,,,,,,,,,,,,,,,,,,,,Brazil,781,00:01:07.377,Pass,
,,,,,,,,,,,,,,,,,,,,1.061993,,,,,,,,,,,,,e5774568-a257-4958-8103-865c23649359,78,,,"[37.0, 1.5]",3939983,1,,,,,2.2597208,,Left Foot,,,,"[32.8, 6.6]",Ground Pass,,6.606815,,,João Victor Gomes da Silva,48720.0,,,,,,1,Regular Play,Wendell Nascimento Borges,8212.0,Left Back,4,Brazil,781,['d4c01168-4693-4b36-99d9-9db819464a02'],8,,,,,,,,,,,,,,,,,,,,Brazil,781,00:01:08.399,Pass,
,,,,,,,,,,,,,,,,,,,,1.511916,,,,,,,,,,,,,bae76817-5d23-43ce-b6ce-b83b57a43efe,80,,,"[32.8, 6.6]",3939983,1,,,,,-0.24497867,,Right Foot,,,,"[52.0, 1.8]",Ground Pass,,19.790907,,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,1,Regular Play,João Victor Gomes da Silva,48720.0,Left Defensive Midfield,4,Brazil,781,['da449c52-ce1b-4580-ac42-ce514af28f85'],9,,,,,,,,,,,,,,,,,,,,Brazil,781,00:01:09.461,Pass,
