50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,"[112.5, 5.3]",,,,,,,,,,,,,,2.132842,,,,,,,,,,,,1c104932-0ff4-4250-9660-f6fb23af64c0,1983,,,"[99.9, 18.8]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Salomón Rondón Giménez,4041.0,Center Forward,120,Venezuela,3563,"['384e7b74-015c-4c59-b6c6-cd4e1bbe6ba3', 'a81fd947-7fba-4c7f-ac04-13dd2fe66e82']",17,,,,,,,,,,,,,,,,,,Venezuela,3563,00:10:17.622,Carry,
,,,,,,,"[112.5, 5.6]",,,,,,,,,,,,,,1.269212,,,,,,,,,,,,792660d1-14b1-46d1-9c9b-46fdd837174a,1988,,,"[107.5, 4.5]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Cristian Sleiker Cásseres Yepes,13493.0,Left Defensive Midfield,121,Venezuela,3563,"['1eebc4e2-ecc7-44d8-aa5c-0f52bd1a7180', 'a8defc01-89d5-42e5-9caa-49ecd549d95a']",27,,,,,,,,,,,,,,,,,,Venezuela,3563,00:10:27.925,Carry,
,,,,,,,"[75.5, 5.1]",,,,,,,,,,,,,,0.954202,,,,,,,,,,,,65936141-f3cb-47d5-b71c-19f49250dafc,1996,,,"[69.8, 4.2]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Yordan Hernando Osorio Paredes,10337.0,Left Center Back,121,Venezuela,3563,"['797b8a3e-6381-4c97-b8ef-a8b496f83812', 'd16fbaa1-b7d9-4712-90b3-91498bf1057a']",37,,,,,,,,,,,,,,,,,,Venezuela,3563,00:10:37.008,Carry,
,,,,,,,"[26.8, 77.2]",,,,,,,,,,,,,,2.25098,,,,,,,,,,,,00290386-a429-4e0b-98b0-5027c9deb479,2001,,,"[27.6, 77.2]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jonathan David,23640.0,Center Attacking Midfield,122,Canada,1833,"['0858896a-8424-44bf-a2fc-172ce8ffdb0c', '8a5f0f17-23ab-4f36-93c0-3a6cf7782731', 'e268bf4d-1a04-45ef-9ff5-8c58a2ab0543']",42,,,,,,,,,,,,,,,,,,Canada,1833,00:10:42.036,Carry,True
,,,,,,,"[38.9, 76.1]",,,,,,,,,,,,,,0.446941,,,,,,,,,,,,3254e6e7-2662-4b95-8e46-6abfe99cc5e0,2006,,,"[35.3, 76.1]",3942229,55,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jonathan Osorio,12770.0,Right Defensive Midfield,122,Canada,1833,"['0a9a83b3-76e6-459a-83e0-61eb66f4be05', '27d84907-5902-4564-ac97-de0d5f7b80f1', 'cc69fe55-19dd-4e14-b0ef-cb459c597d18', 'd8d84ae1-1edc-44a3-8826-8c15fec09880']",45,,,,,,,,,,,,,,,,,,Canada,1833,00:10:45.445,Carry,True
,,,,,,,"[15.6, 40.2]",,,,,,,,,,,,,,1.612741,,,,,,,,,,,,99a36a62-0e37-4072-86cb-c234a08a9b25,2019,,,"[9.6, 37.6]",3942229,56,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,125,Venezuela,3563,"['23c51ed7-8f7b-4223-a57f-abfa147eedd3', 'adf4ffdd-6b10-48d9-80fb-5297a8c130df']",35,,,,,,,,,,,,,,,,,,Venezuela,3563,00:11:35.705,Carry,
,,,,,,,"[31.8, 51.6]",,,,,,,,,,,,,,1.841538,,,,,,,,,,,,c4ae2b0a-30c8-4268-997e-dd63c46025b4,2022,,,"[26.1, 53.5]",3942229,56,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Jon Mikel Aramburu Mejías,113450.0,Right Back,125,Venezuela,3563,"['2c088e01-61a1-45c5-bf64-705759f0afd5', '91641313-f8dc-4b13-88df-d2eb36254c17', 'ef6974a8-d1aa-4d17-8378-dba48f701725']",39,,,,,,,,,,,,,,,,,,Venezuela,3563,00:11:39.099,Carry,True
,,,,,,,"[32.1, 22.1]",,,,,,,,,,,,,,1.754578,,,,,,,,,,,,1f696349-8e23-4aee-a055-2a5faf9842c7,2026,,,"[32.1, 23.2]",3942229,56,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Yordan Hernando Osorio Paredes,10337.0,Left Center Back,125,Venezuela,3563,"['2c088e01-61a1-45c5-bf64-705759f0afd5', '414a77c1-5a79-4118-afb6-cd8ba4006b1e', '6acaa88e-db34-4399-b11a-c95a0adac12f', 'b8462954-81ab-4e69-92a5-4959c8f81610']",41,,,,,,,,,,,,,,,,,,Venezuela,3563,00:11:41.041,Carry,True
,,,,,,,"[70.6, 4.2]",,,,,,,,,,,,,,3.361777,,,,,,,,,,,,09f56d79-0e04-43ac-8461-f3c8cd8378cb,2030,,,"[45.6, 5.1]",3942229,56,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Miguel Ángel Navarro Zárate,36520.0,Left Back,125,Venezuela,3563,"['99b50893-3bd6-4916-96af-9ca92ee8c475', 'a33f9a04-66eb-4992-a9b1-d026ce131b61']",44,,,,,,,,,,,,,,,,,,Venezuela,3563,00:11:44.163,Carry,
,,,,,,,"[44.3, 60.5]",,,,,,,,,,,,,,0.917172,,,,,,,,,,,,6562dab7-521b-4d80-bbc5-8bfe9d5202f3,2033,,,"[43.0, 57.8]",3942229,56,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Stephen Antunes Eustáquio,11187.0,Left Defensive Midfield,125,Venezuela,3563,"['120f3c6f-7fbb-49b0-bf73-ce70fcdbcf30', 'a8fd5a90-14de-4a91-841a-1b4cbe4613ff']",48,,,,,,,,,,,,,,,,,,Canada,1833,00:11:48.570,Carry,
,,,,,,,"[58.1, 61.3]",,,,,,,,,,,,,,1.536428,,,,,,,,,,,,be6a37f3-dc9c-4fbd-aa17-be0b762952c3,2037,,,"[51.1, 53.9]",3942229,56,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Jonathan David,23640.0,Center Attacking Midfield,125,Venezuela,3563,"['9cb05e92-32ef-4ff6-867a-28343da7d099', 'e870fa7d-86a1-45e9-9a28-a151950c5d74', 'f771b554-d544-4a94-b1ab-5dad6d35eeac']",50,,,,,,,,,,,,,,,,,,Canada,1833,00:11:50.428,Carry,True
,,,,,,,"[63.4, 20.7]",,,,,,,,,,,,,,0.997503,,,,,,,,,,,,a22f2561-e86f-4d9a-951c-677a5b0d5690,2040,,,"[62.0, 18.8]",3942229,56,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Yangel Clemente Herrera Ravelo,16249.0,Center Attacking Midfield,125,Venezuela,3563,"['3d1bbbb6-6f23-47cb-9908-169c786c5a4a', '9b3717e4-0a06-4cb9-9297-6247c8208b4b', 'c89b8545-4c0f-469a-a9cd-a0471d121942']",51,,,,,,,,,,,,,,,,,,Venezuela,3563,00:11:51.964,Carry,True
,,,,,,,"[80.7, 76.4]",,,,,,,,,,,,,,1.421407,,,,,,,,,,,,f442e6c4-8818-4a7e-8294-5a57f6469d17,2048,,,"[81.0, 72.6]",3942229,57,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Yeferson Julio Soteldo Martínez,25115.0,Right Wing,126,Venezuela,3563,"['6cab15de-e689-4da9-a73a-ee664435cad4', 'bc4f4690-88f9-4062-958a-44442e196329']",6,,,,,,,,,,,,,,,,,,Venezuela,3563,00:12:06.956,Carry,
,,,,,,,"[116.4, 69.7]",,,,,,,,,,,,,,1.94603,,,,,,,,,,,,e62de110-1b69-4e16-821b-ee81a1a933b9,2054,,,"[99.3, 72.6]",3942229,57,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Yeferson Julio Soteldo Martínez,25115.0,Right Wing,126,Venezuela,3563,"['94eb3b86-f20a-412d-b482-a6f6dbc3d153', 'a2b283a5-4090-4f64-9ffa-ecbcfedd5056']",11,,,,,,,,,,,,,,,,,,Venezuela,3563,00:12:11.664,Carry,
