50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.107247,,,,,,,,,,,,,7e326172-ef56-4267-96c9-022279e279f6,58,,,"[54.5, 35.9]",3939982,1,,,,,1.4778658,,Right Foot,,,,"[58.2, 75.6]",,Ground Pass,,39.872044,,,,Nahitan Michel Nández Acosta,5247.0,,,,,,,1,From Throw In,Ronald Federico Araújo da Silva,32480.0,Right Center Back,5,Uruguay,783,['5145bfb6-ff1c-4d02-a724-c1c74d9739d1'],21,,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:21.922,Pass,
,,,,,,,,,,,,,,,,0.666541,,,,,,,,,,,,,de25751c-d63e-4675-964d-49a92dc67fab,61,,,"[69.7, 78.1]",3939982,1,,,,,-0.42366892,,Right Foot,,,,"[85.0, 71.2]",,High Pass,,16.78392,,Incomplete,,,,,,,,,,1,From Throw In,Nahitan Michel Nández Acosta,5247.0,Right Back,5,Uruguay,783,['ac209d9c-112b-4a31-9409-9be402f2a23a'],25,,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:25.897,Pass,
,,,,,,,,,,,,,,,,1.157945,,,,,,,,,,,,,e045acf6-1c51-41ce-a122-07d8b52a6109,63,,,"[25.6, 19.2]",3939982,1,,,,,-1.2750447,,Head,,,,"[29.5, 6.4]",,Low Pass,,13.380957,,,,Roberto Carlos Fernández Toro,47055.0,,,,,,Recovery,1,From Throw In,José Manuel Sagredo Chávez,114003.0,Left Center Back,5,Uruguay,783,['74b55da3-5c50-4e93-966f-cbf7bd588f08'],28,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:01:28.139,Pass,
,,,,,,,,,,,,,,,,1.725277,,,,,,,,,,,,,ef44ab56-098d-4c3a-9a45-5f1bc0296990,70,,,"[98.6, 72.1]",3939982,1,,,,,-1.2956725,efc88897-d10c-437e-aaaa-ac847b3c1fe5,Right Foot,True,,,"[108.0, 38.8]",,High Pass,,34.6013,,,,Darwin Gabriel Núñez Ribeiro,32478.0,True,,,,,,1,From Throw In,Nahitan Michel Nández Acosta,5247.0,Right Back,5,Uruguay,783,['45e228b9-afbd-4eb8-ad52-2ad7096a338c'],31,,,,,,,,,,,,,,,,,,,Uruguay,783,00:01:31.402,Pass,
,,,,,,,,,,,,,,,,6.188384,,,,,,,,,,,,,388e7180-2be6-495d-9b89-6cb22c03d9c2,74,,,"[6.0, 37.8]",3939982,2,,,,,-0.38550726,,Right Foot,,,,"[98.9, 0.1]",,High Pass,,100.25816,,Out,,Carmelo Algarañaz Añez,113717.0,,,,,,Goal Kick,1,From Goal Kick,Guillermo Viscarra Bruckner,47057.0,Goalkeeper,6,Bolivia,3564,['21e833a6-c02c-4710-81f1-b5c32e89416b'],11,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:02:11.663,Pass,
,,,,,,,,,,,,,,,,2.12101,,,,,,,,,,,,,d1c84324-52a9-475f-b9fc-aaf17a119eba,78,,,"[28.0, 80.0]",3939982,2,,,,,-0.5093385,,,,,,"[54.5, 65.2]",,High Pass,,30.352758,,Incomplete,,Federico Santiago Valverde Dipetta,6773.0,,,,,,Throw-in,1,From Throw In,Nahitan Michel Nández Acosta,5247.0,Right Back,7,Uruguay,783,"['60da1127-378c-45e7-80e9-1c4b0aed4c85', 'ce245af5-cf70-4311-9701-cf6d55ee551b']",47,,,,,,,,,,,,,,,,,,,Uruguay,783,00:02:47.594,Pass,
,,,,,,,,,,,,,,,,2.056316,,,,,,,,,,,,,60da1127-378c-45e7-80e9-1c4b0aed4c85,80,,,"[65.6, 14.9]",3939982,2,,,,,0.47636554,,Head,,,,"[90.6, 27.8]",,High Pass,,28.13201,,Incomplete,,Carmelo Algarañaz Añez,113717.0,,,,,,Interception,1,From Throw In,Luis Fernando Haquín Lopez,37070.0,Center Back,7,Uruguay,783,"['2b9b7491-947b-4e29-866d-be9f236ac72f', '57c04d23-a39e-4103-8e61-d6087e9f8686', 'd1c84324-52a9-475f-b9fc-aaf17a119eba']",49,,,,,,,,,,,,,,,,,,,Bolivia,3564,00:02:49.715,Pass,
,,,,,,,,,,,,,,,,1.257379,,,,,,,,,,,,,2b9b7491-947b-4e29-866d-be9f236ac72f,83,,,"[29.5, 52.3]",3939982,2,,,,True,0.09184612,,,,,,"[44.7, 53.7]",,High Pass,,15.264338,,,,Diego Nicolás De La Cruz Arcosa,28729.0,,,,,,Recovery,1,From Throw In,Mathías Olivera Miramontes,7104.0,Left Center Back,7,Uruguay,783,"['60da1127-378c-45e7-80e9-1c4b0aed4c85', 'c824478f-64a5-4f38-b56d-6ccefd87bbe6', 'edf57aef-c07c-4f0a-954c-6c48108f00cd']",51,,,,,,,,,,,,,,,,,,,Uruguay,783,00:02:51.772,Pass,True
,,,,,,,,,,,,,,,,2.651813,,,,,,,,,,,,,6cd1b186-f226-422f-9864-85fab89d02bb,85,,,"[44.7, 53.7]",3939982,2,,,,,-0.9342881,,Head,,,,"[60.0, 33.0]",,High Pass,,25.74063,,Incomplete,,Maximiliano Javier Araújo Vilches,35492.0,,,,,,,1,From Throw In,Diego Nicolás De La Cruz Arcosa,28729.0,Center Attacking Midfield,7,Uruguay,783,"['3231da0e-807e-41da-8e14-20d8e9a1aecb', 'c462056e-b0f8-43aa-9455-120700855d4f']",53,,,,,,,,,,,,,,,,,,,Uruguay,783,00:02:53.029,Pass,
,,,,,,,,,,,,,,,,1.422902,,,,,,,,,,,,,9c0f98fc-48fa-4742-a10a-6d0b8764dc64,90,,,"[66.2, 15.7]",3939982,2,,,,,0.1061568,,Right Foot,,,,"[90.6, 18.3]",,Ground Pass,,24.538134,,,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,,,1,From Throw In,Federico Santiago Valverde Dipetta,6773.0,Left Defensive Midfield,7,Uruguay,783,['e3cded15-de99-49d8-98a9-2edc4b421297'],58,,,,,,,,,,,,,,,,,,,Uruguay,783,00:02:58.112,Pass,
