50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.303805,,,,,,,,,,,,,cd3c24ae-79e5-4101-9f65-8c36d9be7672,885,,,"[14.8, 43.6]",3939977,18,,,,-1.1364025,,Keeper Arm,,,"[29.6, 11.7]",Low Pass,,35.166035,,,,Gabriel Alonso Suazo Urbina,36212.0,,,,,,,1,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,32,Chile,3562,['8ef27cd0-cc3c-4a41-b3d5-b91bedf46a20'],6,,,,,,,,,,,,,,,,,,Chile,3562,00:18:06.222,Pass,
,,,,,,,,,,,,,,,,0.333499,,,,,,,,,,,,,76f30850-62a6-4837-baff-3c989b30da70,888,,,"[29.3, 9.2]",3939977,18,,,,0.49394137,,Left Foot,,,"[31.9, 10.6]",Ground Pass,,2.9529645,,Incomplete,,Víctor Alejandro Dávila Zavala,30944.0,,,,,,,1,Regular Play,Gabriel Alonso Suazo Urbina,36212.0,Left Back,32,Chile,3562,"['8632f71a-0968-4247-858d-038036fd0266', 'e3533294-0eca-4336-83c6-c2543b53ac3a']",9,,,,,,,,,,,,,,,,,,Chile,3562,00:18:09.780,Pass,
,,,,,,,,,,,,,,,,0.981867,,,,,,,,,,,,,40b6bf61-8223-475b-b5a5-17ad153284c0,895,,,"[11.0, 27.3]",3939977,18,,,,2.1743188,,Left Foot,,,"[3.9, 37.6]",Ground Pass,,12.509996,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,Recovery,1,Regular Play,Gabriel Alonso Suazo Urbina,36212.0,Left Back,32,Chile,3562,"['0cc74898-601c-40af-9f1d-c7886d76bd68', '6d7ab244-98f7-4851-9d2e-f097a5ca1595']",13,,,,,,,,,,,,,,,,,,Chile,3562,00:18:13.991,Pass,True
,,,,,,,,,,,,,,,,5.713359,,,,,,,,,,,,,775a67d2-12ca-4a4a-af88-f8e760cb7ea7,899,,,"[3.9, 36.5]",3939977,18,,,,-0.7853982,,Right Foot,,,"[39.6, 0.8]",High Pass,,50.487423,,Out,,Víctor Alejandro Dávila Zavala,30944.0,,,,,,,1,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,32,Chile,3562,['eea8e0d3-faaa-414d-9e91-3de45938c12f'],15,,,,,,,,,,,,,,,,,,Chile,3562,00:18:15.186,Pass,
,,,,,,,,,,,,,,,,1.111913,,,,,,,,,,,,,20bb9f84-c6aa-4dd7-8fbd-52ab3762ac11,903,,,"[78.6, 80.0]",3939977,18,,,,-1.8766752,,,,,"[76.2, 72.4]",Low Pass,,7.9699435,,,,Rodrigo Javier De Paul,7797.0,,,,,,Throw-in,1,From Throw In,Nahuel Molina Lucero,29201.0,Right Back,33,Argentina,779,['46f6d6e2-7d26-4323-afd1-8d0c56305bf2'],29,,,,,,,,,,,,,,,,,,Argentina,779,00:18:29.247,Pass,
,,,,,,,,,,,,,,,,1.860024,,,,,,,,,,,,,b5087292-bf17-4290-8eb1-6ed4863798f7,907,,,"[68.5, 74.4]",3939977,18,,,,-2.9054067,,Right Foot,,,"[39.0, 67.3]",Ground Pass,,30.34238,,,,Cristian Gabriel Romero,20572.0,,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Midfield,33,Argentina,779,"['253cad8e-e270-4959-8c60-a033376e4a0c', '7472fd13-1f5f-4bbe-a2c6-b078908816a0']",32,,,,,,,,,,,,,,,,,,Argentina,779,00:18:32.074,Pass,True
,,,,,,,,,,,,,,,,1.347975,,,,,,,,,,,,,5a13424a-0da5-4218-833a-1e46e19e01e9,910,,,"[36.9, 63.5]",3939977,18,,,,0.87515634,,Left Foot,,,"[46.0, 74.4]",Ground Pass,,14.199296,,,,Rodrigo Javier De Paul,7797.0,,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,33,Argentina,779,['7f919cf8-9ed7-4362-a5ff-905ed763270a'],38,,,,,,,,,,,,,,,,,,Argentina,779,00:18:38.081,Pass,
,,,,,,,,,,,,,,,,0.840675,,,,,,,,,,,,,adbcae85-8bea-4667-ba61-5676785e9cec,913,,,"[45.6, 68.2]",3939977,18,,,,-0.73459446,,Right Foot,,,"[51.8, 62.6]",Ground Pass,,8.354639,,,,Alexis Mac Allister,27886.0,,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Midfield,33,Argentina,779,['95f66378-34e8-4cfa-956f-e233241f7b84'],41,,,,,,,,,,,,,,,,,,Argentina,779,00:18:41.125,Pass,
,,,,,,,,,,,,,,,,1.282354,,,,,,,,,,,,,98914c4e-c0a8-43fa-b492-ab9065c2db3a,915,,,"[51.4, 61.1]",3939977,18,,,,0.29244298,,Right Foot,,,"[70.0, 66.7]",High Pass,,19.424726,,Incomplete,,,,,,,,,,1,From Throw In,Alexis Mac Allister,27886.0,Right Defensive Midfield,33,Argentina,779,['36441927-0c12-4136-8a83-d4197cc08a47'],41,,,,,,,,,,,,,,,,,,Argentina,779,00:18:41.966,Pass,
,,,,,,,,,,,,,,,,0.759322,,,,,,,,,,,,,e9d295a6-934a-4e4a-ac68-217e1eeb3be1,918,,,"[49.7, 9.6]",3939977,18,,,,0.92374915,,Left Foot,,,"[56.5, 18.6]",Ground Pass,,11.280071,,,,Rodrigo Eduardo Echeverría Sáez,35738.0,,,,,,,1,From Throw In,Paulo César Díaz Huincales,31012.0,Left Center Back,33,Argentina,779,['84ad651c-b607-423c-babc-68cd289e5c15'],44,,,,,,,,,,,,,,,,,,Chile,3562,00:18:44.305,Pass,
