ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.169522,,,,,,,,,,,e7f947f0-5d2f-4eca-8715-d56e12ec1d33,58,,"[67.5, 37.2]",3939973,0,,,,1.7208935,,Right Foot,,,"[62.6, 69.6]",,Ground Pass,,32.76843,,,,Nahitan Michel Nández Acosta,5247.0,,,,,,,1,Regular Play,Federico Santiago Valverde Dipetta,6773.0,Right Defensive Midfield,4,Uruguay,783,['02057132-0a0c-49c2-929c-c0a17c7d1f7f'],44,,,,,,,,,,,,,,,,,Uruguay,783,00:00:44.588,Pass,
,,,,,,,,,,,,,,,3.905907,,,,,,,,,,,0e5d93fc-e53b-4dc5-80b9-d8dbbc0323b3,61,,"[63.4, 74.3]",3939973,0,,,,-0.27829966,,Right Foot,,,"[117.3, 58.9]",,High Pass,,56.056847,,,,Facundo Pellistri Rebollo,36288.0,,,,,,,1,Regular Play,Nahitan Michel Nández Acosta,5247.0,Right Back,4,Uruguay,783,['0a71f68f-d680-4cb2-9ff6-6eae1a76b3d0'],47,,,,,,,,,,,,,,,,,Uruguay,783,00:00:47.691,Pass,
,,,,,,,,,,,,,,,0.492638,,,,,,,,,,,a76b3490-94b8-4ab2-9a9f-1e6053499340,64,,"[118.4, 58.5]",3939973,0,,,,-1.9997575,,Right Foot,True,,"[112.5, 45.6]",,High Pass,,14.185204,,,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,,,1,Regular Play,Facundo Pellistri Rebollo,36288.0,Right Wing,4,Uruguay,783,['a41a4849-04d5-45dd-b5bb-da2fd41ff2ae'],52,,,,,,,,,,,,,,,,,Uruguay,783,00:00:52.050,Pass,
,,,,,,,,,,,,,,,0.346524,,,,,,,,,,,35a2df95-970b-4790-80f9-44bc2b862127,66,,"[112.7, 45.8]",3939973,0,,,,-1.6207547,,Head,,,"[112.4, 39.8]",,Low Pass,,6.0074954,,,,Giorgian Daniel De Arrascaeta Benedetti,5258.0,,,,,,,1,Regular Play,Darwin Gabriel Núñez Ribeiro,32478.0,Center Forward,4,Uruguay,783,['8ace8c8f-b173-496c-ad4b-f28fdfa85b1a'],52,,,,,,,,,,,,,,,,,Uruguay,783,00:00:52.583,Pass,
,,,,,,,,,,,,,,,2.40999,,,,,,,,,,,dddfe23e-7112-4a5f-9ba8-85268467881d,72,,"[14.6, 70.7]",3939973,0,,,,-1.0173905,,Right Foot,,,"[26.4, 51.6]",,Low Pass,,22.451057,,Incomplete,,Christian Jesús Martinez,16637.0,,,,,,,1,Regular Play,José Luis Rodríguez Francis,5628.0,Right Wing,4,Uruguay,783,"['ae64d6a1-d3c3-4ed1-81a5-7249aed7f3b2', 'b5ca267b-f232-464b-9b69-6bd437a5b1e5']",55,,,,,,,,,,,,,,,,,Panama,798,00:00:55.905,Pass,
,,,,,,,,,,,,,,,0.572852,,,,,,,,,,,b5ca267b-f232-464b-9b69-6bd437a5b1e5,74,,"[93.7, 28.5]",3939973,0,,,,-0.037717953,6c4a9786-0df3-45e4-81ca-6d190a2ecc39,Right Foot,,,"[99.0, 28.3]",,Ground Pass,,5.3037724,,,,Giorgian Daniel De Arrascaeta Benedetti,5258.0,True,,,,,Recovery,1,Regular Play,Manuel Ugarte Ribeiro,36659.0,Left Defensive Midfield,4,Uruguay,783,"['c4b8978b-33d5-4eec-8882-ba6686473379', 'dddfe23e-7112-4a5f-9ba8-85268467881d']",58,,,,,,,,,,,,,,,,,Uruguay,783,00:00:58.315,Pass,
,,,,,,,,,,,,,,,3.129909,,,,,,,,,,,9ddccc3b-18f5-4b87-bfce-890919d151c1,79,,"[6.0, 30.0]",3939973,1,True,,,1.6530843,,Right Foot,,,"[5.2, 39.7]",,Ground Pass,,9.732934,,,,Orlando Mosquera,104179.0,,,,,,Goal Kick,1,From Goal Kick,José Ángel Córdoba Chambers,223971.0,Center Back,5,Panama,798,['36af8e9d-fc3a-46cd-95ba-2e2c51baf353'],31,,,,,,,,,,,,,,,,,Panama,798,00:01:31.562,Pass,
,,,,,,,,,,,,,,,3.272424,,,,,,,,,,,5600466a-51d8-43c4-a2ce-6419dd0f5af6,81,,"[6.8, 40.7]",3939973,1,,,,0.5884153,,Right Foot,,,"[62.7, 78.0]",,High Pass,,67.201935,,,,Michael Amir Murillo Bermudez,5641.0,,,,,,,1,From Goal Kick,Orlando Mosquera,104179.0,Goalkeeper,5,Panama,798,['19ccbd00-26e4-4cf5-bd90-8c51811a9851'],36,,,,,,,,,,,,,,,,,Panama,798,00:01:36.627,Pass,
,,,,,,,,,,,,,,,1.351299,,,,,,,,,,,57ed38bc-4d1a-4017-af44-0f75730e50b1,83,,"[62.7, 77.6]",3939973,1,,,,-0.844154,,Head,,,"[70.7, 68.6]",,Low Pass,,12.0415945,,Incomplete,,José Luis Rodríguez Francis,5628.0,,,,,,,1,From Goal Kick,Michael Amir Murillo Bermudez,5641.0,Right Wing Back,5,Panama,798,"['2d8de2b1-e354-4dc1-a54b-54b8e8f411b5', '32372826-96ed-4bc4-8557-234fc8f66bfb']",39,,,,,,,,,,,,,,,,,Panama,798,00:01:39.899,Pass,
,,,,,,,,,,,,,,,1.898984,,,,,,,,,,,2d8de2b1-e354-4dc1-a54b-54b8e8f411b5,85,,"[49.4, 11.5]",3939973,1,,,,0.2904409,,Left Foot,,,"[76.5, 19.6]",,High Pass,,28.284624,,,,Giorgian Daniel De Arrascaeta Benedetti,5258.0,,,,,,Recovery,1,From Goal Kick,Maximiliano Javier Araújo Vilches,35492.0,Left Wing,5,Panama,798,"['3241df4e-7667-469e-987e-4d7029c20d74', '57ed38bc-4d1a-4017-af44-0f75730e50b1']",41,,,,,,,,,,,,,,,,,Uruguay,783,00:01:41.251,Pass,
,,,,,,,,,,,,,,,1.374454,,,,,,,,,,,1db2afa3-e44d-4cda-ba24-777ef2f54b85,87,,"[76.1, 19.9]",3939973,1,,,True,1.507053,,,,,"[76.7, 29.3]",,High Pass,,9.419129,,Incomplete,,Darwin Gabriel Núñez Ribeiro,32478.0,,,,,,,1,From Goal Kick,Giorgian Daniel De Arrascaeta Benedetti,5258.0,Center Attacking Midfield,5,Panama,798,"['0ca4d846-48a1-451a-9202-bd86ac7038c9', 'a467d558-8507-46d6-97bc-8eac3ebcfe74', 'f3cdbfb5-35ff-4c7e-910a-7f684d54fd4b']",43,,,,,,,,,,,,,,,,,Uruguay,783,00:01:43.234,Pass,True
,,,,,,,,,,,,,,,0.268233,,,,,,,,,,,43a2536d-7350-41ca-bacb-b4d61eca4647,92,,"[44.0, 54.0]",3939973,1,,,,0.4636476,,Right Foot,,,"[46.6, 55.3]",,Low Pass,,2.9068885,,Incomplete,,José Luis Rodríguez Francis,5628.0,,,,,,,1,From Goal Kick,Adalberto Eliécer Carrasquilla Alcázar,47345.0,Left Defensive Midfield,5,Panama,798,"['ccfba191-df7f-40ed-9ced-65f2329dcc66', 'f39e0c53-c10f-4b3a-bee9-db8ce8c95099']",45,,,,,,,,,,,,,,,,,Panama,798,00:01:45.890,Pass,
,,,,,,,,,,,,,,,1.511466,,,,,,,,,,,a665f7e5-f7c0-473e-96d2-cf8ad00143df,98,,"[20.6, 54.0]",3939973,1,,,,-2.5240357,,Left Foot,,,"[3.0, 41.5]",,Ground Pass,,21.587265,,,,Orlando Mosquera,104179.0,,,,,,,1,From Goal Kick,José Ángel Córdoba Chambers,223971.0,Center Back,5,Panama,798,"['87bb03ce-edf0-47b1-86e1-5bbca8ce5043', 'bf176a19-0d49-46e7-b0a9-d4845e358c17']",49,,,,,,,,,,,,,,,,,Panama,798,00:01:49.339,Pass,True
,,,,,,,,,,,,,,,1.215411,,,,,,,,,,,a4587c7c-b8bd-41d4-a875-6d9c6f526d99,102,,"[2.8, 41.4]",3939973,1,,,,0.19850053,,Right Foot,,,"[20.2, 44.9]",,Ground Pass,,17.748522,,,,José Ángel Córdoba Chambers,223971.0,,,,,,,1,From Goal Kick,Orlando Mosquera,104179.0,Goalkeeper,5,Panama,798,['fafb16e6-c440-4aca-b988-d248d7d092d7'],53,,,,,,,,,,,,,,,,,Panama,798,00:01:53.524,Pass,
