50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.352897,,,,,,,,,,,,f285bb4d-1a85-480f-a267-59411b2a1623,44,,"[41.8, 26.1]",3939987,1,,,,1.7588464,,Left Foot,,,,"[36.7, 52.9]",,Ground Pass,,27.280945,,,,Michael Hector,16768.0,,,,,,1,From Free Kick,Ethan Pinnock,4610.0,Left Center Back,6,Jamaica,2305,['2b9b645b-1d44-4366-823c-88b68887084d'],24,,,,,,,,,,,,,,,,,Jamaica,2305,00:01:24.717,Pass,
,,,,,,,,,,,,,,,1.227827,,,,,,,,,,,,d03c3c4b-a782-4ba4-b6fa-f31b2aa49496,47,,"[36.7, 52.9]",3939987,1,,,,-1.5923758,,Right Foot,,,,"[36.1, 25.1]",,Ground Pass,,27.806475,,,,Ethan Pinnock,4610.0,,,,,,1,From Free Kick,Michael Hector,16768.0,Center Back,6,Jamaica,2305,['f201bcea-d5ec-4121-914c-a5711410e404'],30,,,,,,,,,,,,,,,,,Jamaica,2305,00:01:30.485,Pass,
,,,,,,,,,,,,,,,2.632192,,,,,,,,,,,,140e61ae-0a94-4793-a78c-6dab468b30a0,50,,"[42.4, 21.9]",3939987,1,,,,-0.46642795,,Left Foot,,,,"[85.5, 0.2]",,High Pass,,48.25453,,Out,,,,,,,,,1,From Free Kick,Ethan Pinnock,4610.0,Left Center Back,6,Jamaica,2305,,34,,,,,,,,,,,,,,,,,Jamaica,2305,00:01:34.903,Pass,
,,,,,,,,,,,,,,,1.870936,,,,,,,,,,,,9caeb427-0d8b-4cfc-8f86-169d8d8177ea,51,,"[27.7, 80.0]",3939987,1,,,,-2.2752905,,,,,,"[15.8, 66.0]",,Low Pass,,18.374166,,,,Yordan Hernando Osorio Paredes,10337.0,,,,,Throw-in,1,From Throw In,Alexander David González Sibulo,24168.0,Right Back,7,Venezuela,3563,['c2bc45dc-06d8-4fb9-96d8-3d14a01c05e7'],47,,,,,,,,,,,,,,,,,Venezuela,3563,00:01:47.001,Pass,
,,,,,,,,,,,,,,,2.176138,,,,,,,,,,,,049a1c05-b87b-4b2b-824b-b69ca854ec41,54,,"[15.6, 58.1]",3939987,1,,,,-1.5363272,,Right Foot,,,,"[16.2, 40.7]",,Ground Pass,,17.410341,,,,Rafael Enrique Romo Pérez,32012.0,,,,,,1,From Throw In,Yordan Hernando Osorio Paredes,10337.0,Right Center Back,7,Venezuela,3563,['7567ac28-869d-48b3-9f44-2aa67550d74a'],50,,,,,,,,,,,,,,,,,Venezuela,3563,00:01:50.203,Pass,
,,,,,,,,,,,,,,,1.425431,,,,,,,,,,,,5cf10627-fa05-4995-88db-6f0530f527f0,57,,"[15.6, 39.6]",3939987,1,,,,1.1113681,,Right Foot,,,,"[25.0, 58.6]",,Ground Pass,,21.198112,,,,Yordan Hernando Osorio Paredes,10337.0,,,,,,1,From Throw In,Rafael Enrique Romo Pérez,32012.0,Goalkeeper,7,Venezuela,3563,['1d0dd292-6887-4471-9f85-c6a4a76939a9'],54,,,,,,,,,,,,,,,,,Venezuela,3563,00:01:54.964,Pass,
,,,,,,,,,,,,,,,2.725362,,,,,,,,,,,,9d262602-51ea-4fd2-84d2-66cc2f5974ec,60,,"[35.3, 57.9]",3939987,1,,,,-0.0829978,,Right Foot,,,,"[93.0, 53.1]",,High Pass,,57.899307,,Incomplete,,José Salomón Rondón Giménez,4041.0,,,,,,1,From Throw In,Yordan Hernando Osorio Paredes,10337.0,Right Center Back,7,Venezuela,3563,"['28d7704f-4eb6-43ee-acd4-c962721952b6', '315c501d-99ba-496b-bce3-0b0b4904c339']",58,,,,,,,,,,,,,,,,,Venezuela,3563,00:01:58.545,Pass,
,,,,,,,,,,,,,,,1.389084,,,,,,,,,,,,28d7704f-4eb6-43ee-acd4-c962721952b6,63,,"[27.1, 27.0]",3939987,2,,,True,0.024686342,,,,,,"[35.2, 27.2]",,Low Pass,,8.1024685,,Incomplete,,,,,,,,Recovery,1,From Throw In,Ethan Pinnock,4610.0,Left Center Back,7,Venezuela,3563,"['9d262602-51ea-4fd2-84d2-66cc2f5974ec', 'c6b9fcc1-cf8f-402d-94d6-61ed10318da9', 'e2a4915f-cd2d-4bc4-a3c6-44c08cb32668']",1,,,,,,,,,,,,,,,,,Jamaica,2305,00:02:01.270,Pass,True
,,,,,,,,,,,,,,,0.831757,,,,,,,,,,,,e2a4915f-cd2d-4bc4-a3c6-44c08cb32668,65,,"[84.9, 52.9]",3939987,2,,,,0.50601625,,Right Foot,,,True,"[100.6, 61.6]",,Low Pass,,17.949373,,,,Telasco José Segovia Pérez,190172.0,,,,,Recovery,1,From Throw In,Eduard Alexander Bello Gil,35785.0,Right Midfield,7,Venezuela,3563,"['28d7704f-4eb6-43ee-acd4-c962721952b6', '35aeb99c-2b7f-46e5-97f4-6b52da6c6f26', 'a3d825e0-4bc8-43e2-9e89-6e56e5d25d89']",2,,,,,,,,,,,,,,,,,Venezuela,3563,00:02:02.659,Pass,True
,,,,,,,,,,,,,,,2.176817,,,,,,,,,,,,a0e79546-c8a6-4c31-8335-79ea69be4a3a,73,,"[13.2, 5.0]",3939987,2,,,,-0.025346683,,Left Foot,,,,"[48.7, 4.1]",,High Pass,,35.511406,,Incomplete,,,,,,,,,1,From Throw In,Ethan Pinnock,4610.0,Left Center Back,7,Venezuela,3563,['4f385f97-11f5-481b-8cd9-1dcbe1e91382'],7,,,,,,,,,,,,,,,,,Jamaica,2305,00:02:07.264,Pass,
