50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.969196,,,,,,,,,,,,,89044eac-25e6-4ed5-befb-3e63d4010e3e,981,,"[81.1, 21.7]",3939970,30,,,,1.8622531,,Left Foot,,"[75.7, 39.7]",Ground Pass,,18.792551,,Incomplete,,Sergio Fernando Peña Flores,10836.0,,,,,,1,Regular Play,Édison Michael Flores Peralta,5525.0,Left Center Forward,64,Peru,784,"['4c4dc1ce-c48a-43ca-8f79-920660fd789e', '742ed92c-9b00-42d1-ade2-472779569eb2', '9ce39e33-7d7a-4d7d-a39e-44b156de9a04']",0,,,,,,,,,,,,,,,,,Peru,784,00:30:00.977,Pass,True
,,,,,,,,,,,,,,,,,1.316397,,,,,,,,,,,,,742ed92c-9b00-42d1-ade2-472779569eb2,984,,"[44.4, 40.4]",3939970,30,,,,0.06340695,,Right Foot,,"[57.0, 41.2]",Low Pass,,12.625371,,Incomplete,,,,,,,,Recovery,1,Regular Play,Paulo César Díaz Huincales,31012.0,Left Center Back,64,Peru,784,"['89044eac-25e6-4ed5-befb-3e63d4010e3e', '98b069e9-f4ee-4614-a6c2-d89bd8c56321', 'bbdee320-d134-434a-a53a-2af38ec027e6']",2,,,,,,,,,,,,,,,,,Chile,3562,00:30:02.947,Pass,True
,,,,,,,,,,,,,,,,,0.617917,,,,,,,,,,,,,a5cb2822-1add-4c3b-800a-a0d969ac3bba,988,,"[55.0, 42.7]",3939970,30,,,,0.25289407,,Right Foot,,"[63.9, 45.0]",Ground Pass,,9.192389,,Incomplete,,,,,,,,,1,Regular Play,Erick Antonio Pulgar Farfán,7175.0,Left Defensive Midfield,64,Peru,784,['1d0e38e5-a75d-4831-a477-89687e20db4b'],8,,,,,,,,,,,,,,,,,Chile,3562,00:30:08.393,Pass,
,,,,,,,,,,,,,,,,,0.602807,,,,,,,,,,,,,99d4a0aa-2c73-4030-b1c7-c58b203c7571,993,,"[53.1, 40.0]",3939970,30,,,,1.0040671,,Right Foot,,"[57.3, 46.6]",Ground Pass,,7.823043,,,,Sergio Fernando Peña Flores,10836.0,,,,,,1,Regular Play,Wilder José Cartagena Mendoza,6313.0,Center Defensive Midfield,64,Peru,784,['1ab50a19-ecb5-4943-898e-5a0a7ee9e260'],10,,,,,,,,,,,,,,,,,Peru,784,00:30:10.569,Pass,
,,,,,,,,,,,,,,,,,1.350822,,,,,,,,,,,,,716edbae-4197-4e60-aeab-73bd34186c90,996,,"[59.9, 54.9]",3939970,30,,,,1.3552622,,Left Foot,,"[63.6, 71.8]",Ground Pass,,17.30029,,,,Andy Jorman Polo Andrade,13435.0,,,,,,1,Regular Play,Sergio Fernando Peña Flores,10836.0,Right Center Midfield,64,Peru,784,['906082ec-313d-4ffe-9420-c2b726086a81'],13,,,,,,,,,,,,,,,,,Peru,784,00:30:13.848,Pass,
,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,55b712ba-930f-4b9d-8785-14e03ae2cf06,999,,"[69.1, 69.8]",3939970,30,,,,-2.9829373,,Right Foot,,"[61.6, 68.6]",Ground Pass,,7.595393,,,,Sergio Fernando Peña Flores,10836.0,,,,,,1,Regular Play,Andy Jorman Polo Andrade,13435.0,Right Wing Back,64,Peru,784,['a263f572-b02a-43cc-b2af-2358f489a771'],18,,,,,,,,,,,,,,,,,Peru,784,00:30:18.275,Pass,
,,,,,,,,,,,,,,,,,1.411026,,,,,,,,,,,,,2abe5bc8-c86e-4d1b-bfbb-70e4a3f9c0a4,1002,,"[61.6, 68.6]",3939970,30,,,,-2.2469268,,Right Foot,,"[40.5, 42.3]",Ground Pass,,33.71795,,,,Carlos Augusto Zambrano Ochandarte,36359.0,,,,,,1,Regular Play,Sergio Fernando Peña Flores,10836.0,Right Center Midfield,64,Peru,784,['3bd80c30-369a-4d0a-85e1-cbb768a6697e'],20,,,,,,,,,,,,,,,,,Peru,784,00:30:20.623,Pass,
,,,,,,,,,,,,,,,,,0.548081,,,,,,,,,,,,,abe364c4-cd2b-4f36-b2ef-93ddd21ce4f9,1005,,"[45.3, 52.6]",3939970,30,,,,2.1890926,,Right Foot,,"[38.4, 62.3]",Ground Pass,,11.903781,,,,Miguel Gianpierre Araujo Blanco,33176.0,,,,,,1,Regular Play,Carlos Augusto Zambrano Ochandarte,36359.0,Center Back,64,Peru,784,['543d4f81-f574-4da1-9113-708f48fe4140'],28,,,,,,,,,,,,,,,,,Peru,784,00:30:28.426,Pass,
,,,,,,,,,,,,,,,,,1.688901,,,,,,,,,,,,,baa3f3ff-1c17-408b-ad14-5ef854ad1e1b,1008,,"[38.4, 62.3]",3939970,30,,,,-1.6934382,,Right Foot,,"[32.2, 12.0]",Ground Pass,,50.680668,,,,Alexander Martín Marquinho Callens Asín,15481.0,,True,,,,1,Regular Play,Miguel Gianpierre Araujo Blanco,33176.0,Right Center Back,64,Peru,784,['436c434d-2d15-4ce5-9f80-ad85e8a35422'],30,,,,,,,,,,,,,,,,,Peru,784,00:30:30.457,Pass,
,,,,,,,,,,,,,,,,,1.6247,,,,,,,,,,,,,c5175f5f-9d9f-44ff-b20d-99b0e8b50e1e,1011,,"[31.4, 12.5]",3939970,30,,,,2.2030408,,Left Foot,,"[12.5, 38.3]",Ground Pass,,31.982027,,,,Pedro David Gallese Quiróz,5528.0,,,,,,1,Regular Play,Alexander Martín Marquinho Callens Asín,15481.0,Left Center Back,64,Peru,784,['2d50b4c6-3ed0-444d-bc26-df6590eb2ff5'],36,,,,,,,,,,,,,,,,,Peru,784,00:30:36.546,Pass,
