50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.674416,,,,,,,,,,,,9ccd5e77-e95a-43e1-8f48-48add0938739,57,,,"[81.1, 4.0]",3939978,0,,,,3.0923367,,Right Foot,,,,"[66.9, 4.7]",,Ground Pass,,14.217243,,,,Alexander Martín Marquinho Callens Asín,15481.0,,,,,,1,Regular Play,Piero Aldair Quispe Córdova,101509.0,Left Center Midfield,4,Peru,784,"['8c71e5a0-5da5-4906-94d7-22ec737afee2', 'cb94c40f-47c6-4b41-b53b-064bb5804c06']",59,,,,,,,,,,,,,,,,Peru,784,00:00:59.372,Pass,True
,,,,,,,,,,,,,,,,,,1.553578,,,,,,,,,,,,f7579797-1332-4ef8-9a35-8a1ccf1da87b,60,,,"[67.1, 2.8]",3939978,1,,,,0.14816003,,Left Foot,,,,"[87.2, 5.8]",,High Pass,,20.322647,,,,Marcos Johan López Lanfranco,23749.0,,,,,,1,Regular Play,Alexander Martín Marquinho Callens Asín,15481.0,Left Center Back,4,Peru,784,['94a597c1-92de-42ee-ad8b-1d78d0b49d7b'],0,,,,,,,,,,,,,,,,Peru,784,00:01:00.996,Pass,
,,,,,,,,,,,,,,,,,,0.750764,,,,,,,,,,,,03f73df0-86fa-4ef0-8b83-8ea500a41387,64,,,"[86.5, 4.7]",3939978,1,,,,-1.141034,,Left Foot,,,,"[87.6, 2.3]",,Ground Pass,,2.6400757,,,,Piero Aldair Quispe Córdova,101509.0,,,,,,1,Regular Play,Marcos Johan López Lanfranco,23749.0,Left Wing Back,4,Peru,784,"['743c46f7-04a8-47af-8683-3840c8e1303e', 'e5c01d62-ed95-42ff-9f01-138640937a84']",4,,,,,,,,,,,,,,,,Peru,784,00:01:04.137,Pass,True
,,,,,,,,,,,,,,,,,,1.858379,,,,,,,,,,,,d58e6786-2210-4fbc-928c-bbc46ff9c52e,67,,,"[91.6, 2.1]",3939978,1,,,,1.0084292,,Right Foot,,,,"[99.1, 14.0]",,Ground Pass,,14.066272,,Incomplete,,,,,,,,,1,Regular Play,Piero Aldair Quispe Córdova,101509.0,Left Center Midfield,4,Peru,784,['3bbb3769-7f60-4307-b6b2-d398bb367f7e'],5,,,,,,,,,,,,,,,,Peru,784,00:01:05.129,Pass,
,,,,,,,,,,,,,,,,,,1.254494,,,,,,,,,,,,e0e63073-8a5b-43ea-9765-6d37385b82e5,70,,,"[20.8, 66.8]",3939978,1,,,,0.124354996,,Right Foot,,,,"[32.0, 68.2]",,Ground Pass,,11.287161,,,,Stephen Antunes Eustáquio,11187.0,,,,,,1,Regular Play,Ismael Koné,133229.0,Right Defensive Midfield,5,Canada,1833,['422bbc0e-9dd1-47bf-9db9-0f1a6dabeaa0'],7,,,,,,,,,,,,,,,,Canada,1833,00:01:07.504,Pass,
,,,,,,,,,,,,,,,,,,0.681607,,,,,,,,,,,,6f2cc7e3-df72-46ad-9ad8-8b66e2a79a8d,72,,,"[32.0, 68.2]",3939978,1,True,,,0.0480729,,Right Foot,,,,"[61.1, 69.6]",,Ground Pass,,29.133657,,,,Jonathan David,23640.0,,,,,,1,Regular Play,Stephen Antunes Eustáquio,11187.0,Left Defensive Midfield,5,Canada,1833,['2b507c44-00bf-4e11-94ca-523134d6cc57'],9,,,,,,,,,,,,,,,,Canada,1833,00:01:09.623,Pass,
,,,,,,,,,,,,,,,,,,1.519661,,,,,,,,,,,,40da1034-fe10-41da-9a42-bc49bb5d5574,74,,,"[50.4, 60.8]",3939978,1,,,,0.66569823,,Left Foot,,,,"[66.7, 73.6]",,Ground Pass,,20.725105,,,,Cyle Larin,16459.0,,,,,,1,Regular Play,Jonathan David,23640.0,Center Attacking Midfield,5,Canada,1833,['7b5bde5c-2c11-4237-aa1e-d0995d14134b'],11,,,,,,,,,,,,,,,,Canada,1833,00:01:11.387,Pass,
,,,,,,,,,,,,,,,,,,1.740599,,,,,,,,,,,,6745757e-c2d3-4174-9daa-a170adde529e,80,,,"[56.9, 73.3]",3939978,1,,,,-2.2176645,,Right Foot,,,,"[39.0, 49.6]",,Ground Pass,,29.700169,,,,Moise Bombito,383250.0,,,,,Free Kick,1,From Free Kick,Alistair Johnston,44703.0,Right Back,6,Canada,1833,['b678e7e5-bc2d-4570-9d58-72598f760756'],46,,,,,,,,,,,,,,,,Canada,1833,00:01:46.832,Pass,
,,,,,,,,,,,,,,,,,,1.572887,,,,,,,,,,,,681bcd1f-14af-4c15-a22b-65913ffef456,83,,,"[39.0, 47.9]",3939978,1,,,,-1.4025308,,Right Foot,,,,"[44.3, 16.7]",,Ground Pass,,31.64696,,,,Derek Cornelius,23760.0,,,,,,1,From Free Kick,Moise Bombito,383250.0,Right Center Back,6,Canada,1833,['44ef4635-8302-4207-993d-1eaf7e4661b9'],49,,,,,,,,,,,,,,,,Canada,1833,00:01:49.905,Pass,
,,,,,,,,,,,,,,,,,,2.261299,,,,,,,,,,,,aefe742a-fc39-47e7-b4c2-08402e4f0235,86,,,"[56.0, 4.6]",3939978,1,,,,0.6708854,,Left Foot,,,,"[90.9, 32.3]",,High Pass,,44.556705,,Incomplete,,Cyle Larin,16459.0,,,,,,1,From Free Kick,Derek Cornelius,23760.0,Left Center Back,6,Canada,1833,"['7f7ebc04-770a-4eb0-9c92-dab8cd28c29d', '9f89bc4f-2259-4636-920e-eaaf47dd8549']",56,,,,,,,,,,,,,,,,Canada,1833,00:01:56.341,Pass,
