50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.449835,,,,,,,,c4916e55-d7f9-4568-955f-bf3fc589b965,50,,,"[62.7, 31.9]",3939971,0,,,,,-0.66714066,,Left Foot,,,,"[85.3, 14.1]",,Ground Pass,,28.768038,Incomplete,,,,,,,,Recovery,1,From Throw In,Bobby Armani De Cordova-Reid,9923.0,Right Defensive Midfield,3,Mexico,794,"['0c5f7d59-d1bf-45ca-b7d0-89d4300dc550', 'c095acb0-2e0e-448c-bdf5-81b77842e803']",47,,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:47.332,Pass,
,,,,,,,,,,,,,,,,0.860096,,,,,,,,39711ed1-f22d-462c-b98d-d7d58fe537aa,53,,,"[37.0, 75.6]",3939971,0,,,,,-0.01041629,,Right Foot,,,,"[46.6, 75.5]",,Ground Pass,,9.600521,,,Orbelín Pineda Alvarado,26280.0,,,,,,1,From Throw In,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,3,Mexico,794,['5dae0a4d-22f8-47d5-9588-d209c6c47805'],51,,,,,,,,,,,,,,,,,,Mexico,794,00:00:51.580,Pass,
,,,,,,,,,,,,,,,,1.243255,,,,,,,,baeb5125-6788-45b3-ba8e-f56978d38d29,56,,,"[48.9, 75.1]",3939971,0,,,,,-1.1777383,,Right Foot,,,,"[52.3, 66.9]",,Ground Pass,,8.876936,,,Jorge Eduardo Sánchez Ramos,26406.0,,,,,,1,From Throw In,Orbelín Pineda Alvarado,26280.0,Right Center Midfield,3,Mexico,794,['7fb19d8e-b2c4-4f9d-b212-1c066f125212'],53,,,,,,,,,,,,,,,,,,Mexico,794,00:00:53.067,Pass,
,,,,,,,,,,,,,,,,1.576757,,,,,,,,fcd62f46-9452-4c6a-8b40-2ea433e2921f,58,,,"[52.3, 66.9]",3939971,0,,,,,-0.07520039,,Left Foot,,,,"[81.5, 64.7]",,Ground Pass,,29.282759,Incomplete,,Carlos Uriel Antuna Romero,15452.0,,,Through Ball,True,,1,From Throw In,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,3,Mexico,794,"['88da38d8-5aae-455c-9035-0fd1f503cbda', 'ef829013-7acd-4fc7-b98d-21fc3b438e7b']",54,,,,,,,,,,,,,,,,,,Mexico,794,00:00:54.310,Pass,
,,,,,,,,,,,True,,,,,0.741987,,,,,,,,ef829013-7acd-4fc7-b98d-21fc3b438e7b,60,,,"[38.6, 15.4]",3939971,0,,,,,1.1613591,,Right Foot,,,,"[40.9, 20.7]",,Ground Pass,,5.7775426,,,Joël Latibeaudiere,32685.0,,,,,Interception,1,Regular Play,Ethan Pinnock,4610.0,Left Center Back,4,Jamaica,2305,"['7253414f-cd66-4486-b64e-6da7248abb98', 'fcd62f46-9452-4c6a-8b40-2ea433e2921f']",55,,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:55.887,Pass,
,,,,,,,,,,,,,,,,0.677823,,,,,,,,611aacf2-3efc-49a9-ba54-afa25cc55cd4,64,,,"[40.3, 19.8]",3939971,0,,,,,-1.1747149,,Left Foot,,,,"[44.9, 8.8]",,Ground Pass,,11.923087,,,Gregory Leigh,3159.0,,,,,,1,Regular Play,Joël Latibeaudiere,32685.0,Center Back,4,Jamaica,2305,"['3382c5a8-09dc-409c-90bc-91a302fb8898', '6dfc1451-354d-4db0-b52b-366f2a46a3c7']",57,,,,,,,,,,,,,,,,,,Jamaica,2305,00:00:57.443,Pass,True
,,,,,,,,,,,,,,,,1.271669,,,,,,,,a24c72f8-9ff6-4ca5-a818-36285921fc84,71,,,"[97.5, 76.0]",3939971,1,,,,,-1.2490457,,Right Foot,True,,,"[108.4, 43.3]",,Low Pass,,34.468826,Incomplete,,Julián Andrés Quiñones Quiñones,35375.0,,,,,,1,Regular Play,Jorge Eduardo Sánchez Ramos,26406.0,Right Back,5,Mexico,794,"['40222758-6ac4-4550-903b-f8c1e8d83622', 'ccbcdc6b-56d5-4687-97ec-693753628f1f']",2,,,,,,,,,,,,,,,,,,Mexico,794,00:01:02.247,Pass,
,,,,,,,,,,,,,,,,0.799999,,,,,,,,505ad461-13e6-4f21-8ec1-a667085727a6,74,,,"[120.0, 80.0]",3939971,1,,True,,,-2.7651818,,Right Foot,,,,"[94.7, 70.0]",,Ground Pass,,27.204596,,,Orbelín Pineda Alvarado,26280.0,,,,,Corner,1,From Corner,Carlos Uriel Antuna Romero,15452.0,Right Wing,6,Mexico,794,['6617cfb8-309b-4573-8f51-2239a3bdbe49'],22,,,,,,,,,,,,,,,,,,Mexico,794,00:01:22.850,Pass,
,,,,,,,,,,,,,,,,0.844983,,,,,,,,8d557a09-d275-4c41-8791-e19ef146e1b5,76,,,"[101.3, 71.0]",3939971,1,,,,,0.5247958,,Right Foot,,,,"[110.8, 76.5]",,Ground Pass,,10.977249,,,Carlos Uriel Antuna Romero,15452.0,,,,,,1,From Corner,Orbelín Pineda Alvarado,26280.0,Right Center Midfield,6,Mexico,794,['37feaf8c-4ad8-4035-9c69-a3641589767f'],25,,,,,,,,,,,,,,,,,,Mexico,794,00:01:25.832,Pass,
,,,,,,,,,,,,,,,,2.373537,,,,,,,,2fba2b82-89bf-4a2e-bf50-2b74c958b8fa,79,,,"[117.2, 70.5]",3939971,1,,,,,-1.7855312,,Right Foot,True,,,"[107.8, 27.4]",,High Pass,,44.11315,Incomplete,,Edson Omar Álvarez Velázquez,5567.0,,True,,,,1,From Corner,Carlos Uriel Antuna Romero,15452.0,Right Wing,6,Mexico,794,"['0c58ae0e-60e9-4c50-b357-9726dce06539', 'ee717079-68e4-48f9-8e90-296b5c1cd791']",27,,,,,,,,,,,,,,,,,,Mexico,794,00:01:27.641,Pass,
,,,,,,,,,,,,,,,,1.166212,,,,,,,,bc5a2320-f785-41ec-8842-2361f821bfba,85,,,"[91.0, 16.4]",3939971,1,,,,,-0.098966405,,Left Foot,,,,"[105.1, 15.0]",,Ground Pass,,14.169333,,,Johan Felipe Vásquez Ibarra,26336.0,,,,,,1,From Corner,Gerardo Daniel Arteaga Zamora,27896.0,Left Back,6,Mexico,794,['01f708b7-cdac-42fd-a1d0-3f519a61343a'],32,,,,,,,,,,,,,,,,,,Mexico,794,00:01:32.986,Pass,
,,,,,,,,,,,,,,,,1.003248,,,,,,,,9ed48c6e-7468-4b6c-b0d9-67dc883d82ac,92,,,"[26.3, 80.0]",3939971,2,,,,,-0.41894898,,,,,,"[39.1, 74.3]",,Low Pass,,14.011781,Incomplete,,Michail Antonio,3349.0,,,,,Throw-in,1,From Throw In,Dexter Lembikisa,61204.0,Right Wing Back,7,Jamaica,2305,"['15e2c93e-2531-4310-a265-d12588332430', '845a6750-d06e-481b-8388-24d76a6aa3a2']",3,,,,,,,,,,,,,,,,,,Jamaica,2305,00:02:03.522,Pass,
,,,,,,,,,,,,,,,,0.862728,,,,,,,,c7efce00-a422-417b-9d37-eb7a923c1f21,98,,,"[20.6, 77.9]",3939971,2,,,,,-0.07331469,,Right Foot,,,,"[38.3, 76.6]",,Low Pass,,17.747677,,,Shamar Nicholson,31455.0,,,,,,1,From Throw In,Di'Shon Bernard,33145.0,Right Center Back,7,Jamaica,2305,"['2002bfab-2d8f-44a5-bb78-389fd61eb349', '290327cb-8e0e-4f3c-ae60-942b08f80d4f']",7,,,,,,,,,,,,,,,,,,Jamaica,2305,00:02:07.295,Pass,True
,,,,,,,,,,,,,,,,1.889215,,,,,,,,7f7bf0f3-e6b4-4644-a55c-92abbe04edf4,102,,,"[38.7, 76.8]",3939971,2,,,,,-1.1253285,,Right Foot,,,,"[44.0, 65.7]",,High Pass,,12.300406,Incomplete,,,,,,,,,1,From Throw In,Shamar Nicholson,31455.0,Right Wing,7,Jamaica,2305,"['0e599539-1986-4acb-a105-030b872724e5', '29bb2af2-3d75-441c-ba83-fd682fa2c430']",8,,,,,,,,,,,,,,,,,,Jamaica,2305,00:02:08.198,Pass,True
,,,,,,,,,,,,,,,,2.058585,,,,,,,,29bb2af2-3d75-441c-ba83-fd682fa2c430,103,,,"[76.1, 14.4]",3939971,2,,,,,0.8690017,,Right Foot,,,,"[92.5, 33.8]",,High Pass,,25.403149,Incomplete,,Carlos Uriel Antuna Romero,15452.0,,,,,Recovery,1,From Throw In,Edson Omar Álvarez Velázquez,5567.0,Center Defensive Midfield,7,Jamaica,2305,"['7e5ccbf0-96af-4f4e-a7ed-20216af294fc', '7f7bf0f3-e6b4-4644-a55c-92abbe04edf4', 'c9b8334f-73bf-4654-92bc-e515f1f35589']",10,,,,,,,,,,,,,,,,,,Mexico,794,00:02:10.087,Pass,
,,,,,,,,,,,,,,,,2.687875,,,,,,,,c9b8334f-73bf-4654-92bc-e515f1f35589,105,,,"[27.6, 46.3]",3939971,2,,,,,-1.4684931,,Head,,,,"[30.3, 20.0]",,Low Pass,,26.43823,,,Gregory Leigh,3159.0,,,,,Recovery,1,From Throw In,Ethan Pinnock,4610.0,Left Center Back,7,Jamaica,2305,"['029a3890-5c2b-4138-a266-3301ce527096', '29bb2af2-3d75-441c-ba83-fd682fa2c430']",12,,,,,,,,,,,,,,,,,,Jamaica,2305,00:02:12.146,Pass,
